# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478387585859e-01
2.000000000000000000e+00,1.389829478378234173e-01
3.000000000000000000e+00,1.389829478365530446e-01
4.000000000000000000e+00,1.389829478346462088e-01
5.000000000000000000e+00,1.389829478316648159e-01
6.000000000000000000e+00,1.389829478269922480e-01
7.000000000000000000e+00,1.389829478197819046e-01
8.000000000000000000e+00,1.389829478089009140e-01
9.000000000000000000e+00,1.389829477928633816e-01
1.000000000000000000e+01,1.389829477697546167e-01
1.100000000000000000e+01,1.389829477371440913e-01
1.200000000000000000e+01,1.389829476919866580e-01
1.300000000000000000e+01,1.389829476305111111e-01
1.400000000000000000e+01,1.389829475480948984e-01
1.500000000000000000e+01,1.389829474391239827e-01
1.600000000000000000e+01,1.389829472968365787e-01
1.700000000000000000e+01,1.389829471131494298e-01
1.800000000000000000e+01,1.389829468784666844e-01
1.900000000000000000e+01,1.389829465814687581e-01
2.000000000000000000e+01,1.389829462088794654e-01
2.100000000000000000e+01,1.389829457452121109e-01
2.200000000000000000e+01,1.389829451724916565e-01
2.300000000000000000e+01,1.389829444699498817e-01
2.400000000000000000e+01,1.389829436136982288e-01
2.500000000000000000e+01,1.389829425763729753e-01
2.600000000000000000e+01,1.389829413267427705e-01
2.700000000000000000e+01,1.389829398292950768e-01
2.800000000000000000e+01,1.389829380437880568e-01
2.900000000000000000e+01,1.389829359247584106e-01
3.000000000000000000e+01,1.389829334210083145e-01
3.100000000000000000e+01,1.389829304750519745e-01
3.200000000000000000e+01,1.389829270225093338e-01
3.300000000000000000e+01,1.389829229914704700e-01
3.400000000000000000e+01,1.389829183018200243e-01
3.500000000000000000e+01,1.389829128644941292e-01
3.600000000000000000e+01,1.389829065807162700e-01
3.700000000000000000e+01,1.389828993411910685e-01
3.800000000000000000e+01,1.389828910252007277e-01
3.900000000000000000e+01,1.389828814996851292e-01
4.000000000000000000e+01,1.389828706182801299e-01
4.100000000000000000e+01,1.389828582202461138e-01
4.200000000000000000e+01,1.389828441293841088e-01
4.300000000000000000e+01,1.389828281528776299e-01
4.400000000000000000e+01,1.389828100800376276e-01
4.500000000000000000e+01,1.389827896810206243e-01
4.600000000000000000e+01,1.389827667054261140e-01
4.700000000000000000e+01,1.389827408808846088e-01
4.800000000000000000e+01,1.389827119115896181e-01
4.900000000000000000e+01,1.389826794766041151e-01
5.000000000000000000e+01,1.389826432281511259e-01
5.100000000000000000e+01,1.389826027899696281e-01
5.200000000000000000e+01,1.389825577554396341e-01
5.300000000000000000e+01,1.389825076855996100e-01
5.400000000000000000e+01,1.389824521070701091e-01
5.500000000000000000e+01,1.389823905099046297e-01
5.600000000000000000e+01,1.389823223454406120e-01
5.700000000000000000e+01,1.389822470239156227e-01
5.800000000000000000e+01,1.389821639120041308e-01
5.900000000000000000e+01,1.389820723303791250e-01
6.000000000000000000e+01,1.389819715509511278e-01
6.100000000000000000e+01,1.389818607940111195e-01
6.200000000000000000e+01,1.389817392256511297e-01
6.300000000000000000e+01,1.389816059545011251e-01
6.400000000000000000e+01,1.389814600284161317e-01
6.500000000000000000e+01,1.389813004317811129e-01
6.600000000000000000e+01,1.389811260817161165e-01
6.700000000000000000e+01,1.389809358243461190e-01
6.800000000000000000e+01,1.389807284320061231e-01
6.900000000000000000e+01,1.389805025990511200e-01
