# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478399999263e-01
3.000000000000000000e+00,1.389829478399570162e-01
4.000000000000000000e+00,1.389829478375175509e-01
5.000000000000000000e+00,1.389829477912097044e-01
6.000000000000000000e+00,1.389829473304639296e-01
7.000000000000000000e+00,1.389829443462766989e-01
8.000000000000000000e+00,1.389829300996550665e-01
9.000000000000000000e+00,1.389828756226940687e-01
1.000000000000000000e+01,1.389826980273870527e-01
1.100000000000000000e+01,1.389821864482570501e-01
1.200000000000000000e+01,1.389808796701420546e-01
1.300000000000000000e+01,1.389779106457920688e-01
1.400000000000000000e+01,1.389718106905920569e-01
1.500000000000000000e+01,1.389602699611420522e-01
1.600000000000000000e+01,1.389399097001420558e-01
1.700000000000000000e+01,1.389061725501420652e-01
1.800000000000000000e+01,1.388535356721420644e-01
1.900000000000000000e+01,1.387761820831420467e-01
2.000000000000000000e+01,1.386690156161420606e-01
2.100000000000000000e+01,1.385293754461420501e-01
2.200000000000000000e+01,1.383584629261420673e-01
2.300000000000000000e+01,1.381611763111420532e-01
2.400000000000000000e+01,1.379476661261420656e-01
2.500000000000000000e+01,1.377329110911420518e-01
2.600000000000000000e+01,1.375337919361420691e-01
2.700000000000000000e+01,1.373699694861420517e-01
2.800000000000000000e+01,1.372543288586420551e-01
2.900000000000000000e+01,1.371662688566420429e-01
3.000000000000000000e+01,1.370670098371420675e-01
3.100000000000000000e+01,1.369414133871420525e-01
3.200000000000000000e+01,1.367926797921420468e-01
3.300000000000000000e+01,1.366260008721420505e-01
3.400000000000000000e+01,1.364482090521420554e-01
3.500000000000000000e+01,1.362672743421420585e-01
3.600000000000000000e+01,1.360916628771420556e-01
3.700000000000000000e+01,1.359296243271420623e-01
3.800000000000000000e+01,1.357877860471420617e-01
3.900000000000000000e+01,1.356688746771420595e-01
4.000000000000000000e+01,1.355688503006420575e-01
4.100000000000000000e+01,1.354761691451420447e-01
4.200000000000000000e+01,1.353765601661420515e-01
4.300000000000000000e+01,1.352627705861420560e-01
4.400000000000000000e+01,1.351357199961420452e-01
4.500000000000000000e+01,1.349984299211420546e-01
4.600000000000000000e+01,1.348544708811420523e-01
4.700000000000000000e+01,1.347077564411420514e-01
4.800000000000000000e+01,1.345622843311420624e-01
4.900000000000000000e+01,1.344218916611420456e-01
5.000000000000000000e+01,1.342898937611420596e-01
5.100000000000000000e+01,1.341686068811420440e-01
5.200000000000000000e+01,1.340587631711420702e-01
5.300000000000000000e+01,1.339589634931420692e-01
5.400000000000000000e+01,1.338655378526420470e-01
5.500000000000000000e+01,1.337733178406420587e-01
5.600000000000000000e+01,1.336773488581420588e-01
5.700000000000000000e+01,1.335746519451420644e-01
5.800000000000000000e+01,1.334647608301420540e-01
5.900000000000000000e+01,1.333489112151420575e-01
6.000000000000000000e+01,1.332289703951420601e-01
6.100000000000000000e+01,1.331069324951420496e-01
6.200000000000000000e+01,1.329848064851420486e-01
