# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478384627670e-01
2.000000000000000000e+00,1.389829478373230398e-01
3.000000000000000000e+00,1.389829478358092785e-01
4.000000000000000000e+00,1.389829478335372348e-01
5.000000000000000000e+00,1.389829478298896248e-01
6.000000000000000000e+00,1.389829478239203719e-01
7.000000000000000000e+00,1.389829478142344255e-01
8.000000000000000000e+00,1.389829477988409057e-01
9.000000000000000000e+00,1.389829477749735531e-01
1.000000000000000000e+01,1.389829477388749568e-01
1.100000000000000000e+01,1.389829476855391210e-01
1.200000000000000000e+01,1.389829476084068205e-01
1.300000000000000000e+01,1.389829474990069424e-01
1.400000000000000000e+01,1.389829473465360732e-01
1.500000000000000000e+01,1.389829471373670300e-01
1.600000000000000000e+01,1.389829468544742930e-01
1.700000000000000000e+01,1.389829464767604883e-01
1.800000000000000000e+01,1.389829459782664922e-01
1.900000000000000000e+01,1.389829453272388438e-01
2.000000000000000000e+01,1.389829444850194939e-01
2.100000000000000000e+01,1.389829434047230028e-01
2.200000000000000000e+01,1.389829420296443407e-01
2.300000000000000000e+01,1.389829402913239365e-01
2.400000000000000000e+01,1.389829381072084924e-01
2.500000000000000000e+01,1.389829353778060939e-01
2.600000000000000000e+01,1.389829319832182608e-01
2.700000000000000000e+01,1.389829277789883522e-01
2.800000000000000000e+01,1.389829225911653476e-01
2.900000000000000000e+01,1.389829162105108429e-01
3.000000000000000000e+01,1.389829083859622505e-01
3.100000000000000000e+01,1.389828988174577618e-01
3.200000000000000000e+01,1.389828871483457517e-01
3.300000000000000000e+01,1.389828729579162536e-01
3.400000000000000000e+01,1.389828557544752485e-01
3.500000000000000000e+01,1.389828349693232601e-01
3.600000000000000000e+01,1.389828099522107396e-01
3.700000000000000000e+01,1.389827799681497555e-01
3.800000000000000000e+01,1.389827441950897413e-01
3.900000000000000000e+01,1.389827017223332628e-01
4.000000000000000000e+01,1.389826515487277425e-01
4.100000000000000000e+01,1.389825925797452399e-01
4.200000000000000000e+01,1.389825236235442407e-01
4.300000000000000000e+01,1.389824433854897623e-01
4.400000000000000000e+01,1.389823504609557503e-01
4.500000000000000000e+01,1.389822433270162527e-01
4.600000000000000000e+01,1.389821203330512400e-01
4.700000000000000000e+01,1.389819796906212601e-01
4.800000000000000000e+01,1.389818194623612391e-01
4.900000000000000000e+01,1.389816375504712431e-01
5.000000000000000000e+01,1.389814316857412579e-01
5.100000000000000000e+01,1.389811994149462437e-01
5.200000000000000000e+01,1.389809380881462386e-01
5.300000000000000000e+01,1.389806448482962531e-01
5.400000000000000000e+01,1.389803166165962389e-01
5.500000000000000000e+01,1.389799500781462582e-01
5.600000000000000000e+01,1.389795416741712586e-01
5.700000000000000000e+01,1.389790875838712580e-01
5.800000000000000000e+01,1.389785837075062369e-01
5.900000000000000000e+01,1.389780256643662615e-01
6.000000000000000000e+01,1.389774087688712412e-01
6.100000000000000000e+01,1.389767280097412572e-01
6.200000000000000000e+01,1.389759780592962624e-01
