# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478400000096e-01
8.000000000000000000e+00,1.389829478400000096e-01
9.000000000000000000e+00,1.389829478400000096e-01
1.000000000000000000e+01,1.389829478400000096e-01
1.100000000000000000e+01,1.389829478399999818e-01
1.200000000000000000e+01,1.389829478399999818e-01
1.300000000000000000e+01,1.389829478399999541e-01
1.400000000000000000e+01,1.389829478399999263e-01
1.500000000000000000e+01,1.389829478399998708e-01
1.600000000000000000e+01,1.389829478399997875e-01
1.700000000000000000e+01,1.389829478399996765e-01
1.800000000000000000e+01,1.389829478399995377e-01
1.900000000000000000e+01,1.389829478399993434e-01
2.000000000000000000e+01,1.389829478399990659e-01
2.100000000000000000e+01,1.389829478399986773e-01
2.200000000000000000e+01,1.389829478399981777e-01
2.300000000000000000e+01,1.389829478399975393e-01
2.400000000000000000e+01,1.389829478399967067e-01
2.500000000000000000e+01,1.389829478399956242e-01
2.600000000000000000e+01,1.389829478399942364e-01
2.700000000000000000e+01,1.389829478399924878e-01
2.800000000000000000e+01,1.389829478399902951e-01
2.900000000000000000e+01,1.389829478399875751e-01
3.000000000000000000e+01,1.389829478399842166e-01
3.100000000000000000e+01,1.389829478399800811e-01
3.200000000000000000e+01,1.389829478399750295e-01
3.300000000000000000e+01,1.389829478399688956e-01
3.400000000000000000e+01,1.389829478399614848e-01
3.500000000000000000e+01,1.389829478399525753e-01
3.600000000000000000e+01,1.389829478399419171e-01
3.700000000000000000e+01,1.389829478399292051e-01
3.800000000000000000e+01,1.389829478399141616e-01
3.900000000000000000e+01,1.389829478398963702e-01
4.000000000000000000e+01,1.389829478398754703e-01
4.100000000000000000e+01,1.389829478398509899e-01
4.200000000000000000e+01,1.389829478398224016e-01
4.300000000000000000e+01,1.389829478397891227e-01
4.400000000000000000e+01,1.389829478397505702e-01
4.500000000000000000e+01,1.389829478397059948e-01
4.600000000000000000e+01,1.389829478396546192e-01
4.700000000000000000e+01,1.389829478395956108e-01
4.800000000000000000e+01,1.389829478395279982e-01
4.900000000000000000e+01,1.389829478394507545e-01
5.000000000000000000e+01,1.389829478393627415e-01
5.100000000000000000e+01,1.389829478392626827e-01
5.200000000000000000e+01,1.389829478391491902e-01
5.300000000000000000e+01,1.389829478390208206e-01
5.400000000000000000e+01,1.389829478388759088e-01
5.500000000000000000e+01,1.389829478387127060e-01
5.600000000000000000e+01,1.389829478385292416e-01
5.700000000000000000e+01,1.389829478383234618e-01
5.800000000000000000e+01,1.389829478380930627e-01
5.900000000000000000e+01,1.389829478378356298e-01
6.000000000000000000e+01,1.389829478375485261e-01
6.100000000000000000e+01,1.389829478372288374e-01
6.200000000000000000e+01,1.389829478368735105e-01
6.300000000000000000e+01,1.389829478364792426e-01
6.400000000000000000e+01,1.389829478360425086e-01
6.500000000000000000e+01,1.389829478355593950e-01
6.600000000000000000e+01,1.389829478350258496e-01
6.700000000000000000e+01,1.389829478344374591e-01
6.800000000000000000e+01,1.389829478337894497e-01
6.900000000000000000e+01,1.389829478330767976e-01
7.000000000000000000e+01,1.389829478322941181e-01
7.100000000000000000e+01,1.389829478314356659e-01
7.200000000000000000e+01,1.389829478304952792e-01
7.300000000000000000e+01,1.389829478294664078e-01
7.400000000000000000e+01,1.389829478283420849e-01
7.500000000000000000e+01,1.389829478271148167e-01
7.600000000000000000e+01,1.389829478257767481e-01
7.700000000000000000e+01,1.389829478243194416e-01
7.800000000000000000e+01,1.389829478227338766e-01
7.900000000000000000e+01,1.389829478210105884e-01
8.000000000000000000e+01,1.389829478191396128e-01
8.100000000000000000e+01,1.389829478171102917e-01
8.200000000000000000e+01,1.389829478149113284e-01
8.300000000000000000e+01,1.389829478125306217e-01
8.400000000000000000e+01,1.389829478099555149e-01
8.500000000000000000e+01,1.389829478071726576e-01
8.600000000000000000e+01,1.389829478041678945e-01
8.700000000000000000e+01,1.389829478009261821e-01
8.800000000000000000e+01,1.389829477974316163e-01
8.900000000000000000e+01,1.389829477936675717e-01
9.000000000000000000e+01,1.389829477896165344e-01
9.100000000000000000e+01,1.389829477852597139e-01
9.200000000000000000e+01,1.389829477805775981e-01
9.300000000000000000e+01,1.389829477755494536e-01
9.400000000000000000e+01,1.389829477701535476e-01
9.500000000000000000e+01,1.389829477643668154e-01
9.600000000000000000e+01,1.389829477581651929e-01
9.700000000000000000e+01,1.389829477515236167e-01
9.800000000000000000e+01,1.389829477444150529e-01
9.900000000000000000e+01,1.389829477368114963e-01
1.000000000000000000e+02,1.389829477286834147e-01
1.010000000000000000e+02,1.389829477199997498e-01
1.020000000000000000e+02,1.389829477107278610e-01
1.030000000000000000e+02,1.389829477008333869e-01
1.040000000000000000e+02,1.389829476902807726e-01
1.050000000000000000e+02,1.389829476790322149e-01
1.060000000000000000e+02,1.389829476670483011e-01
1.070000000000000000e+02,1.389829476542875919e-01
1.080000000000000000e+02,1.389829476407066777e-01
1.090000000000000000e+02,1.389829476262600949e-01
1.100000000000000000e+02,1.389829476108997153e-01
1.110000000000000000e+02,1.389829475945759396e-01
1.120000000000000000e+02,1.389829475772365597e-01
1.130000000000000000e+02,1.389829475588267860e-01
1.140000000000000000e+02,1.389829475392892755e-01
1.150000000000000000e+02,1.389829475185633267e-01
1.160000000000000000e+02,1.389829474965868783e-01
1.170000000000000000e+02,1.389829474732943992e-01
1.180000000000000000e+02,1.389829474486170280e-01
1.190000000000000000e+02,1.389829474224837103e-01
1.200000000000000000e+02,1.389829473948185345e-01
1.210000000000000000e+02,1.389829473655433134e-01
1.220000000000000000e+02,1.389829473345771393e-01
1.230000000000000000e+02,1.389829473018348305e-01
1.240000000000000000e+02,1.389829472672269028e-01
1.250000000000000000e+02,1.389829472306598201e-01
1.260000000000000000e+02,1.389829471920371040e-01
1.270000000000000000e+02,1.389829471512572245e-01
1.280000000000000000e+02,1.389829471082145995e-01
1.290000000000000000e+02,1.389829470627994834e-01
1.300000000000000000e+02,1.389829470148957746e-01
1.310000000000000000e+02,1.389829469643827919e-01
1.320000000000000000e+02,1.389829469111376892e-01
1.330000000000000000e+02,1.389829468550309866e-01
1.340000000000000000e+02,1.389829467959252385e-01
1.350000000000000000e+02,1.389829467336795021e-01
1.360000000000000000e+02,1.389829466681483938e-01
1.370000000000000000e+02,1.389829465991778423e-01
1.380000000000000000e+02,1.389829465266062269e-01
1.390000000000000000e+02,1.389829464502689571e-01
1.400000000000000000e+02,1.389829463699953083e-01
1.410000000000000000e+02,1.389829462856036479e-01
1.420000000000000000e+02,1.389829461969059321e-01
1.430000000000000000e+02,1.389829461037095926e-01
1.440000000000000000e+02,1.389829460058115140e-01
1.450000000000000000e+02,1.389829459030013648e-01
1.460000000000000000e+02,1.389829457950627900e-01
1.470000000000000000e+02,1.389829456817677500e-01
1.480000000000000000e+02,1.389829455628780464e-01
1.490000000000000000e+02,1.389829454381480700e-01
1.500000000000000000e+02,1.389829453073225529e-01
1.510000000000000000e+02,1.389829451701408702e-01
1.520000000000000000e+02,1.389829450263280197e-01
1.530000000000000000e+02,1.389829448755946217e-01
1.540000000000000000e+02,1.389829447176450516e-01
1.550000000000000000e+02,1.389829445521726381e-01
1.560000000000000000e+02,1.389829443788573315e-01
1.570000000000000000e+02,1.389829441973698676e-01
1.580000000000000000e+02,1.389829440073668820e-01
1.590000000000000000e+02,1.389829438084875801e-01
1.600000000000000000e+02,1.389829436003641172e-01
1.610000000000000000e+02,1.389829433826156868e-01
1.620000000000000000e+02,1.389829431548439964e-01
1.630000000000000000e+02,1.389829429166341279e-01
1.640000000000000000e+02,1.389829426675589230e-01
1.650000000000000000e+02,1.389829424071768182e-01
1.660000000000000000e+02,1.389829421350324279e-01
1.670000000000000000e+02,1.389829418506493552e-01
1.680000000000000000e+02,1.389829415535289159e-01
1.690000000000000000e+02,1.389829412431600186e-01
1.700000000000000000e+02,1.389829409190160014e-01
1.710000000000000000e+02,1.389829405805505791e-01
1.720000000000000000e+02,1.389829402272005354e-01
1.730000000000000000e+02,1.389829398583854458e-01
1.740000000000000000e+02,1.389829394734935497e-01
1.750000000000000000e+02,1.389829390718931579e-01
1.760000000000000000e+02,1.389829386529346511e-01
1.770000000000000000e+02,1.389829382159429860e-01
1.780000000000000000e+02,1.389829377602229965e-01
1.790000000000000000e+02,1.389829372850593658e-01
1.800000000000000000e+02,1.389829367897126577e-01
1.810000000000000000e+02,1.389829362734131546e-01
1.820000000000000000e+02,1.389829357353618566e-01
1.830000000000000000e+02,1.389829351747324526e-01
1.840000000000000000e+02,1.389829345906724301e-01
1.850000000000000000e+02,1.389829339822975518e-01
1.860000000000000000e+02,1.389829333487153373e-01
1.870000000000000000e+02,1.389829326889974459e-01
1.880000000000000000e+02,1.389829320021696568e-01
1.890000000000000000e+02,1.389829312872287725e-01
1.900000000000000000e+02,1.389829305431330708e-01
1.910000000000000000e+02,1.389829297688134624e-01
1.920000000000000000e+02,1.389829289631676901e-01
1.930000000000000000e+02,1.389829281250642423e-01
1.940000000000000000e+02,1.389829272533290583e-01
1.950000000000000000e+02,1.389829263467435017e-01
1.960000000000000000e+02,1.389829254040544082e-01
1.970000000000000000e+02,1.389829244239703665e-01
1.980000000000000000e+02,1.389829234051602469e-01
1.990000000000000000e+02,1.389829223462506480e-01
2.000000000000000000e+02,1.389829212458331964e-01
2.010000000000000000e+02,1.389829201024573024e-01
2.020000000000000000e+02,1.389829189146140620e-01
2.030000000000000000e+02,1.389829176807413913e-01
2.040000000000000000e+02,1.389829163992350458e-01
2.050000000000000000e+02,1.389829150684440129e-01
2.060000000000000000e+02,1.389829136866589654e-01
2.070000000000000000e+02,1.389829122521182014e-01
2.080000000000000000e+02,1.389829107630105032e-01
2.090000000000000000e+02,1.389829092174637015e-01
2.100000000000000000e+02,1.389829076135627450e-01
2.110000000000000000e+02,1.389829059493572494e-01
2.120000000000000000e+02,1.389829042228181155e-01
2.130000000000000000e+02,1.389829024318349482e-01
2.140000000000000000e+02,1.389829005742413415e-01
2.150000000000000000e+02,1.389828986478069406e-01
2.160000000000000000e+02,1.389828966502389407e-01
2.170000000000000000e+02,1.389828945791809489e-01
2.180000000000000000e+02,1.389828924322060455e-01
2.190000000000000000e+02,1.389828902068208083e-01
2.200000000000000000e+02,1.389828879004578466e-01
2.210000000000000000e+02,1.389828855104623118e-01
2.220000000000000000e+02,1.389828830341096610e-01
2.230000000000000000e+02,1.389828804686075447e-01
2.240000000000000000e+02,1.389828778110691054e-01
2.250000000000000000e+02,1.389828750585274664e-01
2.260000000000000000e+02,1.389828722079622658e-01
2.270000000000000000e+02,1.389828692562651014e-01
2.280000000000000000e+02,1.389828662002154658e-01
2.290000000000000000e+02,1.389828630365038675e-01
2.300000000000000000e+02,1.389828597617201456e-01
2.310000000000000000e+02,1.389828563723600474e-01
2.320000000000000000e+02,1.389828528648328620e-01
2.330000000000000000e+02,1.389828492353902545e-01
2.340000000000000000e+02,1.389828454802264079e-01
2.350000000000000000e+02,1.389828415954825480e-01
2.360000000000000000e+02,1.389828375771434144e-01
2.370000000000000000e+02,1.389828334211020144e-01
2.380000000000000000e+02,1.389828291231509916e-01
2.390000000000000000e+02,1.389828246789450994e-01
2.400000000000000000e+02,1.389828200840365624e-01
2.410000000000000000e+02,1.389828153338716621e-01
2.420000000000000000e+02,1.389828104237424977e-01
2.430000000000000000e+02,1.389828053488200155e-01
2.440000000000000000e+02,1.389828001041628625e-01
2.450000000000000000e+02,1.389827946846771134e-01
2.460000000000000000e+02,1.389827890851381142e-01
2.470000000000000000e+02,1.389827833002134638e-01
2.480000000000000000e+02,1.389827773243505482e-01
2.490000000000000000e+02,1.389827711519165676e-01
2.500000000000000000e+02,1.389827647772063635e-01
2.510000000000000000e+02,1.389827581942834622e-01
2.520000000000000000e+02,1.389827513970698647e-01
2.530000000000000000e+02,1.389827443793459627e-01
2.540000000000000000e+02,1.389827371347125418e-01
2.550000000000000000e+02,1.389827296566114589e-01
2.560000000000000000e+02,1.389827219382772094e-01
2.570000000000000000e+02,1.389827139727861649e-01
2.580000000000000000e+02,1.389827057530302612e-01
2.590000000000000000e+02,1.389826972718048448e-01
2.600000000000000000e+02,1.389826885217660957e-01
2.610000000000000000e+02,1.389826794953093470e-01
2.620000000000000000e+02,1.389826701847036439e-01
2.630000000000000000e+02,1.389826605819969030e-01
2.640000000000000000e+02,1.389826506790242111e-01
2.650000000000000000e+02,1.389826404674397164e-01
2.660000000000000000e+02,1.389826299386552055e-01
2.670000000000000000e+02,1.389826190837697151e-01
2.680000000000000000e+02,1.389826078938141973e-01
2.690000000000000000e+02,1.389825963595892055e-01
2.700000000000000000e+02,1.389825844715567027e-01
2.710000000000000000e+02,1.389825722201042113e-01
2.720000000000000000e+02,1.389825595953967097e-01
2.730000000000000000e+02,1.389825465873562038e-01
2.740000000000000000e+02,1.389825331855631951e-01
2.750000000000000000e+02,1.389825193794441971e-01
