# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478400000096e-01
8.000000000000000000e+00,1.389829478400000096e-01
9.000000000000000000e+00,1.389829478400000096e-01
1.000000000000000000e+01,1.389829478400000096e-01
1.100000000000000000e+01,1.389829478400000096e-01
1.200000000000000000e+01,1.389829478399999818e-01
1.300000000000000000e+01,1.389829478399999818e-01
1.400000000000000000e+01,1.389829478399999818e-01
1.500000000000000000e+01,1.389829478399999541e-01
1.600000000000000000e+01,1.389829478399999263e-01
1.700000000000000000e+01,1.389829478399998708e-01
1.800000000000000000e+01,1.389829478399998153e-01
1.900000000000000000e+01,1.389829478399997043e-01
2.000000000000000000e+01,1.389829478399995932e-01
2.100000000000000000e+01,1.389829478399993989e-01
2.200000000000000000e+01,1.389829478399991769e-01
2.300000000000000000e+01,1.389829478399988716e-01
2.400000000000000000e+01,1.389829478399984553e-01
2.500000000000000000e+01,1.389829478399979279e-01
2.600000000000000000e+01,1.389829478399972618e-01
2.700000000000000000e+01,1.389829478399964013e-01
2.800000000000000000e+01,1.389829478399953189e-01
2.900000000000000000e+01,1.389829478399939866e-01
3.000000000000000000e+01,1.389829478399922935e-01
3.100000000000000000e+01,1.389829478399901841e-01
3.200000000000000000e+01,1.389829478399876028e-01
3.300000000000000000e+01,1.389829478399844664e-01
3.400000000000000000e+01,1.389829478399806362e-01
3.500000000000000000e+01,1.389829478399759732e-01
3.600000000000000000e+01,1.389829478399703944e-01
3.700000000000000000e+01,1.389829478399637053e-01
3.800000000000000000e+01,1.389829478399557394e-01
3.900000000000000000e+01,1.389829478399462748e-01
4.000000000000000000e+01,1.389829478399350615e-01
4.100000000000000000e+01,1.389829478399218499e-01
4.200000000000000000e+01,1.389829478399063623e-01
4.300000000000000000e+01,1.389829478398882379e-01
4.400000000000000000e+01,1.389829478398671159e-01
4.500000000000000000e+01,1.389829478398426077e-01
4.600000000000000000e+01,1.389829478398141860e-01
4.700000000000000000e+01,1.389829478397814067e-01
4.800000000000000000e+01,1.389829478397436868e-01
4.900000000000000000e+01,1.389829478397003604e-01
5.000000000000000000e+01,1.389829478396507889e-01
5.100000000000000000e+01,1.389829478395941675e-01
5.200000000000000000e+01,1.389829478395297191e-01
5.300000000000000000e+01,1.389829478394564721e-01
5.400000000000000000e+01,1.389829478393734274e-01
5.500000000000000000e+01,1.389829478392795303e-01
5.600000000000000000e+01,1.389829478391735873e-01
5.700000000000000000e+01,1.389829478390542383e-01
5.800000000000000000e+01,1.389829478389201234e-01
5.900000000000000000e+01,1.389829478387696882e-01
6.000000000000000000e+01,1.389829478386012673e-01
6.100000000000000000e+01,1.389829478384130568e-01
6.200000000000000000e+01,1.389829478382030858e-01
6.300000000000000000e+01,1.389829478379692451e-01
6.400000000000000000e+01,1.389829478377092586e-01
6.500000000000000000e+01,1.389829478374206562e-01
6.600000000000000000e+01,1.389829478371008009e-01
6.700000000000000000e+01,1.389829478367468063e-01
6.800000000000000000e+01,1.389829478363556192e-01
6.900000000000000000e+01,1.389829478359239645e-01
7.000000000000000000e+01,1.389829478354482895e-01
7.100000000000000000e+01,1.389829478349247915e-01
7.200000000000000000e+01,1.389829478343494185e-01
7.300000000000000000e+01,1.389829478337178126e-01
7.400000000000000000e+01,1.389829478330253387e-01
7.500000000000000000e+01,1.389829478322670009e-01
7.600000000000000000e+01,1.389829478314374978e-01
7.700000000000000000e+01,1.389829478305311394e-01
7.800000000000000000e+01,1.389829478295419030e-01
7.900000000000000000e+01,1.389829478284633768e-01
8.000000000000000000e+01,1.389829478272886221e-01
8.100000000000000000e+01,1.389829478260104223e-01
8.200000000000000000e+01,1.389829478246209504e-01
8.300000000000000000e+01,1.389829478231119908e-01
8.400000000000000000e+01,1.389829478214747449e-01
8.500000000000000000e+01,1.389829478196999424e-01
8.600000000000000000e+01,1.389829478177776467e-01
8.700000000000000000e+01,1.389829478156973941e-01
8.800000000000000000e+01,1.389829478134480267e-01
8.900000000000000000e+01,1.389829478110178040e-01
9.000000000000000000e+01,1.389829478083942360e-01
9.100000000000000000e+01,1.389829478055641387e-01
9.200000000000000000e+01,1.389829478025135234e-01
9.300000000000000000e+01,1.389829477992275686e-01
9.400000000000000000e+01,1.389829477956907033e-01
9.500000000000000000e+01,1.389829477918863854e-01
9.600000000000000000e+01,1.389829477877971287e-01
9.700000000000000000e+01,1.389829477834045868e-01
9.800000000000000000e+01,1.389829477786892475e-01
9.900000000000000000e+01,1.389829477736305996e-01
1.000000000000000000e+02,1.389829477682070213e-01
1.010000000000000000e+02,1.389829477623956977e-01
1.020000000000000000e+02,1.389829477561726201e-01
1.030000000000000000e+02,1.389829477495124477e-01
1.040000000000000000e+02,1.389829477423884796e-01
1.050000000000000000e+02,1.389829477347726272e-01
1.060000000000000000e+02,1.389829477266353863e-01
1.070000000000000000e+02,1.389829477179456430e-01
1.080000000000000000e+02,1.389829477086706733e-01
1.090000000000000000e+02,1.389829476987762269e-01
1.100000000000000000e+02,1.389829476882260273e-01
1.110000000000000000e+02,1.389829476769820216e-01
1.120000000000000000e+02,1.389829476650044637e-01
1.130000000000000000e+02,1.389829476522514151e-01
1.140000000000000000e+02,1.389829476386788831e-01
1.150000000000000000e+02,1.389829476242407658e-01
1.160000000000000000e+02,1.389829476088885740e-01
1.170000000000000000e+02,1.389829475925714319e-01
1.180000000000000000e+02,1.389829475752360488e-01
1.190000000000000000e+02,1.389829475568266914e-01
1.200000000000000000e+02,1.389829475372847956e-01
1.210000000000000000e+02,1.389829475165491324e-01
1.220000000000000000e+02,1.389829474945554200e-01
1.230000000000000000e+02,1.389829474712362123e-01
1.240000000000000000e+02,1.389829474465213155e-01
1.250000000000000000e+02,1.389829474203369275e-01
1.260000000000000000e+02,1.389829473926054715e-01
1.270000000000000000e+02,1.389829473632465673e-01
1.280000000000000000e+02,1.389829473321756714e-01
1.290000000000000000e+02,1.389829472993045489e-01
1.300000000000000000e+02,1.389829472645409958e-01
1.310000000000000000e+02,1.389829472277881173e-01
1.320000000000000000e+02,1.389829471889453549e-01
1.330000000000000000e+02,1.389829471479074874e-01
1.340000000000000000e+02,1.389829471045638809e-01
1.350000000000000000e+02,1.389829470587996829e-01
1.360000000000000000e+02,1.389829470104954612e-01
1.370000000000000000e+02,1.389829469595256217e-01
1.380000000000000000e+02,1.389829469057594358e-01
1.390000000000000000e+02,1.389829468490607345e-01
1.400000000000000000e+02,1.389829467892869097e-01
1.410000000000000000e+02,1.389829467262894414e-01
1.420000000000000000e+02,1.389829466599140084e-01
1.430000000000000000e+02,1.389829465899991845e-01
1.440000000000000000e+02,1.389829465163767153e-01
1.450000000000000000e+02,1.389829464388714908e-01
1.460000000000000000e+02,1.389829463573004908e-01
1.470000000000000000e+02,1.389829462714738673e-01
1.480000000000000000e+02,1.389829461811941114e-01
1.490000000000000000e+02,1.389829460862542221e-01
1.500000000000000000e+02,1.389829459864395655e-01
1.510000000000000000e+02,1.389829458815275975e-01
1.520000000000000000e+02,1.389829457712853100e-01
1.530000000000000000e+02,1.389829456554697584e-01
1.540000000000000000e+02,1.389829455338300879e-01
1.550000000000000000e+02,1.389829454061050629e-01
1.560000000000000000e+02,1.389829452720216518e-01
1.570000000000000000e+02,1.389829451312964426e-01
1.580000000000000000e+02,1.389829449836356146e-01
1.590000000000000000e+02,1.389829448287330516e-01
1.600000000000000000e+02,1.389829446662720625e-01
1.610000000000000000e+02,1.389829444959223004e-01
1.620000000000000000e+02,1.389829443173398738e-01
1.630000000000000000e+02,1.389829441301692059e-01
1.640000000000000000e+02,1.389829439340398431e-01
1.650000000000000000e+02,1.389829437285683145e-01
1.660000000000000000e+02,1.389829435133569657e-01
1.670000000000000000e+02,1.389829432879911009e-01
1.680000000000000000e+02,1.389829430520409803e-01
1.690000000000000000e+02,1.389829428050617932e-01
1.700000000000000000e+02,1.389829425465903268e-01
1.710000000000000000e+02,1.389829422761496569e-01
1.720000000000000000e+02,1.389829419932444021e-01
1.730000000000000000e+02,1.389829416973563658e-01
1.740000000000000000e+02,1.389829413879504205e-01
1.750000000000000000e+02,1.389829410644741470e-01
1.760000000000000000e+02,1.389829407263548644e-01
1.770000000000000000e+02,1.389829403729980206e-01
1.780000000000000000e+02,1.389829400037888574e-01
1.790000000000000000e+02,1.389829396180875809e-01
1.800000000000000000e+02,1.389829392152325815e-01
1.810000000000000000e+02,1.389829387945435424e-01
1.820000000000000000e+02,1.389829383553113362e-01
1.830000000000000000e+02,1.389829378968004958e-01
1.840000000000000000e+02,1.389829374182543209e-01
1.850000000000000000e+02,1.389829369188871344e-01
1.860000000000000000e+02,1.389829363978863364e-01
1.870000000000000000e+02,1.389829358544116544e-01
1.880000000000000000e+02,1.389829352875923407e-01
1.890000000000000000e+02,1.389829346965310020e-01
1.900000000000000000e+02,1.389829340802989366e-01
1.910000000000000000e+02,1.389829334379319159e-01
1.920000000000000000e+02,1.389829327684347360e-01
1.930000000000000000e+02,1.389829320707816618e-01
1.940000000000000000e+02,1.389829313439089886e-01
1.950000000000000000e+02,1.389829305867225362e-01
1.960000000000000000e+02,1.389829297980937906e-01
1.970000000000000000e+02,1.389829289768517717e-01
1.980000000000000000e+02,1.389829281217848655e-01
1.990000000000000000e+02,1.389829272316422393e-01
2.000000000000000000e+02,1.389829263051310104e-01
2.010000000000000000e+02,1.389829253409201604e-01
2.020000000000000000e+02,1.389829243376405343e-01
2.030000000000000000e+02,1.389829232938702697e-01
2.040000000000000000e+02,1.389829222081452875e-01
2.050000000000000000e+02,1.389829210789578218e-01
2.060000000000000000e+02,1.389829199047460384e-01
2.070000000000000000e+02,1.389829186839013353e-01
2.080000000000000000e+02,1.389829174147699797e-01
2.090000000000000000e+02,1.389829160956402299e-01
2.100000000000000000e+02,1.389829147247452767e-01
2.110000000000000000e+02,1.389829133002688233e-01
2.120000000000000000e+02,1.389829118203349256e-01
2.130000000000000000e+02,1.389829102830112406e-01
2.140000000000000000e+02,1.389829086863088314e-01
2.150000000000000000e+02,1.389829070281773382e-01
2.160000000000000000e+02,1.389829053065083364e-01
2.170000000000000000e+02,1.389829035191273154e-01
2.180000000000000000e+02,1.389829016637841863e-01
2.190000000000000000e+02,1.389828997381647724e-01
2.200000000000000000e+02,1.389828977398932797e-01
2.210000000000000000e+02,1.389828956665156157e-01
2.220000000000000000e+02,1.389828935155063838e-01
2.230000000000000000e+02,1.389828912842729913e-01
2.240000000000000000e+02,1.389828889701376913e-01
2.250000000000000000e+02,1.389828865703501282e-01
2.260000000000000000e+02,1.389828840820953315e-01
2.270000000000000000e+02,1.389828815024635178e-01
2.280000000000000000e+02,1.389828788284543371e-01
2.290000000000000000e+02,1.389828760569890298e-01
2.300000000000000000e+02,1.389828731848906651e-01
2.310000000000000000e+02,1.389828702088960199e-01
2.320000000000000000e+02,1.389828671256634340e-01
2.330000000000000000e+02,1.389828639317445824e-01
2.340000000000000000e+02,1.389828606235987418e-01
2.350000000000000000e+02,1.389828571975981197e-01
2.360000000000000000e+02,1.389828536499976841e-01
2.370000000000000000e+02,1.389828499769508729e-01
2.380000000000000000e+02,1.389828461745195309e-01
2.390000000000000000e+02,1.389828422386446827e-01
2.400000000000000000e+02,1.389828381651573852e-01
2.410000000000000000e+02,1.389828339497747312e-01
2.420000000000000000e+02,1.389828295880998765e-01
2.430000000000000000e+02,1.389828250756408867e-01
2.440000000000000000e+02,1.389828204077825369e-01
2.450000000000000000e+02,1.389828155797643849e-01
2.460000000000000000e+02,1.389828105867068342e-01
2.470000000000000000e+02,1.389828054236163790e-01
2.480000000000000000e+02,1.389828000853460810e-01
2.490000000000000000e+02,1.389827945666188835e-01
2.500000000000000000e+02,1.389827888620398244e-01
2.510000000000000000e+02,1.389827829660534864e-01
2.520000000000000000e+02,1.389827768729648416e-01
2.530000000000000000e+02,1.389827705769522415e-01
2.540000000000000000e+02,1.389827640720236179e-01
2.550000000000000000e+02,1.389827573520429349e-01
2.560000000000000000e+02,1.389827504107417344e-01
2.570000000000000000e+02,1.389827432416749775e-01
2.580000000000000000e+02,1.389827358382406675e-01
2.590000000000000000e+02,1.389827281936875381e-01
2.600000000000000000e+02,1.389827203010436663e-01
2.610000000000000000e+02,1.389827121531963805e-01
2.620000000000000000e+02,1.389827037429086920e-01
2.630000000000000000e+02,1.389826950627104374e-01
2.640000000000000000e+02,1.389826861049427709e-01
2.650000000000000000e+02,1.389826768618025177e-01
2.660000000000000000e+02,1.389826673252848865e-01
2.670000000000000000e+02,1.389826574871896869e-01
2.680000000000000000e+02,1.389826473391505279e-01
2.690000000000000000e+02,1.389826368725625427e-01
2.700000000000000000e+02,1.389826260786255208e-01
2.710000000000000000e+02,1.389826149483420203e-01
2.720000000000000000e+02,1.389826034725010206e-01
2.730000000000000000e+02,1.389825916417145313e-01
2.740000000000000000e+02,1.389825794463750153e-01
2.750000000000000000e+02,1.389825668766080380e-01
