# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478312586963e-01
2.000000000000000000e+00,1.389829478242933791e-01
3.000000000000000000e+00,1.389829478133240703e-01
4.000000000000000000e+00,1.389829477936367630e-01
5.000000000000000000e+00,1.389829477576604577e-01
6.000000000000000000e+00,1.389829476939519193e-01
7.000000000000000000e+00,1.389829475858900265e-01
8.000000000000000000e+00,1.389829474102049489e-01
9.000000000000000000e+00,1.389829471352002910e-01
1.000000000000000000e+01,1.389829467187233547e-01
1.100000000000000000e+01,1.389829461057978666e-01
1.200000000000000000e+01,1.389829452259133125e-01
1.300000000000000000e+01,1.389829439899477881e-01
1.400000000000000000e+01,1.389829422867087105e-01
1.500000000000000000e+01,1.389829399790121489e-01
1.600000000000000000e+01,1.389829368992877012e-01
1.700000000000000000e+01,1.389829328447201862e-01
1.800000000000000000e+01,1.389829275716981949e-01
1.900000000000000000e+01,1.389829207897735897e-01
2.000000000000000000e+01,1.389829121551180435e-01
2.100000000000000000e+01,1.389829012628593374e-01
2.200000000000000000e+01,1.389828876390443446e-01
2.300000000000000000e+01,1.389828707316368428e-01
2.400000000000000000e+01,1.389828499006673379e-01
2.500000000000000000e+01,1.389828244078413488e-01
2.600000000000000000e+01,1.389827934046003466e-01
2.700000000000000000e+01,1.389827559191668394e-01
2.800000000000000000e+01,1.389827108446728410e-01
2.900000000000000000e+01,1.389826569248968358e-01
3.000000000000000000e+01,1.389825927388468607e-01
3.100000000000000000e+01,1.389825166860733374e-01
3.200000000000000000e+01,1.389824269695108527e-01
3.300000000000000000e+01,1.389823215797708622e-01
3.400000000000000000e+01,1.389821982786458576e-01
3.500000000000000000e+01,1.389820545805658392e-01
3.600000000000000000e+01,1.389818877342408610e-01
3.700000000000000000e+01,1.389816947018208404e-01
3.800000000000000000e+01,1.389814721391558483e-01
3.900000000000000000e+01,1.389812163726608374e-01
4.000000000000000000e+01,1.389809233770958607e-01
4.100000000000000000e+01,1.389805887534708573e-01
4.200000000000000000e+01,1.389802077006058456e-01
4.300000000000000000e+01,1.389797749909958413e-01
4.400000000000000000e+01,1.389792849398508445e-01
4.500000000000000000e+01,1.389787313850408546e-01
4.600000000000000000e+01,1.389781076464558507e-01
4.700000000000000000e+01,1.389774065077508391e-01
4.800000000000000000e+01,1.389766201896058539e-01
4.900000000000000000e+01,1.389757402872208447e-01
5.000000000000000000e+01,1.389747577730208461e-01
5.100000000000000000e+01,1.389736629501708565e-01
5.200000000000000000e+01,1.389724454208208504e-01
5.300000000000000000e+01,1.389710940922708471e-01
5.400000000000000000e+01,1.389695970789208423e-01
5.500000000000000000e+01,1.389679416587708549e-01
5.600000000000000000e+01,1.389661143573708568e-01
5.700000000000000000e+01,1.389641008263708399e-01
5.800000000000000000e+01,1.389618857432708410e-01
5.900000000000000000e+01,1.389594530060708488e-01
6.000000000000000000e+01,1.389567855518708539e-01
6.100000000000000000e+01,1.389538651659708579e-01
6.200000000000000000e+01,1.389506728979708616e-01
6.300000000000000000e+01,1.389471887872208433e-01
6.400000000000000000e+01,1.389433915777708584e-01
6.500000000000000000e+01,1.389392593243708451e-01
6.600000000000000000e+01,1.389347689551708454e-01
6.700000000000000000e+01,1.389298960050708576e-01
6.800000000000000000e+01,1.389246156019208478e-01
6.900000000000000000e+01,1.389189016167708401e-01
7.000000000000000000e+01,1.389127262869208623e-01
7.100000000000000000e+01,1.389060618450208562e-01
7.200000000000000000e+01,1.388988793499708607e-01
7.300000000000000000e+01,1.388911479620208445e-01
7.400000000000000000e+01,1.388828374211208416e-01
7.500000000000000000e+01,1.388739163038708591e-01
