s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8335687E-001
 1.1000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6304342E-003,-2.4723147E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6304342E-003, 0.0000000E+000, 7.0804251E-018,-5.8335687E-001
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4503175E-002,-2.6228880E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4503175E-002, 0.0000000E+000, 6.4306015E-015,-5.8335687E-001
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0370248E-002,-2.9794121E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0370248E-002, 0.0000000E+000, 6.2363155E-013,-5.8335687E-001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5349136E-002,-9.5302839E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5349136E-002, 0.0000000E+000, 1.7294245E-011,-5.8335687E-001
 5.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9757759E-002,-1.6088624E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9757758E-002, 0.0000000E+000, 2.5344107E-010,-5.8335687E-001
 6.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3602601E-002,-1.4181117E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3602587E-002, 0.0000000E+000, 1.9841880E-009,-5.8335687E-001
 7.0999999E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6866805E-002,-8.1153054E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6866724E-002, 0.0000000E+000, 1.0237728E-008,-5.8335687E-001
 8.1000004E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9841134E-002,-3.5784026E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9840776E-002, 0.0000000E+000, 4.1250513E-008,-5.8335687E-001
