s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 0.0000000E+000, 8.0000004E-003, 2.5000000E+001, 2.5000000E+001
 1.0000000E+000, 8.0000004E-003, 2.4999975E+001, 2.5000000E+001
 2.0000000E+000, 8.0000004E-003, 3.2610897E+001, 2.5000000E+001
 3.0000000E+000, 8.0000004E-003, 3.6919678E+001, 2.5000000E+001
 4.0000000E+000, 8.0000004E-003, 4.0436245E+001, 2.5000000E+001
 5.0000000E+000, 8.0000004E-003, 4.3381996E+001, 2.5000000E+001
 6.0000000E+000, 8.0000004E-003, 4.5977932E+001, 2.5000000E+001
 7.0000000E+000, 8.0000004E-003, 4.8311287E+001, 2.5000000E+001
 8.0000000E+000, 8.0000004E-003, 5.0445362E+001, 2.5000000E+001
 9.0000000E+000, 8.0000004E-003, 5.2419437E+001, 2.5000004E+001
 1.0000000E+001, 8.0000004E-003, 5.4262115E+001, 2.5000010E+001
 1.1000000E+001, 8.0000004E-003, 5.5994213E+001, 2.5000029E+001
 1.2000000E+001, 8.0000004E-003, 5.7631599E+001, 2.5000069E+001
 1.3000000E+001, 8.0000004E-003, 5.9186699E+001, 2.5000154E+001
 1.4000000E+001, 8.0000004E-003, 6.0669498E+001, 2.5000322E+001
 1.5000000E+001, 8.0000004E-003, 6.2088009E+001, 2.5000622E+001
 1.6000000E+001, 8.0000004E-003, 6.3448940E+001, 2.5001125E+001
 1.7000000E+001, 8.0000004E-003, 6.4757973E+001, 2.5001930E+001
 1.8000000E+001, 8.0000004E-003, 6.6019760E+001, 2.5003155E+001
 1.9000000E+001, 8.0000004E-003, 6.7238411E+001, 2.5004938E+001
 2.0000000E+001, 8.0000004E-003, 6.8417564E+001, 2.5007444E+001
 2.1000000E+001, 8.0000004E-003, 6.9560120E+001, 2.5010855E+001
 2.2000000E+001, 8.0000004E-003, 7.0668808E+001, 2.5015366E+001
 2.3000000E+001, 8.0000004E-003, 7.1746162E+001, 2.5021191E+001
 2.4000000E+001, 8.0000004E-003, 7.2794098E+001, 2.5028545E+001
 2.5000000E+001, 8.0000004E-003, 7.3814552E+001, 2.5037655E+001
 2.6000000E+001, 8.0000004E-003, 7.4809357E+001, 2.5048744E+001
 2.7000000E+001, 8.0000004E-003, 7.5779861E+001, 2.5062040E+001
 2.8000000E+001, 8.0000004E-003, 7.6727493E+001, 2.5077761E+001
 2.9000000E+001, 8.0000004E-003, 7.7653648E+001, 2.5096125E+001
 3.0000000E+001, 8.0000004E-003, 7.8559288E+001, 2.5117336E+001
 3.1000000E+001, 8.0000004E-003, 7.9445511E+001, 2.5141596E+001
 3.2000000E+001, 8.0000004E-003, 8.0313393E+001, 2.5169086E+001
 3.3000000E+001, 8.0000004E-003, 8.1163681E+001, 2.5199986E+001
 3.4000000E+001, 8.0000004E-003, 8.1997223E+001, 2.5234453E+001
 3.5000000E+001, 8.0000004E-003, 8.2814911E+001, 2.5272642E+001
 3.6000000E+001, 8.0000004E-003, 8.3617271E+001, 2.5314688E+001
 3.7000000E+001, 8.0000004E-003, 8.4405006E+001, 2.5360716E+001
 3.8000000E+001, 8.0000004E-003, 8.5178833E+001, 2.5410835E+001
 3.9000000E+001, 8.0000004E-003, 8.5939163E+001, 2.5465147E+001
 4.0000000E+001, 8.0000004E-003, 8.6686577E+001, 2.5523737E+001
 4.1000000E+001, 8.0000004E-003, 8.7421661E+001, 2.5586681E+001
 4.2000000E+001, 8.0000004E-003, 8.8144753E+001, 2.5654043E+001
 4.3000000E+001, 8.0000004E-003, 8.8856331E+001, 2.5725878E+001
 4.4000000E+001, 8.0000004E-003, 8.9556892E+001, 2.5802225E+001
 4.5000000E+001, 8.0000004E-003, 9.0246704E+001, 2.5883121E+001
 4.6000000E+001, 8.0000004E-003, 9.0926170E+001, 2.5968592E+001
 4.7000000E+001, 8.0000004E-003, 9.1595711E+001, 2.6058653E+001
 4.8000000E+001, 8.0000004E-003, 9.2255547E+001, 2.6153311E+001
 4.9000000E+001, 8.0000004E-003, 9.2906029E+001, 2.6252569E+001
 5.0000000E+001, 8.0000004E-003, 9.3547546E+001, 2.6356421E+001
 5.1000000E+001, 8.0000004E-003, 9.4180237E+001, 2.6464853E+001
 5.2000000E+001, 8.0000004E-003, 9.4804413E+001, 2.6577852E+001
 5.3000000E+001, 8.0000004E-003, 9.5420410E+001, 2.6695393E+001
 5.4000000E+001, 8.0000004E-003, 9.6028358E+001, 2.6817448E+001
 5.5000000E+001, 8.0000004E-003, 9.6628517E+001, 2.6943983E+001
 5.6000000E+001, 8.0000004E-003, 9.7221184E+001, 2.7074966E+001
 5.7000000E+001, 8.0000004E-003, 9.7806465E+001, 2.7210354E+001
 5.8000000E+001, 8.0000004E-003, 9.8384583E+001, 2.7350105E+001
 5.9000000E+001, 8.0000004E-003, 9.8955818E+001, 2.7494173E+001
 6.0000000E+001, 8.0000004E-003, 9.9520248E+001, 2.7642511E+001
 6.1000000E+001, 8.0000004E-003, 1.0007807E+002, 2.7795065E+001
 6.2000000E+001, 8.0000004E-003, 1.0062954E+002, 2.7951782E+001
 6.3000000E+001, 8.0000004E-003, 1.0117471E+002, 2.8112610E+001
 6.4000000E+001, 8.0000004E-003, 1.0171378E+002, 2.8277491E+001
 6.5000000E+001, 8.0000004E-003, 1.0224697E+002, 2.8446365E+001
 6.6000000E+001, 8.0000004E-003, 1.0277433E+002, 2.8619177E+001
 6.7000000E+001, 8.0000004E-003, 1.0329601E+002, 2.8795864E+001
 6.8000000E+001, 8.0000004E-003, 1.0381223E+002, 2.8976366E+001
 6.9000000E+001, 8.0000004E-003, 1.0432303E+002, 2.9160620E+001
 7.0000000E+001, 8.0000004E-003, 1.0482855E+002, 2.9348566E+001
 7.1000000E+001, 8.0000004E-003, 1.0532899E+002, 2.9540140E+001
 7.2000000E+001, 8.0000004E-003, 1.0582436E+002, 2.9735281E+001
 7.3000000E+001, 8.0000004E-003, 1.0631480E+002, 2.9933926E+001
 7.4000000E+001, 8.0000004E-003, 1.0680051E+002, 3.0136009E+001
 7.5000000E+001, 8.0000004E-003, 1.0728149E+002, 3.0341471E+001
 7.6000000E+001, 8.0000004E-003, 1.0775786E+002, 3.0550247E+001
 7.7000000E+001, 8.0000004E-003, 1.0822979E+002, 3.0762276E+001
 7.8000000E+001, 8.0000004E-003, 1.0869730E+002, 3.0977493E+001
 7.9000000E+001, 8.0000004E-003, 1.0916051E+002, 3.1195841E+001
 8.0000000E+001, 8.0000004E-003, 1.0961957E+002, 3.1417253E+001
 8.1000000E+001, 8.0000004E-003, 1.1007448E+002, 3.1641674E+001
 8.2000000E+001, 8.0000004E-003, 1.1052534E+002, 3.1869038E+001
 8.3000000E+001, 8.0000004E-003, 1.1097232E+002, 3.2099289E+001
 8.4000000E+001, 8.0000004E-003, 1.1141541E+002, 3.2332363E+001
 8.5000000E+001, 8.0000004E-003, 1.1185469E+002, 3.2568211E+001
 8.6000000E+001, 8.0000004E-003, 1.1229032E+002, 3.2806763E+001
 8.7000000E+001, 8.0000004E-003, 1.1272228E+002, 3.3047966E+001
 8.8000000E+001, 8.0000004E-003, 1.1315068E+002, 3.3291767E+001
 8.9000000E+001, 8.0000004E-003, 1.1357564E+002, 3.3538109E+001
 9.0000000E+001, 8.0000004E-003, 1.1399715E+002, 3.3786934E+001
 9.1000000E+001, 8.0000004E-003, 1.1441531E+002, 3.4038189E+001
 9.2000000E+001, 8.0000004E-003, 1.1483022E+002, 3.4291821E+001
 9.3000000E+001, 8.0000004E-003, 1.1524187E+002, 3.4547775E+001
 9.4000000E+001, 8.0000004E-003, 1.1565038E+002, 3.4806000E+001
 9.5000000E+001, 8.0000004E-003, 1.1605583E+002, 3.5066448E+001
 9.6000000E+001, 8.0000004E-003, 1.1645822E+002, 3.5329063E+001
 9.7000000E+001, 8.0000004E-003, 1.1685762E+002, 3.5593796E+001
 9.8000000E+001, 8.0000004E-003, 1.1725416E+002, 3.5860603E+001
 9.9000000E+001, 8.0000004E-003, 1.1764780E+002, 3.6129429E+001
 1.0000000E+002, 8.0000004E-003, 1.1803861E+002, 3.6400234E+001
 1.0100000E+002, 8.0000004E-003, 1.1842672E+002, 3.6672966E+001
 1.0200000E+002, 8.0000004E-003, 1.1881209E+002, 3.6947578E+001
 1.0300000E+002, 8.0000004E-003, 1.1919479E+002, 3.7224030E+001
 1.0400000E+002, 8.0000004E-003, 1.1957494E+002, 3.7502277E+001
 1.0500000E+002, 8.0000004E-003, 1.1995249E+002, 3.7782272E+001
 1.0600000E+002, 8.0000004E-003, 1.2032753E+002, 3.8063976E+001
 1.0700000E+002, 8.0000004E-003, 1.2070014E+002, 3.8347343E+001
 1.0800000E+002, 8.0000004E-003, 1.2107030E+002, 3.8632339E+001
 1.0900000E+002, 8.0000004E-003, 1.2143808E+002, 3.8918915E+001
 1.1000000E+002, 8.0000004E-003, 1.2180357E+002, 3.9207035E+001
 1.1100000E+002, 8.0000004E-003, 1.2216676E+002, 3.9496662E+001
 1.1200000E+002, 8.0000004E-003, 1.2252766E+002, 3.9787758E+001
 1.1300000E+002, 8.0000004E-003, 1.2288642E+002, 4.0080280E+001
 1.1400000E+002, 8.0000004E-003, 1.2324297E+002, 4.0374195E+001
 1.1500000E+002, 8.0000004E-003, 1.2359739E+002, 4.0669468E+001
 1.1600000E+002, 8.0000004E-003, 1.2394975E+002, 4.0966061E+001
 1.1700000E+002, 8.0000004E-003, 1.2430002E+002, 4.1263943E+001
 1.1800000E+002, 8.0000004E-003, 1.2464826E+002, 4.1563076E+001
 1.1900000E+002, 8.0000004E-003, 1.2499456E+002, 4.1863426E+001
 1.2000000E+002, 8.0000004E-003, 1.2533888E+002, 4.2164963E+001
 1.2100000E+002, 8.0000004E-003, 1.2568127E+002, 4.2467655E+001
 1.2200000E+002, 8.0000004E-003, 1.2602181E+002, 4.2771465E+001
 1.2300000E+002, 8.0000004E-003, 1.2636047E+002, 4.3076370E+001
 1.2400000E+002, 8.0000004E-003, 1.2669731E+002, 4.3382336E+001
 1.2500000E+002, 8.0000004E-003, 1.2703240E+002, 4.3689335E+001
 1.2600000E+002, 8.0000004E-003, 1.2736570E+002, 4.3997334E+001
 1.2700000E+002, 8.0000004E-003, 1.2769727E+002, 4.4306305E+001
 1.2800000E+002, 8.0000004E-003, 1.2802718E+002, 4.4616222E+001
 1.2900000E+002, 8.0000004E-003, 1.2835538E+002, 4.4927059E+001
 1.3000000E+002, 8.0000004E-003, 1.2868192E+002, 4.5238789E+001
 1.3100000E+002, 8.0000004E-003, 1.2900688E+002, 4.5551380E+001
 1.3200000E+002, 8.0000004E-003, 1.2933023E+002, 4.5864811E+001
 1.3300000E+002, 8.0000004E-003, 1.2965201E+002, 4.6179054E+001
 1.3400000E+002, 8.0000004E-003, 1.2997229E+002, 4.6494091E+001
 1.3500000E+002, 8.0000004E-003, 1.3029102E+002, 4.6809887E+001
 1.3600000E+002, 8.0000004E-003, 1.3060825E+002, 4.7126427E+001
 1.3700000E+002, 8.0000004E-003, 1.3092406E+002, 4.7443684E+001
 1.3800000E+002, 8.0000004E-003, 1.3123839E+002, 4.7761635E+001
 1.3900000E+002, 8.0000004E-003, 1.3155128E+002, 4.8080257E+001
 1.4000000E+002, 8.0000004E-003, 1.3186284E+002, 4.8399529E+001
 1.4100000E+002, 8.0000004E-003, 1.3217299E+002, 4.8719429E+001
 1.4200000E+002, 8.0000004E-003, 1.3248177E+002, 4.9039940E+001
 1.4300000E+002, 8.0000004E-003, 1.3278926E+002, 4.9361034E+001
 1.4400000E+002, 8.0000004E-003, 1.3309541E+002, 4.9682693E+001
 1.4500000E+002, 8.0000004E-003, 1.3340027E+002, 5.0004902E+001
 1.4600000E+002, 8.0000004E-003, 1.3370389E+002, 5.0327641E+001
 1.4700000E+002, 8.0000004E-003, 1.3400621E+002, 5.0650883E+001
 1.4800000E+002, 8.0000004E-003, 1.3430731E+002, 5.0974617E+001
 1.4900000E+002, 8.0000004E-003, 1.3460722E+002, 5.1298820E+001
 1.5000000E+002, 8.0000004E-003, 1.3490593E+002, 5.1623478E+001
 1.5100000E+002, 8.0000004E-003, 1.3520343E+002, 5.1948574E+001
 1.5200000E+002, 8.0000004E-003, 1.3549980E+002, 5.2274086E+001
 1.5300000E+002, 8.0000004E-003, 1.3579501E+002, 5.2599998E+001
 1.5400000E+002, 8.0000004E-003, 1.3608908E+002, 5.2926300E+001
 1.5500000E+002, 8.0000004E-003, 1.3638208E+002, 5.3252972E+001
 1.5600000E+002, 8.0000004E-003, 1.3667397E+002, 5.3579994E+001
 1.5700000E+002, 8.0000004E-003, 1.3696475E+002, 5.3907356E+001
 1.5800000E+002, 8.0000004E-003, 1.3725453E+002, 5.4235039E+001
 1.5900000E+002, 8.0000004E-003, 1.3754321E+002, 5.4563034E+001
 1.6000000E+002, 8.0000004E-003, 1.3783087E+002, 5.4891319E+001
 1.6100000E+002, 8.0000004E-003, 1.3811754E+002, 5.5219883E+001
 1.6200000E+002, 8.0000004E-003, 1.3840317E+002, 5.5548717E+001
 1.6300000E+002, 8.0000004E-003, 1.3868781E+002, 5.5877800E+001
 1.6400000E+002, 8.0000004E-003, 1.3897151E+002, 5.6207119E+001
 1.6500000E+002, 8.0000004E-003, 1.3925421E+002, 5.6536667E+001
 1.6600000E+002, 8.0000004E-003, 1.3953595E+002, 5.6866428E+001
 1.6700000E+002, 8.0000004E-003, 1.3981679E+002, 5.7196388E+001
 1.6800000E+002, 8.0000004E-003, 1.4009668E+002, 5.7526535E+001
 1.6900000E+002, 8.0000004E-003, 1.4037564E+002, 5.7856857E+001
 1.7000000E+002, 8.0000004E-003, 1.4065375E+002, 5.8187344E+001
 1.7100000E+002, 8.0000004E-003, 1.4093095E+002, 5.8517986E+001
 1.7200000E+002, 8.0000004E-003, 1.4120724E+002, 5.8848766E+001
 1.7300000E+002, 8.0000004E-003, 1.4148273E+002, 5.9179676E+001
 1.7400000E+002, 8.0000004E-003, 1.4175732E+002, 5.9510708E+001
 1.7500000E+002, 8.0000004E-003, 1.4203107E+002, 5.9841846E+001
 1.7600000E+002, 8.0000004E-003, 1.4230402E+002, 6.0173084E+001
 1.7700000E+002, 8.0000004E-003, 1.4257611E+002, 6.0504410E+001
 1.7800000E+002, 8.0000004E-003, 1.4284738E+002, 6.0835815E+001
 1.7900000E+002, 8.0000004E-003, 1.4311789E+002, 6.1167286E+001
 1.8000000E+002, 8.0000004E-003, 1.4338757E+002, 6.1498817E+001
 1.8100000E+002, 8.0000004E-003, 1.4365646E+002, 6.1830399E+001
 1.8200000E+002, 8.0000004E-003, 1.4392461E+002, 6.2162022E+001
 1.8300000E+002, 8.0000004E-003, 1.4419197E+002, 6.2493675E+001
 1.8400000E+002, 8.0000004E-003, 1.4445857E+002, 6.2825352E+001
 1.8500000E+002, 8.0000004E-003, 1.4472447E+002, 6.3157040E+001
 1.8600000E+002, 8.0000004E-003, 1.4498959E+002, 6.3488739E+001
 1.8700000E+002, 8.0000004E-003, 1.4525398E+002, 6.3820431E+001
 1.8800000E+002, 8.0000004E-003, 1.4551768E+002, 6.4152115E+001
 1.8900000E+002, 8.0000004E-003, 1.4578065E+002, 6.4483780E+001
 1.9000000E+002, 8.0000004E-003, 1.4604291E+002, 6.4815422E+001
 1.9100000E+002, 8.0000004E-003, 1.4630450E+002, 6.5147026E+001
 1.9200000E+002, 8.0000004E-003, 1.4656537E+002, 6.5478592E+001
 1.9300000E+002, 8.0000004E-003, 1.4682556E+002, 6.5810104E+001
 1.9400000E+002, 8.0000004E-003, 1.4708510E+002, 6.6141563E+001
 1.9500000E+002, 8.0000004E-003, 1.4734396E+002, 6.6472969E+001
 1.9600000E+002, 8.0000004E-003, 1.4760214E+002, 6.6804298E+001
 1.9700000E+002, 8.0000004E-003, 1.4785970E+002, 6.7135551E+001
 1.9800000E+002, 8.0000004E-003, 1.4811659E+002, 6.7466728E+001
 1.9900000E+002, 8.0000004E-003, 1.4837283E+002, 6.7797806E+001
 2.0000000E+002, 8.0000004E-003, 1.4862848E+002, 6.8128799E+001
 2.0100000E+002, 8.0000004E-003, 1.4888348E+002, 6.8459686E+001
 2.0200000E+002, 8.0000004E-003, 1.4913785E+002, 6.8790474E+001
 2.0300000E+002, 8.0000004E-003, 1.4939163E+002, 6.9121140E+001
 2.0400000E+002, 8.0000004E-003, 1.4964479E+002, 6.9451691E+001
 2.0500000E+002, 8.0000004E-003, 1.4989734E+002, 6.9782120E+001
 2.0600000E+002, 8.0000004E-003, 1.5014932E+002, 7.0112419E+001
 2.0700000E+002, 8.0000004E-003, 1.5040070E+002, 7.0442589E+001
 2.0800000E+002, 8.0000004E-003, 1.5065146E+002, 7.0772614E+001
 2.0900000E+002, 8.0000004E-003, 1.5090169E+002, 7.1102493E+001
 2.1000000E+002, 8.0000004E-003, 1.5115132E+002, 7.1432220E+001
 2.1100000E+002, 8.0000004E-003, 1.5140038E+002, 7.1761795E+001
 2.1200000E+002, 8.0000004E-003, 1.5164890E+002, 7.2091209E+001
 2.1300000E+002, 8.0000004E-003, 1.5189682E+002, 7.2420464E+001
 2.1400000E+002, 8.0000004E-003, 1.5214420E+002, 7.2749542E+001
 2.1500000E+002, 8.0000004E-003, 1.5239107E+002, 7.3078453E+001
 2.1600000E+002, 8.0000004E-003, 1.5263736E+002, 7.3407188E+001
 2.1700000E+002, 8.0000004E-003, 1.5288310E+002, 7.3735733E+001
 2.1800000E+002, 8.0000004E-003, 1.5312836E+002, 7.4064102E+001
 2.1900000E+002, 8.0000004E-003, 1.5337305E+002, 7.4392273E+001
 2.2000000E+002, 8.0000004E-003, 1.5361720E+002, 7.4720253E+001
 2.2100000E+002, 8.0000004E-003, 1.5386087E+002, 7.5048027E+001
 2.2200000E+002, 8.0000004E-003, 1.5410399E+002, 7.5375610E+001
 2.2300000E+002, 8.0000004E-003, 1.5434660E+002, 7.5702980E+001
 2.2400000E+002, 8.0000004E-003, 1.5458873E+002, 7.6030144E+001
 2.2500000E+002, 8.0000004E-003, 1.5483032E+002, 7.6357094E+001
 2.2600000E+002, 8.0000004E-003, 1.5507141E+002, 7.6683823E+001
 2.2700000E+002, 8.0000004E-003, 1.5531204E+002, 7.7010338E+001
 2.2800000E+002, 8.0000004E-003, 1.5555214E+002, 7.7336624E+001
