s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 0.0000000E+000, 8.0000004E-003, 2.5000000E+001, 2.5000000E+001
 1.0000000E+000, 8.0000004E-003, 2.4999975E+001, 2.5000000E+001
 2.0000000E+000, 8.0000004E-003, 3.2219799E+001, 2.5000000E+001
 3.0000000E+000, 8.0000004E-003, 3.6460060E+001, 2.5000000E+001
 4.0000000E+000, 8.0000004E-003, 3.9922798E+001, 2.5000000E+001
 5.0000000E+000, 8.0000004E-003, 4.2839333E+001, 2.5000000E+001
 6.0000000E+000, 8.0000004E-003, 4.5414009E+001, 2.5000000E+001
 7.0000000E+000, 8.0000004E-003, 4.7732349E+001, 2.5000000E+001
 8.0000000E+000, 8.0000004E-003, 4.9855042E+001, 2.5000002E+001
 9.0000000E+000, 8.0000004E-003, 5.1820389E+001, 2.5000004E+001
 1.0000000E+001, 8.0000004E-003, 5.3656223E+001, 2.5000011E+001
 1.1000000E+001, 8.0000004E-003, 5.5382896E+001, 2.5000032E+001
 1.2000000E+001, 8.0000004E-003, 5.7015953E+001, 2.5000078E+001
 1.3000000E+001, 8.0000004E-003, 5.8567585E+001, 2.5000174E+001
 1.4000000E+001, 8.0000004E-003, 6.0047611E+001, 2.5000357E+001
 1.5000000E+001, 8.0000004E-003, 6.1463921E+001, 2.5000681E+001
 1.6000000E+001, 8.0000004E-003, 6.2823120E+001, 2.5001226E+001
 1.7000000E+001, 8.0000004E-003, 6.4130814E+001, 2.5002090E+001
 1.8000000E+001, 8.0000004E-003, 6.5391594E+001, 2.5003397E+001
 1.9000000E+001, 8.0000004E-003, 6.6609520E+001, 2.5005291E+001
 2.0000000E+001, 8.0000004E-003, 6.7788193E+001, 2.5007942E+001
 2.1000000E+001, 8.0000004E-003, 6.8930481E+001, 2.5011536E+001
 2.2000000E+001, 8.0000004E-003, 7.0039093E+001, 2.5016272E+001
 2.3000000E+001, 8.0000004E-003, 7.1116516E+001, 2.5022367E+001
 2.4000000E+001, 8.0000004E-003, 7.2164673E+001, 2.5030045E+001
 2.5000000E+001, 8.0000004E-003, 7.3185471E+001, 2.5039530E+001
 2.6000000E+001, 8.0000004E-003, 7.4180733E+001, 2.5051050E+001
 2.7000000E+001, 8.0000004E-003, 7.5151794E+001, 2.5064835E+001
 2.8000000E+001, 8.0000004E-003, 7.6100082E+001, 2.5081104E+001
 2.9000000E+001, 8.0000004E-003, 7.7026955E+001, 2.5100077E+001
 3.0000000E+001, 8.0000004E-003, 7.7933403E+001, 2.5121958E+001
 3.1000000E+001, 8.0000004E-003, 7.8820496E+001, 2.5146946E+001
 3.2000000E+001, 8.0000004E-003, 7.9689308E+001, 2.5175226E+001
 3.3000000E+001, 8.0000004E-003, 8.0540573E+001, 2.5206974E+001
 3.4000000E+001, 8.0000004E-003, 8.1375145E+001, 2.5242353E+001
 3.5000000E+001, 8.0000004E-003, 8.2193909E+001, 2.5281509E+001
 3.6000000E+001, 8.0000004E-003, 8.2997383E+001, 2.5324581E+001
 3.7000000E+001, 8.0000004E-003, 8.3786263E+001, 2.5371689E+001
 3.8000000E+001, 8.0000004E-003, 8.4561272E+001, 2.5422943E+001
 3.9000000E+001, 8.0000004E-003, 8.5322823E+001, 2.5478441E+001
 4.0000000E+001, 8.0000004E-003, 8.6071480E+001, 2.5538269E+001
 4.1000000E+001, 8.0000004E-003, 8.6807831E+001, 2.5602501E+001
 4.2000000E+001, 8.0000004E-003, 8.7532219E+001, 2.5671198E+001
 4.3000000E+001, 8.0000004E-003, 8.8245110E+001, 2.5744411E+001
 4.4000000E+001, 8.0000004E-003, 8.8947006E+001, 2.5822184E+001
 4.5000000E+001, 8.0000004E-003, 8.9638176E+001, 2.5904547E+001
 4.6000000E+001, 8.0000004E-003, 9.0319016E+001, 2.5991522E+001
 4.7000000E+001, 8.0000004E-003, 9.0989937E+001, 2.6083126E+001
 4.8000000E+001, 8.0000004E-003, 9.1651176E+001, 2.6179365E+001
 4.9000000E+001, 8.0000004E-003, 9.2303070E+001, 2.6280237E+001
 5.0000000E+001, 8.0000004E-003, 9.2946007E+001, 2.6385736E+001
 5.1000000E+001, 8.0000004E-003, 9.3580139E+001, 2.6495850E+001
 5.2000000E+001, 8.0000004E-003, 9.4205765E+001, 2.6610558E+001
 5.3000000E+001, 8.0000004E-003, 9.4823219E+001, 2.6729836E+001
 5.4000000E+001, 8.0000004E-003, 9.5432632E+001, 2.6853655E+001
 5.5000000E+001, 8.0000004E-003, 9.6034264E+001, 2.6981981E+001
 5.6000000E+001, 8.0000004E-003, 9.6628403E+001, 2.7114779E+001
 5.7000000E+001, 8.0000004E-003, 9.7215172E+001, 2.7252003E+001
 5.8000000E+001, 8.0000004E-003, 9.7794792E+001, 2.7393612E+001
 5.9000000E+001, 8.0000004E-003, 9.8367523E+001, 2.7539560E+001
 6.0000000E+001, 8.0000004E-003, 9.8933456E+001, 2.7689793E+001
 6.1000000E+001, 8.0000004E-003, 9.9492798E+001, 2.7844263E+001
 6.2000000E+001, 8.0000004E-003, 1.0004577E+002, 2.8002913E+001
 6.3000000E+001, 8.0000004E-003, 1.0059247E+002, 2.8165688E+001
 6.4000000E+001, 8.0000004E-003, 1.0113306E+002, 2.8332529E+001
 6.5000000E+001, 8.0000004E-003, 1.0166778E+002, 2.8503380E+001
 6.6000000E+001, 8.0000004E-003, 1.0219666E+002, 2.8678181E+001
 6.7000000E+001, 8.0000004E-003, 1.0271988E+002, 2.8856867E+001
 6.8000000E+001, 8.0000004E-003, 1.0323764E+002, 2.9039379E+001
 6.9000000E+001, 8.0000004E-003, 1.0374998E+002, 2.9225657E+001
 7.0000000E+001, 8.0000004E-003, 1.0425703E+002, 2.9415634E+001
 7.1000000E+001, 8.0000004E-003, 1.0475901E+002, 2.9609247E+001
 7.2000000E+001, 8.0000004E-003, 1.0525594E+002, 2.9806437E+001
 7.3000000E+001, 8.0000004E-003, 1.0574793E+002, 3.0007135E+001
 7.4000000E+001, 8.0000004E-003, 1.0623519E+002, 3.0211283E+001
 7.5000000E+001, 8.0000004E-003, 1.0671772E+002, 3.0418812E+001
 7.6000000E+001, 8.0000004E-003, 1.0719566E+002, 3.0629663E+001
 7.7000000E+001, 8.0000004E-003, 1.0766914E+002, 3.0843771E+001
 7.8000000E+001, 8.0000004E-003, 1.0813821E+002, 3.1061073E+001
 7.9000000E+001, 8.0000004E-003, 1.0860298E+002, 3.1281509E+001
 8.0000000E+001, 8.0000004E-003, 1.0906361E+002, 3.1505014E+001
 8.1000000E+001, 8.0000004E-003, 1.0952008E+002, 3.1731529E+001
 8.2000000E+001, 8.0000004E-003, 1.0997251E+002, 3.1960991E+001
 8.3000000E+001, 8.0000004E-003, 1.1042106E+002, 3.2193344E+001
 8.4000000E+001, 8.0000004E-003, 1.1086572E+002, 3.2428520E+001
 8.5000000E+001, 8.0000004E-003, 1.1130657E+002, 3.2666470E+001
 8.6000000E+001, 8.0000004E-003, 1.1174377E+002, 3.2907127E+001
 8.7000000E+001, 8.0000004E-003, 1.1217732E+002, 3.3150440E+001
 8.8000000E+001, 8.0000004E-003, 1.1260730E+002, 3.3396351E+001
 8.9000000E+001, 8.0000004E-003, 1.1303384E+002, 3.3644798E+001
 9.0000000E+001, 8.0000004E-003, 1.1345693E+002, 3.3895729E+001
 9.1000000E+001, 8.0000004E-003, 1.1387666E+002, 3.4149094E+001
 9.2000000E+001, 8.0000004E-003, 1.1429316E+002, 3.4404831E+001
 9.3000000E+001, 8.0000004E-003, 1.1470641E+002, 3.4662891E+001
 9.4000000E+001, 8.0000004E-003, 1.1511649E+002, 3.4923225E+001
 9.5000000E+001, 8.0000004E-003, 1.1552354E+002, 3.5185776E+001
 9.6000000E+001, 8.0000004E-003, 1.1592753E+002, 3.5450493E+001
 9.7000000E+001, 8.0000004E-003, 1.1632853E+002, 3.5717331E+001
 9.8000000E+001, 8.0000004E-003, 1.1672665E+002, 3.5986237E+001
 9.9000000E+001, 8.0000004E-003, 1.1712189E+002, 3.6257164E+001
 1.0000000E+002, 8.0000004E-003, 1.1751431E+002, 3.6530064E+001
 1.0100000E+002, 8.0000004E-003, 1.1790402E+002, 3.6804893E+001
 1.0200000E+002, 8.0000004E-003, 1.1829099E+002, 3.7081600E+001
 1.0300000E+002, 8.0000004E-003, 1.1867531E+002, 3.7360142E+001
 1.0400000E+002, 8.0000004E-003, 1.1905706E+002, 3.7640476E+001
 1.0500000E+002, 8.0000004E-003, 1.1943623E+002, 3.7922558E+001
 1.0600000E+002, 8.0000004E-003, 1.1981287E+002, 3.8206345E+001
 1.0700000E+002, 8.0000004E-003, 1.2018710E+002, 3.8491791E+001
 1.0800000E+002, 8.0000004E-003, 1.2055888E+002, 3.8778862E+001
 1.0900000E+002, 8.0000004E-003, 1.2092828E+002, 3.9067513E+001
 1.1000000E+002, 8.0000004E-003, 1.2129539E+002, 3.9357708E+001
 1.1100000E+002, 8.0000004E-003, 1.2166019E+002, 3.9649403E+001
 1.1200000E+002, 8.0000004E-003, 1.2202273E+002, 3.9942558E+001
 1.1300000E+002, 8.0000004E-003, 1.2238311E+002, 4.0237144E+001
 1.1400000E+002, 8.0000004E-003, 1.2274129E+002, 4.0533119E+001
 1.1500000E+002, 8.0000004E-003, 1.2309734E+002, 4.0830448E+001
 1.1600000E+002, 8.0000004E-003, 1.2345132E+002, 4.1129093E+001
 1.1700000E+002, 8.0000004E-003, 1.2380324E+002, 4.1429020E+001
 1.1800000E+002, 8.0000004E-003, 1.2415312E+002, 4.1730194E+001
 1.1900000E+002, 8.0000004E-003, 1.2450105E+002, 4.2032589E+001
 1.2000000E+002, 8.0000004E-003, 1.2484702E+002, 4.2336163E+001
 1.2100000E+002, 8.0000004E-003, 1.2519106E+002, 4.2640884E+001
 1.2200000E+002, 8.0000004E-003, 1.2553324E+002, 4.2946728E+001
 1.2300000E+002, 8.0000004E-003, 1.2587355E+002, 4.3253658E+001
 1.2400000E+002, 8.0000004E-003, 1.2621204E+002, 4.3561646E+001
 1.2500000E+002, 8.0000004E-003, 1.2654877E+002, 4.3870663E+001
 1.2600000E+002, 8.0000004E-003, 1.2688374E+002, 4.4180676E+001
 1.2700000E+002, 8.0000004E-003, 1.2721695E+002, 4.4491661E+001
 1.2800000E+002, 8.0000004E-003, 1.2754852E+002, 4.4803585E+001
 1.2900000E+002, 8.0000004E-003, 1.2787838E+002, 4.5116425E+001
 1.3000000E+002, 8.0000004E-003, 1.2820659E+002, 4.5430149E+001
 1.3100000E+002, 8.0000004E-003, 1.2853322E+002, 4.5744736E+001
 1.3200000E+002, 8.0000004E-003, 1.2885825E+002, 4.6060162E+001
 1.3300000E+002, 8.0000004E-003, 1.2918169E+002, 4.6376392E+001
 1.3400000E+002, 8.0000004E-003, 1.2950363E+002, 4.6693409E+001
 1.3500000E+002, 8.0000004E-003, 1.2982404E+002, 4.7011189E+001
 1.3600000E+002, 8.0000004E-003, 1.3014294E+002, 4.7329700E+001
 1.3700000E+002, 8.0000004E-003, 1.3046042E+002, 4.7648930E+001
 1.3800000E+002, 8.0000004E-003, 1.3077644E+002, 4.7968845E+001
 1.3900000E+002, 8.0000004E-003, 1.3109102E+002, 4.8289433E+001
 1.4000000E+002, 8.0000004E-003, 1.3140425E+002, 4.8610664E+001
 1.4100000E+002, 8.0000004E-003, 1.3171609E+002, 4.8932522E+001
 1.4200000E+002, 8.0000004E-003, 1.3202657E+002, 4.9254982E+001
 1.4300000E+002, 8.0000004E-003, 1.3233574E+002, 4.9578026E+001
 1.4400000E+002, 8.0000004E-003, 1.3264359E+002, 4.9901630E+001
 1.4500000E+002, 8.0000004E-003, 1.3295013E+002, 5.0225780E+001
 1.4600000E+002, 8.0000004E-003, 1.3325545E+002, 5.0550453E+001
 1.4700000E+002, 8.0000004E-003, 1.3355948E+002, 5.0875629E+001
 1.4800000E+002, 8.0000004E-003, 1.3386227E+002, 5.1201290E+001
 1.4900000E+002, 8.0000004E-003, 1.3416389E+002, 5.1527420E+001
 1.5000000E+002, 8.0000004E-003, 1.3446428E+002, 5.1854000E+001
 1.5100000E+002, 8.0000004E-003, 1.3476349E+002, 5.2181011E+001
 1.5200000E+002, 8.0000004E-003, 1.3506157E+002, 5.2508438E+001
 1.5300000E+002, 8.0000004E-003, 1.3535849E+002, 5.2836262E+001
 1.5400000E+002, 8.0000004E-003, 1.3565427E+002, 5.3164467E+001
 1.5500000E+002, 8.0000004E-003, 1.3594899E+002, 5.3493038E+001
 1.5600000E+002, 8.0000004E-003, 1.3624258E+002, 5.3821960E+001
 1.5700000E+002, 8.0000004E-003, 1.3653510E+002, 5.4151215E+001
 1.5800000E+002, 8.0000004E-003, 1.3682657E+002, 5.4480793E+001
 1.5900000E+002, 8.0000004E-003, 1.3711699E+002, 5.4810673E+001
 1.6000000E+002, 8.0000004E-003, 1.3740636E+002, 5.5140842E+001
 1.6100000E+002, 8.0000004E-003, 1.3769475E+002, 5.5471287E+001
 1.6200000E+002, 8.0000004E-003, 1.3798210E+002, 5.5801994E+001
 1.6300000E+002, 8.0000004E-003, 1.3826846E+002, 5.6132950E+001
 1.6400000E+002, 8.0000004E-003, 1.3855388E+002, 5.6464142E+001
 1.6500000E+002, 8.0000004E-003, 1.3883832E+002, 5.6795555E+001
 1.6600000E+002, 8.0000004E-003, 1.3912178E+002, 5.7127174E+001
 1.6700000E+002, 8.0000004E-003, 1.3940436E+002, 5.7458992E+001
 1.6800000E+002, 8.0000004E-003, 1.3968597E+002, 5.7790997E+001
 1.6900000E+002, 8.0000004E-003, 1.3996667E+002, 5.8123169E+001
 1.7000000E+002, 8.0000004E-003, 1.4024651E+002, 5.8455505E+001
 1.7100000E+002, 8.0000004E-003, 1.4052544E+002, 5.8787991E+001
 1.7200000E+002, 8.0000004E-003, 1.4080348E+002, 5.9120613E+001
 1.7300000E+002, 8.0000004E-003, 1.4108069E+002, 5.9453362E+001
 1.7400000E+002, 8.0000004E-003, 1.4135703E+002, 5.9786228E+001
 1.7500000E+002, 8.0000004E-003, 1.4163251E+002, 6.0119198E+001
 1.7600000E+002, 8.0000004E-003, 1.4190720E+002, 6.0452263E+001
 1.7700000E+002, 8.0000004E-003, 1.4218103E+002, 6.0785412E+001
 1.7800000E+002, 8.0000004E-003, 1.4245404E+002, 6.1118637E+001
 1.7900000E+002, 8.0000004E-003, 1.4272629E+002, 6.1451927E+001
 1.8000000E+002, 8.0000004E-003, 1.4299773E+002, 6.1785275E+001
 1.8100000E+002, 8.0000004E-003, 1.4326837E+002, 6.2118668E+001
 1.8200000E+002, 8.0000004E-003, 1.4353825E+002, 6.2452095E+001
 1.8300000E+002, 8.0000004E-003, 1.4380737E+002, 6.2785557E+001
 1.8400000E+002, 8.0000004E-003, 1.4407571E+002, 6.3119034E+001
 1.8500000E+002, 8.0000004E-003, 1.4434335E+002, 6.3452522E+001
 1.8600000E+002, 8.0000004E-003, 1.4461023E+002, 6.3786015E+001
 1.8700000E+002, 8.0000004E-003, 1.4487637E+002, 6.4119499E+001
 1.8800000E+002, 8.0000004E-003, 1.4514183E+002, 6.4452972E+001
 1.8900000E+002, 8.0000004E-003, 1.4540656E+002, 6.4786423E+001
 1.9000000E+002, 8.0000004E-003, 1.4567056E+002, 6.5119850E+001
 1.9100000E+002, 8.0000004E-003, 1.4593390E+002, 6.5453232E+001
 1.9200000E+002, 8.0000004E-003, 1.4619653E+002, 6.5786575E+001
 1.9300000E+002, 8.0000004E-003, 1.4645847E+002, 6.6119865E+001
 1.9400000E+002, 8.0000004E-003, 1.4671977E+002, 6.6453102E+001
 1.9500000E+002, 8.0000004E-003, 1.4698038E+002, 6.6786270E+001
 1.9600000E+002, 8.0000004E-003, 1.4724031E+002, 6.7119362E+001
 1.9700000E+002, 8.0000004E-003, 1.4749963E+002, 6.7452385E+001
 1.9800000E+002, 8.0000004E-003, 1.4775829E+002, 6.7785316E+001
 1.9900000E+002, 8.0000004E-003, 1.4801628E+002, 6.8118156E+001
 2.0000000E+002, 8.0000004E-003, 1.4827368E+002, 6.8450905E+001
 2.0100000E+002, 8.0000004E-003, 1.4853044E+002, 6.8783546E+001
 2.0200000E+002, 8.0000004E-003, 1.4878656E+002, 6.9116074E+001
 2.0300000E+002, 8.0000004E-003, 1.4904211E+002, 6.9448494E+001
 2.0400000E+002, 8.0000004E-003, 1.4929703E+002, 6.9780785E+001
 2.0500000E+002, 8.0000004E-003, 1.4955135E+002, 7.0112953E+001
 2.0600000E+002, 8.0000004E-003, 1.4980508E+002, 7.0444992E+001
 2.0700000E+002, 8.0000004E-003, 1.5005821E+002, 7.0776894E+001
 2.0800000E+002, 8.0000004E-003, 1.5031075E+002, 7.1108650E+001
 2.0900000E+002, 8.0000004E-003, 1.5056273E+002, 7.1440262E+001
 2.1000000E+002, 8.0000004E-003, 1.5081412E+002, 7.1771721E+001
 2.1100000E+002, 8.0000004E-003, 1.5106493E+002, 7.2103020E+001
 2.1200000E+002, 8.0000004E-003, 1.5131522E+002, 7.2434158E+001
 2.1300000E+002, 8.0000004E-003, 1.5156491E+002, 7.2765129E+001
 2.1400000E+002, 8.0000004E-003, 1.5181404E+002, 7.3095932E+001
 2.1500000E+002, 8.0000004E-003, 1.5206267E+002, 7.3426552E+001
 2.1600000E+002, 8.0000004E-003, 1.5231071E+002, 7.3756996E+001
 2.1700000E+002, 8.0000004E-003, 1.5255823E+002, 7.4087257E+001
 2.1800000E+002, 8.0000004E-003, 1.5280524E+002, 7.4417328E+001
 2.1900000E+002, 8.0000004E-003, 1.5305168E+002, 7.4747208E+001
 2.2000000E+002, 8.0000004E-003, 1.5329761E+002, 7.5076889E+001
 2.2100000E+002, 8.0000004E-003, 1.5354303E+002, 7.5406364E+001
 2.2200000E+002, 8.0000004E-003, 1.5378792E+002, 7.5735641E+001
 2.2300000E+002, 8.0000004E-003, 1.5403229E+002, 7.6064705E+001
 2.2400000E+002, 8.0000004E-003, 1.5427617E+002, 7.6393562E+001
 2.2500000E+002, 8.0000004E-003, 1.5451953E+002, 7.6722206E+001
 2.2600000E+002, 8.0000004E-003, 1.5476237E+002, 7.7050621E+001
 2.2700000E+002, 8.0000004E-003, 1.5500475E+002, 7.7378822E+001
 2.2800000E+002, 8.0000004E-003, 1.5524661E+002, 7.7706795E+001
