s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8335687E-001
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3706193E-010,-2.9073429E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3996928E-010, 0.0000000E+000, 1.0248254E-012,-5.8335687E-001
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0395886E-004,-2.9261357E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0395885E-004, 0.0000000E+000, 1.0248253E-012,-5.8335687E-001
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5078674E-004,-3.0679937E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5078674E-004, 0.0000000E+000, 1.0695370E-012,-5.8335687E-001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1399048E-004,-3.2424568E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1399048E-004, 0.0000000E+000, 1.1253812E-012,-5.8335687E-001
 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0394784E-003,-3.4438247E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0394784E-003, 0.0000000E+000, 1.1915839E-012,-5.8335687E-001
 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2393844E-003,-3.6771399E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2393844E-003, 0.0000000E+000, 1.2680642E-012,-5.8335687E-001
 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4209889E-003,-3.9412070E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4209889E-003, 0.0000000E+000, 1.3550336E-012,-5.8335687E-001
 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5884699E-003,-4.2373516E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5884699E-003, 0.0000000E+000, 1.4528306E-012,-5.8335687E-001
