# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759992967e-02
3.000000000000000000e+00,9.821874549759704309e-02
4.000000000000000000e+00,9.821874549753048522e-02
5.000000000000000000e+00,9.821874549668004051e-02
6.000000000000000000e+00,9.821874548951360639e-02
7.000000000000000000e+00,9.821874544519824946e-02
8.000000000000000000e+00,9.821874522943542518e-02
9.000000000000000000e+00,9.821874436085892279e-02
1.000000000000000000e+01,9.821874136541172695e-02
1.100000000000000000e+01,9.821873227692282105e-02
1.200000000000000000e+01,9.821870751531881771e-02
1.300000000000000000e+01,9.821864595666882081e-02
1.400000000000000000e+01,9.821850451573183038e-02
1.500000000000000000e+01,9.821820105253183109e-02
1.600000000000000000e+01,9.821758799051182043e-02
1.700000000000000000e+01,9.821641388384182159e-02
1.800000000000000000e+01,9.821427068524182791e-02
1.900000000000000000e+01,9.821052614194182573e-02
2.000000000000000000e+01,9.820424443574182760e-02
2.100000000000000000e+01,9.819410530849181917e-02
2.200000000000000000e+01,9.817834192049182396e-02
2.300000000000000000e+01,9.815472907749182852e-02
2.400000000000000000e+01,9.812066198599182776e-02
2.500000000000000000e+01,9.807335473699183015e-02
2.600000000000000000e+01,9.801015026999182478e-02
2.700000000000000000e+01,9.792888136349182926e-02
2.800000000000000000e+01,9.782816902299182327e-02
2.900000000000000000e+01,9.770754947799181744e-02
3.000000000000000000e+01,9.756740572299182901e-02
3.100000000000000000e+01,9.740875173799182218e-02
3.200000000000000000e+01,9.723354080299181912e-02
3.300000000000000000e+01,9.704503359799182549e-02
3.400000000000000000e+01,9.684391699299182976e-02
3.500000000000000000e+01,9.662959691299181919e-02
3.600000000000000000e+01,9.640325700299182121e-02
3.700000000000000000e+01,9.616597562299182556e-02
3.800000000000000000e+01,9.591877025299182236e-02
3.900000000000000000e+01,9.566253085799182598e-02
4.000000000000000000e+01,9.539804772299181890e-02
4.100000000000000000e+01,9.512600459799182284e-02
4.200000000000000000e+01,9.484700500799182754e-02
4.300000000000000000e+01,9.456158606799182353e-02
4.400000000000000000e+01,9.427021787299182110e-02
4.500000000000000000e+01,9.397332107299181947e-02
4.600000000000000000e+01,9.367127670299182918e-02
4.700000000000000000e+01,9.336442207299182339e-02
4.800000000000000000e+01,9.304878597799182138e-02
4.900000000000000000e+01,9.273165251799182773e-02
5.000000000000000000e+01,9.241745828799181883e-02
5.100000000000000000e+01,9.209938070799182641e-02
5.200000000000000000e+01,9.177734895799181947e-02
5.300000000000000000e+01,9.145127480299182487e-02
5.400000000000000000e+01,9.112137486299182187e-02
5.500000000000000000e+01,9.078784921299182242e-02
5.600000000000000000e+01,9.045091502299182351e-02
5.700000000000000000e+01,9.011076946299181878e-02
5.800000000000000000e+01,8.976760052799181988e-02
5.900000000000000000e+01,8.942157663299182824e-02
6.000000000000000000e+01,8.906927107299182633e-02
6.100000000000000000e+01,8.871742215799183207e-02
6.200000000000000000e+01,8.836940956299182970e-02
6.300000000000000000e+01,8.801861990299182648e-02
6.400000000000000000e+01,8.766508170799182376e-02
6.500000000000000000e+01,8.730869388799182562e-02
6.600000000000000000e+01,8.694962870799183285e-02
6.700000000000000000e+01,8.658802439799181960e-02
6.800000000000000000e+01,8.622403546799183027e-02
6.900000000000000000e+01,8.585779556299183435e-02
7.000000000000000000e+01,8.548943012799183061e-02
7.100000000000000000e+01,8.511904917799183179e-02
7.200000000000000000e+01,8.474335135799182517e-02
7.300000000000000000e+01,8.436930711799182914e-02
7.400000000000000000e+01,8.399986366799182258e-02
7.500000000000000000e+01,8.362798495299182677e-02
7.600000000000000000e+01,8.325377340799182402e-02
7.700000000000000000e+01,8.287712499799182453e-02
7.800000000000000000e+01,8.249821576299182224e-02
7.900000000000000000e+01,8.211716909299182632e-02
8.000000000000000000e+01,8.173412155799182621e-02
8.100000000000000000e+01,8.134918374299182631e-02
8.200000000000000000e+01,8.095966708299183467e-02
8.300000000000000000e+01,8.057176035299183636e-02
8.400000000000000000e+01,8.018773965299183515e-02
8.500000000000000000e+01,7.980132509299182886e-02
8.600000000000000000e+01,7.941269660299182798e-02
8.700000000000000000e+01,7.902178393799183520e-02
8.800000000000000000e+01,7.862875067299182619e-02
8.900000000000000000e+01,7.823370408299183676e-02
9.000000000000000000e+01,7.783676029299183008e-02
9.100000000000000000e+01,7.743800994799182602e-02
9.200000000000000000e+01,7.703753309299182783e-02
9.300000000000000000e+01,7.663207426299183112e-02
9.400000000000000000e+01,7.622854133299183932e-02
9.500000000000000000e+01,7.582965566299182392e-02
9.600000000000000000e+01,7.542834388299182735e-02
9.700000000000000000e+01,7.502476602799182381e-02
9.800000000000000000e+01,7.461880920799182637e-02
9.900000000000000000e+01,7.421063219799182986e-02
1.000000000000000000e+02,7.380033164299182324e-02
1.010000000000000000e+02,7.338801470299183283e-02
1.020000000000000000e+02,7.297376059299182094e-02
1.030000000000000000e+02,7.255427147799183019e-02
1.040000000000000000e+02,7.213611999799182661e-02
