# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759997131e-02
2.000000000000000000e+00,9.821874549759994355e-02
3.000000000000000000e+00,9.821874549759984641e-02
4.000000000000000000e+00,9.821874549759937456e-02
5.000000000000000000e+00,9.821874549759751494e-02
6.000000000000000000e+00,9.821874549759132544e-02
7.000000000000000000e+00,9.821874549757357575e-02
8.000000000000000000e+00,9.821874549752832029e-02
9.000000000000000000e+00,9.821874549742345972e-02
1.000000000000000000e+01,9.821874549719891712e-02
1.100000000000000000e+01,9.821874549674872168e-02
1.200000000000000000e+01,9.821874549589548753e-02
1.300000000000000000e+01,9.821874549435448409e-02
1.400000000000000000e+01,9.821874549168572999e-02
1.500000000000000000e+01,9.821874548723086296e-02
1.600000000000000000e+01,9.821874548003181604e-02
1.700000000000000000e+01,9.821874546872891298e-02
1.800000000000000000e+01,9.821874545143657875e-02
1.900000000000000000e+01,9.821874542559283494e-02
2.000000000000000000e+01,9.821874538777844443e-02
2.100000000000000000e+01,9.821874533349821135e-02
2.200000000000000000e+01,9.821874525692267377e-02
2.300000000000000000e+01,9.821874515062214983e-02
2.400000000000000000e+01,9.821874500522166651e-02
2.500000000000000000e+01,9.821874480901532367e-02
2.600000000000000000e+01,9.821874454755261108e-02
2.700000000000000000e+01,9.821874420316369092e-02
2.800000000000000000e+01,9.821874375447488259e-02
2.900000000000000000e+01,9.821874317579844249e-02
3.000000000000000000e+01,9.821874243649059144e-02
3.100000000000000000e+01,9.821874150024631489e-02
3.200000000000000000e+01,9.821874032430771839e-02
3.300000000000000000e+01,9.821873885882421995e-02
3.400000000000000000e+01,9.821873704600077304e-02
3.500000000000000000e+01,9.821873481888006296e-02
3.600000000000000000e+01,9.821873210057291415e-02
3.700000000000000000e+01,9.821872880303036957e-02
3.800000000000000000e+01,9.821872482612746535e-02
3.900000000000000000e+01,9.821872005644986803e-02
4.000000000000000000e+01,9.821871436626632146e-02
4.100000000000000000e+01,9.821870761182656395e-02
4.200000000000000000e+01,9.821869963147866756e-02
4.300000000000000000e+01,9.821869024600811404e-02
4.400000000000000000e+01,9.821867925629261531e-02
