# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759997131e-02
2.000000000000000000e+00,9.821874549759883333e-02
3.000000000000000000e+00,9.821874549750554684e-02
4.000000000000000000e+00,9.821874549538812949e-02
5.000000000000000000e+00,9.821874547235212582e-02
6.000000000000000000e+00,9.821874531528394792e-02
7.000000000000000000e+00,9.821874454397486187e-02
8.000000000000000000e+00,9.821874156970590575e-02
9.000000000000000000e+00,9.821873203561161392e-02
1.000000000000000000e+01,9.821870560570561404e-02
1.100000000000000000e+01,9.821864041578910742e-02
1.200000000000000000e+01,9.821849433645160610e-02
1.300000000000000000e+01,9.821819218919661254e-02
1.400000000000000000e+01,9.821760818675660809e-02
1.500000000000000000e+01,9.821654321117161135e-02
1.600000000000000000e+01,9.821469639772160976e-02
1.700000000000000000e+01,9.821163225192161561e-02
1.800000000000000000e+01,9.820674628522160776e-02
1.900000000000000000e+01,9.819922922507161311e-02
2.000000000000000000e+01,9.818803728212160964e-02
2.100000000000000000e+01,9.817188011062161213e-02
2.200000000000000000e+01,9.814922397212161309e-02
2.300000000000000000e+01,9.811833014512161277e-02
2.400000000000000000e+01,9.807733801412160668e-02
2.500000000000000000e+01,9.802436943512160550e-02
2.600000000000000000e+01,9.795766107912161347e-02
2.700000000000000000e+01,9.787571635312161678e-02
2.800000000000000000e+01,9.777742653612160606e-02
2.900000000000000000e+01,9.766212848112161560e-02
3.000000000000000000e+01,9.752963251612160878e-02
3.100000000000000000e+01,9.738017899112161313e-02
3.200000000000000000e+01,9.721434770612161214e-02
3.300000000000000000e+01,9.703296994612160831e-02
3.400000000000000000e+01,9.683851265612161696e-02
3.500000000000000000e+01,9.663332485612161071e-02
3.600000000000000000e+01,9.641698921612161521e-02
3.700000000000000000e+01,9.618902892112160541e-02
3.800000000000000000e+01,9.595010752612161131e-02
3.900000000000000000e+01,9.570101022612161057e-02
4.000000000000000000e+01,9.544253969112161118e-02
4.100000000000000000e+01,9.517545608612161534e-02
4.200000000000000000e+01,9.490045670112161325e-02
4.300000000000000000e+01,9.461817495112161136e-02
4.400000000000000000e+01,9.432917751112161742e-02
4.500000000000000000e+01,9.403396933112161127e-02
4.600000000000000000e+01,9.373301290112161233e-02
4.700000000000000000e+01,9.342672037112161043e-02
4.800000000000000000e+01,9.311546474112161742e-02
4.900000000000000000e+01,9.279959084612160458e-02
5.000000000000000000e+01,9.247939598612160694e-02
5.100000000000000000e+01,9.215188878112161308e-02
5.200000000000000000e+01,9.182230375612161766e-02
5.300000000000000000e+01,9.149507972612161422e-02
5.400000000000000000e+01,9.116560153112161780e-02
5.500000000000000000e+01,9.083292426612160630e-02
5.600000000000000000e+01,9.049674809612161253e-02
5.700000000000000000e+01,9.015706670112161314e-02
5.800000000000000000e+01,8.981399741112161550e-02
5.900000000000000000e+01,8.946770143612160775e-02
6.000000000000000000e+01,8.911835269112161617e-02
6.100000000000000000e+01,8.876612277612161428e-02
6.200000000000000000e+01,8.841117056112160477e-02
6.300000000000000000e+01,8.805364452112160456e-02
6.400000000000000000e+01,8.769044651612160901e-02
6.500000000000000000e+01,8.732655661112161127e-02
6.600000000000000000e+01,8.696622796112160603e-02
6.700000000000000000e+01,8.660486047112160579e-02
6.800000000000000000e+01,8.624146167612160852e-02
6.900000000000000000e+01,8.587568466112160959e-02
7.000000000000000000e+01,8.550747491112160870e-02
7.100000000000000000e+01,8.513687209112161258e-02
7.200000000000000000e+01,8.476397041612160344e-02
7.300000000000000000e+01,8.438888149112161452e-02
7.400000000000000000e+01,8.401171939612160633e-02
7.500000000000000000e+01,8.363259498612160558e-02
7.600000000000000000e+01,8.324850084612160639e-02
7.700000000000000000e+01,8.286432492112161263e-02
7.800000000000000000e+01,8.248407835112160635e-02
7.900000000000000000e+01,8.210312792612160793e-02
8.000000000000000000e+01,8.172049240612161425e-02
8.100000000000000000e+01,8.133581759612161510e-02
8.200000000000000000e+01,8.094903360112161439e-02
8.300000000000000000e+01,8.056017490112160617e-02
8.400000000000000000e+01,8.016931686112160893e-02
8.500000000000000000e+01,7.977654221112161215e-02
8.600000000000000000e+01,7.938194560612160666e-02
8.700000000000000000e+01,7.898308369112161387e-02
8.800000000000000000e+01,7.858454160112160469e-02
8.900000000000000000e+01,7.818958201612161152e-02
9.000000000000000000e+01,7.779375172112161507e-02
9.100000000000000000e+01,7.739616455612161050e-02
9.200000000000000000e+01,7.699651718112160426e-02
9.300000000000000000e+01,7.659477023112161442e-02
9.400000000000000000e+01,7.619097135112161412e-02
9.500000000000000000e+01,7.578518997112160260e-02
9.600000000000000000e+01,7.537750272112160588e-02
9.700000000000000000e+01,7.496799492612160609e-02
9.800000000000000000e+01,7.455383745112161009e-02
9.900000000000000000e+01,7.413981322612160640e-02
1.000000000000000000e+02,7.372960794612161417e-02
1.010000000000000000e+02,7.331858330612160690e-02
1.020000000000000000e+02,7.290578193112161320e-02
1.030000000000000000e+02,7.249086147612160413e-02
1.040000000000000000e+02,7.207375981112161545e-02
1.050000000000000000e+02,7.165450266612161112e-02
1.060000000000000000e+02,7.123314913612160959e-02
1.070000000000000000e+02,7.080976596112160959e-02
1.080000000000000000e+02,7.038441887112160955e-02
1.090000000000000000e+02,6.995422344612160781e-02
1.100000000000000000e+02,6.952415866612160489e-02
1.110000000000000000e+02,6.909793062112160045e-02
1.120000000000000000e+02,6.867064386612160842e-02
1.130000000000000000e+02,6.824129128612160811e-02
1.140000000000000000e+02,6.780951692612161019e-02
1.150000000000000000e+02,6.737525314612161087e-02
1.160000000000000000e+02,6.693852477612161067e-02
1.170000000000000000e+02,6.649939532112161822e-02
1.180000000000000000e+02,6.605793210612161126e-02
1.190000000000000000e+02,6.561162756112161321e-02
1.200000000000000000e+02,6.516504821112162338e-02
1.210000000000000000e+02,6.472139778612162608e-02
1.220000000000000000e+02,6.427613651112162874e-02
1.230000000000000000e+02,6.382837962612161742e-02
1.240000000000000000e+02,6.337782929112162345e-02
1.250000000000000000e+02,6.292443580112161428e-02
1.260000000000000000e+02,6.246822108112162070e-02
1.270000000000000000e+02,6.200923090612162070e-02
1.280000000000000000e+02,6.154751532112161944e-02
1.290000000000000000e+02,6.108029092612161925e-02
1.300000000000000000e+02,6.061231512112161962e-02
1.310000000000000000e+02,6.014707404612162217e-02
1.320000000000000000e+02,5.967980160612162271e-02
1.330000000000000000e+02,5.920954030612162605e-02
1.340000000000000000e+02,5.873593358112162710e-02
1.350000000000000000e+02,5.825889667112162801e-02
1.360000000000000000e+02,5.777844124612162985e-02
