s,m,,1/s,W/m2/K,C,C
Time,"Wall thickness","mpua","mlrpua","Front HTC","Front T","Back T"
 0.0000000E+000, 8.0000004E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5000000E+001, 2.5000000E+001
 1.0000000E+000, 8.0000004E-003, 1.0000000E+000, 0.0000000E+000, 1.5000000E+001, 2.4999971E+001, 2.5000000E+001
 2.0000000E+000, 8.0000004E-003, 1.0000000E+000, 0.0000000E+000, 1.5000000E+001, 4.5822536E+001, 2.5000000E+001
 3.0000000E+000, 8.0000004E-003, 1.0000000E+000, 0.0000000E+000, 1.5000000E+001, 5.7701664E+001, 2.5000000E+001
 4.0000000E+000, 8.0000004E-003, 1.0000000E+000, 0.0000000E+000, 1.5000000E+001, 6.7391045E+001, 2.5000000E+001
 5.0000000E+000, 8.0000004E-003, 1.0000000E+000, 0.0000000E+000, 1.5000000E+001, 7.5488831E+001, 2.5000002E+001
 6.0000000E+000, 8.0000004E-003, 1.0000000E+000, 5.2271925E-017, 1.5000000E+001, 8.2609436E+001, 2.5000015E+001
 7.0000000E+000, 8.0000004E-003, 1.0000000E+000, 1.9199655E-016, 1.5000000E+001, 8.8992149E+001, 2.5000061E+001
 8.0000000E+000, 8.0000004E-003, 1.0000000E+000, 5.9130396E-016, 1.5000000E+001, 9.4813728E+001, 2.5000210E+001
 9.0000000E+000, 8.0000004E-003, 1.0000000E+000, 1.5965900E-015, 1.5000000E+001, 1.0018253E+002, 2.5000610E+001
 1.0000000E+001, 8.0000004E-003, 1.0000000E+000, 3.8867737E-015, 1.5000000E+001, 1.0517972E+002, 2.5001554E+001
 1.1000000E+001, 8.0000004E-003, 1.0000000E+000, 8.7051778E-015, 1.5000000E+001, 1.0986292E+002, 2.5003525E+001
 1.2000000E+001, 8.0000004E-003, 1.0000000E+000, 1.8197129E-014, 1.5000000E+001, 1.1427669E+002, 2.5007244E+001
 1.3000000E+001, 8.0000004E-003, 1.0000000E+000, 3.5892730E-014, 1.5000000E+001, 1.1845623E+002, 2.5013693E+001
 1.4000000E+001, 8.0000004E-003, 1.0000000E+000, 6.7371767E-014, 1.5000000E+001, 1.2242986E+002, 2.5024094E+001
 1.5000000E+001, 8.0000004E-003, 1.0000000E+000, 1.2115450E-013, 1.5000000E+001, 1.2621954E+002, 2.5039881E+001
 1.6000000E+001, 8.0000004E-003, 1.0000000E+000, 2.0983643E-013, 1.5000000E+001, 1.2984409E+002, 2.5062649E+001
