s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8335687E-001
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1607163E-009, 8.1744719E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1607163E-009, 0.0000000E+000, 2.4950193E-021,-5.8335687E-001
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6120619E-003, 6.0668782E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6120619E-003, 0.0000000E+000, 2.4950180E-021,-5.8335687E-001
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1438006E-003,-2.5942848E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1438006E-003, 0.0000000E+000, 1.9934603E-020,-5.8335687E-001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8136171E-003,-8.5353426E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8136171E-003, 0.0000000E+000, 2.2579037E-019,-5.8335687E-001
 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1906857E-003,-4.9237238E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1906857E-003, 0.0000000E+000, 1.5538753E-018,-5.8335687E-001
 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3688814E-003,-2.4264545E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3688814E-003, 0.0000000E+000, 7.2649062E-018,-5.8335687E-001
 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4142975E-003,-9.1567828E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4142975E-003, 0.0000000E+000, 2.6684246E-017,-5.8335687E-001
 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0359145E-002,-2.8730810E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0359145E-002, 0.0000000E+000, 8.2181170E-017,-5.8335687E-001
