# Time [s], Mass [Kg]
1.000000000000000000e+00,1.389829478400000096e-01
2.000000000000000000e+00,1.389829478400000096e-01
3.000000000000000000e+00,1.389829478400000096e-01
4.000000000000000000e+00,1.389829478400000096e-01
5.000000000000000000e+00,1.389829478400000096e-01
6.000000000000000000e+00,1.389829478400000096e-01
7.000000000000000000e+00,1.389829478400000096e-01
8.000000000000000000e+00,1.389829478400000096e-01
9.000000000000000000e+00,1.389829478400000096e-01
1.000000000000000000e+01,1.389829478399999818e-01
1.100000000000000000e+01,1.389829478399999263e-01
1.200000000000000000e+01,1.389829478399998153e-01
1.300000000000000000e+01,1.389829478399996210e-01
1.400000000000000000e+01,1.389829478399991769e-01
1.500000000000000000e+01,1.389829478399983720e-01
1.600000000000000000e+01,1.389829478399969287e-01
1.700000000000000000e+01,1.389829478399943752e-01
1.800000000000000000e+01,1.389829478399900453e-01
1.900000000000000000e+01,1.389829478399828844e-01
2.000000000000000000e+01,1.389829478399713381e-01
2.100000000000000000e+01,1.389829478399531859e-01
2.200000000000000000e+01,1.389829478399252083e-01
2.300000000000000000e+01,1.389829478398829365e-01
2.400000000000000000e+01,1.389829478398201534e-01
2.500000000000000000e+01,1.389829478397284213e-01
2.600000000000000000e+01,1.389829478395964435e-01
2.700000000000000000e+01,1.389829478394091766e-01
2.800000000000000000e+01,1.389829478391469697e-01
2.900000000000000000e+01,1.389829478387842321e-01
3.000000000000000000e+01,1.389829478382882122e-01
3.100000000000000000e+01,1.389829478376171656e-01
3.200000000000000000e+01,1.389829478367184401e-01
3.300000000000000000e+01,1.389829478355262271e-01
3.400000000000000000e+01,1.389829478339587865e-01
3.500000000000000000e+01,1.389829478319153655e-01
3.600000000000000000e+01,1.389829478292727016e-01
3.700000000000000000e+01,1.389829478258809703e-01
3.800000000000000000e+01,1.389829478215588998e-01
3.900000000000000000e+01,1.389829478160887477e-01
4.000000000000000000e+01,1.389829478092107218e-01
4.100000000000000000e+01,1.389829478006158470e-01
4.200000000000000000e+01,1.389829477899387766e-01
4.300000000000000000e+01,1.389829477767497157e-01
4.400000000000000000e+01,1.389829477605442065e-01
4.500000000000000000e+01,1.389829477407346359e-01
4.600000000000000000e+01,1.389829477166384941e-01
4.700000000000000000e+01,1.389829476874645253e-01
4.800000000000000000e+01,1.389829476523013196e-01
4.900000000000000000e+01,1.389829476101031858e-01
5.000000000000000000e+01,1.389829475596711938e-01
5.100000000000000000e+01,1.389829474996374103e-01
5.200000000000000000e+01,1.389829474284479949e-01
5.300000000000000000e+01,1.389829473443377206e-01
5.400000000000000000e+01,1.389829472453110726e-01
5.500000000000000000e+01,1.389829471291166574e-01
5.600000000000000000e+01,1.389829469932208350e-01
5.700000000000000000e+01,1.389829468347838215e-01
5.800000000000000000e+01,1.389829466506290190e-01
5.900000000000000000e+01,1.389829464372050738e-01
6.000000000000000000e+01,1.389829461905589814e-01
6.100000000000000000e+01,1.389829459062949246e-01
6.200000000000000000e+01,1.389829455795283109e-01
6.300000000000000000e+01,1.389829452048592651e-01
6.400000000000000000e+01,1.389829447763192560e-01
6.500000000000000000e+01,1.389829442873180276e-01
6.600000000000000000e+01,1.389829437306004667e-01
6.700000000000000000e+01,1.389829430981918967e-01
6.800000000000000000e+01,1.389829423813406239e-01
6.900000000000000000e+01,1.389829415704530446e-01
7.000000000000000000e+01,1.389829406550340263e-01
7.100000000000000000e+01,1.389829396236197112e-01
7.200000000000000000e+01,1.389829384636848686e-01
7.300000000000000000e+01,1.389829371616078113e-01
7.400000000000000000e+01,1.389829357025591239e-01
7.500000000000000000e+01,1.389829340704130112e-01
7.600000000000000000e+01,1.389829322476751616e-01
7.700000000000000000e+01,1.389829302153570700e-01
7.800000000000000000e+01,1.389829279529010697e-01
7.900000000000000000e+01,1.389829254381170498e-01
8.000000000000000000e+01,1.389829226469766754e-01
8.100000000000000000e+01,1.389829195534961759e-01
8.200000000000000000e+01,1.389829161297340132e-01
8.300000000000000000e+01,1.389829123455722237e-01
8.400000000000000000e+01,1.389829081685691192e-01
8.500000000000000000e+01,1.389829035638783239e-01
8.600000000000000000e+01,1.389828984939605050e-01
8.700000000000000000e+01,1.389828929186284756e-01
8.800000000000000000e+01,1.389828867947965063e-01
8.900000000000000000e+01,1.389828800761888083e-01
9.000000000000000000e+01,1.389828727132373654e-01
9.100000000000000000e+01,1.389828646529820133e-01
9.200000000000000000e+01,1.389828558387968538e-01
9.300000000000000000e+01,1.389828462101127260e-01
9.400000000000000000e+01,1.389828357023867034e-01
9.500000000000000000e+01,1.389828242465572239e-01
9.600000000000000000e+01,1.389828117689797249e-01
9.700000000000000000e+01,1.389827981914247002e-01
9.800000000000000000e+01,1.389827834304327159e-01
9.900000000000000000e+01,1.389827673969597222e-01
1.000000000000000000e+02,1.389827499967087043e-01
1.010000000000000000e+02,1.389827311291942091e-01
1.020000000000000000e+02,1.389827106875987095e-01
1.030000000000000000e+02,1.389826885590107197e-01
1.040000000000000000e+02,1.389826646230022111e-01
1.050000000000000000e+02,1.389826387519072226e-01
1.060000000000000000e+02,1.389826108108427050e-01
1.070000000000000000e+02,1.389825806566947208e-01
1.080000000000000000e+02,1.389825481382662153e-01
1.090000000000000000e+02,1.389825130953152021e-01
1.100000000000000000e+02,1.389824753574737115e-01
1.110000000000000000e+02,1.389824347451457109e-01
1.120000000000000000e+02,1.389823910697837173e-01
1.130000000000000000e+02,1.389823441311877072e-01
1.140000000000000000e+02,1.389822937174922113e-01
1.150000000000000000e+02,1.389822396063922216e-01
1.160000000000000000e+02,1.389821815626457180e-01
1.170000000000000000e+02,1.389821193382202169e-01
1.180000000000000000e+02,1.389820526725787098e-01
1.190000000000000000e+02,1.389819812903372032e-01
1.200000000000000000e+02,1.389819049026257136e-01
1.210000000000000000e+02,1.389818232065377079e-01
1.220000000000000000e+02,1.389817358816187176e-01
1.230000000000000000e+02,1.389816425909202180e-01
1.240000000000000000e+02,1.389815429813442138e-01
1.250000000000000000e+02,1.389814366800942169e-01
1.260000000000000000e+02,1.389813232972942070e-01
1.270000000000000000e+02,1.389812024257742196e-01
1.280000000000000000e+02,1.389810736357142140e-01
1.290000000000000000e+02,1.389809364778292200e-01
1.300000000000000000e+02,1.389807904820692108e-01
1.310000000000000000e+02,1.389806351540592011e-01
1.320000000000000000e+02,1.389804699764542184e-01
1.330000000000000000e+02,1.389802944104492066e-01
1.340000000000000000e+02,1.389801078912342169e-01
1.350000000000000000e+02,1.389799098275342204e-01
1.360000000000000000e+02,1.389796996036392063e-01
1.370000000000000000e+02,1.389794765726142245e-01
1.380000000000000000e+02,1.389792400615692258e-01
1.390000000000000000e+02,1.389789893722492009e-01
1.400000000000000000e+02,1.389787237694342092e-01
1.410000000000000000e+02,1.389784424861842116e-01
1.420000000000000000e+02,1.389781447293292060e-01
1.430000000000000000e+02,1.389778296700591997e-01
1.440000000000000000e+02,1.389774964461392148e-01
1.450000000000000000e+02,1.389771441614842118e-01
1.460000000000000000e+02,1.389767718795192064e-01
1.470000000000000000e+02,1.389763786314742178e-01
1.480000000000000000e+02,1.389759634121592036e-01
1.490000000000000000e+02,1.389755251749542064e-01
1.500000000000000000e+02,1.389750628340742089e-01
1.510000000000000000e+02,1.389745752611242224e-01
1.520000000000000000e+02,1.389740612889992233e-01
1.530000000000000000e+02,1.389735197100191999e-01
1.540000000000000000e+02,1.389729492737442063e-01
1.550000000000000000e+02,1.389723486840492017e-01
1.560000000000000000e+02,1.389717165990942138e-01
1.570000000000000000e+02,1.389710516351592151e-01
1.580000000000000000e+02,1.389703523559892018e-01
1.590000000000000000e+02,1.389696172889341996e-01
1.600000000000000000e+02,1.389688449195592146e-01
1.610000000000000000e+02,1.389680336663392246e-01
1.620000000000000000e+02,1.389671819129291996e-01
1.630000000000000000e+02,1.389662879960542052e-01
1.640000000000000000e+02,1.389653501971292171e-01
1.650000000000000000e+02,1.389643667480792155e-01
1.660000000000000000e+02,1.389633358426792253e-01
1.670000000000000000e+02,1.389622556265292241e-01
1.680000000000000000e+02,1.389611241838292210e-01
1.690000000000000000e+02,1.389599395598792031e-01
1.700000000000000000e+02,1.389586997461292051e-01
1.710000000000000000e+02,1.389574026844292154e-01
1.720000000000000000e+02,1.389560462739792002e-01
1.730000000000000000e+02,1.389546283731292187e-01
1.740000000000000000e+02,1.389531467886792049e-01
1.750000000000000000e+02,1.389515992878792017e-01
1.760000000000000000e+02,1.389499835858292176e-01
1.770000000000000000e+02,1.389482973407292210e-01
1.780000000000000000e+02,1.389465381965792057e-01
1.790000000000000000e+02,1.389447037451792266e-01
1.800000000000000000e+02,1.389427915278292069e-01
1.810000000000000000e+02,1.389407990838292251e-01
1.820000000000000000e+02,1.389387238886791998e-01
1.830000000000000000e+02,1.389365633816792012e-01
1.840000000000000000e+02,1.389343150007792127e-01
1.850000000000000000e+02,1.389319761084292226e-01
1.860000000000000000e+02,1.389295440513792224e-01
1.870000000000000000e+02,1.389270161980292184e-01
1.880000000000000000e+02,1.389243898501292263e-01
1.890000000000000000e+02,1.389216622788292110e-01
1.900000000000000000e+02,1.389188307620792262e-01
1.910000000000000000e+02,1.389158925671292177e-01
1.920000000000000000e+02,1.389128449459792192e-01
1.930000000000000000e+02,1.389096851314292058e-01
1.940000000000000000e+02,1.389064103491792213e-01
1.950000000000000000e+02,1.389030178409292049e-01
1.960000000000000000e+02,1.388995048530792253e-01
1.970000000000000000e+02,1.388958686265792108e-01
1.980000000000000000e+02,1.388921064016292173e-01
1.990000000000000000e+02,1.388882154407792002e-01
2.000000000000000000e+02,1.388841930054792173e-01
2.010000000000000000e+02,1.388800363646792158e-01
2.020000000000000000e+02,1.388757428354792101e-01
2.030000000000000000e+02,1.388713097385292083e-01
2.040000000000000000e+02,1.388667344467792164e-01
2.050000000000000000e+02,1.388620143674792196e-01
2.060000000000000000e+02,1.388571468983792190e-01
2.070000000000000000e+02,1.388521294841291998e-01
2.080000000000000000e+02,1.388469596297792208e-01
2.090000000000000000e+02,1.388416348499792174e-01
2.100000000000000000e+02,1.388361527059292222e-01
2.110000000000000000e+02,1.388305108585292102e-01
2.120000000000000000e+02,1.388247069817792057e-01
2.130000000000000000e+02,1.388187388012792067e-01
2.140000000000000000e+02,1.388126041203792127e-01
2.150000000000000000e+02,1.388063007285792183e-01
2.160000000000000000e+02,1.387998264887292110e-01
2.170000000000000000e+02,1.387931793800292191e-01
2.180000000000000000e+02,1.387863573949792151e-01
2.190000000000000000e+02,1.387793585806292029e-01
2.200000000000000000e+02,1.387721810803792255e-01
2.210000000000000000e+02,1.387648229885292128e-01
2.220000000000000000e+02,1.387572825403792232e-01
2.230000000000000000e+02,1.387495581400792211e-01
2.240000000000000000e+02,1.387416481571792093e-01
2.250000000000000000e+02,1.387335510395292237e-01
2.260000000000000000e+02,1.387252652820792076e-01
2.270000000000000000e+02,1.387167894491792008e-01
2.280000000000000000e+02,1.387081222154292193e-01
2.290000000000000000e+02,1.386992623082292098e-01
2.300000000000000000e+02,1.386902084737792196e-01
2.310000000000000000e+02,1.386809594500792164e-01
2.320000000000000000e+02,1.386715141627792025e-01
2.330000000000000000e+02,1.386618716191292122e-01
2.340000000000000000e+02,1.386520308324292183e-01
2.350000000000000000e+02,1.386419908803792067e-01
2.360000000000000000e+02,1.386317508458792258e-01
2.370000000000000000e+02,1.386213099438792229e-01
2.380000000000000000e+02,1.386106674283792140e-01
2.390000000000000000e+02,1.385998226138792089e-01
2.400000000000000000e+02,1.385887748758792004e-01
2.410000000000000000e+02,1.385775235718792187e-01
2.420000000000000000e+02,1.385660681988792053e-01
2.430000000000000000e+02,1.385544083198792242e-01
2.440000000000000000e+02,1.385425434168792158e-01
2.450000000000000000e+02,1.385304731058792094e-01
2.460000000000000000e+02,1.385181970748792235e-01
2.470000000000000000e+02,1.385057150458792186e-01
2.480000000000000000e+02,1.384930267843792195e-01
2.490000000000000000e+02,1.384801319983792189e-01
2.500000000000000000e+02,1.384670305533792223e-01
2.510000000000000000e+02,1.384537222818792157e-01
2.520000000000000000e+02,1.384402070768792070e-01
2.530000000000000000e+02,1.384264848768792244e-01
2.540000000000000000e+02,1.384125556618792108e-01
2.550000000000000000e+02,1.383984195563792152e-01
2.560000000000000000e+02,1.383840764773792142e-01
2.570000000000000000e+02,1.383695264483792153e-01
2.580000000000000000e+02,1.383547695533792199e-01
2.590000000000000000e+02,1.383398059283792170e-01
2.600000000000000000e+02,1.383246357203792021e-01
2.610000000000000000e+02,1.383092590598792027e-01
2.620000000000000000e+02,1.382936761153792105e-01
2.630000000000000000e+02,1.382778870523792003e-01
2.640000000000000000e+02,1.382618921113792088e-01
2.650000000000000000e+02,1.382456915418792120e-01
2.660000000000000000e+02,1.382292855563792000e-01
2.670000000000000000e+02,1.382126744193792056e-01
2.680000000000000000e+02,1.381958584458791994e-01
2.690000000000000000e+02,1.381788379718792148e-01
2.700000000000000000e+02,1.381616132468792002e-01
2.710000000000000000e+02,1.381441845268792101e-01
2.720000000000000000e+02,1.381265522558792203e-01
2.730000000000000000e+02,1.381087167418792172e-01
2.740000000000000000e+02,1.380906784043792190e-01
2.750000000000000000e+02,1.380724375583792241e-01
