# Time [s], Mass [Kg]
1.000000000000000000e+00,9.821874549759998518e-02
2.000000000000000000e+00,9.821874549759997131e-02
3.000000000000000000e+00,9.821874549759961048e-02
4.000000000000000000e+00,9.821874549759357365e-02
5.000000000000000000e+00,9.821874549753265016e-02
6.000000000000000000e+00,9.821874549710453428e-02
7.000000000000000000e+00,9.821874549481066086e-02
8.000000000000000000e+00,9.821874548485662326e-02
9.000000000000000000e+00,9.821874544836348142e-02
1.000000000000000000e+01,9.821874533179154876e-02
1.100000000000000000e+01,9.821874499972260697e-02
1.200000000000000000e+01,9.821874414092177097e-02
1.300000000000000000e+01,9.821874209581492321e-02
1.400000000000000000e+01,9.821873756042272252e-02
1.500000000000000000e+01,9.821872810713912216e-02
1.600000000000000000e+01,9.821870944725212549e-02
1.700000000000000000e+01,9.821867434485612169e-02
1.800000000000000000e+01,9.821861107967712334e-02
1.900000000000000000e+01,9.821850134614662498e-02
2.000000000000000000e+01,9.821831746942662200e-02
2.100000000000000000e+01,9.821801883240662001e-02
2.200000000000000000e+01,9.821754741516662557e-02
2.300000000000000000e+01,9.821682236612162831e-02
2.400000000000000000e+01,9.821573362765162463e-02
2.500000000000000000e+01,9.821413467425162136e-02
2.600000000000000000e+01,9.821183449320163017e-02
2.700000000000000000e+01,9.820858929245163127e-02
2.800000000000000000e+01,9.820409444315161829e-02
2.900000000000000000e+01,9.819797728235162004e-02
3.000000000000000000e+01,9.818979224850162002e-02
3.100000000000000000e+01,9.817901945440161982e-02
3.200000000000000000e+01,9.816506766040163090e-02
3.300000000000000000e+01,9.814739610140162107e-02
3.400000000000000000e+01,9.812542716040162372e-02
3.500000000000000000e+01,9.809840664090162254e-02
3.600000000000000000e+01,9.806556857440162922e-02
3.700000000000000000e+01,9.802621968290162191e-02
3.800000000000000000e+01,9.797973985190162882e-02
3.900000000000000000e+01,9.792561011640162072e-02
4.000000000000000000e+01,9.786343419940161936e-02
4.100000000000000000e+01,9.779294841990161802e-02
4.200000000000000000e+01,9.771402483590162225e-02
4.300000000000000000e+01,9.762666424890162342e-02
4.400000000000000000e+01,9.753097715040162652e-02
4.500000000000000000e+01,9.742716528790162922e-02
4.600000000000000000e+01,9.731550089790162728e-02
4.700000000000000000e+01,9.719630159790162982e-02
4.800000000000000000e+01,9.706991386790161935e-02
4.900000000000000000e+01,9.693669898290162290e-02
5.000000000000000000e+01,9.679701646790161984e-02
5.100000000000000000e+01,9.665121903290162242e-02
5.200000000000000000e+01,9.649964874790162295e-02
5.300000000000000000e+01,9.634262762290161930e-02
5.400000000000000000e+01,9.618045948290163127e-02
5.500000000000000000e+01,9.601343121290162319e-02
5.600000000000000000e+01,9.584180724290163045e-02
5.700000000000000000e+01,9.566583375790162214e-02
5.800000000000000000e+01,9.548574137790162564e-02
5.900000000000000000e+01,9.530174123290162391e-02
6.000000000000000000e+01,9.511402941290161839e-02
6.100000000000000000e+01,9.492278964790162865e-02
6.200000000000000000e+01,9.472819025290162009e-02
6.300000000000000000e+01,9.453038775790162385e-02
6.400000000000000000e+01,9.432952900790161910e-02
6.500000000000000000e+01,9.412574837290162144e-02
6.600000000000000000e+01,9.391614054790162203e-02
6.700000000000000000e+01,9.370442131790163165e-02
6.800000000000000000e+01,9.349444872290162134e-02
6.900000000000000000e+01,9.328297518790162890e-02
7.000000000000000000e+01,9.306937902290161879e-02
7.100000000000000000e+01,9.285341468290161937e-02
7.200000000000000000e+01,9.263503728290162220e-02
7.300000000000000000e+01,9.241427214790162714e-02
7.400000000000000000e+01,9.219117851790162299e-02
7.500000000000000000e+01,9.196582872290162691e-02
7.600000000000000000e+01,9.173830052290161963e-02
7.700000000000000000e+01,9.150867055790162796e-02
7.800000000000000000e+01,9.127701321790161748e-02
7.900000000000000000e+01,9.104339990790162596e-02
8.000000000000000000e+01,9.080789735290162312e-02
8.100000000000000000e+01,9.057056842790162099e-02
8.200000000000000000e+01,9.033147262290161517e-02
8.300000000000000000e+01,9.009066492790161751e-02
8.400000000000000000e+01,8.984550956290161816e-02
8.500000000000000000e+01,8.959959160790162414e-02
8.600000000000000000e+01,8.935623502790163153e-02
