# Time [s], Mass [Kg]
1,9.82E-02
2,9.82E-02
3,9.82E-02
4,9.82E-02
5,9.82E-02
6,9.82E-02
7,9.82E-02
8,9.82E-02
9,9.82E-02
10,9.82E-02
11,9.82E-02
12,9.82E-02
13,9.82E-02
14,9.82E-02
15,9.82E-02
16,9.82E-02
17,9.82E-02
18,9.82E-02
19,9.82E-02
20,9.82E-02
21,9.82E-02
22,9.82E-02
23,9.82E-02
24,9.82E-02
25,9.82E-02
26,9.82E-02
27,9.82E-02
28,9.82E-02
29,9.82E-02
30,9.82E-02
31,9.82E-02
32,9.82E-02
33,9.82E-02
34,9.82E-02
35,9.82E-02
36,9.82E-02
37,9.82E-02
38,9.82E-02
39,9.82E-02
40,9.82E-02
41,9.82E-02
42,9.82E-02
43,9.82E-02
44,9.82E-02
45,9.82E-02
46,9.82E-02
47,9.82E-02
48,9.82E-02
49,9.82E-02
50,9.82E-02
51,9.82E-02
52,9.82E-02
53,9.82E-02
54,9.82E-02
55,9.82E-02
56,9.82E-02
57,9.82E-02
58,9.82E-02
59,9.82E-02
60,9.82E-02
61,9.82E-02
62,9.82E-02
63,9.82E-02
64,9.82E-02
65,9.82E-02
66,9.82E-02
67,9.82E-02
68,9.82E-02
69,9.82E-02
70,9.82E-02
71,9.82E-02
72,9.82E-02
73,9.82E-02
74,9.82E-02
75,9.82E-02
76,9.82E-02
77,9.82E-02
78,9.82E-02
79,9.82E-02
80,9.82E-02
81,9.82E-02
82,9.82E-02
83,9.82E-02
84,9.82E-02
85,9.82E-02
86,9.82E-02
87,9.82E-02
88,9.82E-02
89,9.82E-02
90,9.82E-02
91,9.82E-02
92,9.82E-02
93,9.82E-02
94,9.82E-02
95,9.82E-02
96,9.82E-02
97,9.82E-02
98,9.82E-02
99,9.82E-02
100,9.82E-02
101,9.82E-02
102,9.82E-02
103,9.82E-02
104,9.82E-02
105,9.82E-02
106,9.82E-02
107,9.82E-02
108,9.82E-02
109,9.82E-02
110,9.82E-02
111,9.82E-02
112,9.82E-02
113,9.82E-02
