# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001500000000121e+01
7.000000000000000000e+00,2.500006099999999876e+01
8.000000000000000000e+00,2.500020999999999916e+01
9.000000000000000000e+00,2.500061000000000178e+01
1.000000000000000000e+01,2.500155399999999872e+01
1.100000000000000000e+01,2.500352499999999978e+01
1.200000000000000000e+01,2.500724400000000003e+01
1.300000000000000000e+01,2.501369299999999996e+01
1.400000000000000000e+01,2.502409400000000161e+01
1.500000000000000000e+01,2.503988100000000117e+01
1.600000000000000000e+01,2.506264900000000040e+01
1.700000000000000000e+01,2.509409000000000134e+01
1.800000000000000000e+01,2.513593300000000141e+01
1.900000000000000000e+01,2.518990300000000104e+01
2.000000000000000000e+01,2.525766399999999834e+01
2.100000000000000000e+01,2.534079399999999893e+01
2.200000000000000000e+01,2.544075199999999981e+01
2.300000000000000000e+01,2.555886500000000083e+01
2.400000000000000000e+01,2.569631800000000155e+01
2.500000000000000000e+01,2.585415100000000166e+01
2.600000000000000000e+01,2.603324900000000142e+01
2.700000000000000000e+01,2.623436399999999935e+01
2.800000000000000000e+01,2.645810099999999920e+01
2.900000000000000000e+01,2.670495000000000019e+01
3.000000000000000000e+01,2.697526200000000074e+01
3.100000000000000000e+01,2.726928500000000000e+01
3.200000000000000000e+01,2.758717299999999994e+01
3.300000000000000000e+01,2.792898399999999981e+01
3.400000000000000000e+01,2.829468500000000120e+01
3.500000000000000000e+01,2.868417200000000022e+01
3.600000000000000000e+01,2.909727699999999828e+01
3.700000000000000000e+01,2.953378700000000023e+01
3.800000000000000000e+01,2.999342299999999994e+01
3.900000000000000000e+01,3.047586599999999990e+01
4.000000000000000000e+01,3.098076100000000110e+01
4.100000000000000000e+01,3.150772699999999915e+01
4.200000000000000000e+01,3.205633199999999761e+01
4.300000000000000000e+01,3.262614399999999648e+01
4.400000000000000000e+01,3.321673599999999738e+01
4.500000000000000000e+01,3.382760199999999884e+01
4.600000000000000000e+01,3.445828600000000108e+01
4.700000000000000000e+01,3.510829199999999872e+01
4.800000000000000000e+01,3.577711500000000200e+01
4.900000000000000000e+01,3.646427200000000113e+01
5.000000000000000000e+01,3.716925799999999924e+01
5.100000000000000000e+01,3.789157099999999900e+01
5.200000000000000000e+01,3.863069200000000336e+01
5.300000000000000000e+01,3.938615000000000066e+01
5.400000000000000000e+01,4.015744399999999814e+01
5.500000000000000000e+01,4.094408800000000070e+01
5.600000000000000000e+01,4.174559800000000109e+01
5.700000000000000000e+01,4.256150099999999981e+01
5.800000000000000000e+01,4.339133100000000098e+01
5.900000000000000000e+01,4.423462299999999914e+01
6.000000000000000000e+01,4.509093099999999765e+01
6.100000000000000000e+01,4.595982000000000056e+01
6.200000000000000000e+01,4.684083900000000256e+01
6.300000000000000000e+01,4.773355899999999963e+01
6.400000000000000000e+01,4.863756599999999963e+01
6.500000000000000000e+01,4.955248300000000228e+01
6.600000000000000000e+01,5.047787499999999739e+01
6.700000000000000000e+01,5.141335300000000075e+01
6.800000000000000000e+01,5.235857800000000140e+01
6.900000000000000000e+01,5.331312599999999691e+01
7.000000000000000000e+01,5.427666099999999716e+01
7.100000000000000000e+01,5.524884000000000128e+01
7.200000000000000000e+01,5.622928999999999888e+01
7.300000000000000000e+01,5.721770500000000226e+01
7.400000000000000000e+01,5.821372199999999708e+01
7.500000000000000000e+01,5.921705999999999648e+01
7.600000000000000000e+01,6.022737500000000210e+01
7.700000000000000000e+01,6.124440400000000295e+01
7.800000000000000000e+01,6.226780699999999769e+01
7.900000000000000000e+01,6.329734799999999950e+01
8.000000000000000000e+01,6.433271799999999985e+01
8.100000000000000000e+01,6.537364200000000380e+01
8.200000000000000000e+01,6.641986799999999391e+01
8.300000000000000000e+01,6.747113799999999628e+01
8.400000000000000000e+01,6.852722199999999475e+01
8.500000000000000000e+01,6.958786000000000627e+01
8.600000000000000000e+01,7.065279400000000010e+01
8.700000000000000000e+01,7.172184000000000026e+01
8.800000000000000000e+01,7.279476200000000574e+01
8.900000000000000000e+01,7.387131499999999562e+01
9.000000000000000000e+01,7.495134000000000185e+01
9.100000000000000000e+01,7.603461500000000228e+01
9.200000000000000000e+01,7.712092599999999720e+01
9.300000000000000000e+01,7.821010599999999613e+01
9.400000000000000000e+01,7.930197099999999466e+01
9.500000000000000000e+01,8.039633899999999755e+01
9.600000000000000000e+01,8.149301900000000387e+01
9.700000000000000000e+01,8.259186599999999601e+01
9.800000000000000000e+01,8.369271100000000274e+01
9.900000000000000000e+01,8.479541799999999796e+01
1.000000000000000000e+02,8.589978000000000691e+01
1.010000000000000000e+02,8.700569900000000700e+01
1.020000000000000000e+02,8.811302899999999738e+01
1.030000000000000000e+02,8.922162600000000054e+01
1.040000000000000000e+02,9.033136000000000365e+01
1.050000000000000000e+02,9.144208500000000583e+01
1.060000000000000000e+02,9.255370299999999872e+01
1.070000000000000000e+02,9.366608399999999790e+01
1.080000000000000000e+02,9.477912100000000351e+01
1.090000000000000000e+02,9.589266200000000140e+01
1.100000000000000000e+02,9.700664500000000601e+01
1.110000000000000000e+02,9.812094899999999598e+01
1.120000000000000000e+02,9.923546600000000240e+01
1.130000000000000000e+02,1.003501100000000008e+02
1.140000000000000000e+02,1.014647499999999951e+02
1.150000000000000000e+02,1.025793500000000051e+02
1.160000000000000000e+02,1.036937700000000007e+02
1.170000000000000000e+02,1.048079599999999942e+02
1.180000000000000000e+02,1.059218000000000046e+02
1.190000000000000000e+02,1.070352400000000017e+02
1.200000000000000000e+02,1.081481899999999996e+02
1.210000000000000000e+02,1.092605700000000013e+02
1.220000000000000000e+02,1.103723099999999988e+02
1.230000000000000000e+02,1.114833200000000062e+02
1.240000000000000000e+02,1.125935599999999965e+02
1.250000000000000000e+02,1.137029399999999981e+02
1.260000000000000000e+02,1.148114199999999983e+02
1.270000000000000000e+02,1.159188800000000015e+02
1.280000000000000000e+02,1.170253100000000046e+02
1.290000000000000000e+02,1.181306299999999965e+02
1.300000000000000000e+02,1.192347900000000038e+02
1.310000000000000000e+02,1.203377399999999966e+02
1.320000000000000000e+02,1.214393699999999967e+02
1.330000000000000000e+02,1.225396800000000042e+02
1.340000000000000000e+02,1.236386200000000031e+02
1.350000000000000000e+02,1.247361099999999965e+02
1.360000000000000000e+02,1.258320999999999970e+02
1.370000000000000000e+02,1.269265699999999981e+02
1.380000000000000000e+02,1.280194500000000062e+02
1.390000000000000000e+02,1.291106900000000053e+02
1.400000000000000000e+02,1.302002400000000080e+02
1.410000000000000000e+02,1.312880900000000111e+02
1.420000000000000000e+02,1.323741599999999892e+02
1.430000000000000000e+02,1.334584199999999896e+02
1.440000000000000000e+02,1.345408299999999997e+02
1.450000000000000000e+02,1.356213700000000131e+02
1.460000000000000000e+02,1.366999500000000012e+02
1.470000000000000000e+02,1.377765699999999924e+02
1.480000000000000000e+02,1.388511799999999994e+02
1.490000000000000000e+02,1.399237400000000093e+02
1.500000000000000000e+02,1.409942299999999875e+02
1.510000000000000000e+02,1.420625900000000001e+02
1.520000000000000000e+02,1.431287700000000029e+02
1.530000000000000000e+02,1.441927799999999991e+02
1.540000000000000000e+02,1.452545599999999979e+02
1.550000000000000000e+02,1.463140699999999867e+02
1.560000000000000000e+02,1.473713099999999940e+02
1.570000000000000000e+02,1.484816600000000051e+02
1.580000000000000000e+02,1.495540200000000084e+02
1.590000000000000000e+02,1.506151299999999935e+02
1.600000000000000000e+02,1.516709600000000080e+02
1.610000000000000000e+02,1.527223999999999933e+02
1.620000000000000000e+02,1.537700700000000040e+02
1.630000000000000000e+02,1.548142699999999934e+02
1.640000000000000000e+02,1.558552400000000091e+02
1.650000000000000000e+02,1.568930499999999881e+02
1.660000000000000000e+02,1.579277999999999906e+02
1.670000000000000000e+02,1.589595300000000009e+02
1.680000000000000000e+02,1.599883299999999906e+02
1.690000000000000000e+02,1.610141900000000135e+02
1.700000000000000000e+02,1.620371700000000033e+02
1.710000000000000000e+02,1.630572500000000105e+02
1.720000000000000000e+02,1.640744300000000067e+02
1.730000000000000000e+02,1.650887500000000045e+02
1.740000000000000000e+02,1.661001599999999883e+02
1.750000000000000000e+02,1.671086699999999894e+02
1.760000000000000000e+02,1.681142700000000048e+02
1.770000000000000000e+02,1.691169399999999996e+02
1.780000000000000000e+02,1.701166499999999928e+02
1.790000000000000000e+02,1.711134000000000128e+02
1.800000000000000000e+02,1.721071300000000122e+02
1.810000000000000000e+02,1.730978499999999940e+02
1.820000000000000000e+02,1.740855099999999993e+02
1.830000000000000000e+02,1.750700999999999965e+02
1.840000000000000000e+02,1.760515900000000045e+02
1.850000000000000000e+02,1.770299500000000137e+02
1.860000000000000000e+02,1.780051699999999926e+02
1.870000000000000000e+02,1.789772000000000105e+02
1.880000000000000000e+02,1.799460300000000075e+02
1.890000000000000000e+02,1.809116199999999992e+02
1.900000000000000000e+02,1.818739600000000110e+02
1.910000000000000000e+02,1.828330100000000016e+02
1.920000000000000000e+02,1.837887299999999868e+02
1.930000000000000000e+02,1.847411199999999951e+02
1.940000000000000000e+02,1.856901599999999917e+02
1.950000000000000000e+02,1.866357899999999859e+02
1.960000000000000000e+02,1.875780000000000030e+02
1.970000000000000000e+02,1.885167800000000113e+02
1.980000000000000000e+02,1.894521200000000078e+02
1.990000000000000000e+02,1.903839299999999923e+02
2.000000000000000000e+02,1.913122299999999996e+02
2.010000000000000000e+02,1.922369999999999948e+02
2.020000000000000000e+02,1.931581999999999937e+02
2.030000000000000000e+02,1.940758199999999931e+02
2.040000000000000000e+02,1.949898399999999867e+02
2.050000000000000000e+02,1.959002199999999903e+02
2.060000000000000000e+02,1.968069600000000037e+02
2.070000000000000000e+02,1.977100100000000111e+02
2.080000000000000000e+02,1.986093600000000094e+02
2.090000000000000000e+02,1.995050200000000018e+02
2.100000000000000000e+02,2.003969099999999912e+02
2.110000000000000000e+02,2.012850500000000125e+02
2.120000000000000000e+02,2.021694200000000023e+02
2.130000000000000000e+02,2.030500199999999893e+02
2.140000000000000000e+02,2.039267700000000048e+02
2.150000000000000000e+02,2.047996799999999951e+02
2.160000000000000000e+02,2.056687499999999886e+02
2.170000000000000000e+02,2.065339400000000012e+02
2.180000000000000000e+02,2.073952500000000043e+02
2.190000000000000000e+02,2.082526900000000012e+02
2.200000000000000000e+02,2.091062000000000012e+02
2.210000000000000000e+02,2.099557599999999979e+02
2.220000000000000000e+02,2.108013599999999883e+02
2.230000000000000000e+02,2.116430100000000039e+02
2.240000000000000000e+02,2.124806499999999971e+02
2.250000000000000000e+02,2.133143200000000093e+02
2.260000000000000000e+02,2.141439799999999991e+02
2.270000000000000000e+02,2.149696000000000140e+02
2.280000000000000000e+02,2.157912100000000066e+02
2.290000000000000000e+02,2.166087599999999895e+02
2.300000000000000000e+02,2.174222699999999975e+02
2.310000000000000000e+02,2.182316999999999894e+02
2.320000000000000000e+02,2.190370499999999936e+02
2.330000000000000000e+02,2.198383200000000102e+02
2.340000000000000000e+02,2.206354800000000012e+02
2.350000000000000000e+02,2.214285299999999950e+02
2.360000000000000000e+02,2.222174699999999916e+02
2.370000000000000000e+02,2.230022700000000100e+02
2.380000000000000000e+02,2.237829399999999964e+02
2.390000000000000000e+02,2.245594600000000014e+02
2.400000000000000000e+02,2.253318299999999965e+02
2.410000000000000000e+02,2.261000400000000070e+02
2.420000000000000000e+02,2.268640699999999981e+02
2.430000000000000000e+02,2.276239300000000014e+02
2.440000000000000000e+02,2.283795900000000074e+02
2.450000000000000000e+02,2.291310599999999909e+02
2.460000000000000000e+02,2.298783300000000054e+02
2.470000000000000000e+02,2.306213700000000131e+02
2.480000000000000000e+02,2.313601999999999919e+02
2.490000000000000000e+02,2.320947999999999922e+02
2.500000000000000000e+02,2.328251999999999953e+02
2.510000000000000000e+02,2.335513300000000072e+02
2.520000000000000000e+02,2.342732200000000091e+02
2.530000000000000000e+02,2.349908599999999979e+02
2.540000000000000000e+02,2.357042399999999986e+02
2.550000000000000000e+02,2.364133500000000083e+02
2.560000000000000000e+02,2.371181799999999953e+02
2.570000000000000000e+02,2.378187100000000100e+02
2.580000000000000000e+02,2.385149499999999989e+02
2.590000000000000000e+02,2.392068800000000124e+02
2.600000000000000000e+02,2.398945200000000000e+02
2.610000000000000000e+02,2.405778200000000027e+02
2.620000000000000000e+02,2.412567899999999952e+02
2.630000000000000000e+02,2.419314099999999996e+02
2.640000000000000000e+02,2.426016799999999876e+02
2.650000000000000000e+02,2.432676099999999906e+02
2.660000000000000000e+02,2.439291499999999928e+02
2.670000000000000000e+02,2.445862999999999943e+02
2.680000000000000000e+02,2.452390599999999949e+02
2.690000000000000000e+02,2.458874199999999917e+02
2.700000000000000000e+02,2.465313600000000065e+02
2.710000000000000000e+02,2.471708500000000015e+02
2.720000000000000000e+02,2.478059100000000115e+02
2.730000000000000000e+02,2.484365099999999984e+02
2.740000000000000000e+02,2.490626699999999971e+02
2.750000000000000000e+02,2.496843299999999886e+02
2.760000000000000000e+02,2.503014799999999980e+02
2.770000000000000000e+02,2.509141400000000033e+02
2.780000000000000000e+02,2.515222799999999950e+02
2.790000000000000000e+02,2.521258699999999919e+02
2.800000000000000000e+02,2.527249300000000005e+02
2.810000000000000000e+02,2.533194100000000049e+02
2.820000000000000000e+02,2.539093300000000113e+02
2.830000000000000000e+02,2.544946600000000103e+02
2.840000000000000000e+02,2.550753799999999956e+02
2.850000000000000000e+02,2.556514699999999891e+02
2.860000000000000000e+02,2.562229600000000005e+02
2.870000000000000000e+02,2.567897600000000011e+02
2.880000000000000000e+02,2.573519299999999816e+02
2.890000000000000000e+02,2.579094200000000114e+02
2.900000000000000000e+02,2.584622200000000021e+02
2.910000000000000000e+02,2.590103500000000167e+02
2.920000000000000000e+02,2.595537400000000048e+02
2.930000000000000000e+02,2.600924099999999726e+02
