# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.582253599999999949e+01
3.000000000000000000e+00,5.770166400000000095e+01
4.000000000000000000e+00,6.739104500000000542e+01
5.000000000000000000e+00,7.548883100000000468e+01
6.000000000000000000e+00,8.260943600000000231e+01
7.000000000000000000e+00,8.899214899999999773e+01
8.000000000000000000e+00,9.481373600000000579e+01
9.000000000000000000e+00,1.001825299999999999e+02
1.000000000000000000e+01,1.051797200000000032e+02
1.100000000000000000e+01,1.098629200000000026e+02
1.200000000000000000e+01,1.142766900000000021e+02
1.300000000000000000e+01,1.184562300000000050e+02
1.400000000000000000e+01,1.224298600000000050e+02
1.500000000000000000e+01,1.262195399999999950e+02
1.600000000000000000e+01,1.298440999999999974e+02
1.700000000000000000e+01,1.333203300000000127e+02
1.800000000000000000e+01,1.366612199999999859e+02
1.900000000000000000e+01,1.398779800000000080e+02
2.000000000000000000e+01,1.429814000000000078e+02
2.100000000000000000e+01,1.459792500000000075e+02
2.200000000000000000e+01,1.488793599999999913e+02
2.300000000000000000e+01,1.516897099999999909e+02
2.400000000000000000e+01,1.544149600000000078e+02
2.500000000000000000e+01,1.570607599999999877e+02
2.600000000000000000e+01,1.596324500000000057e+02
2.700000000000000000e+01,1.621339999999999861e+02
2.800000000000000000e+01,1.645695800000000020e+02
2.900000000000000000e+01,1.669428399999999897e+02
3.000000000000000000e+01,1.692568799999999953e+02
3.100000000000000000e+01,1.715148499999999956e+02
3.200000000000000000e+01,1.737194800000000043e+02
3.300000000000000000e+01,1.758730799999999874e+02
3.400000000000000000e+01,1.779787000000000035e+02
3.500000000000000000e+01,1.800382799999999861e+02
3.600000000000000000e+01,1.820533599999999979e+02
3.700000000000000000e+01,1.840263999999999953e+02
3.800000000000000000e+01,1.859595199999999977e+02
3.900000000000000000e+01,1.878535200000000032e+02
4.000000000000000000e+01,1.897104600000000119e+02
4.100000000000000000e+01,1.915318900000000042e+02
4.200000000000000000e+01,1.933187700000000007e+02
4.300000000000000000e+01,1.950728499999999883e+02
4.400000000000000000e+01,1.967960699999999861e+02
4.500000000000000000e+01,1.984880799999999965e+02
4.600000000000000000e+01,2.001513400000000047e+02
4.700000000000000000e+01,2.017868499999999869e+02
4.800000000000000000e+01,2.033951099999999883e+02
4.900000000000000000e+01,2.049770100000000070e+02
5.000000000000000000e+01,2.065345599999999990e+02
5.100000000000000000e+01,2.080677000000000021e+02
5.200000000000000000e+01,2.095775600000000054e+02
5.300000000000000000e+01,2.110656600000000083e+02
5.400000000000000000e+01,2.125320900000000108e+02
5.500000000000000000e+01,2.139782700000000091e+02
5.600000000000000000e+01,2.154050900000000013e+02
5.700000000000000000e+01,2.168122099999999932e+02
5.800000000000000000e+01,2.182015499999999975e+02
5.900000000000000000e+01,2.195732299999999952e+02
6.000000000000000000e+01,2.209283599999999979e+02
6.100000000000000000e+01,2.222664800000000014e+02
6.200000000000000000e+01,2.235898300000000063e+02
6.300000000000000000e+01,2.248975399999999922e+02
6.400000000000000000e+01,2.261905800000000113e+02
6.500000000000000000e+01,2.274703399999999931e+02
6.600000000000000000e+01,2.287356599999999958e+02
6.700000000000000000e+01,2.299877799999999866e+02
6.800000000000000000e+01,2.312271299999999883e+02
6.900000000000000000e+01,2.324536899999999946e+02
7.000000000000000000e+01,2.336674700000000087e+02
7.100000000000000000e+01,2.348691900000000032e+02
7.200000000000000000e+01,2.360583799999999997e+02
7.300000000000000000e+01,2.372352600000000109e+02
7.400000000000000000e+01,2.384003099999999904e+02
7.500000000000000000e+01,2.395529899999999941e+02
7.600000000000000000e+01,2.406934799999999939e+02
7.700000000000000000e+01,2.418220799999999997e+02
7.800000000000000000e+01,2.429388899999999865e+02
7.900000000000000000e+01,2.440429800000000000e+02
8.000000000000000000e+01,2.451353599999999915e+02
8.100000000000000000e+01,2.462154099999999914e+02
8.200000000000000000e+01,2.472839400000000012e+02
8.300000000000000000e+01,2.483402600000000007e+02
8.400000000000000000e+01,2.493843999999999994e+02
8.500000000000000000e+01,2.504173399999999958e+02
8.600000000000000000e+01,2.514384900000000016e+02
8.700000000000000000e+01,2.524477699999999913e+02
8.800000000000000000e+01,2.534462599999999952e+02
8.900000000000000000e+01,2.544334399999999903e+02
9.000000000000000000e+01,2.554099999999999966e+02
9.100000000000000000e+01,2.563752700000000004e+02
9.200000000000000000e+01,2.573309600000000046e+02
9.300000000000000000e+01,2.582756299999999783e+02
9.400000000000000000e+01,2.592108499999999935e+02
9.500000000000000000e+01,2.601367500000000064e+02
9.600000000000000000e+01,2.610523099999999772e+02
9.700000000000000000e+01,2.619590499999999906e+02
9.800000000000000000e+01,2.628571200000000090e+02
9.900000000000000000e+01,2.637458500000000186e+02
1.000000000000000000e+02,2.646260100000000079e+02
1.010000000000000000e+02,2.654983799999999974e+02
1.020000000000000000e+02,2.663619699999999852e+02
1.030000000000000000e+02,2.672177399999999921e+02
1.040000000000000000e+02,2.680661000000000058e+02
1.050000000000000000e+02,2.689064599999999814e+02
1.060000000000000000e+02,2.697392300000000205e+02
1.070000000000000000e+02,2.705651599999999917e+02
1.080000000000000000e+02,2.713838499999999954e+02
1.090000000000000000e+02,2.721954999999999814e+02
1.100000000000000000e+02,2.730006099999999947e+02
1.110000000000000000e+02,2.737987100000000282e+02
1.120000000000000000e+02,2.745902100000000132e+02
1.130000000000000000e+02,2.753752099999999814e+02
1.140000000000000000e+02,2.761538100000000213e+02
1.150000000000000000e+02,2.769260300000000257e+02
1.160000000000000000e+02,2.776922599999999761e+02
1.170000000000000000e+02,2.784521799999999985e+02
1.180000000000000000e+02,2.792059600000000046e+02
1.190000000000000000e+02,2.799540700000000015e+02
1.200000000000000000e+02,2.806959800000000200e+02
1.210000000000000000e+02,2.814321600000000103e+02
1.220000000000000000e+02,2.821623799999999846e+02
1.230000000000000000e+02,2.828866899999999873e+02
1.240000000000000000e+02,2.836052199999999743e+02
1.250000000000000000e+02,2.843183900000000222e+02
1.260000000000000000e+02,2.850259399999999914e+02
1.270000000000000000e+02,2.857277799999999957e+02
1.280000000000000000e+02,2.864239799999999718e+02
1.290000000000000000e+02,2.871144100000000208e+02
1.300000000000000000e+02,2.877991599999999721e+02
1.310000000000000000e+02,2.884788800000000037e+02
1.320000000000000000e+02,2.891525300000000129e+02
1.330000000000000000e+02,2.898209800000000200e+02
1.340000000000000000e+02,2.904842499999999745e+02
1.350000000000000000e+02,2.911414800000000014e+02
1.360000000000000000e+02,2.917931199999999876e+02
1.370000000000000000e+02,2.924396399999999971e+02
