# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500002299999999877e+01
7.000000000000000000e+00,2.500009199999999865e+01
8.000000000000000000e+00,2.500031500000000051e+01
9.000000000000000000e+00,2.500091700000000117e+01
1.000000000000000000e+01,2.500233300000000014e+01
1.100000000000000000e+01,2.500529300000000177e+01
1.200000000000000000e+01,2.501088000000000022e+01
1.300000000000000000e+01,2.502056500000000128e+01
1.400000000000000000e+01,2.503619199999999978e+01
1.500000000000000000e+01,2.505991600000000119e+01
1.600000000000000000e+01,2.509412999999999982e+01
1.700000000000000000e+01,2.514137799999999956e+01
1.800000000000000000e+01,2.520427099999999854e+01
1.900000000000000000e+01,2.528539500000000118e+01
2.000000000000000000e+01,2.538725300000000118e+01
2.100000000000000000e+01,2.551221800000000073e+01
2.200000000000000000e+01,2.566247900000000115e+01
2.300000000000000000e+01,2.584003399999999928e+01
2.400000000000000000e+01,2.604665599999999870e+01
2.500000000000000000e+01,2.628390299999999868e+01
2.600000000000000000e+01,2.655310100000000162e+01
2.700000000000000000e+01,2.685537000000000063e+01
2.800000000000000000e+01,2.719162000000000035e+01
2.900000000000000000e+01,2.756255499999999969e+01
3.000000000000000000e+01,2.796870600000000096e+01
3.100000000000000000e+01,2.841042900000000060e+01
3.200000000000000000e+01,2.888792199999999966e+01
3.300000000000000000e+01,2.940125300000000053e+01
3.400000000000000000e+01,2.995036699999999996e+01
3.500000000000000000e+01,3.053506700000000151e+01
3.600000000000000000e+01,3.115509399999999829e+01
3.700000000000000000e+01,3.181006599999999906e+01
3.800000000000000000e+01,3.249955400000000338e+01
3.900000000000000000e+01,3.322303800000000251e+01
4.000000000000000000e+01,3.397993900000000167e+01
4.100000000000000000e+01,3.476962999999999937e+01
4.200000000000000000e+01,3.559145000000000181e+01
4.300000000000000000e+01,3.644469800000000248e+01
4.400000000000000000e+01,3.732863600000000304e+01
4.500000000000000000e+01,3.824249300000000318e+01
4.600000000000000000e+01,3.918551999999999680e+01
4.700000000000000000e+01,4.015689799999999821e+01
4.800000000000000000e+01,4.115585699999999747e+01
4.900000000000000000e+01,4.218157999999999674e+01
5.000000000000000000e+01,4.323326099999999883e+01
5.100000000000000000e+01,4.431008099999999672e+01
5.200000000000000000e+01,4.541127800000000292e+01
5.300000000000000000e+01,4.653604500000000144e+01
5.400000000000000000e+01,4.768358599999999825e+01
5.500000000000000000e+01,4.885313399999999717e+01
5.600000000000000000e+01,5.004393000000000313e+01
5.700000000000000000e+01,5.125521499999999975e+01
5.800000000000000000e+01,5.248625599999999736e+01
5.900000000000000000e+01,5.373634299999999797e+01
6.000000000000000000e+01,5.500475300000000090e+01
6.100000000000000000e+01,5.629077499999999645e+01
6.200000000000000000e+01,5.759373899999999935e+01
6.300000000000000000e+01,5.891295999999999822e+01
6.400000000000000000e+01,6.024777999999999878e+01
6.500000000000000000e+01,6.159758000000000067e+01
6.600000000000000000e+01,6.296166999999999803e+01
6.700000000000000000e+01,6.433945500000000095e+01
6.800000000000000000e+01,6.573035400000000550e+01
6.900000000000000000e+01,6.713371999999999673e+01
7.000000000000000000e+01,6.862477900000000375e+01
7.100000000000000000e+01,7.007921600000000240e+01
7.200000000000000000e+01,7.153265399999999374e+01
7.300000000000000000e+01,7.299243900000000451e+01
7.400000000000000000e+01,7.445927399999999352e+01
7.500000000000000000e+01,7.593350999999999829e+01
7.600000000000000000e+01,7.741502400000000250e+01
7.700000000000000000e+01,7.890361799999999448e+01
7.800000000000000000e+01,8.039899400000000185e+01
7.900000000000000000e+01,8.190084099999999978e+01
8.000000000000000000e+01,8.340877500000000566e+01
8.100000000000000000e+01,8.492247799999999813e+01
8.200000000000000000e+01,8.644155100000000402e+01
8.300000000000000000e+01,8.796560700000000566e+01
8.400000000000000000e+01,8.949428600000000245e+01
8.500000000000000000e+01,9.102717599999999720e+01
8.600000000000000000e+01,9.256396499999999605e+01
8.700000000000000000e+01,9.410424000000000433e+01
8.800000000000000000e+01,9.564764399999999966e+01
8.900000000000000000e+01,9.719377099999999814e+01
9.000000000000000000e+01,9.874225599999999758e+01
9.100000000000000000e+01,1.002927600000000012e+02
9.200000000000000000e+01,1.018449200000000019e+02
9.300000000000000000e+01,1.033983300000000014e+02
9.400000000000000000e+01,1.049527099999999962e+02
9.500000000000000000e+01,1.065077399999999983e+02
9.600000000000000000e+01,1.080630799999999994e+02
9.700000000000000000e+01,1.096183999999999941e+02
9.800000000000000000e+01,1.111733899999999977e+02
9.900000000000000000e+01,1.127277799999999957e+02
1.000000000000000000e+02,1.142812700000000063e+02
1.010000000000000000e+02,1.158335199999999929e+02
1.020000000000000000e+02,1.173843399999999946e+02
1.030000000000000000e+02,1.189334599999999966e+02
1.040000000000000000e+02,1.204806300000000050e+02
1.050000000000000000e+02,1.220255999999999972e+02
1.060000000000000000e+02,1.235681199999999933e+02
1.070000000000000000e+02,1.251080000000000041e+02
1.080000000000000000e+02,1.266449800000000039e+02
1.090000000000000000e+02,1.281789400000000114e+02
1.100000000000000000e+02,1.297096400000000074e+02
1.110000000000000000e+02,1.312369099999999946e+02
1.120000000000000000e+02,1.327605399999999918e+02
1.130000000000000000e+02,1.342804299999999955e+02
1.140000000000000000e+02,1.357963399999999865e+02
1.150000000000000000e+02,1.373081999999999994e+02
1.160000000000000000e+02,1.388158300000000054e+02
1.170000000000000000e+02,1.403191099999999949e+02
1.180000000000000000e+02,1.418179000000000087e+02
1.190000000000000000e+02,1.433120900000000120e+02
1.200000000000000000e+02,1.448015900000000045e+02
1.210000000000000000e+02,1.462862900000000081e+02
1.220000000000000000e+02,1.477660400000000038e+02
1.230000000000000000e+02,1.492408100000000104e+02
1.240000000000000000e+02,1.507105099999999993e+02
1.250000000000000000e+02,1.521750000000000114e+02
1.260000000000000000e+02,1.536342600000000118e+02
1.270000000000000000e+02,1.550882400000000132e+02
1.280000000000000000e+02,1.565367999999999995e+02
1.290000000000000000e+02,1.579799500000000023e+02
1.300000000000000000e+02,1.594175899999999899e+02
1.310000000000000000e+02,1.608496900000000096e+02
1.320000000000000000e+02,1.622761999999999887e+02
1.330000000000000000e+02,1.636970499999999902e+02
1.340000000000000000e+02,1.651122400000000141e+02
1.350000000000000000e+02,1.665217000000000098e+02
1.360000000000000000e+02,1.679253999999999962e+02
1.370000000000000000e+02,1.693232999999999890e+02
1.380000000000000000e+02,1.707154199999999946e+02
1.390000000000000000e+02,1.721016700000000128e+02
1.400000000000000000e+02,1.734820699999999931e+02
1.410000000000000000e+02,1.748565499999999986e+02
1.420000000000000000e+02,1.762251100000000008e+02
1.430000000000000000e+02,1.775877700000000061e+02
1.440000000000000000e+02,1.789444599999999923e+02
1.450000000000000000e+02,1.802951999999999941e+02
1.460000000000000000e+02,1.816399399999999957e+02
1.470000000000000000e+02,1.829786699999999939e+02
1.480000000000000000e+02,1.843114199999999983e+02
1.490000000000000000e+02,1.856381199999999865e+02
1.500000000000000000e+02,1.869587999999999965e+02
1.510000000000000000e+02,1.882734700000000032e+02
1.520000000000000000e+02,1.895820500000000095e+02
1.530000000000000000e+02,1.908845499999999902e+02
1.540000000000000000e+02,1.921809800000000052e+02
1.550000000000000000e+02,1.934713700000000074e+02
1.560000000000000000e+02,1.947556899999999871e+02
1.570000000000000000e+02,1.960338700000000074e+02
1.580000000000000000e+02,1.973059399999999926e+02
1.590000000000000000e+02,1.985718999999999994e+02
1.600000000000000000e+02,1.998317399999999964e+02
1.610000000000000000e+02,2.010854799999999898e+02
1.620000000000000000e+02,2.023330699999999922e+02
1.630000000000000000e+02,2.035745100000000036e+02
1.640000000000000000e+02,2.048097999999999956e+02
1.650000000000000000e+02,2.060389099999999871e+02
1.660000000000000000e+02,2.072621900000000039e+02
1.670000000000000000e+02,2.084791299999999978e+02
1.680000000000000000e+02,2.096898300000000006e+02
1.690000000000000000e+02,2.108943299999999965e+02
1.700000000000000000e+02,2.120926200000000108e+02
1.710000000000000000e+02,2.132847399999999993e+02
1.720000000000000000e+02,2.144707300000000032e+02
1.730000000000000000e+02,2.156507100000000037e+02
1.740000000000000000e+02,2.168247200000000134e+02
1.750000000000000000e+02,2.179928899999999885e+02
1.760000000000000000e+02,2.191552599999999984e+02
1.770000000000000000e+02,2.203118900000000053e+02
1.780000000000000000e+02,2.214627700000000061e+02
1.790000000000000000e+02,2.226078899999999976e+02
1.800000000000000000e+02,2.237472500000000082e+02
1.810000000000000000e+02,2.248807400000000030e+02
1.820000000000000000e+02,2.260082999999999913e+02
1.830000000000000000e+02,2.271298800000000142e+02
1.840000000000000000e+02,2.282454099999999926e+02
1.850000000000000000e+02,2.293548099999999863e+02
1.860000000000000000e+02,2.304580200000000048e+02
1.870000000000000000e+02,2.315550100000000100e+02
1.880000000000000000e+02,2.326456599999999924e+02
1.890000000000000000e+02,2.337299500000000023e+02
1.900000000000000000e+02,2.348078199999999924e+02
1.910000000000000000e+02,2.358792400000000100e+02
1.920000000000000000e+02,2.369441099999999949e+02
1.930000000000000000e+02,2.380024099999999976e+02
1.940000000000000000e+02,2.390540799999999990e+02
1.950000000000000000e+02,2.400990899999999897e+02
1.960000000000000000e+02,2.411373900000000106e+02
1.970000000000000000e+02,2.421689000000000078e+02
1.980000000000000000e+02,2.431935699999999940e+02
1.990000000000000000e+02,2.442113600000000133e+02
2.000000000000000000e+02,2.452222099999999898e+02
2.010000000000000000e+02,2.462260400000000118e+02
2.020000000000000000e+02,2.472228399999999908e+02
2.030000000000000000e+02,2.482124799999999993e+02
2.040000000000000000e+02,2.491949299999999994e+02
2.050000000000000000e+02,2.501700999999999908e+02
2.060000000000000000e+02,2.511379499999999894e+02
2.070000000000000000e+02,2.520983899999999949e+02
2.080000000000000000e+02,2.530513500000000136e+02
2.090000000000000000e+02,2.539967000000000041e+02
2.100000000000000000e+02,2.549344199999999887e+02
2.110000000000000000e+02,2.558644099999999924e+02
2.120000000000000000e+02,2.567865600000000086e+02
2.130000000000000000e+02,2.577008400000000279e+02
2.140000000000000000e+02,2.586070900000000279e+02
2.150000000000000000e+02,2.595052800000000275e+02
2.160000000000000000e+02,2.603952899999999886e+02
2.170000000000000000e+02,2.612770100000000184e+02
2.180000000000000000e+02,2.621503900000000158e+02
2.190000000000000000e+02,2.630153199999999742e+02
2.200000000000000000e+02,2.638716999999999757e+02
2.210000000000000000e+02,2.647194200000000137e+02
2.220000000000000000e+02,2.655593000000000075e+02
2.230000000000000000e+02,2.663900100000000180e+02
2.240000000000000000e+02,2.672118800000000078e+02
2.250000000000000000e+02,2.680249600000000214e+02
2.260000000000000000e+02,2.688291899999999828e+02
2.270000000000000000e+02,2.696245999999999867e+02
2.280000000000000000e+02,2.704111300000000142e+02
2.290000000000000000e+02,2.711887199999999893e+02
2.300000000000000000e+02,2.719572400000000130e+02
2.310000000000000000e+02,2.727165800000000218e+02
2.320000000000000000e+02,2.734666100000000029e+02
2.330000000000000000e+02,2.742072099999999750e+02
2.340000000000000000e+02,2.749382299999999759e+02
2.350000000000000000e+02,2.756596099999999865e+02
2.360000000000000000e+02,2.763711500000000001e+02
2.370000000000000000e+02,2.770727800000000229e+02
2.380000000000000000e+02,2.777644300000000044e+02
2.390000000000000000e+02,2.784459800000000200e+02
2.400000000000000000e+02,2.791174300000000130e+02
2.410000000000000000e+02,2.797786600000000021e+02
2.420000000000000000e+02,2.804296299999999746e+02
2.430000000000000000e+02,2.810703399999999874e+02
2.440000000000000000e+02,2.817007800000000088e+02
2.450000000000000000e+02,2.823208900000000199e+02
2.460000000000000000e+02,2.829306900000000269e+02
2.470000000000000000e+02,2.835302100000000110e+02
2.480000000000000000e+02,2.841194499999999721e+02
2.490000000000000000e+02,2.846984299999999735e+02
2.500000000000000000e+02,2.852671799999999962e+02
2.510000000000000000e+02,2.858257800000000088e+02
2.520000000000000000e+02,2.863742399999999861e+02
2.530000000000000000e+02,2.869126600000000167e+02
2.540000000000000000e+02,2.874411000000000058e+02
2.550000000000000000e+02,2.879596300000000042e+02
2.560000000000000000e+02,2.884683200000000056e+02
2.570000000000000000e+02,2.889673500000000104e+02
2.580000000000000000e+02,2.894567299999999932e+02
2.590000000000000000e+02,2.899366099999999733e+02
2.600000000000000000e+02,2.904071000000000140e+02
2.610000000000000000e+02,2.908683800000000019e+02
2.620000000000000000e+02,2.913205300000000193e+02
2.630000000000000000e+02,2.917636999999999716e+02
2.640000000000000000e+02,2.921980599999999981e+02
2.650000000000000000e+02,2.926237800000000107e+02
2.660000000000000000e+02,2.930409900000000221e+02
2.670000000000000000e+02,2.934582500000000209e+02
2.680000000000000000e+02,2.938636200000000258e+02
2.690000000000000000e+02,2.942604699999999980e+02
2.700000000000000000e+02,2.946497800000000211e+02
2.710000000000000000e+02,2.950316799999999944e+02
2.720000000000000000e+02,2.954063400000000001e+02
2.730000000000000000e+02,2.957737999999999943e+02
2.740000000000000000e+02,2.961341899999999896e+02
2.750000000000000000e+02,2.964876100000000179e+02
2.760000000000000000e+02,2.968342000000000098e+02
2.770000000000000000e+02,2.971741299999999910e+02
2.780000000000000000e+02,2.975075699999999870e+02
2.790000000000000000e+02,2.978347200000000043e+02
2.800000000000000000e+02,2.981557900000000245e+02
2.810000000000000000e+02,2.984710099999999784e+02
2.820000000000000000e+02,2.987805500000000052e+02
2.830000000000000000e+02,2.990845899999999915e+02
2.840000000000000000e+02,2.993834200000000010e+02
2.850000000000000000e+02,2.996772199999999771e+02
2.860000000000000000e+02,2.999661899999999832e+02
2.870000000000000000e+02,3.002505499999999756e+02
2.880000000000000000e+02,3.005304600000000050e+02
2.890000000000000000e+02,3.008061799999999835e+02
2.900000000000000000e+02,3.010778799999999933e+02
2.910000000000000000e+02,3.013457300000000032e+02
2.920000000000000000e+02,3.016099500000000262e+02
2.930000000000000000e+02,3.018707600000000184e+02
