# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,2.500000400000000056e+01
7.000000000000000000e+00,2.500001900000000177e+01
8.000000000000000000e+00,2.500007199999999941e+01
9.000000000000000000e+00,2.500023099999999943e+01
1.000000000000000000e+01,2.500063899999999961e+01
1.100000000000000000e+01,2.500157400000000152e+01
1.200000000000000000e+01,2.500349399999999989e+01
1.300000000000000000e+01,2.500710499999999925e+01
1.400000000000000000e+01,2.501338799999999907e+01
1.500000000000000000e+01,2.502361900000000006e+01
1.600000000000000000e+01,2.503935399999999944e+01
1.700000000000000000e+01,2.506240999999999985e+01
1.800000000000000000e+01,2.509480500000000092e+01
1.900000000000000000e+01,2.513871400000000023e+01
2.000000000000000000e+01,2.519639799999999852e+01
2.100000000000000000e+01,2.527015700000000109e+01
2.200000000000000000e+01,2.536226699999999923e+01
2.300000000000000000e+01,2.547492799999999846e+01
2.400000000000000000e+01,2.561022200000000026e+01
2.500000000000000000e+01,2.577006899999999945e+01
2.600000000000000000e+01,2.595622300000000138e+01
2.700000000000000000e+01,2.617021199999999936e+01
2.800000000000000000e+01,2.641337000000000046e+01
2.900000000000000000e+01,2.668681099999999873e+01
3.000000000000000000e+01,2.699142499999999956e+01
3.100000000000000000e+01,2.732792299999999841e+01
3.200000000000000000e+01,2.769682699999999897e+01
3.300000000000000000e+01,2.809848600000000118e+01
3.400000000000000000e+01,2.854060899999999990e+01
3.500000000000000000e+01,2.901233300000000170e+01
3.600000000000000000e+01,2.951638799999999918e+01
3.700000000000000000e+01,3.005321299999999951e+01
3.800000000000000000e+01,3.062270900000000040e+01
3.900000000000000000e+01,3.122466899999999868e+01
4.000000000000000000e+01,3.185884300000000025e+01
4.100000000000000000e+01,3.252491799999999955e+01
4.200000000000000000e+01,3.322257599999999655e+01
4.300000000000000000e+01,3.395146900000000301e+01
4.400000000000000000e+01,3.471125399999999672e+01
4.500000000000000000e+01,3.550158700000000067e+01
4.600000000000000000e+01,3.632210200000000100e+01
4.700000000000000000e+01,3.717244000000000170e+01
4.800000000000000000e+01,3.805224599999999668e+01
4.900000000000000000e+01,3.896117799999999676e+01
5.000000000000000000e+01,3.989890700000000123e+01
5.100000000000000000e+01,4.086505900000000224e+01
5.200000000000000000e+01,4.185932499999999834e+01
5.300000000000000000e+01,4.288134000000000157e+01
5.400000000000000000e+01,4.393079399999999879e+01
5.500000000000000000e+01,4.500832700000000131e+01
5.600000000000000000e+01,4.611225499999999755e+01
5.700000000000000000e+01,4.724253800000000325e+01
5.800000000000000000e+01,4.839887199999999723e+01
5.900000000000000000e+01,4.958095900000000000e+01
6.000000000000000000e+01,5.078850599999999815e+01
6.100000000000000000e+01,5.202121400000000051e+01
6.200000000000000000e+01,5.327881200000000206e+01
6.300000000000000000e+01,5.456106599999999673e+01
6.400000000000000000e+01,5.586771000000000242e+01
6.500000000000000000e+01,5.719839900000000199e+01
6.600000000000000000e+01,5.855284100000000080e+01
6.700000000000000000e+01,5.993077100000000002e+01
6.800000000000000000e+01,6.133177200000000084e+01
6.900000000000000000e+01,6.275550799999999896e+01
7.000000000000000000e+01,6.420159099999999341e+01
7.100000000000000000e+01,6.566964699999999766e+01
7.200000000000000000e+01,6.715929400000000271e+01
7.300000000000000000e+01,6.867018099999999947e+01
7.400000000000000000e+01,7.020185100000000489e+01
7.500000000000000000e+01,7.175397499999999695e+01
7.600000000000000000e+01,7.332614900000000091e+01
7.700000000000000000e+01,7.491886900000000082e+01
7.800000000000000000e+01,7.653036500000000331e+01
7.900000000000000000e+01,7.816063699999999415e+01
8.000000000000000000e+01,7.980945599999999729e+01
8.100000000000000000e+01,8.147659299999999405e+01
8.200000000000000000e+01,8.316170499999999777e+01
8.300000000000000000e+01,8.486460099999999329e+01
8.400000000000000000e+01,8.658499100000000226e+01
8.500000000000000000e+01,8.832250999999999408e+01
8.600000000000000000e+01,9.007661400000000640e+01
8.700000000000000000e+01,9.184684000000000026e+01
8.800000000000000000e+01,9.363261400000000378e+01
8.900000000000000000e+01,9.543340299999999843e+01
9.000000000000000000e+01,9.724869499999999789e+01
9.100000000000000000e+01,9.907791899999999430e+01
9.200000000000000000e+01,1.009204699999999946e+02
9.300000000000000000e+01,1.027758599999999944e+02
9.400000000000000000e+01,1.046434899999999999e+02
9.500000000000000000e+01,1.065227900000000005e+02
9.600000000000000000e+01,1.084132100000000065e+02
9.700000000000000000e+01,1.103141999999999996e+02
9.800000000000000000e+01,1.122250999999999976e+02
9.900000000000000000e+01,1.141453699999999998e+02
1.000000000000000000e+02,1.160774200000000036e+02
1.010000000000000000e+02,1.180159299999999973e+02
1.020000000000000000e+02,1.199617700000000013e+02
1.030000000000000000e+02,1.219150300000000016e+02
1.040000000000000000e+02,1.238755000000000024e+02
1.050000000000000000e+02,1.258426099999999934e+02
1.060000000000000000e+02,1.278154700000000048e+02
1.070000000000000000e+02,1.297928599999999904e+02
1.080000000000000000e+02,1.317734700000000032e+02
1.090000000000000000e+02,1.337560100000000034e+02
1.100000000000000000e+02,1.357392100000000141e+02
1.110000000000000000e+02,1.377218200000000081e+02
1.120000000000000000e+02,1.397025099999999895e+02
1.130000000000000000e+02,1.416799599999999941e+02
1.140000000000000000e+02,1.436527700000000038e+02
1.150000000000000000e+02,1.456194299999999942e+02
1.160000000000000000e+02,1.475783500000000004e+02
1.170000000000000000e+02,1.495278600000000040e+02
1.180000000000000000e+02,1.514661700000000053e+02
1.190000000000000000e+02,1.533912799999999947e+02
1.200000000000000000e+02,1.553012099999999975e+02
1.210000000000000000e+02,1.571937399999999911e+02
1.220000000000000000e+02,1.590665099999999939e+02
1.230000000000000000e+02,1.609170699999999954e+02
1.240000000000000000e+02,1.627452499999999986e+02
1.250000000000000000e+02,1.645460099999999954e+02
1.260000000000000000e+02,1.663201300000000060e+02
1.270000000000000000e+02,1.680659799999999962e+02
1.280000000000000000e+02,1.697790699999999902e+02
1.290000000000000000e+02,1.714537799999999947e+02
1.300000000000000000e+02,1.730856899999999996e+02
1.310000000000000000e+02,1.746715900000000090e+02
1.320000000000000000e+02,1.762090300000000127e+02
1.330000000000000000e+02,1.776959400000000073e+02
1.340000000000000000e+02,1.791306899999999871e+02
1.350000000000000000e+02,1.805122499999999945e+02
1.360000000000000000e+02,1.818398899999999969e+02
1.370000000000000000e+02,1.831136199999999974e+02
1.380000000000000000e+02,1.843339499999999873e+02
1.390000000000000000e+02,1.855021199999999908e+02
1.400000000000000000e+02,1.866199499999999887e+02
1.410000000000000000e+02,1.876898700000000133e+02
1.420000000000000000e+02,1.887147500000000093e+02
1.430000000000000000e+02,1.896981000000000108e+02
1.440000000000000000e+02,1.906903200000000140e+02
1.450000000000000000e+02,1.916397699999999986e+02
1.460000000000000000e+02,1.925570199999999943e+02
1.470000000000000000e+02,1.934402900000000045e+02
1.480000000000000000e+02,1.942914000000000101e+02
1.490000000000000000e+02,1.951181899999999985e+02
1.500000000000000000e+02,1.959285299999999950e+02
1.510000000000000000e+02,1.967283600000000092e+02
1.520000000000000000e+02,1.975225100000000111e+02
1.530000000000000000e+02,1.983150300000000072e+02
1.540000000000000000e+02,1.991095300000000066e+02
1.550000000000000000e+02,1.999091899999999953e+02
1.560000000000000000e+02,2.007170299999999941e+02
1.570000000000000000e+02,2.015355199999999911e+02
1.580000000000000000e+02,2.023672599999999875e+02
1.590000000000000000e+02,2.032146099999999933e+02
1.600000000000000000e+02,2.040798299999999870e+02
1.610000000000000000e+02,2.049647799999999904e+02
1.620000000000000000e+02,2.058716400000000135e+02
1.630000000000000000e+02,2.068022200000000055e+02
1.640000000000000000e+02,2.080167199999999923e+02
1.650000000000000000e+02,2.090973500000000058e+02
1.660000000000000000e+02,2.101230799999999874e+02
1.670000000000000000e+02,2.111537299999999959e+02
1.680000000000000000e+02,2.122177599999999984e+02
1.690000000000000000e+02,2.133250999999999920e+02
1.700000000000000000e+02,2.144759799999999927e+02
1.710000000000000000e+02,2.156728999999999985e+02
1.720000000000000000e+02,2.169177999999999997e+02
1.730000000000000000e+02,2.182129500000000064e+02
1.740000000000000000e+02,2.195626100000000065e+02
1.750000000000000000e+02,2.209702800000000025e+02
1.760000000000000000e+02,2.224404800000000080e+02
1.770000000000000000e+02,2.239783299999999997e+02
1.780000000000000000e+02,2.255899400000000128e+02
1.790000000000000000e+02,2.272820000000000107e+02
1.800000000000000000e+02,2.290615200000000016e+02
1.810000000000000000e+02,2.309367799999999988e+02
1.820000000000000000e+02,2.329148099999999886e+02
1.830000000000000000e+02,2.350078399999999874e+02
1.840000000000000000e+02,2.372267799999999909e+02
1.850000000000000000e+02,2.395812699999999893e+02
1.860000000000000000e+02,2.430377300000000105e+02
1.870000000000000000e+02,2.458304899999999975e+02
1.880000000000000000e+02,2.486004299999999887e+02
1.890000000000000000e+02,2.516516599999999926e+02
1.900000000000000000e+02,2.549187499999999886e+02
1.910000000000000000e+02,2.584277299999999968e+02
1.920000000000000000e+02,2.621926900000000273e+02
1.930000000000000000e+02,2.662285800000000222e+02
1.940000000000000000e+02,2.705553600000000074e+02
1.950000000000000000e+02,2.751796600000000126e+02
1.960000000000000000e+02,2.801149599999999964e+02
1.970000000000000000e+02,2.853549499999999739e+02
1.980000000000000000e+02,2.908925199999999904e+02
1.990000000000000000e+02,2.967068199999999933e+02
2.000000000000000000e+02,3.027665099999999825e+02
2.010000000000000000e+02,3.090327100000000087e+02
2.020000000000000000e+02,3.154574600000000260e+02
2.030000000000000000e+02,3.219915500000000179e+02
2.040000000000000000e+02,3.285854800000000182e+02
2.050000000000000000e+02,3.351934200000000033e+02
2.060000000000000000e+02,3.417773099999999999e+02
2.070000000000000000e+02,3.483017899999999827e+02
2.080000000000000000e+02,3.547460899999999810e+02
2.090000000000000000e+02,3.610880399999999781e+02
2.100000000000000000e+02,3.673179600000000278e+02
2.110000000000000000e+02,3.734278600000000097e+02
2.120000000000000000e+02,3.794146400000000199e+02
2.130000000000000000e+02,3.852764900000000239e+02
2.140000000000000000e+02,3.910151999999999930e+02
2.150000000000000000e+02,3.966339399999999955e+02
2.160000000000000000e+02,4.021351599999999848e+02
2.170000000000000000e+02,4.075231899999999996e+02
2.180000000000000000e+02,4.128030999999999722e+02
2.190000000000000000e+02,4.179795199999999795e+02
2.200000000000000000e+02,4.230573699999999917e+02
2.210000000000000000e+02,4.280398299999999949e+02
2.220000000000000000e+02,4.329326800000000048e+02
2.230000000000000000e+02,4.377392899999999827e+02
2.240000000000000000e+02,4.424639300000000048e+02
2.250000000000000000e+02,4.471094100000000253e+02
2.260000000000000000e+02,4.516809700000000021e+02
2.270000000000000000e+02,4.561807900000000018e+02
2.280000000000000000e+02,4.606121200000000044e+02
2.290000000000000000e+02,4.649774800000000141e+02
2.300000000000000000e+02,4.692793899999999780e+02
2.310000000000000000e+02,4.735208099999999831e+02
2.320000000000000000e+02,4.777042200000000207e+02
2.330000000000000000e+02,4.818316300000000183e+02
2.340000000000000000e+02,4.859056400000000053e+02
2.350000000000000000e+02,4.899266999999999825e+02
2.360000000000000000e+02,4.938969700000000103e+02
2.370000000000000000e+02,4.978178700000000276e+02
2.380000000000000000e+02,5.016920799999999758e+02
2.390000000000000000e+02,5.055199600000000260e+02
2.400000000000000000e+02,5.093025499999999965e+02
2.410000000000000000e+02,5.130418100000000550e+02
2.420000000000000000e+02,5.167382199999999557e+02
2.430000000000000000e+02,5.203924600000000282e+02
2.440000000000000000e+02,5.240060999999999467e+02
2.450000000000000000e+02,5.275798300000000154e+02
2.460000000000000000e+02,5.311146899999999960e+02
2.470000000000000000e+02,5.346115700000000288e+02
2.480000000000000000e+02,5.380707400000000007e+02
2.490000000000000000e+02,5.414925500000000511e+02
2.500000000000000000e+02,5.448786599999999680e+02
2.510000000000000000e+02,5.482288200000000415e+02
2.520000000000000000e+02,5.515440099999999575e+02
2.530000000000000000e+02,5.548242800000000443e+02
2.540000000000000000e+02,5.580702499999999873e+02
2.550000000000000000e+02,5.612824100000000271e+02
2.560000000000000000e+02,5.644616099999999506e+02
2.570000000000000000e+02,5.676081500000000233e+02
2.580000000000000000e+02,5.707219199999999546e+02
2.590000000000000000e+02,5.738032200000000103e+02
2.600000000000000000e+02,5.768532699999999522e+02
2.610000000000000000e+02,5.798717699999999695e+02
2.620000000000000000e+02,5.828591300000000501e+02
2.630000000000000000e+02,5.858157300000000305e+02
2.640000000000000000e+02,5.887424300000000130e+02
2.650000000000000000e+02,5.916383700000000090e+02
2.660000000000000000e+02,5.945046999999999571e+02
2.670000000000000000e+02,5.973414299999999457e+02
2.680000000000000000e+02,6.001491700000000264e+02
2.690000000000000000e+02,6.029279800000000478e+02
2.700000000000000000e+02,6.056779800000000478e+02
2.710000000000000000e+02,6.083997799999999643e+02
2.720000000000000000e+02,6.110932000000000244e+02
2.730000000000000000e+02,6.137586700000000519e+02
2.740000000000000000e+02,6.163964799999999968e+02
2.750000000000000000e+02,6.190068400000000111e+02
2.760000000000000000e+02,6.215896000000000186e+02
2.770000000000000000e+02,6.241459999999999582e+02
2.780000000000000000e+02,6.266753499999999804e+02
2.790000000000000000e+02,6.291780999999999722e+02
2.800000000000000000e+02,6.316548500000000104e+02
2.810000000000000000e+02,6.341056499999999687e+02
2.820000000000000000e+02,6.365307000000000244e+02
2.830000000000000000e+02,6.389298099999999749e+02
2.840000000000000000e+02,6.413037100000000237e+02
2.850000000000000000e+02,6.436525900000000320e+02
2.860000000000000000e+02,6.459764400000000251e+02
2.870000000000000000e+02,6.482754499999999780e+02
2.880000000000000000e+02,6.505500500000000557e+02
2.890000000000000000e+02,6.528003499999999804e+02
2.900000000000000000e+02,6.550266100000000051e+02
2.910000000000000000e+02,6.572289399999999659e+02
2.920000000000000000e+02,6.594075299999999515e+02
2.930000000000000000e+02,6.615631100000000515e+02
