# Time [s], Temperature [C]
1.000000000000000000e+00,2.499998300000000029e+01
2.000000000000000000e+00,2.939153500000000108e+01
3.000000000000000000e+00,3.189763100000000051e+01
4.000000000000000000e+00,3.394493099999999686e+01
5.000000000000000000e+00,3.566674799999999834e+01
6.000000000000000000e+00,3.718719099999999855e+01
7.000000000000000000e+00,3.855727799999999661e+01
8.000000000000000000e+00,3.981309499999999701e+01
9.000000000000000000e+00,4.097733699999999857e+01
1.000000000000000000e+01,4.206625700000000023e+01
1.100000000000000000e+01,4.309201800000000304e+01
1.200000000000000000e+01,4.406340800000000257e+01
1.300000000000000000e+01,4.498783900000000102e+01
1.400000000000000000e+01,4.587079200000000156e+01
1.500000000000000000e+01,4.671691500000000019e+01
1.600000000000000000e+01,4.753015500000000060e+01
1.700000000000000000e+01,4.831370900000000290e+01
1.800000000000000000e+01,4.907021699999999953e+01
1.900000000000000000e+01,4.980202500000000043e+01
2.000000000000000000e+01,5.051128800000000041e+01
2.100000000000000000e+01,5.119957399999999836e+01
2.200000000000000000e+01,5.186856099999999969e+01
2.300000000000000000e+01,5.251955399999999941e+01
2.400000000000000000e+01,5.315366699999999867e+01
2.500000000000000000e+01,5.377212500000000261e+01
2.600000000000000000e+01,5.437588099999999969e+01
2.700000000000000000e+01,5.496575899999999848e+01
2.800000000000000000e+01,5.554254199999999742e+01
2.900000000000000000e+01,5.610699499999999773e+01
3.000000000000000000e+01,5.665972099999999756e+01
3.100000000000000000e+01,5.720136999999999716e+01
3.200000000000000000e+01,5.773245599999999911e+01
3.300000000000000000e+01,5.825359300000000218e+01
3.400000000000000000e+01,5.876507900000000006e+01
3.500000000000000000e+01,5.926750599999999736e+01
3.600000000000000000e+01,5.976111199999999712e+01
3.700000000000000000e+01,6.024646400000000313e+01
3.800000000000000000e+01,6.072373600000000238e+01
3.900000000000000000e+01,6.119334800000000030e+01
4.000000000000000000e+01,6.165548700000000082e+01
4.100000000000000000e+01,6.211063800000000157e+01
4.200000000000000000e+01,6.255895600000000201e+01
4.300000000000000000e+01,6.300070199999999687e+01
4.400000000000000000e+01,6.343603099999999984e+01
4.500000000000000000e+01,6.386529500000000326e+01
4.600000000000000000e+01,6.428866600000000631e+01
4.700000000000000000e+01,6.470632200000000012e+01
4.800000000000000000e+01,6.511843899999999508e+01
4.900000000000000000e+01,6.552523800000000165e+01
5.000000000000000000e+01,6.592680400000000418e+01
5.100000000000000000e+01,6.632342500000000030e+01
5.200000000000000000e+01,6.671519499999999425e+01
5.300000000000000000e+01,6.710227999999999327e+01
5.400000000000000000e+01,6.748487099999999828e+01
5.500000000000000000e+01,6.786296099999999853e+01
5.600000000000000000e+01,6.823675500000000227e+01
5.700000000000000000e+01,6.860636900000000082e+01
5.800000000000000000e+01,6.897193900000000610e+01
5.900000000000000000e+01,6.933359500000000253e+01
6.000000000000000000e+01,6.969139099999999587e+01
6.100000000000000000e+01,7.004544799999999327e+01
6.200000000000000000e+01,7.039597299999999791e+01
6.300000000000000000e+01,7.074289699999999925e+01
6.400000000000000000e+01,7.108636500000000069e+01
6.500000000000000000e+01,7.142649099999999862e+01
6.600000000000000000e+01,7.176342800000000466e+01
6.700000000000000000e+01,7.209713000000000704e+01
6.800000000000000000e+01,7.242775699999999972e+01
6.900000000000000000e+01,7.275543999999999301e+01
7.000000000000000000e+01,7.308010099999999909e+01
7.100000000000000000e+01,7.340188600000000463e+01
7.200000000000000000e+01,7.372093999999999880e+01
7.300000000000000000e+01,7.403719300000000203e+01
7.400000000000000000e+01,7.435081499999999721e+01
7.500000000000000000e+01,7.466193400000000224e+01
7.600000000000000000e+01,7.497042799999999829e+01
7.700000000000000000e+01,7.527652700000000152e+01
7.800000000000000000e+01,7.558014699999999664e+01
7.900000000000000000e+01,7.588140900000000499e+01
8.000000000000000000e+01,7.618045800000000156e+01
8.100000000000000000e+01,7.647726400000000524e+01
8.200000000000000000e+01,7.677178200000000174e+01
8.300000000000000000e+01,7.706417799999999829e+01
8.400000000000000000e+01,7.735456800000000044e+01
8.500000000000000000e+01,7.764290599999999642e+01
8.600000000000000000e+01,7.792916099999999346e+01
8.700000000000000000e+01,7.821347799999999495e+01
8.800000000000000000e+01,7.849606300000000658e+01
8.900000000000000000e+01,7.877663400000000138e+01
9.000000000000000000e+01,7.905538199999999449e+01
9.100000000000000000e+01,7.933243600000000129e+01
9.200000000000000000e+01,7.960773500000000524e+01
9.300000000000000000e+01,7.988123299999999460e+01
9.400000000000000000e+01,8.015317500000000450e+01
9.500000000000000000e+01,8.042351499999999476e+01
9.600000000000000000e+01,8.069214599999999393e+01
9.700000000000000000e+01,8.095923600000000420e+01
9.800000000000000000e+01,8.122496800000000405e+01
9.900000000000000000e+01,8.148905200000000093e+01
1.000000000000000000e+02,8.175168600000000652e+01
1.010000000000000000e+02,8.201306200000000501e+01
1.020000000000000000e+02,8.227287300000000414e+01
1.030000000000000000e+02,8.253132600000000707e+01
1.040000000000000000e+02,8.278861200000000053e+01
1.050000000000000000e+02,8.304442600000000141e+01
1.060000000000000000e+02,8.329896499999999548e+01
1.070000000000000000e+02,8.355240600000000484e+01
1.080000000000000000e+02,8.380446600000000501e+01
1.090000000000000000e+02,8.405532100000000639e+01
1.100000000000000000e+02,8.430516799999999478e+01
1.110000000000000000e+02,8.455370299999999872e+01
1.120000000000000000e+02,8.480127699999999891e+01
1.130000000000000000e+02,8.504760699999999929e+01
1.140000000000000000e+02,8.529281600000000196e+01
1.150000000000000000e+02,8.553713999999999373e+01
1.160000000000000000e+02,8.578029600000000698e+01
1.170000000000000000e+02,8.602240000000000464e+01
1.180000000000000000e+02,8.626366400000000567e+01
1.190000000000000000e+02,8.650382999999999356e+01
1.200000000000000000e+02,8.674319500000000005e+01
1.210000000000000000e+02,8.698146800000000667e+01
1.220000000000000000e+02,8.721878800000000354e+01
1.230000000000000000e+02,8.745536800000000710e+01
1.240000000000000000e+02,8.769093300000000113e+01
1.250000000000000000e+02,8.792575800000000186e+01
1.260000000000000000e+02,8.815960699999999406e+01
1.270000000000000000e+02,8.839268500000000017e+01
1.280000000000000000e+02,8.862496199999999646e+01
1.290000000000000000e+02,8.885636900000000082e+01
1.300000000000000000e+02,8.908709699999999998e+01
1.310000000000000000e+02,8.931694000000000244e+01
1.320000000000000000e+02,8.954608199999999840e+01
1.330000000000000000e+02,8.977449000000000012e+01
1.340000000000000000e+02,9.000211299999999426e+01
1.350000000000000000e+02,9.022912599999999372e+01
1.360000000000000000e+02,9.045531499999999880e+01
1.370000000000000000e+02,9.068086999999999875e+01
1.380000000000000000e+02,9.090576199999999574e+01
1.390000000000000000e+02,9.112999000000000649e+01
1.400000000000000000e+02,9.135356899999999314e+01
1.410000000000000000e+02,9.157644700000000171e+01
1.420000000000000000e+02,9.179879800000000500e+01
1.430000000000000000e+02,9.202040900000000079e+01
1.440000000000000000e+02,9.224145500000000197e+01
1.450000000000000000e+02,9.246190599999999904e+01
1.460000000000000000e+02,9.268180099999999300e+01
1.470000000000000000e+02,9.290107700000000079e+01
1.480000000000000000e+02,9.311980400000000202e+01
1.490000000000000000e+02,9.333798199999999667e+01
1.500000000000000000e+02,9.355554200000000264e+01
1.510000000000000000e+02,9.377268999999999721e+01
1.520000000000000000e+02,9.398916599999999733e+01
1.530000000000000000e+02,9.420516999999999541e+01
1.540000000000000000e+02,9.442067000000000121e+01
