# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,9.999999400000000316e-01
9.000000000000000000e+00,9.999998799999999521e-01
1.000000000000000000e+01,9.999997600000000153e-01
1.100000000000000000e+01,9.999995200000000306e-01
1.200000000000000000e+01,9.999989900000000320e-01
1.300000000000000000e+01,9.999980299999999822e-01
1.400000000000000000e+01,9.999964199999999970e-01
1.500000000000000000e+01,9.999936200000000275e-01
1.600000000000000000e+01,9.999890299999999455e-01
1.700000000000000000e+01,9.999817600000000528e-01
1.800000000000000000e+01,9.999704999999999844e-01
1.900000000000000000e+01,9.999536300000000377e-01
2.000000000000000000e+01,9.999288299999999907e-01
2.100000000000000000e+01,9.998933700000000036e-01
2.200000000000000000e+01,9.998437799999999598e-01
2.300000000000000000e+01,9.997759499999999688e-01
2.400000000000000000e+01,9.996850499999999640e-01
2.500000000000000000e+01,9.995659599999999756e-01
2.600000000000000000e+01,9.994133699999999676e-01
2.700000000000000000e+01,9.992209699999999861e-01
2.800000000000000000e+01,9.989843400000000262e-01
2.900000000000000000e+01,9.986994900000000230e-01
3.000000000000000000e+01,9.983604600000000051e-01
3.100000000000000000e+01,9.979673000000000016e-01
3.200000000000000000e+01,9.975203299999999551e-01
3.300000000000000000e+01,9.970124999999999682e-01
3.400000000000000000e+01,9.964511400000000130e-01
3.500000000000000000e+01,9.958398899999999498e-01
3.600000000000000000e+01,9.951667800000000286e-01
3.700000000000000000e+01,9.944471099999999675e-01
3.800000000000000000e+01,9.936855999999999467e-01
3.900000000000000000e+01,9.928621600000000491e-01
4.000000000000000000e+01,9.920006399999999891e-01
4.100000000000000000e+01,9.911049600000000348e-01
4.200000000000000000e+01,9.901464599999999505e-01
4.300000000000000000e+01,9.891572600000000381e-01
4.400000000000000000e+01,9.881403399999999504e-01
4.500000000000000000e+01,9.870588200000000034e-01
4.600000000000000000e+01,9.859525000000000095e-01
4.700000000000000000e+01,9.848232900000000178e-01
4.800000000000000000e+01,9.836276800000000042e-01
4.900000000000000000e+01,9.824113799999999452e-01
5.000000000000000000e+01,9.811758999999999897e-01
5.100000000000000000e+01,9.798732399999999787e-01
5.200000000000000000e+01,9.785518600000000511e-01
5.300000000000000000e+01,9.772145199999999754e-01
5.400000000000000000e+01,9.758111800000000002e-01
5.500000000000000000e+01,9.743893099999999530e-01
5.600000000000000000e+01,9.729545099999999946e-01
5.700000000000000000e+01,9.714573600000000475e-01
5.800000000000000000e+01,9.699413199999999957e-01
5.900000000000000000e+01,9.684151399999999521e-01
6.000000000000000000e+01,9.668331700000000195e-01
6.100000000000000000e+01,9.652323099999999823e-01
6.200000000000000000e+01,9.636239399999999566e-01
6.300000000000000000e+01,9.619683599999999668e-01
6.400000000000000000e+01,9.602947200000000461e-01
6.500000000000000000e+01,9.586158399999999968e-01
6.600000000000000000e+01,9.568990499999999733e-01
6.700000000000000000e+01,9.551656800000000169e-01
6.800000000000000000e+01,9.534284499999999829e-01
6.900000000000000000e+01,9.516618799999999601e-01
7.000000000000000000e+01,9.498804800000000270e-01
7.100000000000000000e+01,9.475091100000000433e-01
7.200000000000000000e+01,9.455866200000000443e-01
7.300000000000000000e+01,9.437988400000000278e-01
7.400000000000000000e+01,9.420194600000000307e-01
7.500000000000000000e+01,9.402322800000000314e-01
7.600000000000000000e+01,9.384300700000000051e-01
7.700000000000000000e+01,9.366279800000000266e-01
7.800000000000000000e+01,9.348077200000000087e-01
7.900000000000000000e+01,9.329766000000000448e-01
8.000000000000000000e+01,9.311421500000000018e-01
8.100000000000000000e+01,9.292940499999999826e-01
8.200000000000000000e+01,9.274360499999999563e-01
8.300000000000000000e+01,9.255746599999999935e-01
8.400000000000000000e+01,9.237030099999999910e-01
8.500000000000000000e+01,9.218230200000000485e-01
8.600000000000000000e+01,9.199400500000000092e-01
8.700000000000000000e+01,9.180495100000000130e-01
8.800000000000000000e+01,9.161526599999999521e-01
8.900000000000000000e+01,9.142534700000000125e-01
9.000000000000000000e+01,9.123489299999999469e-01
9.100000000000000000e+01,9.104397300000000026e-01
9.200000000000000000e+01,9.085288000000000252e-01
9.300000000000000000e+01,9.066143599999999525e-01
9.400000000000000000e+01,9.046963999999999562e-01
9.500000000000000000e+01,9.027767799999999454e-01
9.600000000000000000e+01,9.008545900000000106e-01
9.700000000000000000e+01,8.989296599999999637e-01
9.800000000000000000e+01,8.970035299999999934e-01
9.900000000000000000e+01,8.950753200000000076e-01
1.000000000000000000e+02,8.931447300000000533e-01
1.010000000000000000e+02,8.912131199999999698e-01
1.020000000000000000e+02,8.892800199999999489e-01
1.030000000000000000e+02,8.873453100000000537e-01
1.040000000000000000e+02,8.854096500000000480e-01
1.050000000000000000e+02,8.834728600000000265e-01
1.060000000000000000e+02,8.815349300000000499e-01
1.070000000000000000e+02,8.794544899999999776e-01
1.080000000000000000e+02,8.774172099999999475e-01
1.090000000000000000e+02,8.754122899999999818e-01
1.100000000000000000e+02,8.734321000000000446e-01
1.110000000000000000e+02,8.714661000000000213e-01
1.120000000000000000e+02,8.695088600000000501e-01
1.130000000000000000e+02,8.675571100000000202e-01
1.140000000000000000e+02,8.656080999999999914e-01
1.150000000000000000e+02,8.636603400000000264e-01
1.160000000000000000e+02,8.617128099999999957e-01
1.170000000000000000e+02,8.597648100000000460e-01
1.180000000000000000e+02,8.578159199999999540e-01
1.190000000000000000e+02,8.558660700000000343e-01
1.200000000000000000e+02,8.539149200000000217e-01
1.210000000000000000e+02,8.519620900000000052e-01
1.220000000000000000e+02,8.500076500000000035e-01
1.230000000000000000e+02,8.480516700000000352e-01
1.240000000000000000e+02,8.460937099999999988e-01
1.250000000000000000e+02,8.441337899999999950e-01
1.260000000000000000e+02,8.421720299999999604e-01
1.270000000000000000e+02,8.402081099999999525e-01
1.280000000000000000e+02,8.382420499999999608e-01
1.290000000000000000e+02,8.362739099999999537e-01
1.300000000000000000e+02,8.343034999999999757e-01
