# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,3.327902199999999766e+01
3.000000000000000000e+00,3.805644199999999699e+01
4.000000000000000000e+00,4.195819099999999935e+01
5.000000000000000000e+00,4.522970999999999719e+01
6.000000000000000000e+00,4.811202999999999719e+01
7.000000000000000000e+00,5.070140099999999705e+01
8.000000000000000000e+00,5.306776800000000094e+01
9.000000000000000000e+00,5.525451999999999941e+01
1.000000000000000000e+01,5.729377699999999862e+01
1.100000000000000000e+01,5.920875900000000058e+01
1.200000000000000000e+01,6.101707499999999840e+01
1.300000000000000000e+01,6.273277300000000167e+01
1.400000000000000000e+01,6.436695100000000025e+01
1.500000000000000000e+01,6.592881800000000680e+01
1.600000000000000000e+01,6.742577400000000409e+01
1.700000000000000000e+01,6.886417400000000555e+01
1.800000000000000000e+01,7.024954999999999927e+01
1.900000000000000000e+01,7.158599900000000105e+01
2.000000000000000000e+01,7.287813599999999781e+01
2.100000000000000000e+01,7.412903599999999926e+01
2.200000000000000000e+01,7.534159900000000221e+01
2.300000000000000000e+01,7.651876099999999781e+01
2.400000000000000000e+01,7.766287199999999302e+01
2.500000000000000000e+01,7.877608499999999481e+01
2.600000000000000000e+01,7.986041299999999410e+01
2.700000000000000000e+01,8.091723600000000260e+01
2.800000000000000000e+01,8.194825699999999813e+01
2.900000000000000000e+01,8.295533799999999758e+01
3.000000000000000000e+01,8.393907199999999591e+01
3.100000000000000000e+01,8.490101599999999848e+01
3.200000000000000000e+01,8.584232299999999327e+01
3.300000000000000000e+01,8.676398500000000524e+01
3.400000000000000000e+01,8.766662599999999372e+01
3.500000000000000000e+01,8.855149099999999862e+01
3.600000000000000000e+01,8.941923500000000047e+01
3.700000000000000000e+01,9.027036300000000324e+01
3.800000000000000000e+01,9.110603299999999649e+01
3.900000000000000000e+01,9.192659799999999848e+01
4.000000000000000000e+01,9.273268899999999348e+01
4.100000000000000000e+01,9.352498599999999840e+01
4.200000000000000000e+01,9.430385599999999613e+01
4.300000000000000000e+01,9.506984699999999577e+01
4.400000000000000000e+01,9.582353999999999417e+01
4.500000000000000000e+01,9.656524699999999939e+01
4.600000000000000000e+01,9.729542499999999450e+01
4.700000000000000000e+01,9.801456500000000460e+01
4.800000000000000000e+01,9.872292299999999443e+01
4.900000000000000000e+01,9.942105100000000562e+01
5.000000000000000000e+01,1.001093099999999936e+02
5.100000000000000000e+01,1.007877199999999931e+02
5.200000000000000000e+01,1.014567600000000027e+02
5.300000000000000000e+01,1.021170299999999997e+02
5.400000000000000000e+01,1.027682499999999948e+02
5.500000000000000000e+01,1.034109899999999982e+02
5.600000000000000000e+01,1.040456700000000012e+02
5.700000000000000000e+01,1.046723000000000070e+02
5.800000000000000000e+01,1.052911399999999986e+02
5.900000000000000000e+01,1.059027600000000007e+02
6.000000000000000000e+01,1.065067899999999952e+02
6.100000000000000000e+01,1.071040200000000056e+02
6.200000000000000000e+01,1.076942399999999935e+02
6.300000000000000000e+01,1.082778500000000008e+02
6.400000000000000000e+01,1.088550000000000040e+02
6.500000000000000000e+01,1.094259700000000066e+02
6.600000000000000000e+01,1.099907900000000041e+02
6.700000000000000000e+01,1.105498300000000000e+02
6.800000000000000000e+01,1.111030399999999929e+02
6.900000000000000000e+01,1.116506200000000035e+02
7.000000000000000000e+01,1.121927299999999974e+02
7.100000000000000000e+01,1.127296000000000049e+02
7.200000000000000000e+01,1.132613300000000010e+02
7.300000000000000000e+01,1.137880899999999968e+02
7.400000000000000000e+01,1.143099799999999959e+02
7.500000000000000000e+01,1.148270700000000062e+02
7.600000000000000000e+01,1.153396299999999997e+02
7.700000000000000000e+01,1.158477000000000032e+02
7.800000000000000000e+01,1.163513200000000012e+02
7.900000000000000000e+01,1.168507299999999987e+02
8.000000000000000000e+01,1.173461499999999944e+02
8.100000000000000000e+01,1.178372300000000052e+02
8.200000000000000000e+01,1.183245500000000021e+02
8.300000000000000000e+01,1.188081499999999977e+02
8.400000000000000000e+01,1.192879800000000046e+02
8.500000000000000000e+01,1.197639999999999958e+02
8.600000000000000000e+01,1.202365499999999940e+02
8.700000000000000000e+01,1.207057499999999948e+02
8.800000000000000000e+01,1.211715200000000010e+02
8.900000000000000000e+01,1.216340299999999957e+02
9.000000000000000000e+01,1.220932099999999991e+02
9.100000000000000000e+01,1.225492500000000007e+02
9.200000000000000000e+01,1.230024099999999976e+02
9.300000000000000000e+01,1.234525000000000006e+02
9.400000000000000000e+01,1.238996499999999941e+02
9.500000000000000000e+01,1.243439400000000035e+02
9.600000000000000000e+01,1.247855100000000022e+02
9.700000000000000000e+01,1.252243799999999965e+02
9.800000000000000000e+01,1.256606100000000055e+02
9.900000000000000000e+01,1.260941100000000006e+02
1.000000000000000000e+02,1.265252200000000045e+02
1.010000000000000000e+02,1.269539000000000044e+02
1.020000000000000000e+02,1.273801299999999941e+02
1.030000000000000000e+02,1.278038300000000049e+02
1.040000000000000000e+02,1.282253699999999981e+02
1.050000000000000000e+02,1.286446100000000001e+02
1.060000000000000000e+02,1.290616100000000017e+02
1.070000000000000000e+02,1.294765199999999936e+02
1.080000000000000000e+02,1.298892999999999915e+02
1.090000000000000000e+02,1.302999700000000018e+02
1.100000000000000000e+02,1.307086899999999901e+02
1.110000000000000000e+02,1.311153700000000129e+02
1.120000000000000000e+02,1.315201099999999883e+02
1.130000000000000000e+02,1.319229899999999986e+02
1.140000000000000000e+02,1.323239599999999996e+02
1.150000000000000000e+02,1.327230500000000006e+02
1.160000000000000000e+02,1.331203600000000051e+02
1.170000000000000000e+02,1.335157900000000097e+02
1.180000000000000000e+02,1.339095599999999990e+02
1.190000000000000000e+02,1.343016800000000046e+02
1.200000000000000000e+02,1.346921199999999885e+02
1.210000000000000000e+02,1.350809299999999951e+02
1.220000000000000000e+02,1.354681899999999928e+02
1.230000000000000000e+02,1.358538399999999911e+02
1.240000000000000000e+02,1.362379200000000026e+02
1.250000000000000000e+02,1.366205600000000118e+02
1.260000000000000000e+02,1.370016599999999869e+02
1.270000000000000000e+02,1.373812900000000070e+02
1.280000000000000000e+02,1.377595200000000091e+02
1.290000000000000000e+02,1.381363100000000088e+02
1.300000000000000000e+02,1.385116899999999873e+02
1.310000000000000000e+02,1.388857600000000048e+02
1.320000000000000000e+02,1.392584200000000010e+02
1.330000000000000000e+02,1.396297600000000045e+02
1.340000000000000000e+02,1.399999699999999905e+02
1.350000000000000000e+02,1.403687899999999900e+02
1.360000000000000000e+02,1.407363000000000000e+02
1.370000000000000000e+02,1.411025799999999890e+02
1.380000000000000000e+02,1.414676100000000076e+02
1.390000000000000000e+02,1.418314699999999959e+02
1.400000000000000000e+02,1.421941099999999949e+02
1.410000000000000000e+02,1.425555300000000045e+02
1.420000000000000000e+02,1.429157899999999870e+02
1.430000000000000000e+02,1.432749499999999898e+02
1.440000000000000000e+02,1.436329299999999876e+02
1.450000000000000000e+02,1.439898100000000056e+02
1.460000000000000000e+02,1.443456299999999999e+02
1.470000000000000000e+02,1.447003300000000081e+02
1.480000000000000000e+02,1.450539400000000114e+02
1.490000000000000000e+02,1.454065600000000131e+02
1.500000000000000000e+02,1.457581600000000037e+02
1.510000000000000000e+02,1.461087499999999864e+02
1.520000000000000000e+02,1.464583100000000115e+02
1.530000000000000000e+02,1.468067900000000066e+02
1.540000000000000000e+02,1.471542800000000000e+02
1.550000000000000000e+02,1.475008500000000140e+02
1.560000000000000000e+02,1.478464400000000012e+02
1.570000000000000000e+02,1.481910200000000088e+02
1.580000000000000000e+02,1.485347600000000057e+02
1.590000000000000000e+02,1.488774300000000039e+02
1.600000000000000000e+02,1.492191599999999880e+02
1.610000000000000000e+02,1.495601200000000119e+02
1.620000000000000000e+02,1.499000499999999931e+02
1.630000000000000000e+02,1.502390399999999886e+02
1.640000000000000000e+02,1.505771599999999921e+02
1.650000000000000000e+02,1.509144400000000132e+02
1.660000000000000000e+02,1.512507500000000107e+02
1.670000000000000000e+02,1.515862600000000100e+02
1.680000000000000000e+02,1.519208999999999889e+02
1.690000000000000000e+02,1.522546499999999980e+02
1.700000000000000000e+02,1.525877399999999966e+02
1.710000000000000000e+02,1.529198599999999999e+02
1.720000000000000000e+02,1.532511900000000082e+02
1.730000000000000000e+02,1.535816199999999867e+02
1.740000000000000000e+02,1.539112100000000112e+02
1.750000000000000000e+02,1.542399399999999901e+02
1.760000000000000000e+02,1.545679199999999867e+02
1.770000000000000000e+02,1.548951999999999884e+02
1.780000000000000000e+02,1.552216899999999953e+02
1.790000000000000000e+02,1.555472900000000038e+02
1.800000000000000000e+02,1.558720899999999858e+02
1.810000000000000000e+02,1.561960599999999886e+02
1.820000000000000000e+02,1.565192900000000122e+02
1.830000000000000000e+02,1.568418100000000095e+02
1.840000000000000000e+02,1.571635899999999992e+02
1.850000000000000000e+02,1.574846200000000067e+02
1.860000000000000000e+02,1.578048599999999908e+02
1.870000000000000000e+02,1.581243100000000084e+02
1.880000000000000000e+02,1.584431299999999965e+02
1.890000000000000000e+02,1.587610599999999863e+02
1.900000000000000000e+02,1.590783800000000099e+02
1.910000000000000000e+02,1.593949399999999912e+02
1.920000000000000000e+02,1.597107200000000091e+02
1.930000000000000000e+02,1.600257900000000006e+02
1.940000000000000000e+02,1.603402600000000007e+02
1.950000000000000000e+02,1.606538400000000024e+02
1.960000000000000000e+02,1.609668299999999874e+02
1.970000000000000000e+02,1.612790500000000122e+02
1.980000000000000000e+02,1.615906099999999981e+02
1.990000000000000000e+02,1.619013699999999858e+02
2.000000000000000000e+02,1.622115499999999884e+02
2.010000000000000000e+02,1.625210600000000056e+02
2.020000000000000000e+02,1.628297699999999963e+02
2.030000000000000000e+02,1.631378899999999987e+02
2.040000000000000000e+02,1.634451899999999966e+02
2.050000000000000000e+02,1.637518300000000124e+02
2.060000000000000000e+02,1.640579500000000053e+02
2.070000000000000000e+02,1.643633600000000001e+02
2.080000000000000000e+02,1.646679699999999968e+02
2.090000000000000000e+02,1.649719800000000021e+02
2.100000000000000000e+02,1.652752499999999998e+02
2.110000000000000000e+02,1.655779899999999998e+02
2.120000000000000000e+02,1.658800999999999988e+02
2.130000000000000000e+02,1.661813799999999901e+02
2.140000000000000000e+02,1.664820300000000088e+02
2.150000000000000000e+02,1.667820700000000045e+02
2.160000000000000000e+02,1.670815900000000056e+02
2.170000000000000000e+02,1.673803100000000086e+02
2.180000000000000000e+02,1.676784499999999980e+02
2.190000000000000000e+02,1.679758600000000115e+02
2.200000000000000000e+02,1.682726700000000051e+02
2.210000000000000000e+02,1.685689199999999914e+02
2.220000000000000000e+02,1.688644899999999893e+02
2.230000000000000000e+02,1.691593900000000019e+02
2.240000000000000000e+02,1.694537400000000105e+02
2.250000000000000000e+02,1.697474100000000021e+02
2.260000000000000000e+02,1.700404100000000085e+02
2.270000000000000000e+02,1.703328099999999949e+02
2.280000000000000000e+02,1.706246299999999962e+02
2.290000000000000000e+02,1.709158199999999965e+02
2.300000000000000000e+02,1.712063799999999958e+02
2.310000000000000000e+02,1.714962500000000034e+02
2.320000000000000000e+02,1.717855999999999881e+02
2.330000000000000000e+02,1.720743999999999971e+02
2.340000000000000000e+02,1.723624700000000018e+02
2.350000000000000000e+02,1.726499599999999930e+02
2.360000000000000000e+02,1.729368100000000084e+02
2.370000000000000000e+02,1.732231800000000135e+02
2.380000000000000000e+02,1.735088199999999858e+02
2.390000000000000000e+02,1.737939299999999889e+02
2.400000000000000000e+02,1.740783099999999877e+02
2.410000000000000000e+02,1.743622300000000109e+02
2.420000000000000000e+02,1.746456100000000049e+02
2.430000000000000000e+02,1.749282200000000103e+02
2.440000000000000000e+02,1.752102399999999989e+02
