# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997300000000067e+01
2.000000000000000000e+00,9.549668099999999527e+01
3.000000000000000000e+00,1.383248600000000010e+02
4.000000000000000000e+00,1.707360199999999963e+02
5.000000000000000000e+00,1.976552700000000016e+02
6.000000000000000000e+00,2.209599900000000048e+02
7.000000000000000000e+00,2.417560300000000097e+02
8.000000000000000000e+00,2.608934899999999857e+02
9.000000000000000000e+00,2.784058499999999867e+02
1.000000000000000000e+01,2.936894500000000221e+02
1.100000000000000000e+01,3.064400899999999979e+02
1.200000000000000000e+01,3.161531400000000076e+02
1.300000000000000000e+01,3.229737900000000081e+02
1.400000000000000000e+01,3.286080900000000042e+02
1.500000000000000000e+01,3.326607399999999757e+02
1.600000000000000000e+01,3.368289500000000203e+02
1.700000000000000000e+01,3.426443199999999933e+02
1.800000000000000000e+01,3.457575100000000248e+02
1.900000000000000000e+01,3.512246400000000222e+02
2.000000000000000000e+01,3.584606899999999996e+02
2.100000000000000000e+01,3.623503999999999792e+02
2.200000000000000000e+01,3.692983399999999961e+02
2.300000000000000000e+01,3.762863800000000083e+02
2.400000000000000000e+01,3.530352500000000191e+02
2.500000000000000000e+01,3.805466900000000123e+02
2.600000000000000000e+01,3.792292199999999980e+02
2.700000000000000000e+01,3.922251600000000167e+02
2.800000000000000000e+01,3.966196600000000103e+02
2.900000000000000000e+01,4.088101500000000215e+02
3.000000000000000000e+01,4.153793900000000008e+02
3.100000000000000000e+01,4.223192399999999793e+02
3.200000000000000000e+01,4.293379499999999780e+02
3.300000000000000000e+01,4.347025100000000180e+02
3.400000000000000000e+01,4.394998499999999808e+02
3.500000000000000000e+01,4.448537600000000225e+02
3.600000000000000000e+01,4.498578499999999849e+02
3.700000000000000000e+01,4.551866099999999733e+02
3.800000000000000000e+01,4.602156699999999887e+02
3.900000000000000000e+01,4.653263900000000035e+02
4.000000000000000000e+01,4.699853499999999826e+02
4.100000000000000000e+01,4.745001500000000192e+02
4.200000000000000000e+01,4.786441300000000183e+02
4.300000000000000000e+01,4.826579899999999839e+02
4.400000000000000000e+01,4.865439499999999953e+02
4.500000000000000000e+01,4.879135099999999738e+02
4.600000000000000000e+01,4.861732799999999770e+02
4.700000000000000000e+01,4.885814799999999991e+02
4.800000000000000000e+01,4.929671599999999785e+02
4.900000000000000000e+01,4.971237199999999916e+02
5.000000000000000000e+01,5.011027799999999957e+02
5.100000000000000000e+01,5.047480199999999968e+02
5.200000000000000000e+01,5.081521900000000187e+02
5.300000000000000000e+01,5.114202599999999848e+02
5.400000000000000000e+01,5.146049199999999928e+02
5.500000000000000000e+01,5.177476799999999457e+02
5.600000000000000000e+01,5.208663299999999481e+02
5.700000000000000000e+01,5.239520300000000361e+02
5.800000000000000000e+01,5.269820600000000468e+02
5.900000000000000000e+01,5.299534899999999880e+02
6.000000000000000000e+01,5.328452800000000025e+02
6.100000000000000000e+01,5.356464799999999968e+02
6.200000000000000000e+01,5.383709099999999808e+02
6.300000000000000000e+01,5.410103800000000547e+02
6.400000000000000000e+01,5.435905800000000454e+02
6.500000000000000000e+01,5.461241499999999860e+02
6.600000000000000000e+01,5.486070600000000468e+02
6.700000000000000000e+01,5.510424799999999550e+02
6.800000000000000000e+01,5.534367700000000241e+02
6.900000000000000000e+01,5.557733200000000124e+02
7.000000000000000000e+01,5.580634800000000268e+02
7.100000000000000000e+01,5.595273999999999432e+02
7.200000000000000000e+01,5.612647699999999986e+02
7.300000000000000000e+01,5.630817899999999554e+02
7.400000000000000000e+01,5.648749400000000378e+02
7.500000000000000000e+01,5.668026700000000346e+02
7.600000000000000000e+01,5.687532300000000305e+02
7.700000000000000000e+01,5.707328499999999849e+02
7.800000000000000000e+01,5.727175300000000107e+02
7.900000000000000000e+01,5.747017799999999852e+02
8.000000000000000000e+01,5.766821899999999914e+02
8.100000000000000000e+01,5.786306799999999839e+02
8.200000000000000000e+01,5.805576800000000048e+02
8.300000000000000000e+01,5.824564199999999801e+02
8.400000000000000000e+01,5.843224500000000035e+02
8.500000000000000000e+01,5.861454499999999825e+02
8.600000000000000000e+01,5.879376200000000381e+02
8.700000000000000000e+01,5.896926899999999705e+02
8.800000000000000000e+01,5.914127799999999979e+02
8.900000000000000000e+01,5.931065700000000334e+02
9.000000000000000000e+01,5.947642799999999852e+02
9.100000000000000000e+01,5.963979500000000371e+02
9.200000000000000000e+01,5.980037800000000061e+02
9.300000000000000000e+01,5.995806300000000419e+02
9.400000000000000000e+01,6.011301899999999705e+02
9.500000000000000000e+01,6.026587500000000546e+02
9.600000000000000000e+01,6.041629000000000360e+02
9.700000000000000000e+01,6.056501500000000533e+02
9.800000000000000000e+01,6.071194500000000289e+02
9.900000000000000000e+01,6.084957299999999805e+02
1.000000000000000000e+02,6.097200299999999515e+02
1.010000000000000000e+02,6.109069799999999759e+02
1.020000000000000000e+02,6.121057100000000446e+02
1.030000000000000000e+02,6.132863200000000461e+02
1.040000000000000000e+02,6.145225799999999481e+02
1.050000000000000000e+02,6.157754499999999780e+02
1.060000000000000000e+02,6.170579199999999673e+02
1.070000000000000000e+02,6.183519900000000007e+02
1.080000000000000000e+02,6.196483799999999746e+02
1.090000000000000000e+02,6.209404899999999543e+02
1.100000000000000000e+02,6.222249799999999595e+02
1.110000000000000000e+02,6.235010999999999513e+02
1.120000000000000000e+02,6.247601899999999659e+02
1.130000000000000000e+02,6.260064700000000357e+02
1.140000000000000000e+02,6.272369400000000041e+02
1.150000000000000000e+02,6.284497099999999818e+02
1.160000000000000000e+02,6.296575900000000274e+02
1.170000000000000000e+02,6.308445400000000518e+02
1.180000000000000000e+02,6.320173999999999523e+02
1.190000000000000000e+02,6.331842699999999695e+02
1.200000000000000000e+02,6.343348399999999856e+02
1.210000000000000000e+02,6.354721100000000433e+02
1.220000000000000000e+02,6.365971100000000433e+02
1.230000000000000000e+02,6.377136199999999917e+02
1.240000000000000000e+02,6.388140300000000025e+02
1.250000000000000000e+02,6.398970900000000483e+02
1.260000000000000000e+02,6.409330400000000054e+02
1.270000000000000000e+02,6.419194899999999961e+02
1.280000000000000000e+02,6.428853800000000547e+02
1.290000000000000000e+02,6.438324000000000069e+02
1.300000000000000000e+02,6.447780800000000454e+02
1.310000000000000000e+02,6.457273599999999760e+02
1.320000000000000000e+02,6.466837199999999939e+02
1.330000000000000000e+02,6.476440400000000182e+02
1.340000000000000000e+02,6.486069300000000339e+02
1.350000000000000000e+02,6.495702499999999873e+02
1.360000000000000000e+02,6.505283200000000079e+02
1.370000000000000000e+02,6.514885299999999688e+02
1.380000000000000000e+02,6.524431200000000217e+02
1.390000000000000000e+02,6.533868400000000065e+02
1.400000000000000000e+02,6.543297099999999773e+02
1.410000000000000000e+02,6.552595800000000281e+02
1.420000000000000000e+02,6.561865800000000490e+02
1.430000000000000000e+02,6.571054699999999684e+02
1.440000000000000000e+02,6.580142200000000230e+02
1.450000000000000000e+02,6.589175999999999931e+02
1.460000000000000000e+02,6.598137199999999893e+02
1.470000000000000000e+02,6.606932399999999461e+02
1.480000000000000000e+02,6.615451000000000477e+02
1.490000000000000000e+02,6.623956899999999450e+02
1.500000000000000000e+02,6.632221100000000433e+02
1.510000000000000000e+02,6.640315600000000131e+02
1.520000000000000000e+02,6.648327600000000075e+02
1.530000000000000000e+02,6.656214599999999564e+02
1.540000000000000000e+02,6.664086300000000165e+02
1.550000000000000000e+02,6.671908600000000433e+02
1.560000000000000000e+02,6.679734499999999571e+02
1.570000000000000000e+02,6.687540900000000192e+02
1.580000000000000000e+02,6.695286899999999832e+02
1.590000000000000000e+02,6.703018799999999828e+02
1.600000000000000000e+02,6.710676300000000083e+02
1.610000000000000000e+02,6.718341100000000097e+02
1.620000000000000000e+02,6.725947300000000268e+02
1.630000000000000000e+02,6.733496099999999842e+02
1.640000000000000000e+02,6.741018100000000004e+02
1.650000000000000000e+02,6.748497899999999845e+02
1.660000000000000000e+02,6.755877699999999777e+02
1.670000000000000000e+02,6.763248300000000199e+02
1.680000000000000000e+02,6.770548099999999749e+02
1.690000000000000000e+02,6.777770400000000564e+02
1.700000000000000000e+02,6.785106799999999794e+02
1.710000000000000000e+02,6.792325399999999718e+02
1.720000000000000000e+02,6.799378100000000131e+02
1.730000000000000000e+02,6.806316500000000360e+02
1.740000000000000000e+02,6.813147000000000162e+02
1.750000000000000000e+02,6.819896899999999960e+02
1.760000000000000000e+02,6.826548500000000104e+02
1.770000000000000000e+02,6.833137199999999893e+02
1.780000000000000000e+02,6.839692400000000134e+02
1.790000000000000000e+02,6.846184700000000021e+02
1.800000000000000000e+02,6.852662400000000389e+02
1.810000000000000000e+02,6.859121099999999842e+02
1.820000000000000000e+02,6.865535899999999856e+02
1.830000000000000000e+02,6.871938499999999976e+02
1.840000000000000000e+02,6.878337400000000343e+02
1.850000000000000000e+02,6.884713100000000168e+02
1.860000000000000000e+02,6.891093799999999874e+02
1.870000000000000000e+02,6.897431599999999889e+02
1.880000000000000000e+02,6.903779299999999921e+02
1.890000000000000000e+02,6.910114099999999553e+02
1.900000000000000000e+02,6.916420900000000529e+02
1.910000000000000000e+02,6.922761799999999539e+02
1.920000000000000000e+02,6.929047199999999975e+02
1.930000000000000000e+02,6.935362499999999955e+02
1.940000000000000000e+02,6.941644300000000385e+02
1.950000000000000000e+02,6.947949800000000096e+02
1.960000000000000000e+02,6.954270599999999831e+02
1.970000000000000000e+02,6.960389400000000251e+02
1.980000000000000000e+02,6.966378799999999956e+02
1.990000000000000000e+02,6.972733200000000124e+02
2.000000000000000000e+02,6.979074699999999893e+02
2.010000000000000000e+02,6.985430300000000443e+02
2.020000000000000000e+02,6.991820099999999911e+02
2.030000000000000000e+02,6.998281899999999496e+02
2.040000000000000000e+02,7.004766200000000254e+02
2.050000000000000000e+02,7.011339699999999766e+02
2.060000000000000000e+02,7.018037100000000237e+02
2.070000000000000000e+02,7.024779700000000275e+02
2.080000000000000000e+02,7.031699800000000096e+02
2.090000000000000000e+02,7.038795800000000327e+02
2.100000000000000000e+02,7.046035799999999654e+02
2.110000000000000000e+02,7.053474700000000439e+02
2.120000000000000000e+02,7.061114499999999907e+02
2.130000000000000000e+02,7.069016699999999673e+02
2.140000000000000000e+02,7.077158200000000079e+02
2.150000000000000000e+02,7.085625000000000000e+02
2.160000000000000000e+02,7.094361000000000104e+02
2.170000000000000000e+02,7.103428300000000490e+02
2.180000000000000000e+02,7.112824699999999893e+02
2.190000000000000000e+02,7.122507299999999759e+02
2.200000000000000000e+02,7.132528700000000299e+02
