# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997300000000067e+01
2.000000000000000000e+00,9.769091799999999637e+01
3.000000000000000000e+00,1.423442400000000134e+02
4.000000000000000000e+00,1.760909100000000080e+02
5.000000000000000000e+00,2.040702400000000125e+02
6.000000000000000000e+00,2.282251100000000008e+02
7.000000000000000000e+00,2.496291799999999910e+02
8.000000000000000000e+00,2.690831299999999828e+02
9.000000000000000000e+00,2.872266500000000065e+02
1.000000000000000000e+01,3.039671900000000164e+02
1.100000000000000000e+01,3.189461400000000140e+02
1.200000000000000000e+01,3.321513100000000236e+02
1.300000000000000000e+01,3.434789700000000039e+02
1.400000000000000000e+01,3.528791800000000194e+02
1.500000000000000000e+01,3.600031999999999925e+02
1.600000000000000000e+01,3.654557500000000232e+02
1.700000000000000000e+01,3.709082900000000222e+02
1.800000000000000000e+01,3.747542399999999816e+02
1.900000000000000000e+01,3.786969300000000089e+02
2.000000000000000000e+01,3.844456799999999816e+02
2.100000000000000000e+01,3.881627500000000168e+02
2.200000000000000000e+01,3.926890300000000025e+02
2.300000000000000000e+01,3.994936500000000024e+02
2.400000000000000000e+01,4.043487499999999955e+02
2.500000000000000000e+01,4.097636999999999716e+02
2.600000000000000000e+01,4.171323899999999867e+02
2.700000000000000000e+01,4.227247300000000223e+02
2.800000000000000000e+01,4.277681900000000041e+02
2.900000000000000000e+01,4.332124900000000025e+02
3.000000000000000000e+01,4.372335199999999986e+02
3.100000000000000000e+01,4.406618000000000279e+02
3.200000000000000000e+01,4.442385899999999879e+02
3.300000000000000000e+01,4.477067000000000121e+02
3.400000000000000000e+01,4.513538800000000037e+02
3.500000000000000000e+01,4.552306199999999876e+02
3.600000000000000000e+01,4.591341899999999896e+02
3.700000000000000000e+01,4.629269699999999830e+02
3.800000000000000000e+01,4.664907499999999914e+02
3.900000000000000000e+01,4.697653500000000122e+02
4.000000000000000000e+01,4.727835099999999784e+02
4.100000000000000000e+01,4.756358299999999986e+02
4.200000000000000000e+01,4.784236099999999965e+02
4.300000000000000000e+01,4.812280900000000088e+02
4.400000000000000000e+01,4.840892000000000053e+02
4.500000000000000000e+01,4.869922500000000127e+02
4.600000000000000000e+01,4.898985599999999749e+02
4.700000000000000000e+01,4.927503699999999753e+02
4.800000000000000000e+01,4.955103100000000040e+02
4.900000000000000000e+01,4.981391899999999850e+02
5.000000000000000000e+01,5.006609500000000139e+02
5.100000000000000000e+01,5.030803799999999910e+02
5.200000000000000000e+01,5.054481499999999983e+02
5.300000000000000000e+01,5.077796900000000164e+02
5.400000000000000000e+01,5.101069299999999771e+02
5.500000000000000000e+01,5.124381100000000515e+02
5.600000000000000000e+01,5.137123400000000402e+02
5.700000000000000000e+01,5.135828199999999697e+02
5.800000000000000000e+01,5.154251100000000179e+02
5.900000000000000000e+01,5.172152099999999564e+02
6.000000000000000000e+01,5.191329299999999876e+02
6.100000000000000000e+01,5.210674999999999955e+02
6.200000000000000000e+01,5.230092799999999897e+02
6.300000000000000000e+01,5.249632000000000289e+02
6.400000000000000000e+01,5.269217499999999745e+02
6.500000000000000000e+01,5.288925199999999904e+02
6.600000000000000000e+01,5.308602899999999636e+02
6.700000000000000000e+01,5.328210400000000391e+02
6.800000000000000000e+01,5.347587899999999763e+02
6.900000000000000000e+01,5.366696799999999712e+02
7.000000000000000000e+01,5.385446200000000090e+02
7.100000000000000000e+01,5.403833600000000388e+02
7.200000000000000000e+01,5.421850600000000213e+02
7.300000000000000000e+01,5.439580700000000206e+02
7.400000000000000000e+01,5.457023900000000367e+02
7.500000000000000000e+01,5.474273100000000341e+02
7.600000000000000000e+01,5.491343399999999519e+02
7.700000000000000000e+01,5.508216599999999517e+02
7.800000000000000000e+01,5.524976199999999835e+02
7.900000000000000000e+01,5.541516100000000051e+02
8.000000000000000000e+01,5.557849099999999680e+02
8.100000000000000000e+01,5.573973999999999478e+02
8.200000000000000000e+01,5.589815099999999575e+02
8.300000000000000000e+01,5.605453499999999849e+02
8.400000000000000000e+01,5.620815999999999804e+02
8.500000000000000000e+01,5.635989399999999705e+02
8.600000000000000000e+01,5.650999799999999595e+02
