s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 0.0000000E+000, 8.0000004E-003, 2.5000000E+001, 2.5000000E+001
 1.0000000E+000, 8.0000004E-003, 2.4999971E+001, 2.5000000E+001
 2.0000000E+000, 8.0000004E-003, 3.3402660E+001, 2.5000000E+001
 3.0000000E+000, 8.0000004E-003, 3.8176563E+001, 2.5000000E+001
 4.0000000E+000, 8.0000004E-003, 4.2040154E+001, 2.5000000E+001
 5.0000000E+000, 8.0000004E-003, 4.5273613E+001, 2.5000000E+001
 6.0000000E+000, 8.0000004E-003, 4.8114189E+001, 2.5000002E+001
 7.0000000E+000, 8.0000004E-003, 5.0663036E+001, 2.5000010E+001
 8.0000000E+000, 8.0000004E-003, 5.2990067E+001, 2.5000031E+001
 9.0000000E+000, 8.0000004E-003, 5.5139423E+001, 2.5000095E+001
 1.0000000E+001, 8.0000004E-003, 5.7141968E+001, 2.5000256E+001
 1.1000000E+001, 8.0000004E-003, 5.9022198E+001, 2.5000605E+001
 1.2000000E+001, 8.0000004E-003, 6.0798038E+001, 2.5001295E+001
 1.3000000E+001, 8.0000004E-003, 6.2481560E+001, 2.5002548E+001
 1.4000000E+001, 8.0000004E-003, 6.4085579E+001, 2.5004656E+001
 1.5000000E+001, 8.0000004E-003, 6.5618187E+001, 2.5007978E+001
 1.6000000E+001, 8.0000004E-003, 6.7086937E+001, 2.5012941E+001
 1.7000000E+001, 8.0000004E-003, 6.8498604E+001, 2.5020021E+001
 1.8000000E+001, 8.0000004E-003, 6.9857849E+001, 2.5029726E+001
 1.9000000E+001, 8.0000004E-003, 7.1169220E+001, 2.5042589E+001
 2.0000000E+001, 8.0000004E-003, 7.2436752E+001, 2.5059147E+001
 2.1000000E+001, 8.0000004E-003, 7.3664223E+001, 2.5079929E+001
 2.2000000E+001, 8.0000004E-003, 7.4854309E+001, 2.5105452E+001
 2.3000000E+001, 8.0000004E-003, 7.6009712E+001, 2.5136200E+001
 2.4000000E+001, 8.0000004E-003, 7.7132507E+001, 2.5172630E+001
 2.5000000E+001, 8.0000004E-003, 7.8224854E+001, 2.5215166E+001
 2.6000000E+001, 8.0000004E-003, 7.9289589E+001, 2.5264185E+001
 2.7000000E+001, 8.0000004E-003, 8.0327515E+001, 2.5320030E+001
 2.8000000E+001, 8.0000004E-003, 8.1339462E+001, 2.5382999E+001
 2.9000000E+001, 8.0000004E-003, 8.2328316E+001, 2.5453354E+001
 3.0000000E+001, 8.0000004E-003, 8.3294479E+001, 2.5531309E+001
 3.1000000E+001, 8.0000004E-003, 8.4239212E+001, 2.5617041E+001
 3.2000000E+001, 8.0000004E-003, 8.5163704E+001, 2.5710701E+001
 3.3000000E+001, 8.0000004E-003, 8.6069138E+001, 2.5812412E+001
 3.4000000E+001, 8.0000004E-003, 8.6955971E+001, 2.5922243E+001
 3.5000000E+001, 8.0000004E-003, 8.7825180E+001, 2.6040249E+001
 3.6000000E+001, 8.0000004E-003, 8.8677864E+001, 2.6166458E+001
 3.7000000E+001, 8.0000004E-003, 8.9514664E+001, 2.6300879E+001
 3.8000000E+001, 8.0000004E-003, 9.0336212E+001, 2.6443491E+001
 3.9000000E+001, 8.0000004E-003, 9.1142952E+001, 2.6594254E+001
 4.0000000E+001, 8.0000004E-003, 9.1935516E+001, 2.6753130E+001
 4.1000000E+001, 8.0000004E-003, 9.2714561E+001, 2.6920038E+001
 4.2000000E+001, 8.0000004E-003, 9.3480423E+001, 2.7094902E+001
 4.3000000E+001, 8.0000004E-003, 9.4233620E+001, 2.7277618E+001
 4.4000000E+001, 8.0000004E-003, 9.4974739E+001, 2.7468084E+001
 4.5000000E+001, 8.0000004E-003, 9.5704048E+001, 2.7666185E+001
 4.6000000E+001, 8.0000004E-003, 9.6422012E+001, 2.7871807E+001
 4.7000000E+001, 8.0000004E-003, 9.7129173E+001, 2.8084810E+001
 4.8000000E+001, 8.0000004E-003, 9.7826141E+001, 2.8305071E+001
 4.9000000E+001, 8.0000004E-003, 9.8512436E+001, 2.8532448E+001
 5.0000000E+001, 8.0000004E-003, 9.9189682E+001, 2.8766800E+001
 5.1000000E+001, 8.0000004E-003, 9.9856972E+001, 2.9008007E+001
 5.2000000E+001, 8.0000004E-003, 1.0051524E+002, 2.9255875E+001
 5.3000000E+001, 8.0000004E-003, 1.0116414E+002, 2.9510267E+001
 5.4000000E+001, 8.0000004E-003, 1.0180495E+002, 2.9771053E+001
 5.5000000E+001, 8.0000004E-003, 1.0243739E+002, 3.0038069E+001
 5.6000000E+001, 8.0000004E-003, 1.0306113E+002, 3.0311180E+001
 5.7000000E+001, 8.0000004E-003, 1.0367797E+002, 3.0590221E+001
 5.8000000E+001, 8.0000004E-003, 1.0428629E+002, 3.0875061E+001
 5.9000000E+001, 8.0000004E-003, 1.0488819E+002, 3.1165554E+001
 6.0000000E+001, 8.0000004E-003, 1.0548195E+002, 3.1461533E+001
 6.1000000E+001, 8.0000004E-003, 1.0606914E+002, 3.1762835E+001
 6.2000000E+001, 8.0000004E-003, 1.0664954E+002, 3.2069344E+001
 6.3000000E+001, 8.0000004E-003, 1.0722352E+002, 3.2380936E+001
 6.4000000E+001, 8.0000004E-003, 1.0779027E+002, 3.2697449E+001
 6.5000000E+001, 8.0000004E-003, 1.0835167E+002, 3.3018761E+001
 6.6000000E+001, 8.0000004E-003, 1.0890611E+002, 3.3344700E+001
 6.7000000E+001, 8.0000004E-003, 1.0945564E+002, 3.3675148E+001
 6.8000000E+001, 8.0000004E-003, 1.0999850E+002, 3.4009998E+001
 6.9000000E+001, 8.0000004E-003, 1.1053651E+002, 3.4349110E+001
 7.0000000E+001, 8.0000004E-003, 1.1106909E+002, 3.4692333E+001
 7.1000000E+001, 8.0000004E-003, 1.1159554E+002, 3.5039555E+001
 7.2000000E+001, 8.0000004E-003, 1.1211755E+002, 3.5390636E+001
 7.3000000E+001, 8.0000004E-003, 1.1263403E+002, 3.5745487E+001
 7.4000000E+001, 8.0000004E-003, 1.1314585E+002, 3.6104012E+001
 7.5000000E+001, 8.0000004E-003, 1.1365323E+002, 3.6466080E+001
 7.6000000E+001, 8.0000004E-003, 1.1415533E+002, 3.6831573E+001
 7.7000000E+001, 8.0000004E-003, 1.1465348E+002, 3.7200386E+001
 7.8000000E+001, 8.0000004E-003, 1.1514680E+002, 3.7572403E+001
 7.9000000E+001, 8.0000004E-003, 1.1563621E+002, 3.7947514E+001
 8.0000000E+001, 8.0000004E-003, 1.1612102E+002, 3.8325630E+001
 8.1000000E+001, 8.0000004E-003, 1.1660197E+002, 3.8706657E+001
 8.2000000E+001, 8.0000004E-003, 1.1707863E+002, 3.9090492E+001
 8.3000000E+001, 8.0000004E-003, 1.1755200E+002, 3.9477047E+001
 8.4000000E+001, 8.0000004E-003, 1.1802097E+002, 3.9866222E+001
 8.5000000E+001, 8.0000004E-003, 1.1848647E+002, 4.0257931E+001
 8.6000000E+001, 8.0000004E-003, 1.1894846E+002, 4.0652084E+001
 8.7000000E+001, 8.0000004E-003, 1.1940701E+002, 4.1048595E+001
 8.8000000E+001, 8.0000004E-003, 1.1986177E+002, 4.1447384E+001
 8.9000000E+001, 8.0000004E-003, 1.2031314E+002, 4.1848370E+001
 9.0000000E+001, 8.0000004E-003, 1.2076140E+002, 4.2251488E+001
 9.1000000E+001, 8.0000004E-003, 1.2120647E+002, 4.2656654E+001
 9.2000000E+001, 8.0000004E-003, 1.2164853E+002, 4.3063801E+001
 9.3000000E+001, 8.0000004E-003, 1.2208753E+002, 4.3472847E+001
 9.4000000E+001, 8.0000004E-003, 1.2252361E+002, 4.3883713E+001
 9.5000000E+001, 8.0000004E-003, 1.2295621E+002, 4.4296326E+001
 9.6000000E+001, 8.0000004E-003, 1.2338581E+002, 4.4710621E+001
 9.7000000E+001, 8.0000004E-003, 1.2381312E+002, 4.5126530E+001
 9.8000000E+001, 8.0000004E-003, 1.2423775E+002, 4.5543991E+001
 9.9000000E+001, 8.0000004E-003, 1.2465978E+002, 4.5962944E+001
 1.0000000E+002, 8.0000004E-003, 1.2507925E+002, 4.6383331E+001
 1.0100000E+002, 8.0000004E-003, 1.2549628E+002, 4.6805096E+001
 1.0200000E+002, 8.0000004E-003, 1.2591077E+002, 4.7228180E+001
 1.0300000E+002, 8.0000004E-003, 1.2632257E+002, 4.7652527E+001
 1.0400000E+002, 8.0000004E-003, 1.2673196E+002, 4.8078091E+001
 1.0500000E+002, 8.0000004E-003, 1.2713857E+002, 4.8504818E+001
 1.0600000E+002, 8.0000004E-003, 1.2754330E+002, 4.8932663E+001
 1.0700000E+002, 8.0000004E-003, 1.2794599E+002, 4.9361576E+001
 1.0800000E+002, 8.0000004E-003, 1.2834651E+002, 4.9791512E+001
 1.0900000E+002, 8.0000004E-003, 1.2874492E+002, 5.0222446E+001
 1.1000000E+002, 8.0000004E-003, 1.2914130E+002, 5.0654278E+001
 1.1100000E+002, 8.0000004E-003, 1.2953557E+002, 5.1086945E+001
 1.1200000E+002, 8.0000004E-003, 1.2992776E+002, 5.1520428E+001
 1.1300000E+002, 8.0000004E-003, 1.3031801E+002, 5.1954693E+001
 1.1400000E+002, 8.0000004E-003, 1.3070628E+002, 5.2389698E+001
 1.1500000E+002, 8.0000004E-003, 1.3109271E+002, 5.2825405E+001
 1.1600000E+002, 8.0000004E-003, 1.3147736E+002, 5.3261784E+001
 1.1700000E+002, 8.0000004E-003, 1.3186015E+002, 5.3698795E+001
 1.1800000E+002, 8.0000004E-003, 1.3224103E+002, 5.4136410E+001
 1.1900000E+002, 8.0000004E-003, 1.3262013E+002, 5.4574596E+001
 1.2000000E+002, 8.0000004E-003, 1.3299759E+002, 5.5013340E+001
 1.2100000E+002, 8.0000004E-003, 1.3337337E+002, 5.5452560E+001
 1.2200000E+002, 8.0000004E-003, 1.3374756E+002, 5.5892197E+001
 1.2300000E+002, 8.0000004E-003, 1.3412010E+002, 5.6332253E+001
 1.2400000E+002, 8.0000004E-003, 1.3449106E+002, 5.6772694E+001
 1.2500000E+002, 8.0000004E-003, 1.3486053E+002, 5.7213497E+001
 1.2600000E+002, 8.0000004E-003, 1.3522845E+002, 5.7654633E+001
 1.2700000E+002, 8.0000004E-003, 1.3559488E+002, 5.8096077E+001
 1.2800000E+002, 8.0000004E-003, 1.3596022E+002, 5.8537800E+001
 1.2900000E+002, 8.0000004E-003, 1.3632372E+002, 5.8979790E+001
 1.3000000E+002, 8.0000004E-003, 1.3668597E+002, 5.9422043E+001
 1.3100000E+002, 8.0000004E-003, 1.3704745E+002, 5.9864479E+001
 1.3200000E+002, 8.0000004E-003, 1.3740710E+002, 6.0307056E+001
 1.3300000E+002, 8.0000004E-003, 1.3776527E+002, 6.0749775E+001
 1.3400000E+002, 8.0000004E-003, 1.3812210E+002, 6.1192612E+001
 1.3500000E+002, 8.0000004E-003, 1.3847755E+002, 6.1635551E+001
 1.3600000E+002, 8.0000004E-003, 1.3883168E+002, 6.2078583E+001
 1.3700000E+002, 8.0000004E-003, 1.3918459E+002, 6.2521679E+001
 1.3800000E+002, 8.0000004E-003, 1.3953653E+002, 6.2964832E+001
 1.3900000E+002, 8.0000004E-003, 1.3988686E+002, 6.3408005E+001
 1.4000000E+002, 8.0000004E-003, 1.4023611E+002, 6.3851219E+001
 1.4100000E+002, 8.0000004E-003, 1.4058414E+002, 6.4294365E+001
 1.4200000E+002, 8.0000004E-003, 1.4093097E+002, 6.4737465E+001
 1.4300000E+002, 8.0000004E-003, 1.4127670E+002, 6.5180496E+001
 1.4400000E+002, 8.0000004E-003, 1.4162177E+002, 6.5623451E+001
 1.4500000E+002, 8.0000004E-003, 1.4196539E+002, 6.6066322E+001
 1.4600000E+002, 8.0000004E-003, 1.4230821E+002, 6.6509087E+001
 1.4700000E+002, 8.0000004E-003, 1.4264952E+002, 6.6951729E+001
 1.4800000E+002, 8.0000004E-003, 1.4298979E+002, 6.7394257E+001
 1.4900000E+002, 8.0000004E-003, 1.4332916E+002, 6.7836662E+001
 1.5000000E+002, 8.0000004E-003, 1.4366753E+002, 6.8278893E+001
 1.5100000E+002, 8.0000004E-003, 1.4400475E+002, 6.8720901E+001
 1.5200000E+002, 8.0000004E-003, 1.4434097E+002, 6.9162704E+001
 1.5300000E+002, 8.0000004E-003, 1.4467697E+002, 6.9604294E+001
 1.5400000E+002, 8.0000004E-003, 1.4501135E+002, 7.0045662E+001
 1.5500000E+002, 8.0000004E-003, 1.4534480E+002, 7.0486794E+001
 1.5600000E+002, 8.0000004E-003, 1.4567719E+002, 7.0927681E+001
 1.5700000E+002, 8.0000004E-003, 1.4600858E+002, 7.1368340E+001
 1.5800000E+002, 8.0000004E-003, 1.4633910E+002, 7.1808731E+001
 1.5900000E+002, 8.0000004E-003, 1.4666881E+002, 7.2248871E+001
 1.6000000E+002, 8.0000004E-003, 1.4699796E+002, 7.2688683E+001
 1.6100000E+002, 8.0000004E-003, 1.4732628E+002, 7.3128166E+001
 1.6200000E+002, 8.0000004E-003, 1.4765341E+002, 7.3567329E+001
 1.6300000E+002, 8.0000004E-003, 1.4797955E+002, 7.4006165E+001
 1.6400000E+002, 8.0000004E-003, 1.4830481E+002, 7.4444664E+001
 1.6500000E+002, 8.0000004E-003, 1.4862947E+002, 7.4882820E+001
 1.6600000E+002, 8.0000004E-003, 1.4895293E+002, 7.5320633E+001
 1.6700000E+002, 8.0000004E-003, 1.4927568E+002, 7.5758087E+001
 1.6800000E+002, 8.0000004E-003, 1.4959814E+002, 7.6195190E+001
 1.6900000E+002, 8.0000004E-003, 1.4991948E+002, 7.6631950E+001
 1.7000000E+002, 8.0000004E-003, 1.5023990E+002, 7.7068306E+001
 1.7100000E+002, 8.0000004E-003, 1.5055969E+002, 7.7504227E+001
 1.7200000E+002, 8.0000004E-003, 1.5087828E+002, 7.7939743E+001
 1.7300000E+002, 8.0000004E-003, 1.5119618E+002, 7.8374832E+001
 1.7400000E+002, 8.0000004E-003, 1.5151372E+002, 7.8809502E+001
 1.7500000E+002, 8.0000004E-003, 1.5183029E+002, 7.9243752E+001
 1.7600000E+002, 8.0000004E-003, 1.5214648E+002, 7.9677567E+001
 1.7700000E+002, 8.0000004E-003, 1.5246141E+002, 8.0110947E+001
 1.7800000E+002, 8.0000004E-003, 1.5277554E+002, 8.0543884E+001
 1.7900000E+002, 8.0000004E-003, 1.5308937E+002, 8.0976387E+001
 1.8000000E+002, 8.0000004E-003, 1.5340210E+002, 8.1408455E+001
 1.8100000E+002, 8.0000004E-003, 1.5371428E+002, 8.1840118E+001
 1.8200000E+002, 8.0000004E-003, 1.5402551E+002, 8.2271263E+001
 1.8300000E+002, 8.0000004E-003, 1.5433614E+002, 8.2701912E+001
 1.8400000E+002, 8.0000004E-003, 1.5464598E+002, 8.3132065E+001
 1.8500000E+002, 8.0000004E-003, 1.5495590E+002, 8.3561729E+001
 1.8600000E+002, 8.0000004E-003, 1.5526437E+002, 8.3990898E+001
 1.8700000E+002, 8.0000004E-003, 1.5557210E+002, 8.4419571E+001
 1.8800000E+002, 8.0000004E-003, 1.5587923E+002, 8.4847740E+001
 1.8900000E+002, 8.0000004E-003, 1.5618565E+002, 8.5275406E+001
 1.9000000E+002, 8.0000004E-003, 1.5649202E+002, 8.5702553E+001
 1.9100000E+002, 8.0000004E-003, 1.5679709E+002, 8.6129196E+001
 1.9200000E+002, 8.0000004E-003, 1.5710150E+002, 8.6555328E+001
 1.9300000E+002, 8.0000004E-003, 1.5740518E+002, 8.6980949E+001
 1.9400000E+002, 8.0000004E-003, 1.5770863E+002, 8.7406067E+001
 1.9500000E+002, 8.0000004E-003, 1.5801151E+002, 8.7830757E+001
 1.9600000E+002, 8.0000004E-003, 1.5831339E+002, 8.8254906E+001
 1.9700000E+002, 8.0000004E-003, 1.5861452E+002, 8.8678490E+001
 1.9800000E+002, 8.0000004E-003, 1.5891527E+002, 8.9101532E+001
 1.9900000E+002, 8.0000004E-003, 1.5921497E+002, 8.9524017E+001
 2.0000000E+002, 8.0000004E-003, 1.5951466E+002, 8.9945953E+001
 2.0100000E+002, 8.0000004E-003, 1.5981345E+002, 9.0367332E+001
 2.0200000E+002, 8.0000004E-003, 1.6011172E+002, 9.0788162E+001
 2.0300000E+002, 8.0000004E-003, 1.6040901E+002, 9.1208435E+001
 2.0400000E+002, 8.0000004E-003, 1.6070612E+002, 9.1628151E+001
 2.0500000E+002, 8.0000004E-003, 1.6100243E+002, 9.2047302E+001
 2.0600000E+002, 8.0000004E-003, 1.6129839E+002, 9.2465897E+001
 2.0700000E+002, 8.0000004E-003, 1.6159322E+002, 9.2883919E+001
 2.0800000E+002, 8.0000004E-003, 1.6188744E+002, 9.3301376E+001
 2.0900000E+002, 8.0000004E-003, 1.6218152E+002, 9.3718269E+001
 2.1000000E+002, 8.0000004E-003, 1.6247508E+002, 9.4134590E+001
 2.1100000E+002, 8.0000004E-003, 1.6276768E+002, 9.4550339E+001
 2.1200000E+002, 8.0000004E-003, 1.6305963E+002, 9.4965508E+001
 2.1300000E+002, 8.0000004E-003, 1.6335132E+002, 9.5380104E+001
 2.1400000E+002, 8.0000004E-003, 1.6364236E+002, 9.5794113E+001
 2.1500000E+002, 8.0000004E-003, 1.6393259E+002, 9.6207550E+001
 2.1600000E+002, 8.0000004E-003, 1.6422232E+002, 9.6620415E+001
 2.1700000E+002, 8.0000004E-003, 1.6451172E+002, 9.7032715E+001
 2.1800000E+002, 8.0000004E-003, 1.6480052E+002, 9.7444420E+001
 2.1900000E+002, 8.0000004E-003, 1.6508826E+002, 9.7855545E+001
 2.2000000E+002, 8.0000004E-003, 1.6537556E+002, 9.8266075E+001
 2.2100000E+002, 8.0000004E-003, 1.6566312E+002, 9.8676003E+001
 2.2200000E+002, 8.0000004E-003, 1.6594936E+002, 9.9085342E+001
 2.2300000E+002, 8.0000004E-003, 1.6623495E+002, 9.9494095E+001
 2.2400000E+002, 8.0000004E-003, 1.6652003E+002, 9.9902260E+001
 2.2500000E+002, 8.0000004E-003, 1.6680525E+002, 1.0030982E+002
 2.2600000E+002, 8.0000004E-003, 1.6708923E+002, 1.0071679E+002
 2.2700000E+002, 8.0000004E-003, 1.6737267E+002, 1.0112315E+002
 2.2800000E+002, 8.0000004E-003, 1.6765553E+002, 1.0152892E+002
