s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8335687E-001
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1607163E-009,-2.3343213E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1607163E-009, 0.0000000E+000, 1.6916877E-021,-5.8335687E-001
 2.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2110353E-003,-9.6592547E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2110353E-003, 0.0000000E+000, 1.6916868E-021,-5.8335687E-001
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6275102E-002,-2.1975128E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6275102E-002, 0.0000000E+000, 4.8914007E-016,-5.8335687E-001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3053821E-002,-2.1761810E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3053821E-002, 0.0000000E+000, 4.0233894E-013,-5.8335687E-001
 5.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8405827E-002,-1.6145121E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8405827E-002, 0.0000000E+000, 2.5407179E-011,-5.8335687E-001
 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2925032E-002,-3.5756438E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2925028E-002, 0.0000000E+000, 4.8804423E-010,-5.8335687E-001
 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6874640E-002,-3.8987560E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6874601E-002, 0.0000000E+000, 4.6938260E-009,-5.8335687E-001
 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0445704E-002,-2.6841666E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0445435E-002, 0.0000000E+000, 2.8983367E-008,-5.8335687E-001
