# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,1.099178200000000061e+02
3.000000000000000000e+00,1.607616700000000094e+02
4.000000000000000000e+00,1.988652299999999968e+02
5.000000000000000000e+00,2.302385299999999972e+02
6.000000000000000000e+00,2.571522199999999998e+02
7.000000000000000000e+00,2.808397499999999809e+02
8.000000000000000000e+00,3.021438600000000179e+02
9.000000000000000000e+00,3.217834199999999782e+02
1.000000000000000000e+01,3.400110799999999927e+02
1.100000000000000000e+01,3.565508100000000127e+02
1.200000000000000000e+01,3.714924599999999941e+02
1.300000000000000000e+01,3.850935699999999997e+02
1.400000000000000000e+01,3.974796099999999797e+02
1.500000000000000000e+01,4.087586699999999951e+02
1.600000000000000000e+01,4.189103999999999814e+02
1.700000000000000000e+01,4.276885399999999890e+02
1.800000000000000000e+01,4.356261900000000082e+02
1.900000000000000000e+01,4.427107199999999807e+02
2.000000000000000000e+01,4.482777100000000132e+02
2.100000000000000000e+01,4.544854700000000207e+02
2.200000000000000000e+01,4.605561500000000024e+02
2.300000000000000000e+01,4.652931800000000067e+02
2.400000000000000000e+01,4.722306500000000256e+02
2.500000000000000000e+01,4.791387300000000096e+02
2.600000000000000000e+01,4.852982799999999770e+02
2.700000000000000000e+01,4.928081099999999992e+02
2.800000000000000000e+01,4.995458399999999983e+02
2.900000000000000000e+01,5.049683200000000056e+02
3.000000000000000000e+01,5.098463699999999790e+02
3.100000000000000000e+01,5.143562600000000202e+02
3.200000000000000000e+01,5.186900000000000546e+02
3.300000000000000000e+01,5.229440899999999601e+02
3.400000000000000000e+01,5.272101400000000240e+02
3.500000000000000000e+01,5.315355799999999817e+02
3.600000000000000000e+01,5.359487900000000309e+02
3.700000000000000000e+01,5.404304799999999886e+02
3.800000000000000000e+01,5.449380499999999756e+02
3.900000000000000000e+01,5.493568099999999959e+02
4.000000000000000000e+01,5.535526700000000346e+02
4.100000000000000000e+01,5.574284699999999475e+02
4.200000000000000000e+01,5.609461700000000519e+02
4.300000000000000000e+01,5.641856699999999591e+02
4.400000000000000000e+01,5.672621500000000196e+02
4.500000000000000000e+01,5.702433499999999640e+02
4.600000000000000000e+01,5.731579600000000028e+02
4.700000000000000000e+01,5.760741000000000440e+02
4.800000000000000000e+01,5.789784499999999525e+02
4.900000000000000000e+01,5.819069799999999759e+02
5.000000000000000000e+01,5.848425300000000107e+02
5.100000000000000000e+01,5.877499400000000378e+02
5.200000000000000000e+01,5.906044900000000553e+02
5.300000000000000000e+01,5.933627900000000182e+02
5.400000000000000000e+01,5.959906600000000481e+02
5.500000000000000000e+01,5.984665499999999838e+02
5.600000000000000000e+01,6.008205600000000004e+02
5.700000000000000000e+01,6.030610400000000482e+02
5.800000000000000000e+01,6.052247899999999845e+02
5.900000000000000000e+01,6.073396599999999808e+02
6.000000000000000000e+01,6.094186399999999821e+02
6.100000000000000000e+01,6.114833999999999605e+02
6.200000000000000000e+01,6.135384500000000116e+02
6.300000000000000000e+01,6.155704299999999876e+02
6.400000000000000000e+01,6.176116899999999532e+02
6.500000000000000000e+01,6.196315299999999979e+02
6.600000000000000000e+01,6.216170700000000124e+02
6.700000000000000000e+01,6.235529199999999719e+02
6.800000000000000000e+01,6.254386600000000271e+02
6.900000000000000000e+01,6.272564099999999598e+02
7.000000000000000000e+01,6.290085400000000391e+02
