# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,9.999999400000000316e-01
1.000000000000000000e+01,9.999998799999999521e-01
1.100000000000000000e+01,9.999997000000000469e-01
1.200000000000000000e+01,9.999992800000000459e-01
1.300000000000000000e+01,9.999982699999999669e-01
1.400000000000000000e+01,9.999961299999999831e-01
1.500000000000000000e+01,9.999917699999999465e-01
1.600000000000000000e+01,9.999837900000000390e-01
1.700000000000000000e+01,9.999698999999999671e-01
1.800000000000000000e+01,9.999470700000000489e-01
1.900000000000000000e+01,9.999111899999999498e-01
2.000000000000000000e+01,9.998568300000000297e-01
2.100000000000000000e+01,9.997772600000000010e-01
2.200000000000000000e+01,9.996643100000000004e-01
2.300000000000000000e+01,9.995085000000000219e-01
2.400000000000000000e+01,9.992993500000000306e-01
2.500000000000000000e+01,9.990260600000000490e-01
2.600000000000000000e+01,9.986779099999999465e-01
2.700000000000000000e+01,9.982454800000000184e-01
2.800000000000000000e+01,9.977216100000000365e-01
2.900000000000000000e+01,9.971022600000000180e-01
3.000000000000000000e+01,9.963868299999999456e-01
3.100000000000000000e+01,9.955786500000000094e-01
3.200000000000000000e+01,9.946849300000000227e-01
3.300000000000000000e+01,9.926497899999999763e-01
3.400000000000000000e+01,9.905355000000000132e-01
3.500000000000000000e+01,9.883141500000000024e-01
3.600000000000000000e+01,9.863552500000000167e-01
3.700000000000000000e+01,9.847002000000000255e-01
3.800000000000000000e+01,9.834067199999999564e-01
3.900000000000000000e+01,9.822750700000000279e-01
4.000000000000000000e+01,9.809052900000000408e-01
4.100000000000000000e+01,9.793297600000000491e-01
4.200000000000000000e+01,9.776479599999999825e-01
4.300000000000000000e+01,9.759440999999999811e-01
4.400000000000000000e+01,9.742964499999999806e-01
4.500000000000000000e+01,9.727648500000000142e-01
4.600000000000000000e+01,9.713898899999999781e-01
4.700000000000000000e+01,9.701764000000000499e-01
4.800000000000000000e+01,9.690815200000000296e-01
4.900000000000000000e+01,9.680146600000000268e-01
5.000000000000000000e+01,9.668787699999999985e-01
5.100000000000000000e+01,9.656297600000000037e-01
5.200000000000000000e+01,9.642987299999999928e-01
5.300000000000000000e+01,9.629260299999999884e-01
5.400000000000000000e+01,9.615500000000000158e-01
5.500000000000000000e+01,9.602060900000000121e-01
5.600000000000000000e+01,9.589225099999999502e-01
5.700000000000000000e+01,9.577179599999999793e-01
5.800000000000000000e+01,9.565970900000000388e-01
5.900000000000000000e+01,9.555481700000000300e-01
6.000000000000000000e+01,9.545419200000000437e-01
6.100000000000000000e+01,9.535386000000000140e-01
6.200000000000000000e+01,9.525017099999999459e-01
6.300000000000000000e+01,9.514119599999999455e-01
6.400000000000000000e+01,9.502722000000000113e-01
6.500000000000000000e+01,9.490992400000000107e-01
6.600000000000000000e+01,9.479140000000000343e-01
6.700000000000000000e+01,9.467358000000000162e-01
6.800000000000000000e+01,9.455814399999999953e-01
6.900000000000000000e+01,9.444640300000000099e-01
7.000000000000000000e+01,9.433909700000000509e-01
7.100000000000000000e+01,9.423631399999999880e-01
7.200000000000000000e+01,9.413740600000000125e-01
7.300000000000000000e+01,9.404101400000000055e-01
7.400000000000000000e+01,9.394533000000000467e-01
7.500000000000000000e+01,9.384853800000000357e-01
7.600000000000000000e+01,9.374927899999999648e-01
7.700000000000000000e+01,9.364699699999999849e-01
7.800000000000000000e+01,9.354199199999999603e-01
7.900000000000000000e+01,9.343513300000000354e-01
8.000000000000000000e+01,9.332753999999999772e-01
8.100000000000000000e+01,9.322032900000000177e-01
8.200000000000000000e+01,9.311443000000000358e-01
8.300000000000000000e+01,9.301054500000000003e-01
8.400000000000000000e+01,9.290910999999999476e-01
8.500000000000000000e+01,9.281017200000000189e-01
8.600000000000000000e+01,9.271341600000000405e-01
8.700000000000000000e+01,9.261819100000000526e-01
8.800000000000000000e+01,9.252359900000000081e-01
8.900000000000000000e+01,9.242861300000000391e-01
9.000000000000000000e+01,9.233238099999999671e-01
9.100000000000000000e+01,9.223431300000000110e-01
9.200000000000000000e+01,9.213427299999999986e-01
9.300000000000000000e+01,9.203247399999999745e-01
9.400000000000000000e+01,9.192945999999999618e-01
9.500000000000000000e+01,9.182587300000000230e-01
9.600000000000000000e+01,9.172238700000000522e-01
9.700000000000000000e+01,9.161956300000000386e-01
9.800000000000000000e+01,9.151779399999999676e-01
9.900000000000000000e+01,9.141728900000000158e-01
1.000000000000000000e+02,9.131803499999999740e-01
1.010000000000000000e+02,9.121978899999999557e-01
1.020000000000000000e+02,9.112212699999999721e-01
1.030000000000000000e+02,9.102449400000000024e-01
1.040000000000000000e+02,9.092629599999999535e-01
1.050000000000000000e+02,9.082698200000000055e-01
1.060000000000000000e+02,9.072622700000000373e-01
1.070000000000000000e+02,9.062388500000000402e-01
1.080000000000000000e+02,9.052007199999999587e-01
1.090000000000000000e+02,9.041507800000000428e-01
1.100000000000000000e+02,9.030932799999999983e-01
1.110000000000000000e+02,9.020324299999999962e-01
1.120000000000000000e+02,9.009719499999999659e-01
1.130000000000000000e+02,8.999145600000000300e-01
1.140000000000000000e+02,8.988613500000000034e-01
1.150000000000000000e+02,8.978120699999999621e-01
1.160000000000000000e+02,8.967648700000000472e-01
1.170000000000000000e+02,8.957166699999999926e-01
1.180000000000000000e+02,8.946636900000000114e-01
1.190000000000000000e+02,8.936019499999999782e-01
1.200000000000000000e+02,8.925280599999999565e-01
1.210000000000000000e+02,8.914398000000000044e-01
1.220000000000000000e+02,8.903365100000000254e-01
1.230000000000000000e+02,8.892189900000000424e-01
1.240000000000000000e+02,8.880892400000000020e-01
1.250000000000000000e+02,8.869500200000000056e-01
1.260000000000000000e+02,8.858039399999999564e-01
1.270000000000000000e+02,8.846533899999999839e-01
1.280000000000000000e+02,8.834994999999999932e-01
1.290000000000000000e+02,8.823425200000000190e-01
1.300000000000000000e+02,8.811815400000000409e-01
