# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,2.762023300960968902e-02
7.000000000000000000e+00,4.559999999962457279e-02
8.000000000000000000e+00,6.861823301886887938e-02
9.000000000000000000e+00,9.738577037326323627e-02
1.000000000000000000e+01,1.326069484122565090e-01
1.100000000000000000e+01,1.738030201422696153e-01
1.200000000000000000e+01,2.204813017534254793e-01
1.300000000000000000e+01,2.720746392627103605e-01
1.400000000000000000e+01,3.279101240961820318e-01
1.500000000000000000e+01,3.873553755680220756e-01
1.600000000000000000e+01,4.497329292903915476e-01
1.700000000000000000e+01,5.144842174787198630e-01
1.800000000000000000e+01,5.810876702566373231e-01
1.900000000000000000e+01,6.490858951762781270e-01
2.000000000000000000e+01,7.180942781775455641e-01
2.100000000000000000e+01,7.877792886121748328e-01
2.200000000000000000e+01,8.578496182486660127e-01
2.300000000000000000e+01,9.280733507220970679e-01
2.400000000000000000e+01,9.982508615304361843e-01
2.500000000000000000e+01,1.068216520002911674e+00
2.600000000000000000e+01,1.137831397319698734e+00
2.700000000000000000e+01,1.206979499819645696e+00
2.800000000000000000e+01,1.275568048287085920e+00
2.900000000000000000e+01,1.343524307561346331e+00
3.000000000000000000e+01,1.410784854909420405e+00
3.100000000000000000e+01,1.477301601627284855e+00
3.200000000000000000e+01,1.543034861152797976e+00
3.300000000000000000e+01,1.607957594650799349e+00
3.400000000000000000e+01,1.672048571591737476e+00
3.500000000000000000e+01,1.735289987491839714e+00
3.600000000000000000e+01,1.797673114265605498e+00
3.700000000000000000e+01,1.859192156150036190e+00
3.800000000000000000e+01,1.919845295544245545e+00
3.900000000000000000e+01,1.979633220920279602e+00
4.000000000000000000e+01,2.038561482047714701e+00
4.100000000000000000e+01,2.096634057808586249e+00
4.200000000000000000e+01,2.153859754602735599e+00
4.300000000000000000e+01,2.210247349749382195e+00
4.400000000000000000e+01,2.265808046371994511e+00
4.500000000000000000e+01,2.320552688680410203e+00
4.600000000000000000e+01,2.374493254402454845e+00
4.700000000000000000e+01,2.427642781518069004e+00
4.800000000000000000e+01,2.480014367728068603e+00
4.900000000000000000e+01,2.531621514843157339e+00
5.000000000000000000e+01,2.582477700814010735e+00
5.100000000000000000e+01,2.632596226108578019e+00
5.200000000000000000e+01,2.681992706778122404e+00
5.300000000000000000e+01,2.730679983182604520e+00
5.400000000000000000e+01,2.778671962443790111e+00
5.500000000000000000e+01,2.825983042741579965e+00
5.600000000000000000e+01,2.872625384345738997e+00
5.700000000000000000e+01,2.918613981705972638e+00
5.800000000000000000e+01,2.963962424244218852e+00
5.900000000000000000e+01,3.008683031872295910e+00
6.000000000000000000e+01,3.052787977693953714e+00
6.100000000000000000e+01,3.096291448529334911e+00
6.200000000000000000e+01,3.139205280407371568e+00
6.300000000000000000e+01,3.181541187897287237e+00
6.400000000000000000e+01,3.223312089029316319e+00
6.500000000000000000e+01,3.264529499097259091e+00
6.600000000000000000e+01,3.305205060465687961e+00
6.700000000000000000e+01,3.345349031460145284e+00
6.800000000000000000e+01,3.384973075241183071e+00
6.900000000000000000e+01,3.424087478258239337e+00
7.000000000000000000e+01,3.462703134765513724e+00
7.100000000000000000e+01,3.500830027039424142e+00
7.200000000000000000e+01,3.538477863927231404e+00
7.300000000000000000e+01,3.575657007362970319e+00
7.400000000000000000e+01,3.612376147926756431e+00
7.500000000000000000e+01,3.648644918387605962e+00
7.600000000000000000e+01,3.684472495927380464e+00
7.700000000000000000e+01,3.719867295482648828e+00
7.800000000000000000e+01,3.754838275420975702e+00
7.900000000000000000e+01,3.789393981801167932e+00
8.000000000000000000e+01,3.823542016123596010e+00
8.100000000000000000e+01,3.857290919485101277e+00
8.200000000000000000e+01,3.890648306387542998e+00
8.300000000000000000e+01,3.923621620557954159e+00
8.400000000000000000e+01,3.956217918758754504e+00
8.500000000000000000e+01,3.988444338182529414e+00
8.600000000000000000e+01,4.020308012803804232e+00
8.700000000000000000e+01,4.051815855433123836e+00
8.800000000000000000e+01,4.082974851625593260e+00
8.900000000000000000e+01,4.113791566622711393e+00
9.000000000000000000e+01,4.144271900556541155e+00
9.100000000000000000e+01,4.174422544232017529e+00
9.200000000000000000e+01,4.204249264801419805e+00
9.300000000000000000e+01,4.233758274021428569e+00
9.400000000000000000e+01,4.262954778585632987e+00
9.500000000000000000e+01,4.291844189787472175e+00
9.600000000000000000e+01,4.320432609808650071e+00
9.700000000000000000e+01,4.348725299760444862e+00
9.800000000000000000e+01,4.376727343412162519e+00
9.900000000000000000e+01,4.404444381221102489e+00
1.000000000000000000e+02,4.431880727326674929e+00
1.010000000000000000e+02,4.459041804409612730e+00
1.020000000000000000e+02,4.485931807660422876e+00
1.030000000000000000e+02,4.512555271182659311e+00
1.040000000000000000e+02,4.538917388410038889e+00
1.050000000000000000e+02,4.565022064057579598e+00
1.060000000000000000e+02,4.590874096904340895e+00
1.070000000000000000e+02,4.616478031165423879e+00
1.080000000000000000e+02,4.641836703356575278e+00
1.090000000000000000e+02,4.666955149746251585e+00
1.100000000000000000e+02,4.691836873175336819e+00
1.110000000000000000e+02,4.716486186000894421e+00
1.120000000000000000e+02,4.740906553630553688e+00
1.130000000000000000e+02,4.765102235682133980e+00
1.140000000000000000e+02,4.789075949344866245e+00
1.150000000000000000e+02,4.812831472353773066e+00
1.160000000000000000e+02,4.836372490098324484e+00
1.170000000000000000e+02,4.859702451449248173e+00
1.180000000000000000e+02,4.882824580050735719e+00
1.190000000000000000e+02,4.905742565861525684e+00
1.200000000000000000e+02,4.928458519621948142e+00
1.210000000000000000e+02,4.950976292175644389e+00
1.220000000000000000e+02,4.973298651199671738e+00
1.230000000000000000e+02,4.995428830583970914e+00
1.240000000000000000e+02,5.017369812601333301e+00
1.250000000000000000e+02,5.039124246769160820e+00
1.260000000000000000e+02,5.060694875533375381e+00
1.270000000000000000e+02,5.082084213171918385e+00
1.280000000000000000e+02,5.103295364451303051e+00
1.290000000000000000e+02,5.124330796870484761e+00
1.300000000000000000e+02,5.145193206908623473e+00
1.310000000000000000e+02,5.165885160061797876e+00
1.320000000000000000e+02,5.186408486962896802e+00
1.330000000000000000e+02,5.206766384838130257e+00
1.340000000000000000e+02,5.226960751166597419e+00
1.350000000000000000e+02,5.246994147010554777e+00
1.360000000000000000e+02,5.266868928063236588e+00
1.370000000000000000e+02,5.286587168773257517e+00
1.380000000000000000e+02,5.306150839200909353e+00
1.390000000000000000e+02,5.325562469330245463e+00
1.400000000000000000e+02,5.344823940696639575e+00
1.410000000000000000e+02,5.363937648939553604e+00
1.420000000000000000e+02,5.382905314241465788e+00
1.430000000000000000e+02,5.401728887697336390e+00
1.440000000000000000e+02,5.420410344242057477e+00
1.450000000000000000e+02,5.438951523713859260e+00
1.460000000000000000e+02,5.457354567929687761e+00
1.470000000000000000e+02,5.475621481301826243e+00
1.480000000000000000e+02,5.493753747744531957e+00
1.490000000000000000e+02,5.511752964373100028e+00
1.500000000000000000e+02,5.529620799642501083e+00
1.510000000000000000e+02,5.547359409618576542e+00
1.520000000000000000e+02,5.564970288729992554e+00
1.530000000000000000e+02,5.582455192235203256e+00
1.540000000000000000e+02,5.599815866941523446e+00
1.550000000000000000e+02,5.617053458014263256e+00
1.560000000000000000e+02,5.634169559946262673e+00
1.570000000000000000e+02,5.651165799896229913e+00
1.580000000000000000e+02,5.668044019052966398e+00
1.590000000000000000e+02,5.684805433378660844e+00
1.600000000000000000e+02,5.701451300254566590e+00
1.610000000000000000e+02,5.717983597622974479e+00
1.620000000000000000e+02,5.734403152344715870e+00
1.630000000000000000e+02,5.750711159723117305e+00
1.640000000000000000e+02,5.766909736343926340e+00
1.650000000000000000e+02,5.782999654382543042e+00
1.660000000000000000e+02,5.798982467503508431e+00
1.670000000000000000e+02,5.814859416322684105e+00
1.680000000000000000e+02,5.830631781366726329e+00
1.690000000000000000e+02,5.846300710866390027e+00
1.700000000000000000e+02,5.861867122180123069e+00
1.710000000000000000e+02,5.877332419606146274e+00
1.720000000000000000e+02,5.892698245767559406e+00
1.730000000000000000e+02,5.907965402402020061e+00
1.740000000000000000e+02,5.923134973148809657e+00
1.750000000000000000e+02,5.938208250040736047e+00
1.760000000000000000e+02,5.953185968663518679e+00
1.770000000000000000e+02,5.968069406711490998e+00
1.780000000000000000e+02,5.982859749266607352e+00
1.790000000000000000e+02,5.997557961022746298e+00
1.800000000000000000e+02,6.012164986059450378e+00
1.810000000000000000e+02,6.026682167395674306e+00
1.820000000000000000e+02,6.041110179048146733e+00
1.830000000000000000e+02,6.055450127414463424e+00
