# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.915079995362458862e-02
8.000000000000000000e+00,3.274740728807139234e-02
9.000000000000000000e+00,4.669921575117047530e-02
1.000000000000000000e+01,6.603611858342180174e-02
1.100000000000000000e+01,9.005988047967819488e-02
1.200000000000000000e+01,1.180958225773333092e-01
1.300000000000000000e+01,1.507226286837591300e-01
1.400000000000000000e+01,1.871651675030851780e-01
1.500000000000000000e+01,2.274130085921106381e-01
1.600000000000000000e+01,2.709312548493171269e-01
1.700000000000000000e+01,3.173626873645412627e-01
1.800000000000000000e+01,3.663416241546292862e-01
1.900000000000000000e+01,4.174708897560924226e-01
2.000000000000000000e+01,4.704131160826715563e-01
2.100000000000000000e+01,5.248694249320886573e-01
2.200000000000000000e+01,5.805394019958379781e-01
2.300000000000000000e+01,6.371740645460455266e-01
2.400000000000000000e+01,6.945550967738024495e-01
2.500000000000000000e+01,7.524922649836414124e-01
2.600000000000000000e+01,8.108078885914929979e-01
2.700000000000000000e+01,8.693513385391811177e-01
2.800000000000000000e+01,9.279985953209041183e-01
2.900000000000000000e+01,9.866358135113286743e-01
3.000000000000000000e+01,1.045168085799809576e+00
3.100000000000000000e+01,1.103508295352533697e+00
3.200000000000000000e+01,1.161586556495323386e+00
3.300000000000000000e+01,1.219343506620784279e+00
3.400000000000000000e+01,1.276728189460888174e+00
3.500000000000000000e+01,1.333695708601091212e+00
3.600000000000000000e+01,1.390209175028183974e+00
3.700000000000000000e+01,1.446238213167250208e+00
3.800000000000000000e+01,1.501756744516975273e+00
3.900000000000000000e+01,1.556745313862831548e+00
4.000000000000000000e+01,1.611186021001299373e+00
4.100000000000000000e+01,1.665066383148088081e+00
4.200000000000000000e+01,1.718374986371639546e+00
4.300000000000000000e+01,1.771105268891567608e+00
4.400000000000000000e+01,1.823251655977113916e+00
4.500000000000000000e+01,1.874810538102031465e+00
4.600000000000000000e+01,1.925780293892190409e+00
4.700000000000000000e+01,1.976161280721543845e+00
4.800000000000000000e+01,2.025954380802698740e+00
4.900000000000000000e+01,2.075162657158692525e+00
5.000000000000000000e+01,2.123787626296417486e+00
5.100000000000000000e+01,2.171835430314785764e+00
5.200000000000000000e+01,2.219309095781447638e+00
5.300000000000000000e+01,2.266215207861650871e+00
5.400000000000000000e+01,2.312558946861991149e+00
5.500000000000000000e+01,2.358346781292206984e+00
5.600000000000000000e+01,2.403585326242216436e+00
5.700000000000000000e+01,2.448281815335336287e+00
5.800000000000000000e+01,2.492442403592602496e+00
5.900000000000000000e+01,2.536075551491378643e+00
6.000000000000000000e+01,2.579188583017518521e+00
6.100000000000000000e+01,2.621787972492930940e+00
6.200000000000000000e+01,2.663883212127454936e+00
6.300000000000000000e+01,2.705480380184668743e+00
6.400000000000000000e+01,2.746587250241997236e+00
6.500000000000000000e+01,2.787212849562650252e+00
6.600000000000000000e+01,2.827363724283460833e+00
6.700000000000000000e+01,2.867047372491502877e+00
6.800000000000000000e+01,2.906271941841822137e+00
6.900000000000000000e+01,2.945044761026229807e+00
7.000000000000000000e+01,2.983373201930923813e+00
7.100000000000000000e+01,3.021265286778124448e+00
7.200000000000000000e+01,3.058727080109594709e+00
7.300000000000000000e+01,3.095766927888123909e+00
7.400000000000000000e+01,3.132390755835338769e+00
7.500000000000000000e+01,3.168606870848875712e+00
7.600000000000000000e+01,3.204420661402242576e+00
7.700000000000000000e+01,3.239840138919498624e+00
7.800000000000000000e+01,3.274871058342494479e+00
7.900000000000000000e+01,3.309520879058369225e+00
8.000000000000000000e+01,3.343795436522247311e+00
8.100000000000000000e+01,3.377701144113231191e+00
8.200000000000000000e+01,3.411244321391311285e+00
8.300000000000000000e+01,3.444430600475875792e+00
8.400000000000000000e+01,3.477265755394610469e+00
8.500000000000000000e+01,3.509757295388919562e+00
8.600000000000000000e+01,3.541909447563184266e+00
8.700000000000000000e+01,3.573728023414880273e+00
8.800000000000000000e+01,3.605219102801155984e+00
8.900000000000000000e+01,3.636387676695117754e+00
9.000000000000000000e+01,3.667239038208795154e+00
9.100000000000000000e+01,3.697778409661315546e+00
9.200000000000000000e+01,3.728011448570145880e+00
9.300000000000000000e+01,3.757942467723653035e+00
9.400000000000000000e+01,3.787576983816578036e+00
9.500000000000000000e+01,3.816919130218130896e+00
9.600000000000000000e+01,3.845973577835074764e+00
9.700000000000000000e+01,3.874745569709834747e+00
9.800000000000000000e+01,3.903239185903641939e+00
9.900000000000000000e+01,3.931458560053898044e+00
1.000000000000000000e+02,3.959408992865183219e+00
1.010000000000000000e+02,3.987093923327482692e+00
1.020000000000000000e+02,4.014517668386013760e+00
1.030000000000000000e+02,4.041684645162229472e+00
1.040000000000000000e+02,4.068599150346338789e+00
1.050000000000000000e+02,4.095264179803725924e+00
1.060000000000000000e+02,4.121684197535641303e+00
1.070000000000000000e+02,4.147862456006082610e+00
1.080000000000000000e+02,4.173802884360663157e+00
1.090000000000000000e+02,4.199509315560407963e+00
1.100000000000000000e+02,4.224984900892420292e+00
1.110000000000000000e+02,4.250233250986195976e+00
1.120000000000000000e+02,4.275257767449810231e+00
1.130000000000000000e+02,4.300061970591873006e+00
1.140000000000000000e+02,4.324648991153939193e+00
1.150000000000000000e+02,4.349022086526614039e+00
1.160000000000000000e+02,4.373184388207471684e+00
1.170000000000000000e+02,4.397138908036312799e+00
1.180000000000000000e+02,4.420888663825030207e+00
1.190000000000000000e+02,4.444436856287927284e+00
1.200000000000000000e+02,4.467786038018727091e+00
1.210000000000000000e+02,4.490939481414999435e+00
1.220000000000000000e+02,4.513899590449652166e+00
1.230000000000000000e+02,4.536669195227116091e+00
1.240000000000000000e+02,4.559251023654637081e+00
1.250000000000000000e+02,4.581647706171238177e+00
1.260000000000000000e+02,4.603862111570215632e+00
1.270000000000000000e+02,4.625896296070969527e+00
1.280000000000000000e+02,4.647752950282119322e+00
1.290000000000000000e+02,4.669434778911262462e+00
1.300000000000000000e+02,4.690943755263043080e+00
1.310000000000000000e+02,4.712282577573145836e+00
1.320000000000000000e+02,4.733453382504514195e+00
1.330000000000000000e+02,4.754458443113921184e+00
1.340000000000000000e+02,4.775300060104584965e+00
1.350000000000000000e+02,4.795980153424535430e+00
1.360000000000000000e+02,4.816501338073950755e+00
1.370000000000000000e+02,4.836865393703263294e+00
1.380000000000000000e+02,4.857074490284832180e+00
1.390000000000000000e+02,4.877130532205524283e+00
1.400000000000000000e+02,4.897035803631947459e+00
1.410000000000000000e+02,4.916792033213226887e+00
1.420000000000000000e+02,4.936401184798580033e+00
1.430000000000000000e+02,4.955865209853204334e+00
1.440000000000000000e+02,4.975186047962800728e+00
1.450000000000000000e+02,4.994365298816419774e+00
1.460000000000000000e+02,5.013404933748284442e+00
1.470000000000000000e+02,5.032306727078399433e+00
1.480000000000000000e+02,5.051072263499886361e+00
1.490000000000000000e+02,5.069703582712953960e+00
1.500000000000000000e+02,5.088201896903840726e+00
1.510000000000000000e+02,5.106569057071706830e+00
1.520000000000000000e+02,5.124806727988747923e+00
1.530000000000000000e+02,5.142916350592011909e+00
1.540000000000000000e+02,5.160899853035950891e+00
1.550000000000000000e+02,5.178758411814912144e+00
1.560000000000000000e+02,5.196493257818834977e+00
1.570000000000000000e+02,5.214106621741654735e+00
1.580000000000000000e+02,5.231599776048476258e+00
1.590000000000000000e+02,5.248973534238695393e+00
1.600000000000000000e+02,5.266230080889411802e+00
1.610000000000000000e+02,5.283370452945642448e+00
1.620000000000000000e+02,5.300395868443382952e+00
1.630000000000000000e+02,5.317307886357673041e+00
1.640000000000000000e+02,5.334107984496277766e+00
1.650000000000000000e+02,5.350796989741028575e+00
1.660000000000000000e+02,5.367376601668809144e+00
1.670000000000000000e+02,5.383848315841547993e+00
1.680000000000000000e+02,5.400212466753178120e+00
1.690000000000000000e+02,5.416471015870468086e+00
1.700000000000000000e+02,5.432625004413844216e+00
1.710000000000000000e+02,5.448675684688000231e+00
1.720000000000000000e+02,5.464624239564549235e+00
1.730000000000000000e+02,5.480471355856156634e+00
1.740000000000000000e+02,5.496218749864286934e+00
1.750000000000000000e+02,5.511867057488216481e+00
1.760000000000000000e+02,5.527417627233166542e+00
1.770000000000000000e+02,5.542871585914004307e+00
1.780000000000000000e+02,5.558229731213785385e+00
1.790000000000000000e+02,5.573493708957145465e+00
1.800000000000000000e+02,5.588663666407391872e+00
1.810000000000000000e+02,5.603741200396907374e+00
1.820000000000000000e+02,5.618727279248153295e+00
1.830000000000000000e+02,5.633622591491005416e+00
