# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,9.999999400000000316e-01
1.200000000000000000e+01,9.999998199999999837e-01
1.300000000000000000e+01,9.999995200000000306e-01
1.400000000000000000e+01,9.999989299999999526e-01
1.500000000000000000e+01,9.999977399999999683e-01
1.600000000000000000e+01,9.999954100000000290e-01
1.700000000000000000e+01,9.999913000000000274e-01
1.800000000000000000e+01,9.999840899999999921e-01
1.900000000000000000e+01,9.999721599999999988e-01
2.000000000000000000e+01,9.999530899999999889e-01
2.100000000000000000e+01,9.999238299999999580e-01
2.200000000000000000e+01,9.998801899999999465e-01
2.300000000000000000e+01,9.998172499999999907e-01
2.400000000000000000e+01,9.997288600000000525e-01
2.500000000000000000e+01,9.996080400000000310e-01
2.600000000000000000e+01,9.994469900000000351e-01
2.700000000000000000e+01,9.992379000000000122e-01
2.800000000000000000e+01,9.989730700000000185e-01
2.900000000000000000e+01,9.986458999999999753e-01
3.000000000000000000e+01,9.982523899999999895e-01
3.100000000000000000e+01,9.977896800000000121e-01
3.200000000000000000e+01,9.972577700000000434e-01
3.300000000000000000e+01,9.966613699999999909e-01
3.400000000000000000e+01,9.960035699999999492e-01
3.500000000000000000e+01,9.952900399999999870e-01
3.600000000000000000e+01,9.945304400000000156e-01
3.700000000000000000e+01,9.937282200000000509e-01
3.800000000000000000e+01,9.928885100000000019e-01
3.900000000000000000e+01,9.920203100000000163e-01
4.000000000000000000e+01,9.911235600000000145e-01
4.100000000000000000e+01,9.902003400000000122e-01
4.200000000000000000e+01,9.892573999999999534e-01
4.300000000000000000e+01,9.882925200000000077e-01
4.400000000000000000e+01,9.873064200000000179e-01
4.500000000000000000e+01,9.863045200000000179e-01
4.600000000000000000e+01,9.852849200000000085e-01
4.700000000000000000e+01,9.842482200000000070e-01
4.800000000000000000e+01,9.830014700000000438e-01
4.900000000000000000e+01,9.818695200000000511e-01
5.000000000000000000e+01,9.807559300000000535e-01
5.100000000000000000e+01,9.796446599999999449e-01
5.200000000000000000e+01,9.785324300000000086e-01
5.300000000000000000e+01,9.774143100000000084e-01
5.400000000000000000e+01,9.762932699999999908e-01
5.500000000000000000e+01,9.751669200000000481e-01
5.600000000000000000e+01,9.740345500000000545e-01
5.700000000000000000e+01,9.728979500000000114e-01
5.800000000000000000e+01,9.717561599999999800e-01
5.900000000000000000e+01,9.706084099999999770e-01
6.000000000000000000e+01,9.694563200000000380e-01
6.100000000000000000e+01,9.682991499999999974e-01
6.200000000000000000e+01,9.671366799999999708e-01
6.300000000000000000e+01,9.659701600000000221e-01
6.400000000000000000e+01,9.647995200000000215e-01
6.500000000000000000e+01,9.636247199999999902e-01
6.600000000000000000e+01,9.624468099999999859e-01
6.700000000000000000e+01,9.612659799999999644e-01
6.800000000000000000e+01,9.600821699999999570e-01
6.900000000000000000e+01,9.588962199999999658e-01
7.000000000000000000e+01,9.577081200000000516e-01
7.100000000000000000e+01,9.565178199999999631e-01
7.200000000000000000e+01,9.553256599999999654e-01
7.300000000000000000e+01,9.541317200000000165e-01
7.400000000000000000e+01,9.529357000000000522e-01
7.500000000000000000e+01,9.517379999999999729e-01
7.600000000000000000e+01,9.505386399999999902e-01
7.700000000000000000e+01,9.493374799999999558e-01
7.800000000000000000e+01,9.481349000000000027e-01
7.900000000000000000e+01,9.469308899999999696e-01
8.000000000000000000e+01,9.457255599999999651e-01
8.100000000000000000e+01,9.445190999999999448e-01
8.200000000000000000e+01,9.433116299999999566e-01
8.300000000000000000e+01,9.421030299999999524e-01
8.400000000000000000e+01,9.408935899999999464e-01
8.500000000000000000e+01,9.396832000000000518e-01
8.600000000000000000e+01,9.384717900000000279e-01
8.700000000000000000e+01,9.372594400000000547e-01
8.800000000000000000e+01,9.360460600000000131e-01
8.900000000000000000e+01,9.348315000000000374e-01
9.000000000000000000e+01,9.336157999999999957e-01
9.100000000000000000e+01,9.323989700000000491e-01
9.200000000000000000e+01,9.311809500000000073e-01
9.300000000000000000e+01,9.299617399999999812e-01
9.400000000000000000e+01,9.287414000000000502e-01
9.500000000000000000e+01,9.275197400000000370e-01
9.600000000000000000e+01,9.262969500000000078e-01
9.700000000000000000e+01,9.250728499999999466e-01
9.800000000000000000e+01,9.238473799999999958e-01
9.900000000000000000e+01,9.226205899999999627e-01
1.000000000000000000e+02,9.213923200000000424e-01
1.010000000000000000e+02,9.201625599999999627e-01
1.020000000000000000e+02,9.189311900000000088e-01
1.030000000000000000e+02,9.176980900000000219e-01
1.040000000000000000e+02,9.164632000000000334e-01
1.050000000000000000e+02,9.152264599999999639e-01
1.060000000000000000e+02,9.139876999999999585e-01
1.070000000000000000e+02,9.127469700000000463e-01
1.080000000000000000e+02,9.115040899999999890e-01
1.090000000000000000e+02,9.102590099999999795e-01
1.100000000000000000e+02,9.090116599999999991e-01
1.110000000000000000e+02,9.077619900000000186e-01
1.120000000000000000e+02,9.065098799999999901e-01
1.130000000000000000e+02,9.052552600000000060e-01
1.140000000000000000e+02,9.039980199999999577e-01
1.150000000000000000e+02,9.027380299999999691e-01
1.160000000000000000e+02,9.014751300000000134e-01
1.170000000000000000e+02,9.002092499999999609e-01
1.180000000000000000e+02,8.989403200000000149e-01
1.190000000000000000e+02,8.976681800000000377e-01
1.200000000000000000e+02,8.963927000000000422e-01
1.210000000000000000e+02,8.951138299999999992e-01
1.220000000000000000e+02,8.938313100000000455e-01
1.230000000000000000e+02,8.925452200000000280e-01
1.240000000000000000e+02,8.912553800000000415e-01
1.250000000000000000e+02,8.899616000000000193e-01
1.260000000000000000e+02,8.886327099999999923e-01
1.270000000000000000e+02,8.872988200000000436e-01
1.280000000000000000e+02,8.859603999999999813e-01
1.290000000000000000e+02,8.846196499999999796e-01
1.300000000000000000e+02,8.832769999999999788e-01
