# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,7.999999400000000829e-03
1.100000000000000000e+01,7.999999400000000829e-03
1.200000000000000000e+01,7.999999400000000829e-03
1.300000000000000000e+01,7.999998499999999221e-03
1.400000000000000000e+01,7.999995700000000001e-03
1.500000000000000000e+01,7.999991099999999300e-03
1.600000000000000000e+01,7.999981800000000032e-03
1.700000000000000000e+01,7.999964999999999507e-03
1.800000000000000000e+01,7.999936100000000494e-03
1.900000000000000000e+01,7.999887699999999602e-03
2.000000000000000000e+01,7.999811299999999570e-03
2.100000000000000000e+01,7.999693999999999902e-03
2.200000000000000000e+01,7.999518900000000474e-03
2.300000000000000000e+01,7.999265599999999532e-03
2.400000000000000000e+01,7.998910700000000373e-03
2.500000000000000000e+01,7.998424599999999843e-03
2.600000000000000000e+01,7.997777299999999853e-03
2.700000000000000000e+01,7.996937299999999638e-03
2.800000000000000000e+01,7.995872799999999628e-03
2.900000000000000000e+01,7.994558699999999504e-03
3.000000000000000000e+01,7.992977300000000604e-03
3.100000000000000000e+01,7.991117400000000842e-03
3.200000000000000000e+01,7.988979999999999693e-03
3.300000000000000000e+01,7.986582799999999288e-03
3.400000000000000000e+01,7.983939699999999598e-03
3.500000000000000000e+01,7.981072199999999714e-03
3.600000000000000000e+01,7.978019299999999925e-03
3.700000000000000000e+01,7.974795999999999274e-03
3.800000000000000000e+01,7.971421799999999641e-03
3.900000000000000000e+01,7.967932100000000087e-03
4.000000000000000000e+01,7.964328899999999559e-03
4.100000000000000000e+01,7.960618500000000639e-03
4.200000000000000000e+01,7.956828900000000732e-03
4.300000000000000000e+01,7.952951800000000043e-03
4.400000000000000000e+01,7.948989000000000055e-03
4.500000000000000000e+01,7.944961999999999858e-03
4.600000000000000000e+01,7.940865099999999677e-03
4.700000000000000000e+01,7.936699300000000720e-03
4.800000000000000000e+01,7.931688799999999512e-03
4.900000000000000000e+01,7.927139300000000249e-03
5.000000000000000000e+01,7.922664299999999937e-03
5.100000000000000000e+01,7.918198600000000628e-03
5.200000000000000000e+01,7.913729200000000491e-03
5.300000000000000000e+01,7.909235500000000307e-03
5.400000000000000000e+01,7.904730699999999374e-03
5.500000000000000000e+01,7.900204500000000685e-03
5.600000000000000000e+01,7.895654099999999814e-03
5.700000000000000000e+01,7.891085900000000680e-03
5.800000000000000000e+01,7.886497299999999794e-03
5.900000000000000000e+01,7.881885400000000069e-03
6.000000000000000000e+01,7.877254900000000074e-03
6.100000000000000000e+01,7.872604800000000333e-03
6.200000000000000000e+01,7.867933299999999366e-03
6.300000000000000000e+01,7.863245899999999483e-03
6.400000000000000000e+01,7.858540900000000537e-03
6.500000000000000000e+01,7.853819999999999205e-03
6.600000000000000000e+01,7.849086099999999511e-03
6.700000000000000000e+01,7.844340999999999467e-03
6.800000000000000000e+01,7.839583799999999200e-03
6.900000000000000000e+01,7.834817299999999665e-03
7.000000000000000000e+01,7.830043300000000608e-03
7.100000000000000000e+01,7.825260100000000149e-03
7.200000000000000000e+01,7.820469300000000568e-03
7.300000000000000000e+01,7.815671200000000665e-03
7.400000000000000000e+01,7.810864600000000033e-03
7.500000000000000000e+01,7.806051100000000083e-03
7.600000000000000000e+01,7.801231500000000221e-03
7.700000000000000000e+01,7.796404399999999971e-03
7.800000000000000000e+01,7.791571300000000276e-03
7.900000000000000000e+01,7.786733100000000143e-03
8.000000000000000000e+01,7.781889299999999836e-03
8.100000000000000000e+01,7.777040800000000094e-03
8.200000000000000000e+01,7.772188200000000255e-03
8.300000000000000000e+01,7.767331799999999987e-03
8.400000000000000000e+01,7.762471200000000023e-03
8.500000000000000000e+01,7.757606900000000097e-03
8.600000000000000000e+01,7.752738900000000211e-03
8.700000000000000000e+01,7.747866699999999759e-03
8.800000000000000000e+01,7.742990299999999611e-03
8.900000000000000000e+01,7.738109699999999765e-03
9.000000000000000000e+01,7.733224399999999617e-03
9.100000000000000000e+01,7.728334100000000366e-03
9.200000000000000000e+01,7.723439500000000082e-03
9.300000000000000000e+01,7.718539800000000228e-03
9.400000000000000000e+01,7.713635499999999673e-03
9.500000000000000000e+01,7.708726499999999683e-03
9.600000000000000000e+01,7.703811900000000386e-03
9.700000000000000000e+01,7.698892599999999919e-03
9.800000000000000000e+01,7.693968199999999882e-03
9.900000000000000000e+01,7.689038300000000138e-03
1.000000000000000000e+02,7.684102299999999615e-03
1.010000000000000000e+02,7.679160200000000047e-03
1.020000000000000000e+02,7.674211600000000431e-03
1.030000000000000000e+02,7.669256099999999764e-03
1.040000000000000000e+02,7.664293499999999711e-03
1.050000000000000000e+02,7.659323499999999736e-03
1.060000000000000000e+02,7.654345600000000104e-03
1.070000000000000000e+02,7.649359300000000209e-03
1.080000000000000000e+02,7.644364600000000051e-03
1.090000000000000000e+02,7.639361100000000362e-03
1.100000000000000000e+02,7.634348200000000070e-03
1.110000000000000000e+02,7.629326500000000247e-03
1.120000000000000000e+02,7.624294600000000414e-03
1.130000000000000000e+02,7.619252899999999842e-03
1.140000000000000000e+02,7.614199999999999788e-03
1.150000000000000000e+02,7.609136899999999724e-03
1.160000000000000000e+02,7.604061599999999838e-03
1.170000000000000000e+02,7.598974300000000195e-03
1.180000000000000000e+02,7.593874799999999863e-03
1.190000000000000000e+02,7.588762800000000038e-03
1.200000000000000000e+02,7.583636799999999775e-03
1.210000000000000000e+02,7.578497299999999680e-03
1.220000000000000000e+02,7.573343800000000015e-03
1.230000000000000000e+02,7.568175400000000039e-03
1.240000000000000000e+02,7.562991699999999616e-03
1.250000000000000000e+02,7.557792600000000013e-03
1.260000000000000000e+02,7.552451899999999829e-03
1.270000000000000000e+02,7.547091700000000368e-03
1.280000000000000000e+02,7.541713299999999905e-03
1.290000000000000000e+02,7.536325099999999569e-03
1.300000000000000000e+02,7.530929500000000179e-03
1.310000000000000000e+02,7.525524100000000050e-03
1.320000000000000000e+02,7.520108900000000048e-03
1.330000000000000000e+02,7.514680699999999949e-03
1.340000000000000000e+02,7.509239000000000018e-03
1.350000000000000000e+02,7.503781000000000166e-03
1.360000000000000000e+02,7.498306199999999790e-03
1.370000000000000000e+02,7.492812800000000009e-03
1.380000000000000000e+02,7.487300300000000221e-03
1.390000000000000000e+02,7.481766899999999811e-03
1.400000000000000000e+02,7.476211099999999568e-03
1.410000000000000000e+02,7.470632900000000361e-03
1.420000000000000000e+02,7.465030499999999840e-03
1.430000000000000000e+02,7.459403499999999604e-03
1.440000000000000000e+02,7.453750799999999711e-03
1.450000000000000000e+02,7.448071100000000153e-03
1.460000000000000000e+02,7.442364499999999661e-03
1.470000000000000000e+02,7.436628899999999688e-03
1.480000000000000000e+02,7.430863999999999699e-03
1.490000000000000000e+02,7.425069299999999956e-03
1.500000000000000000e+02,7.419242999999999845e-03
1.510000000000000000e+02,7.413384999999999767e-03
1.520000000000000000e+02,7.407493900000000110e-03
1.530000000000000000e+02,7.401568800000000135e-03
1.540000000000000000e+02,7.395608799999999969e-03
1.550000000000000000e+02,7.389612999999999737e-03
1.560000000000000000e+02,7.383579900000000230e-03
1.570000000000000000e+02,7.377509499999999713e-03
1.580000000000000000e+02,7.371399600000000038e-03
1.590000000000000000e+02,7.365249100000000396e-03
1.600000000000000000e+02,7.359057700000000250e-03
1.610000000000000000e+02,7.352823399999999787e-03
1.620000000000000000e+02,7.346545799999999737e-03
1.630000000000000000e+02,7.340222599999999750e-03
1.640000000000000000e+02,7.333853300000000089e-03
1.650000000000000000e+02,7.327435999999999672e-03
1.660000000000000000e+02,7.320969400000000224e-03
1.670000000000000000e+02,7.314451999999999933e-03
1.680000000000000000e+02,7.307882400000000056e-03
1.690000000000000000e+02,7.301259299999999716e-03
1.700000000000000000e+02,7.294580299999999830e-03
1.710000000000000000e+02,7.287843599999999783e-03
1.720000000000000000e+02,7.281048200000000102e-03
1.730000000000000000e+02,7.274192300000000173e-03
1.740000000000000000e+02,7.267273000000000309e-03
1.750000000000000000e+02,7.260288999999999632e-03
1.760000000000000000e+02,7.253238000000000393e-03
1.770000000000000000e+02,7.246118000000000177e-03
1.780000000000000000e+02,7.238926399999999831e-03
1.790000000000000000e+02,7.231661599999999676e-03
1.800000000000000000e+02,7.224320900000000094e-03
1.810000000000000000e+02,7.216901500000000129e-03
1.820000000000000000e+02,7.209401600000000035e-03
1.830000000000000000e+02,7.201818300000000124e-03
1.840000000000000000e+02,7.194149300000000045e-03
1.850000000000000000e+02,7.186391399999999575e-03
1.860000000000000000e+02,7.178542199999999630e-03
1.870000000000000000e+02,7.170509999999999731e-03
1.880000000000000000e+02,7.162398199999999576e-03
1.890000000000000000e+02,7.154197000000000160e-03
