# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,3.330446599999999790e+01
3.000000000000000000e+00,3.795432999999999879e+01
4.000000000000000000e+00,4.174065800000000337e+01
5.000000000000000000e+00,4.490377399999999852e+01
6.000000000000000000e+00,4.768645500000000226e+01
7.000000000000000000e+00,5.018357499999999760e+01
8.000000000000000000e+00,5.246473699999999951e+01
9.000000000000000000e+00,5.457193800000000294e+01
1.000000000000000000e+01,5.653692199999999701e+01
1.100000000000000000e+01,5.838195000000000334e+01
1.200000000000000000e+01,6.012449300000000108e+01
1.300000000000000000e+01,6.177788499999999772e+01
1.400000000000000000e+01,6.335311099999999840e+01
1.500000000000000000e+01,6.485879500000000064e+01
1.600000000000000000e+01,6.630213200000000029e+01
1.700000000000000000e+01,6.768948399999999310e+01
1.800000000000000000e+01,6.902578699999999401e+01
1.900000000000000000e+01,7.031546799999999564e+01
2.000000000000000000e+01,7.156275200000000325e+01
2.100000000000000000e+01,7.277047699999999963e+01
2.200000000000000000e+01,7.394161200000000633e+01
2.300000000000000000e+01,7.507888800000000629e+01
2.400000000000000000e+01,7.618436400000000219e+01
2.500000000000000000e+01,7.726015499999999747e+01
2.600000000000000000e+01,7.830853299999999706e+01
2.700000000000000000e+01,7.933073400000000674e+01
2.800000000000000000e+01,8.032802599999999416e+01
2.900000000000000000e+01,8.130232200000000375e+01
3.000000000000000000e+01,8.225451700000000699e+01
3.100000000000000000e+01,8.318606599999999673e+01
3.200000000000000000e+01,8.409769400000000417e+01
3.300000000000000000e+01,8.499031800000000203e+01
3.400000000000000000e+01,8.586514999999999986e+01
3.500000000000000000e+01,8.672274000000000171e+01
3.600000000000000000e+01,8.756400299999999959e+01
3.700000000000000000e+01,8.838960299999999393e+01
3.800000000000000000e+01,8.920023299999999722e+01
3.900000000000000000e+01,8.999633799999999439e+01
4.000000000000000000e+01,9.077861799999999448e+01
4.100000000000000000e+01,9.154769899999999438e+01
4.200000000000000000e+01,9.230391699999999844e+01
4.300000000000000000e+01,9.304779100000000369e+01
4.400000000000000000e+01,9.377988399999999558e+01
4.500000000000000000e+01,9.450055700000000058e+01
4.600000000000000000e+01,9.521022000000000673e+01
4.700000000000000000e+01,9.590925599999999918e+01
4.800000000000000000e+01,9.659835800000000461e+01
4.900000000000000000e+01,9.727710700000000088e+01
5.000000000000000000e+01,9.794638799999999890e+01
5.100000000000000000e+01,9.860651400000000422e+01
5.200000000000000000e+01,9.925760699999999304e+01
5.300000000000000000e+01,9.989987200000000200e+01
5.400000000000000000e+01,1.005338200000000057e+02
5.500000000000000000e+01,1.011596399999999960e+02
5.600000000000000000e+01,1.017773899999999969e+02
5.700000000000000000e+01,1.023875699999999966e+02
5.800000000000000000e+01,1.029903199999999970e+02
5.900000000000000000e+01,1.035859200000000016e+02
6.000000000000000000e+01,1.041744499999999931e+02
6.100000000000000000e+01,1.047561599999999942e+02
6.200000000000000000e+01,1.053312999999999988e+02
6.300000000000000000e+01,1.058999699999999962e+02
6.400000000000000000e+01,1.064623600000000039e+02
6.500000000000000000e+01,1.070187499999999972e+02
6.600000000000000000e+01,1.075693399999999968e+02
6.700000000000000000e+01,1.081140599999999949e+02
6.800000000000000000e+01,1.086532399999999967e+02
6.900000000000000000e+01,1.091870700000000056e+02
7.000000000000000000e+01,1.097153200000000055e+02
7.100000000000000000e+01,1.102388200000000040e+02
7.200000000000000000e+01,1.107572700000000054e+02
7.300000000000000000e+01,1.112704200000000014e+02
7.400000000000000000e+01,1.117792299999999983e+02
7.500000000000000000e+01,1.122834699999999941e+02
7.600000000000000000e+01,1.127827800000000025e+02
7.700000000000000000e+01,1.132780699999999996e+02
7.800000000000000000e+01,1.137691499999999962e+02
7.900000000000000000e+01,1.142557999999999936e+02
8.000000000000000000e+01,1.147384200000000050e+02
8.100000000000000000e+01,1.152173399999999930e+02
8.200000000000000000e+01,1.156924300000000017e+02
8.300000000000000000e+01,1.161637900000000059e+02
8.400000000000000000e+01,1.166311699999999973e+02
8.500000000000000000e+01,1.170949999999999989e+02
8.600000000000000000e+01,1.175556299999999936e+02
8.700000000000000000e+01,1.180127499999999969e+02
8.800000000000000000e+01,1.184665300000000059e+02
8.900000000000000000e+01,1.189169799999999952e+02
9.000000000000000000e+01,1.193644000000000034e+02
9.100000000000000000e+01,1.198085899999999953e+02
9.200000000000000000e+01,1.202500000000000000e+02
9.300000000000000000e+01,1.206883799999999951e+02
9.400000000000000000e+01,1.211238699999999966e+02
9.500000000000000000e+01,1.215564399999999949e+02
9.600000000000000000e+01,1.219863900000000001e+02
9.700000000000000000e+01,1.224136699999999962e+02
9.800000000000000000e+01,1.228384300000000025e+02
9.900000000000000000e+01,1.232605599999999981e+02
1.000000000000000000e+02,1.236801499999999976e+02
1.010000000000000000e+02,1.240974099999999964e+02
1.020000000000000000e+02,1.245122499999999945e+02
1.030000000000000000e+02,1.249247399999999999e+02
1.040000000000000000e+02,1.253348299999999966e+02
1.050000000000000000e+02,1.257428100000000057e+02
1.060000000000000000e+02,1.261483699999999999e+02
1.070000000000000000e+02,1.265519900000000035e+02
1.080000000000000000e+02,1.269535099999999943e+02
1.090000000000000000e+02,1.273529900000000055e+02
1.100000000000000000e+02,1.277504700000000071e+02
1.110000000000000000e+02,1.281459399999999960e+02
1.120000000000000000e+02,1.285394900000000007e+02
1.130000000000000000e+02,1.289312400000000025e+02
1.140000000000000000e+02,1.293211100000000044e+02
1.150000000000000000e+02,1.297091200000000129e+02
1.160000000000000000e+02,1.300954099999999869e+02
1.170000000000000000e+02,1.304799500000000023e+02
1.180000000000000000e+02,1.308627600000000086e+02
1.190000000000000000e+02,1.312439599999999871e+02
1.200000000000000000e+02,1.316236299999999915e+02
1.210000000000000000e+02,1.320015099999999961e+02
1.220000000000000000e+02,1.323778800000000047e+02
1.230000000000000000e+02,1.327526699999999948e+02
1.240000000000000000e+02,1.331259000000000015e+02
1.250000000000000000e+02,1.334977100000000121e+02
1.260000000000000000e+02,1.338680099999999982e+02
1.270000000000000000e+02,1.342368500000000040e+02
1.280000000000000000e+02,1.346043400000000076e+02
1.290000000000000000e+02,1.349703800000000058e+02
1.300000000000000000e+02,1.353350499999999954e+02
1.310000000000000000e+02,1.356986400000000117e+02
1.320000000000000000e+02,1.360607300000000066e+02
1.330000000000000000e+02,1.364214800000000025e+02
1.340000000000000000e+02,1.367809799999999996e+02
1.350000000000000000e+02,1.371393300000000011e+02
1.360000000000000000e+02,1.374962500000000034e+02
1.370000000000000000e+02,1.378520200000000102e+02
1.380000000000000000e+02,1.382065399999999897e+02
1.390000000000000000e+02,1.385598799999999926e+02
1.400000000000000000e+02,1.389121100000000126e+02
1.410000000000000000e+02,1.392632000000000119e+02
1.420000000000000000e+02,1.396131699999999967e+02
1.430000000000000000e+02,1.399620500000000050e+02
1.440000000000000000e+02,1.403099400000000117e+02
1.450000000000000000e+02,1.406567699999999945e+02
1.460000000000000000e+02,1.410024400000000071e+02
1.470000000000000000e+02,1.413469800000000021e+02
1.480000000000000000e+02,1.416904600000000016e+02
1.490000000000000000e+02,1.420329299999999932e+02
1.500000000000000000e+02,1.423743399999999895e+02
1.510000000000000000e+02,1.427147699999999872e+02
1.520000000000000000e+02,1.430544099999999901e+02
1.530000000000000000e+02,1.433928799999999910e+02
1.540000000000000000e+02,1.437306199999999876e+02
1.550000000000000000e+02,1.440673500000000047e+02
1.560000000000000000e+02,1.444031099999999981e+02
1.570000000000000000e+02,1.447378699999999867e+02
1.580000000000000000e+02,1.450718799999999931e+02
1.590000000000000000e+02,1.454047899999999913e+02
1.600000000000000000e+02,1.457367900000000134e+02
1.610000000000000000e+02,1.460679299999999898e+02
1.620000000000000000e+02,1.463983800000000031e+02
1.630000000000000000e+02,1.467278100000000052e+02
1.640000000000000000e+02,1.470564599999999871e+02
1.650000000000000000e+02,1.473844100000000026e+02
1.660000000000000000e+02,1.477113200000000006e+02
1.670000000000000000e+02,1.480374500000000069e+02
