# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000599999999906e+01
6.000000000000000000e+00,2.500003200000000092e+01
7.000000000000000000e+00,2.500013500000000022e+01
8.000000000000000000e+00,2.500046700000000044e+01
9.000000000000000000e+00,2.500137499999999946e+01
1.000000000000000000e+01,2.500353099999999884e+01
1.100000000000000000e+01,2.500807000000000002e+01
1.200000000000000000e+01,2.501670100000000119e+01
1.300000000000000000e+01,2.503175500000000042e+01
1.400000000000000000e+01,2.505617000000000161e+01
1.500000000000000000e+01,2.509339299999999895e+01
1.600000000000000000e+01,2.514727999999999852e+01
1.700000000000000000e+01,2.522192799999999835e+01
1.800000000000000000e+01,2.532154999999999845e+01
1.900000000000000000e+01,2.545033499999999904e+01
2.000000000000000000e+01,2.561233500000000163e+01
2.100000000000000000e+01,2.581138999999999939e+01
2.200000000000000000e+01,2.605105599999999910e+01
2.300000000000000000e+01,2.633455999999999975e+01
2.400000000000000000e+01,2.666475900000000010e+01
2.500000000000000000e+01,2.704413600000000173e+01
2.600000000000000000e+01,2.747484999999999999e+01
2.700000000000000000e+01,2.795862999999999943e+01
2.800000000000000000e+01,2.849688499999999891e+01
2.900000000000000000e+01,2.909071399999999841e+01
3.000000000000000000e+01,2.974086000000000141e+01
3.100000000000000000e+01,3.044783599999999879e+01
3.200000000000000000e+01,3.121185699999999841e+01
3.300000000000000000e+01,3.203290599999999699e+01
3.400000000000000000e+01,3.291078600000000165e+01
3.500000000000000000e+01,3.384508900000000153e+01
3.600000000000000000e+01,3.483525099999999952e+01
3.700000000000000000e+01,3.593970499999999646e+01
3.800000000000000000e+01,3.706484199999999873e+01
3.900000000000000000e+01,3.823510000000000275e+01
4.000000000000000000e+01,3.945493299999999692e+01
4.100000000000000000e+01,4.072382700000000000e+01
4.200000000000000000e+01,4.204106900000000024e+01
4.300000000000000000e+01,4.340557900000000302e+01
4.400000000000000000e+01,4.481615399999999738e+01
4.500000000000000000e+01,4.627147699999999730e+01
4.600000000000000000e+01,4.777009199999999822e+01
4.700000000000000000e+01,4.931063100000000077e+01
4.800000000000000000e+01,5.089159800000000189e+01
4.900000000000000000e+01,5.251146299999999911e+01
5.000000000000000000e+01,5.416870899999999978e+01
5.100000000000000000e+01,5.586185799999999801e+01
5.200000000000000000e+01,5.758923000000000059e+01
5.300000000000000000e+01,5.934927400000000119e+01
5.400000000000000000e+01,6.114052600000000126e+01
5.500000000000000000e+01,6.296129200000000026e+01
5.600000000000000000e+01,6.481012699999999427e+01
5.700000000000000000e+01,6.668551600000000690e+01
5.800000000000000000e+01,6.858589899999999773e+01
5.900000000000000000e+01,7.050994099999999776e+01
6.000000000000000000e+01,7.245617699999999672e+01
6.100000000000000000e+01,7.442324800000000096e+01
6.200000000000000000e+01,7.640985899999999731e+01
6.300000000000000000e+01,7.841476400000000524e+01
6.400000000000000000e+01,8.043679000000000201e+01
6.500000000000000000e+01,8.247477000000000658e+01
6.600000000000000000e+01,8.452759600000000262e+01
6.700000000000000000e+01,8.659425400000000650e+01
6.800000000000000000e+01,8.867384300000000508e+01
6.900000000000000000e+01,9.076526599999999689e+01
7.000000000000000000e+01,9.286766099999999824e+01
7.100000000000000000e+01,9.498027000000000442e+01
7.200000000000000000e+01,9.710231799999999680e+01
7.300000000000000000e+01,9.923289499999999919e+01
7.400000000000000000e+01,1.013713599999999957e+02
7.500000000000000000e+01,1.035170899999999961e+02
7.600000000000000000e+01,1.056693000000000069e+02
7.700000000000000000e+01,1.078274200000000036e+02
7.800000000000000000e+01,1.099908599999999979e+02
7.900000000000000000e+01,1.121590099999999950e+02
8.000000000000000000e+01,1.143314199999999943e+02
8.100000000000000000e+01,1.165074299999999994e+02
8.200000000000000000e+01,1.186866500000000002e+02
8.300000000000000000e+01,1.208684800000000052e+02
8.400000000000000000e+01,1.230525200000000012e+02
8.500000000000000000e+01,1.252383999999999986e+02
8.600000000000000000e+01,1.274256199999999950e+02
8.700000000000000000e+01,1.296138200000000040e+02
8.800000000000000000e+01,1.318025800000000061e+02
8.900000000000000000e+01,1.339916100000000085e+02
9.000000000000000000e+01,1.361804999999999950e+02
9.100000000000000000e+01,1.383689899999999966e+02
9.200000000000000000e+01,1.405566699999999969e+02
9.300000000000000000e+01,1.427433299999999861e+02
9.400000000000000000e+01,1.449285399999999981e+02
9.500000000000000000e+01,1.471121200000000044e+02
9.600000000000000000e+01,1.492937300000000107e+02
9.700000000000000000e+01,1.514731400000000008e+02
9.800000000000000000e+01,1.536501199999999869e+02
9.900000000000000000e+01,1.558243699999999876e+02
1.000000000000000000e+02,1.579956999999999994e+02
1.010000000000000000e+02,1.601638299999999902e+02
1.020000000000000000e+02,1.623286300000000040e+02
1.030000000000000000e+02,1.644897200000000055e+02
1.040000000000000000e+02,1.666469899999999882e+02
1.050000000000000000e+02,1.688002600000000086e+02
1.060000000000000000e+02,1.709492799999999875e+02
1.070000000000000000e+02,1.730939500000000066e+02
1.080000000000000000e+02,1.752339800000000025e+02
1.090000000000000000e+02,1.773692200000000128e+02
1.100000000000000000e+02,1.794996299999999962e+02
1.110000000000000000e+02,1.816248799999999903e+02
1.120000000000000000e+02,1.837448100000000011e+02
1.130000000000000000e+02,1.858593600000000094e+02
1.140000000000000000e+02,1.879683799999999962e+02
1.150000000000000000e+02,1.900716199999999958e+02
1.160000000000000000e+02,1.921689499999999953e+02
1.170000000000000000e+02,1.942602400000000102e+02
1.180000000000000000e+02,1.963454099999999869e+02
1.190000000000000000e+02,1.984242199999999912e+02
1.200000000000000000e+02,2.004965699999999913e+02
1.210000000000000000e+02,2.025623300000000029e+02
1.220000000000000000e+02,2.046221199999999953e+02
1.230000000000000000e+02,2.066746799999999951e+02
1.240000000000000000e+02,2.087202299999999866e+02
1.250000000000000000e+02,2.107585899999999981e+02
1.260000000000000000e+02,2.127897600000000011e+02
1.270000000000000000e+02,2.148137399999999957e+02
1.280000000000000000e+02,2.168305499999999881e+02
1.290000000000000000e+02,2.188402600000000007e+02
1.300000000000000000e+02,2.208428299999999922e+02
1.310000000000000000e+02,2.228383200000000102e+02
1.320000000000000000e+02,2.248266399999999976e+02
1.330000000000000000e+02,2.268077099999999859e+02
1.340000000000000000e+02,2.287813400000000001e+02
1.350000000000000000e+02,2.307473799999999926e+02
1.360000000000000000e+02,2.327056100000000072e+02
1.370000000000000000e+02,2.346559100000000058e+02
1.380000000000000000e+02,2.365980999999999881e+02
1.390000000000000000e+02,2.385319800000000043e+02
1.400000000000000000e+02,2.404574100000000101e+02
1.410000000000000000e+02,2.423741799999999955e+02
1.420000000000000000e+02,2.442820399999999950e+02
1.430000000000000000e+02,2.461809700000000021e+02
1.440000000000000000e+02,2.480707700000000102e+02
1.450000000000000000e+02,2.499512599999999907e+02
1.460000000000000000e+02,2.518222199999999873e+02
1.470000000000000000e+02,2.536835800000000063e+02
1.480000000000000000e+02,2.555351599999999905e+02
1.490000000000000000e+02,2.573767100000000028e+02
1.500000000000000000e+02,2.592081600000000208e+02
1.510000000000000000e+02,2.610292400000000157e+02
1.520000000000000000e+02,2.628398399999999810e+02
1.530000000000000000e+02,2.646397400000000175e+02
1.540000000000000000e+02,2.664287699999999859e+02
1.550000000000000000e+02,2.682067299999999932e+02
1.560000000000000000e+02,2.699733600000000138e+02
1.570000000000000000e+02,2.717284500000000094e+02
1.580000000000000000e+02,2.734717999999999734e+02
1.590000000000000000e+02,2.752032500000000255e+02
1.600000000000000000e+02,2.769223900000000071e+02
1.610000000000000000e+02,2.786290000000000191e+02
1.620000000000000000e+02,2.803228100000000040e+02
1.630000000000000000e+02,2.820035399999999868e+02
1.640000000000000000e+02,2.836708699999999794e+02
1.650000000000000000e+02,2.853244300000000067e+02
1.660000000000000000e+02,2.869639300000000048e+02
1.670000000000000000e+02,2.885889599999999859e+02
1.680000000000000000e+02,2.901991899999999873e+02
1.690000000000000000e+02,2.917942199999999957e+02
1.700000000000000000e+02,2.933736299999999915e+02
1.710000000000000000e+02,2.949369800000000055e+02
1.720000000000000000e+02,2.964838300000000118e+02
1.730000000000000000e+02,2.980137899999999718e+02
1.740000000000000000e+02,2.995264300000000048e+02
1.750000000000000000e+02,3.010211199999999963e+02
1.760000000000000000e+02,3.024975600000000213e+02
1.770000000000000000e+02,3.039552299999999718e+02
1.780000000000000000e+02,3.053935500000000047e+02
1.790000000000000000e+02,3.068121300000000247e+02
1.800000000000000000e+02,3.082103900000000181e+02
1.810000000000000000e+02,3.095878900000000158e+02
1.820000000000000000e+02,3.109441800000000171e+02
1.830000000000000000e+02,3.122787200000000212e+02
1.840000000000000000e+02,3.135910299999999893e+02
1.850000000000000000e+02,3.148807400000000030e+02
1.860000000000000000e+02,3.161473700000000235e+02
1.870000000000000000e+02,3.173905599999999936e+02
1.880000000000000000e+02,3.186142300000000205e+02
1.890000000000000000e+02,3.198129000000000133e+02
1.900000000000000000e+02,3.209881300000000124e+02
1.910000000000000000e+02,3.221404099999999744e+02
1.920000000000000000e+02,3.232693800000000124e+02
1.930000000000000000e+02,3.243743000000000052e+02
1.940000000000000000e+02,3.254543800000000147e+02
1.950000000000000000e+02,3.265089100000000144e+02
1.960000000000000000e+02,3.275375999999999976e+02
1.970000000000000000e+02,3.285403699999999958e+02
1.980000000000000000e+02,3.295173300000000154e+02
1.990000000000000000e+02,3.304687799999999811e+02
2.000000000000000000e+02,3.313950800000000072e+02
2.010000000000000000e+02,3.322966900000000123e+02
2.020000000000000000e+02,3.331741000000000099e+02
2.030000000000000000e+02,3.340278000000000134e+02
2.040000000000000000e+02,3.348584599999999796e+02
2.050000000000000000e+02,3.356667199999999980e+02
2.060000000000000000e+02,3.364532199999999875e+02
2.070000000000000000e+02,3.372187200000000189e+02
2.080000000000000000e+02,3.379640200000000050e+02
2.090000000000000000e+02,3.386899099999999976e+02
2.100000000000000000e+02,3.393973100000000045e+02
2.110000000000000000e+02,3.400869799999999827e+02
2.120000000000000000e+02,3.407599799999999846e+02
2.130000000000000000e+02,3.414171400000000176e+02
2.140000000000000000e+02,3.420593600000000265e+02
2.150000000000000000e+02,3.426876800000000003e+02
2.160000000000000000e+02,3.433030400000000100e+02
2.170000000000000000e+02,3.439063100000000190e+02
2.180000000000000000e+02,3.444985699999999724e+02
2.190000000000000000e+02,3.450806600000000230e+02
2.200000000000000000e+02,3.456536600000000021e+02
2.210000000000000000e+02,3.462183200000000056e+02
2.220000000000000000e+02,3.467755999999999972e+02
2.230000000000000000e+02,3.473264199999999846e+02
2.240000000000000000e+02,3.478714600000000132e+02
2.250000000000000000e+02,3.484118300000000090e+02
2.260000000000000000e+02,3.489481200000000172e+02
2.270000000000000000e+02,3.494811399999999821e+02
2.280000000000000000e+02,3.500117799999999875e+02
2.290000000000000000e+02,3.505405900000000088e+02
2.300000000000000000e+02,3.510683900000000222e+02
2.310000000000000000e+02,3.515957900000000222e+02
2.320000000000000000e+02,3.521233799999999974e+02
2.330000000000000000e+02,3.526518899999999803e+02
2.340000000000000000e+02,3.531817599999999970e+02
2.350000000000000000e+02,3.538007200000000125e+02
2.360000000000000000e+02,3.543786900000000060e+02
2.370000000000000000e+02,3.549446100000000115e+02
2.380000000000000000e+02,3.555053700000000276e+02
2.390000000000000000e+02,3.560627400000000193e+02
2.400000000000000000e+02,3.566194800000000100e+02
2.410000000000000000e+02,3.571780400000000100e+02
2.420000000000000000e+02,3.577401699999999778e+02
2.430000000000000000e+02,3.583073699999999917e+02
2.440000000000000000e+02,3.588806500000000028e+02
2.450000000000000000e+02,3.594608200000000124e+02
2.460000000000000000e+02,3.600484299999999962e+02
2.470000000000000000e+02,3.606441300000000183e+02
2.480000000000000000e+02,3.612483199999999783e+02
2.490000000000000000e+02,3.618615399999999909e+02
2.500000000000000000e+02,3.624842800000000125e+02
2.510000000000000000e+02,3.631169100000000185e+02
2.520000000000000000e+02,3.637598899999999844e+02
2.530000000000000000e+02,3.644132399999999734e+02
2.540000000000000000e+02,3.650779999999999745e+02
2.550000000000000000e+02,3.657544599999999946e+02
2.560000000000000000e+02,3.664429000000000087e+02
2.570000000000000000e+02,3.671442299999999932e+02
2.580000000000000000e+02,3.678586999999999989e+02
2.590000000000000000e+02,3.685868500000000267e+02
2.600000000000000000e+02,3.693292799999999829e+02
2.610000000000000000e+02,3.700868199999999888e+02
2.620000000000000000e+02,3.708599199999999882e+02
2.630000000000000000e+02,3.716495400000000018e+02
2.640000000000000000e+02,3.724563899999999990e+02
2.650000000000000000e+02,3.732811599999999999e+02
2.660000000000000000e+02,3.741247599999999807e+02
2.670000000000000000e+02,3.749881599999999935e+02
2.680000000000000000e+02,3.758725900000000024e+02
2.690000000000000000e+02,3.767787500000000023e+02
2.700000000000000000e+02,3.777073700000000258e+02
2.710000000000000000e+02,3.786603400000000192e+02
2.720000000000000000e+02,3.796385799999999904e+02
2.730000000000000000e+02,3.806434899999999857e+02
2.740000000000000000e+02,3.816766700000000014e+02
2.750000000000000000e+02,3.827394699999999830e+02
2.760000000000000000e+02,3.838337700000000154e+02
2.770000000000000000e+02,3.849609100000000126e+02
2.780000000000000000e+02,3.861222799999999893e+02
2.790000000000000000e+02,3.873207400000000007e+02
2.800000000000000000e+02,3.885584099999999808e+02
2.810000000000000000e+02,3.898369400000000269e+02
2.820000000000000000e+02,3.911592699999999923e+02
2.830000000000000000e+02,3.925273700000000190e+02
2.840000000000000000e+02,3.939448499999999740e+02
2.850000000000000000e+02,3.954137000000000057e+02
2.860000000000000000e+02,3.969372299999999996e+02
2.870000000000000000e+02,3.985188600000000179e+02
2.880000000000000000e+02,4.001617400000000089e+02
2.890000000000000000e+02,4.018689299999999776e+02
2.900000000000000000e+02,4.036445899999999938e+02
2.910000000000000000e+02,4.054918799999999806e+02
2.920000000000000000e+02,4.074146999999999821e+02
2.930000000000000000e+02,4.094147300000000200e+02
