# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,2.500000199999999850e+01
7.000000000000000000e+00,2.500000800000000112e+01
8.000000000000000000e+00,2.500002699999999933e+01
9.000000000000000000e+00,2.500008199999999903e+01
1.000000000000000000e+01,2.500021900000000130e+01
1.100000000000000000e+01,2.500052600000000069e+01
1.200000000000000000e+01,2.500114100000000050e+01
1.300000000000000000e+01,2.500226200000000176e+01
1.400000000000000000e+01,2.500416600000000145e+01
1.500000000000000000e+01,2.500719099999999884e+01
1.600000000000000000e+01,2.501173999999999964e+01
1.700000000000000000e+01,2.501826300000000103e+01
1.800000000000000000e+01,2.502724999999999866e+01
1.900000000000000000e+01,2.503921100000000166e+01
2.000000000000000000e+01,2.505466799999999949e+01
2.100000000000000000e+01,2.507413299999999978e+01
2.200000000000000000e+01,2.509810999999999837e+01
2.300000000000000000e+01,2.512707299999999933e+01
2.400000000000000000e+01,2.516147199999999984e+01
2.500000000000000000e+01,2.520171900000000065e+01
2.600000000000000000e+01,2.524819199999999952e+01
2.700000000000000000e+01,2.530122799999999827e+01
2.800000000000000000e+01,2.536112400000000022e+01
2.900000000000000000e+01,2.542814600000000169e+01
3.000000000000000000e+01,2.550250799999999884e+01
3.100000000000000000e+01,2.558439100000000010e+01
3.200000000000000000e+01,2.567395000000000138e+01
3.300000000000000000e+01,2.577130299999999963e+01
3.400000000000000000e+01,2.587653900000000107e+01
3.500000000000000000e+01,2.598971200000000081e+01
3.600000000000000000e+01,2.611085100000000025e+01
3.700000000000000000e+01,2.623998100000000022e+01
3.800000000000000000e+01,2.637708299999999895e+01
3.900000000000000000e+01,2.652211600000000047e+01
4.000000000000000000e+01,2.667504699999999929e+01
4.100000000000000000e+01,2.683581399999999917e+01
4.200000000000000000e+01,2.700432599999999894e+01
4.300000000000000000e+01,2.718052300000000088e+01
4.400000000000000000e+01,2.736427899999999980e+01
4.500000000000000000e+01,2.755550200000000061e+01
4.600000000000000000e+01,2.775407200000000074e+01
4.700000000000000000e+01,2.795986900000000119e+01
4.800000000000000000e+01,2.817276199999999875e+01
4.900000000000000000e+01,2.839261600000000030e+01
5.000000000000000000e+01,2.861930800000000019e+01
5.100000000000000000e+01,2.885269699999999915e+01
5.200000000000000000e+01,2.909262999999999977e+01
5.300000000000000000e+01,2.933896299999999968e+01
5.400000000000000000e+01,2.959155300000000111e+01
5.500000000000000000e+01,2.985028499999999951e+01
5.600000000000000000e+01,3.011496899999999854e+01
5.700000000000000000e+01,3.038547900000000013e+01
5.800000000000000000e+01,3.066169700000000020e+01
5.900000000000000000e+01,3.094344099999999997e+01
6.000000000000000000e+01,3.123057000000000016e+01
6.100000000000000000e+01,3.152296600000000026e+01
6.200000000000000000e+01,3.182047499999999829e+01
6.300000000000000000e+01,3.212297800000000336e+01
6.400000000000000000e+01,3.243030499999999705e+01
6.500000000000000000e+01,3.274233999999999867e+01
6.600000000000000000e+01,3.305895600000000201e+01
6.700000000000000000e+01,3.338001299999999816e+01
6.800000000000000000e+01,3.370538700000000176e+01
6.900000000000000000e+01,3.403496599999999717e+01
7.000000000000000000e+01,3.436860999999999677e+01
7.100000000000000000e+01,3.470621500000000026e+01
7.200000000000000000e+01,3.504765299999999684e+01
7.300000000000000000e+01,3.539277599999999779e+01
7.400000000000000000e+01,3.574148900000000140e+01
7.500000000000000000e+01,3.609370799999999946e+01
7.600000000000000000e+01,3.644930599999999998e+01
7.700000000000000000e+01,3.680818599999999918e+01
7.800000000000000000e+01,3.717022300000000001e+01
7.900000000000000000e+01,3.753532799999999980e+01
8.000000000000000000e+01,3.790341200000000299e+01
8.100000000000000000e+01,3.827437599999999662e+01
8.200000000000000000e+01,3.864812500000000028e+01
8.300000000000000000e+01,3.902454000000000178e+01
8.400000000000000000e+01,3.940356799999999993e+01
8.500000000000000000e+01,3.978511400000000009e+01
8.600000000000000000e+01,4.016907499999999942e+01
8.700000000000000000e+01,4.055538899999999813e+01
8.800000000000000000e+01,4.094396199999999908e+01
8.900000000000000000e+01,4.133471699999999771e+01
9.000000000000000000e+01,4.172757000000000005e+01
9.100000000000000000e+01,4.212244799999999856e+01
9.200000000000000000e+01,4.251927599999999785e+01
9.300000000000000000e+01,4.291798800000000114e+01
9.400000000000000000e+01,4.331850800000000135e+01
9.500000000000000000e+01,4.372077600000000075e+01
9.600000000000000000e+01,4.412471800000000144e+01
9.700000000000000000e+01,4.453027300000000110e+01
9.800000000000000000e+01,4.493737800000000249e+01
9.900000000000000000e+01,4.534597800000000234e+01
1.000000000000000000e+02,4.575601199999999835e+01
1.010000000000000000e+02,4.616742299999999943e+01
1.020000000000000000e+02,4.658015100000000075e+01
1.030000000000000000e+02,4.699414099999999905e+01
1.040000000000000000e+02,4.740933199999999914e+01
1.050000000000000000e+02,4.782570299999999719e+01
1.060000000000000000e+02,4.824316400000000016e+01
1.070000000000000000e+02,4.866170900000000188e+01
1.080000000000000000e+02,4.908125299999999669e+01
1.090000000000000000e+02,4.950176199999999938e+01
1.100000000000000000e+02,4.992319499999999977e+01
1.110000000000000000e+02,5.034548999999999808e+01
1.120000000000000000e+02,5.076862299999999806e+01
1.130000000000000000e+02,5.119254699999999758e+01
1.140000000000000000e+02,5.161722199999999816e+01
1.150000000000000000e+02,5.204259900000000272e+01
1.160000000000000000e+02,5.246865499999999827e+01
1.170000000000000000e+02,5.289534400000000147e+01
1.180000000000000000e+02,5.332263199999999870e+01
1.190000000000000000e+02,5.375048400000000015e+01
1.200000000000000000e+02,5.417886399999999725e+01
1.210000000000000000e+02,5.460773799999999767e+01
1.220000000000000000e+02,5.503708999999999918e+01
1.230000000000000000e+02,5.546688499999999777e+01
1.240000000000000000e+02,5.589707599999999843e+01
1.250000000000000000e+02,5.632764399999999938e+01
1.260000000000000000e+02,5.675855299999999914e+01
1.270000000000000000e+02,5.718977399999999989e+01
1.280000000000000000e+02,5.762127699999999919e+01
1.290000000000000000e+02,5.805304300000000239e+01
1.300000000000000000e+02,5.848503900000000044e+01
1.310000000000000000e+02,5.891724800000000073e+01
1.320000000000000000e+02,5.934963599999999673e+01
1.330000000000000000e+02,5.978218499999999835e+01
1.340000000000000000e+02,6.021486699999999814e+01
1.350000000000000000e+02,6.064770899999999898e+01
1.360000000000000000e+02,6.108062699999999978e+01
1.370000000000000000e+02,6.151361500000000149e+01
1.380000000000000000e+02,6.194664800000000326e+01
1.390000000000000000e+02,6.237972299999999848e+01
1.400000000000000000e+02,6.281280900000000145e+01
1.410000000000000000e+02,6.324588399999999666e+01
1.420000000000000000e+02,6.367893600000000021e+01
1.430000000000000000e+02,6.411193799999999499e+01
1.440000000000000000e+02,6.454488399999999615e+01
1.450000000000000000e+02,6.497775300000000698e+01
1.460000000000000000e+02,6.541052999999999429e+01
1.470000000000000000e+02,6.584320800000000418e+01
1.480000000000000000e+02,6.627577200000000346e+01
1.490000000000000000e+02,6.670819899999999336e+01
1.500000000000000000e+02,6.714047200000000259e+01
1.510000000000000000e+02,6.757257799999999293e+01
1.520000000000000000e+02,6.800450100000000475e+01
1.530000000000000000e+02,6.843622600000000489e+01
1.540000000000000000e+02,6.886774400000000185e+01
1.550000000000000000e+02,6.929904200000000003e+01
1.560000000000000000e+02,6.973009500000000571e+01
1.570000000000000000e+02,7.016091199999999617e+01
1.580000000000000000e+02,7.059146900000000358e+01
1.590000000000000000e+02,7.102175099999999475e+01
1.600000000000000000e+02,7.145179699999999912e+01
1.610000000000000000e+02,7.188152300000000139e+01
1.620000000000000000e+02,7.231095899999999688e+01
1.630000000000000000e+02,7.274009700000000578e+01
1.640000000000000000e+02,7.316890700000000436e+01
1.650000000000000000e+02,7.359738900000000683e+01
1.660000000000000000e+02,7.402552799999999422e+01
1.670000000000000000e+02,7.445332299999999748e+01
1.680000000000000000e+02,7.488075999999999510e+01
1.690000000000000000e+02,7.530783099999999308e+01
1.700000000000000000e+02,7.573452799999999741e+01
1.710000000000000000e+02,7.616085099999999386e+01
1.720000000000000000e+02,7.658677699999999788e+01
1.730000000000000000e+02,7.701231400000000349e+01
1.740000000000000000e+02,7.743746199999999646e+01
1.750000000000000000e+02,7.786221299999999701e+01
1.760000000000000000e+02,7.828653699999999560e+01
1.770000000000000000e+02,7.871044899999999700e+01
1.780000000000000000e+02,7.913393399999999644e+01
1.790000000000000000e+02,7.955696899999999516e+01
1.800000000000000000e+02,7.997956100000000390e+01
1.810000000000000000e+02,8.040171100000000592e+01
1.820000000000000000e+02,8.082340200000000152e+01
1.830000000000000000e+02,8.124464399999999387e+01
1.840000000000000000e+02,8.166541300000000092e+01
1.850000000000000000e+02,8.208571600000000501e+01
1.860000000000000000e+02,8.250553899999999885e+01
1.870000000000000000e+02,8.292488099999999918e+01
1.880000000000000000e+02,8.334375000000000000e+01
1.890000000000000000e+02,8.376213099999999656e+01
1.900000000000000000e+02,8.418002300000000560e+01
1.910000000000000000e+02,8.459741999999999962e+01
1.920000000000000000e+02,8.501431999999999789e+01
1.930000000000000000e+02,8.543072499999999536e+01
1.940000000000000000e+02,8.584660300000000177e+01
1.950000000000000000e+02,8.626200099999999793e+01
1.960000000000000000e+02,8.667686500000000649e+01
1.970000000000000000e+02,8.709120199999999556e+01
1.980000000000000000e+02,8.750502000000000180e+01
1.990000000000000000e+02,8.791830400000000623e+01
2.000000000000000000e+02,8.833107800000000509e+01
2.010000000000000000e+02,8.874333199999999522e+01
2.020000000000000000e+02,8.915503699999999299e+01
2.030000000000000000e+02,8.956619999999999493e+01
2.040000000000000000e+02,8.997683000000000675e+01
2.050000000000000000e+02,9.038690900000000283e+01
2.060000000000000000e+02,9.079644799999999805e+01
2.070000000000000000e+02,9.120542899999999520e+01
2.080000000000000000e+02,9.161386899999999400e+01
2.090000000000000000e+02,9.202175900000000297e+01
2.100000000000000000e+02,9.242908500000000060e+01
2.110000000000000000e+02,9.283586099999999419e+01
2.120000000000000000e+02,9.324207300000000487e+01
2.130000000000000000e+02,9.364772800000000075e+01
2.140000000000000000e+02,9.405282599999999604e+01
2.150000000000000000e+02,9.445735200000000020e+01
2.160000000000000000e+02,9.486131299999999555e+01
2.170000000000000000e+02,9.526470199999999977e+01
2.180000000000000000e+02,9.566752599999999518e+01
2.190000000000000000e+02,9.606977799999999945e+01
2.200000000000000000e+02,9.647145799999999838e+01
2.210000000000000000e+02,9.687255899999999542e+01
2.220000000000000000e+02,9.727308700000000385e+01
2.230000000000000000e+02,9.767303499999999872e+01
2.240000000000000000e+02,9.807239500000000021e+01
2.250000000000000000e+02,9.847118399999999383e+01
2.260000000000000000e+02,9.886937700000000007e+01
2.270000000000000000e+02,9.926699100000000442e+01
2.280000000000000000e+02,9.966401700000000119e+01
2.290000000000000000e+02,1.000604600000000062e+02
2.300000000000000000e+02,1.004563100000000020e+02
2.310000000000000000e+02,1.008515699999999953e+02
2.320000000000000000e+02,1.012462500000000034e+02
2.330000000000000000e+02,1.016403399999999948e+02
2.340000000000000000e+02,1.020338399999999979e+02
2.350000000000000000e+02,1.024267600000000016e+02
2.360000000000000000e+02,1.028190799999999996e+02
2.370000000000000000e+02,1.032108199999999982e+02
2.380000000000000000e+02,1.036019600000000054e+02
2.390000000000000000e+02,1.039925000000000068e+02
2.400000000000000000e+02,1.043824500000000057e+02
2.410000000000000000e+02,1.047717999999999989e+02
2.420000000000000000e+02,1.051605500000000006e+02
2.430000000000000000e+02,1.055486800000000045e+02
2.440000000000000000e+02,1.059362299999999948e+02
2.450000000000000000e+02,1.063231799999999936e+02
2.460000000000000000e+02,1.067095300000000009e+02
2.470000000000000000e+02,1.070952800000000025e+02
2.480000000000000000e+02,1.074804299999999984e+02
2.490000000000000000e+02,1.078649699999999996e+02
2.500000000000000000e+02,1.082489099999999951e+02
2.510000000000000000e+02,1.086322499999999991e+02
2.520000000000000000e+02,1.090150000000000006e+02
2.530000000000000000e+02,1.093971599999999995e+02
2.540000000000000000e+02,1.097786899999999974e+02
2.550000000000000000e+02,1.101596399999999960e+02
2.560000000000000000e+02,1.105399799999999999e+02
2.570000000000000000e+02,1.109197199999999981e+02
2.580000000000000000e+02,1.112988699999999938e+02
2.590000000000000000e+02,1.116774099999999947e+02
2.600000000000000000e+02,1.120553500000000042e+02
2.610000000000000000e+02,1.124326899999999938e+02
2.620000000000000000e+02,1.128093999999999966e+02
2.630000000000000000e+02,1.131855199999999968e+02
2.640000000000000000e+02,1.135610199999999992e+02
2.650000000000000000e+02,1.139359299999999990e+02
2.660000000000000000e+02,1.143102399999999932e+02
2.670000000000000000e+02,1.146839499999999958e+02
2.680000000000000000e+02,1.150570699999999960e+02
2.690000000000000000e+02,1.154295599999999951e+02
2.700000000000000000e+02,1.158014500000000027e+02
2.710000000000000000e+02,1.161727400000000046e+02
2.720000000000000000e+02,1.165434300000000007e+02
2.730000000000000000e+02,1.169135100000000023e+02
2.740000000000000000e+02,1.172830000000000013e+02
2.750000000000000000e+02,1.176518700000000024e+02
2.760000000000000000e+02,1.180201600000000042e+02
2.770000000000000000e+02,1.183878299999999939e+02
2.780000000000000000e+02,1.187548900000000032e+02
2.790000000000000000e+02,1.191213599999999957e+02
2.800000000000000000e+02,1.194872399999999999e+02
2.810000000000000000e+02,1.198525099999999952e+02
2.820000000000000000e+02,1.202171600000000069e+02
2.830000000000000000e+02,1.205811999999999955e+02
2.840000000000000000e+02,1.209446400000000068e+02
2.850000000000000000e+02,1.213075000000000045e+02
2.860000000000000000e+02,1.216697499999999934e+02
2.870000000000000000e+02,1.220314000000000050e+02
2.880000000000000000e+02,1.223924599999999998e+02
2.890000000000000000e+02,1.227528999999999968e+02
2.900000000000000000e+02,1.231127599999999944e+02
2.910000000000000000e+02,1.234720200000000006e+02
2.920000000000000000e+02,1.238306500000000057e+02
2.930000000000000000e+02,1.241886800000000051e+02
