# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,7.321036499999999592e+01
3.000000000000000000e+00,1.003662199999999984e+02
4.000000000000000000e+00,1.224423400000000015e+02
5.000000000000000000e+00,1.407894100000000037e+02
6.000000000000000000e+00,1.568459900000000005e+02
7.000000000000000000e+00,1.711613600000000019e+02
8.000000000000000000e+00,1.841485099999999875e+02
9.000000000000000000e+00,1.960612199999999916e+02
1.000000000000000000e+01,2.070880300000000034e+02
1.100000000000000000e+01,2.173698599999999885e+02
1.200000000000000000e+01,2.270212199999999996e+02
1.300000000000000000e+01,2.361441499999999962e+02
1.400000000000000000e+01,2.448363799999999912e+02
1.500000000000000000e+01,2.531897899999999879e+02
1.600000000000000000e+01,2.612757899999999722e+02
1.700000000000000000e+01,2.691132499999999936e+02
1.800000000000000000e+01,2.766576200000000085e+02
1.900000000000000000e+01,2.838439300000000003e+02
2.000000000000000000e+01,2.906407800000000066e+02
2.100000000000000000e+01,2.970547799999999938e+02
2.200000000000000000e+01,3.031217300000000137e+02
2.300000000000000000e+01,3.088832400000000007e+02
2.400000000000000000e+01,3.143616900000000101e+02
2.500000000000000000e+01,3.195814199999999801e+02
2.600000000000000000e+01,3.245670499999999947e+02
2.700000000000000000e+01,3.293122299999999996e+02
2.800000000000000000e+01,3.338279400000000123e+02
2.900000000000000000e+01,3.381442599999999743e+02
3.000000000000000000e+01,3.422260400000000118e+02
3.100000000000000000e+01,3.460878599999999778e+02
3.200000000000000000e+01,3.497866799999999898e+02
3.300000000000000000e+01,3.532450000000000045e+02
3.400000000000000000e+01,3.565008900000000267e+02
3.500000000000000000e+01,3.596611599999999953e+02
3.600000000000000000e+01,3.625814500000000180e+02
3.700000000000000000e+01,3.653426200000000108e+02
3.800000000000000000e+01,3.681154199999999719e+02
3.900000000000000000e+01,3.706516700000000242e+02
4.000000000000000000e+01,3.730935699999999997e+02
4.100000000000000000e+01,3.756711099999999988e+02
4.200000000000000000e+01,3.779977099999999837e+02
4.300000000000000000e+01,3.802983100000000150e+02
4.400000000000000000e+01,3.830106200000000172e+02
4.500000000000000000e+01,3.817406300000000101e+02
4.600000000000000000e+01,3.847720600000000104e+02
4.700000000000000000e+01,3.868225699999999847e+02
4.800000000000000000e+01,3.892037000000000262e+02
4.900000000000000000e+01,3.914128999999999792e+02
5.000000000000000000e+01,3.940794099999999958e+02
5.100000000000000000e+01,3.963404800000000137e+02
5.200000000000000000e+01,3.987253999999999792e+02
5.300000000000000000e+01,4.014301500000000260e+02
5.400000000000000000e+01,4.037452700000000050e+02
5.500000000000000000e+01,4.061677199999999743e+02
5.600000000000000000e+01,4.088796699999999760e+02
5.700000000000000000e+01,4.111838099999999940e+02
5.800000000000000000e+01,4.135787399999999820e+02
5.900000000000000000e+01,4.162192400000000134e+02
6.000000000000000000e+01,4.184503500000000145e+02
6.100000000000000000e+01,4.207694700000000125e+02
6.200000000000000000e+01,4.232649200000000178e+02
6.300000000000000000e+01,4.254203800000000228e+02
6.400000000000000000e+01,4.276347400000000221e+02
6.500000000000000000e+01,4.299863599999999906e+02
6.600000000000000000e+01,4.320611900000000105e+02
6.700000000000000000e+01,4.341859699999999975e+02
6.800000000000000000e+01,4.364185200000000009e+02
6.900000000000000000e+01,4.384282799999999725e+02
7.000000000000000000e+01,4.404848600000000260e+02
7.100000000000000000e+01,4.426105299999999829e+02
7.200000000000000000e+01,4.445647000000000162e+02
7.300000000000000000e+01,4.465471499999999878e+02
7.400000000000000000e+01,4.485672299999999950e+02
7.500000000000000000e+01,4.504646000000000186e+02
7.600000000000000000e+01,4.523492699999999900e+02
7.700000000000000000e+01,4.542801799999999730e+02
7.800000000000000000e+01,4.560825500000000261e+02
7.900000000000000000e+01,4.578877600000000143e+02
8.000000000000000000e+01,4.597054099999999721e+02
8.100000000000000000e+01,4.614270000000000209e+02
8.200000000000000000e+01,4.631458700000000022e+02
8.300000000000000000e+01,4.648594699999999875e+02
8.400000000000000000e+01,4.665174900000000093e+02
8.500000000000000000e+01,4.681492000000000075e+02
8.600000000000000000e+01,4.698015399999999886e+02
8.700000000000000000e+01,4.713793299999999817e+02
8.800000000000000000e+01,4.729576099999999883e+02
8.900000000000000000e+01,4.745345500000000243e+02
9.000000000000000000e+01,4.760593299999999886e+02
9.100000000000000000e+01,4.775785799999999881e+02
9.200000000000000000e+01,4.790868500000000267e+02
9.300000000000000000e+01,4.805643000000000029e+02
9.400000000000000000e+01,4.820262799999999856e+02
9.500000000000000000e+01,4.834702500000000214e+02
9.600000000000000000e+01,4.848908700000000067e+02
9.700000000000000000e+01,4.862940100000000143e+02
9.800000000000000000e+01,4.876848400000000083e+02
9.900000000000000000e+01,4.890507799999999747e+02
1.000000000000000000e+02,4.903888200000000097e+02
1.010000000000000000e+02,4.917352599999999825e+02
1.020000000000000000e+02,4.930364999999999895e+02
1.030000000000000000e+02,4.943392900000000054e+02
1.040000000000000000e+02,4.956231099999999969e+02
1.050000000000000000e+02,4.968935500000000047e+02
1.060000000000000000e+02,4.981421199999999772e+02
1.070000000000000000e+02,4.993908099999999877e+02
1.080000000000000000e+02,5.006080000000000041e+02
1.090000000000000000e+02,5.018317599999999743e+02
1.100000000000000000e+02,5.030279199999999946e+02
1.110000000000000000e+02,5.042262900000000059e+02
1.120000000000000000e+02,5.053901399999999740e+02
1.130000000000000000e+02,5.065708900000000199e+02
1.140000000000000000e+02,5.077061800000000176e+02
1.150000000000000000e+02,5.088544899999999984e+02
1.160000000000000000e+02,5.099760699999999929e+02
1.170000000000000000e+02,5.111056199999999876e+02
1.180000000000000000e+02,5.121946400000000494e+02
1.190000000000000000e+02,5.132954099999999471e+02
1.200000000000000000e+02,5.143673700000000508e+02
1.210000000000000000e+02,5.154459200000000010e+02
1.220000000000000000e+02,5.165080000000000382e+02
1.230000000000000000e+02,5.175568799999999783e+02
1.240000000000000000e+02,5.185946699999999510e+02
1.250000000000000000e+02,5.196323899999999867e+02
1.260000000000000000e+02,5.206399499999999989e+02
1.270000000000000000e+02,5.252369999999999663e+02
1.280000000000000000e+02,5.177110599999999749e+02
1.290000000000000000e+02,5.216616800000000467e+02
1.300000000000000000e+02,5.196845100000000457e+02
1.310000000000000000e+02,5.224564199999999801e+02
1.320000000000000000e+02,5.218456400000000031e+02
1.330000000000000000e+02,5.240322300000000268e+02
1.340000000000000000e+02,5.240010399999999890e+02
1.350000000000000000e+02,5.258355099999999993e+02
1.360000000000000000e+02,5.261002799999999979e+02
1.370000000000000000e+02,5.277077600000000075e+02
1.380000000000000000e+02,5.281416000000000395e+02
1.390000000000000000e+02,5.295778199999999742e+02
1.400000000000000000e+02,5.301270799999999781e+02
1.410000000000000000e+02,5.314394499999999653e+02
1.420000000000000000e+02,5.320552999999999884e+02
1.430000000000000000e+02,5.332841200000000299e+02
1.440000000000000000e+02,5.339433599999999842e+02
1.450000000000000000e+02,5.350885600000000295e+02
1.460000000000000000e+02,5.357897299999999632e+02
1.470000000000000000e+02,5.368718900000000076e+02
1.480000000000000000e+02,5.375960700000000543e+02
1.490000000000000000e+02,5.386313499999999976e+02
1.500000000000000000e+02,5.393677400000000262e+02
1.510000000000000000e+02,5.403627300000000560e+02
1.520000000000000000e+02,5.411038200000000415e+02
1.530000000000000000e+02,5.420581700000000183e+02
1.540000000000000000e+02,5.428058499999999640e+02
1.550000000000000000e+02,5.437406600000000481e+02
1.560000000000000000e+02,5.444833399999999983e+02
1.570000000000000000e+02,5.453883100000000468e+02
1.580000000000000000e+02,5.461378799999999956e+02
1.590000000000000000e+02,5.470123300000000199e+02
1.600000000000000000e+02,5.477594000000000278e+02
1.610000000000000000e+02,5.486143799999999828e+02
1.620000000000000000e+02,5.493580899999999474e+02
1.630000000000000000e+02,5.501868899999999485e+02
1.640000000000000000e+02,5.509305399999999509e+02
1.650000000000000000e+02,5.517427999999999884e+02
1.660000000000000000e+02,5.524783899999999903e+02
1.670000000000000000e+02,5.532781999999999698e+02
1.680000000000000000e+02,5.540006700000000137e+02
1.690000000000000000e+02,5.547855200000000195e+02
1.700000000000000000e+02,5.555075699999999870e+02
1.710000000000000000e+02,5.562768600000000561e+02
1.720000000000000000e+02,5.569836400000000367e+02
1.730000000000000000e+02,5.577441400000000158e+02
1.740000000000000000e+02,5.584461700000000519e+02
1.750000000000000000e+02,5.591859100000000353e+02
1.760000000000000000e+02,5.598811600000000226e+02
1.770000000000000000e+02,5.606172500000000127e+02
1.780000000000000000e+02,5.612990700000000288e+02
1.790000000000000000e+02,5.620230099999999993e+02
1.800000000000000000e+02,5.626987900000000309e+02
1.810000000000000000e+02,5.634027700000000323e+02
1.820000000000000000e+02,5.640803200000000288e+02
1.830000000000000000e+02,5.647716100000000097e+02
1.840000000000000000e+02,5.654369500000000244e+02
1.850000000000000000e+02,5.661242700000000241e+02
1.860000000000000000e+02,5.667751500000000533e+02
1.870000000000000000e+02,5.674491000000000440e+02
1.880000000000000000e+02,5.680963100000000168e+02
1.890000000000000000e+02,5.687616000000000440e+02
1.900000000000000000e+02,5.693952600000000075e+02
1.910000000000000000e+02,5.700548099999999749e+02
1.920000000000000000e+02,5.704088100000000168e+02
1.930000000000000000e+02,5.708087799999999561e+02
1.940000000000000000e+02,5.713964799999999968e+02
1.950000000000000000e+02,5.719057599999999866e+02
1.960000000000000000e+02,5.724531899999999496e+02
1.970000000000000000e+02,5.730357699999999568e+02
1.980000000000000000e+02,5.735918599999999969e+02
1.990000000000000000e+02,5.742016599999999471e+02
2.000000000000000000e+02,5.747644000000000233e+02
2.010000000000000000e+02,5.753861699999999928e+02
2.020000000000000000e+02,5.759522100000000364e+02
2.030000000000000000e+02,5.765738499999999931e+02
2.040000000000000000e+02,5.771401399999999740e+02
2.050000000000000000e+02,5.777467000000000326e+02
2.060000000000000000e+02,5.783181799999999839e+02
2.070000000000000000e+02,5.789130900000000111e+02
2.080000000000000000e+02,5.794835799999999608e+02
2.090000000000000000e+02,5.800676300000000083e+02
2.100000000000000000e+02,5.806298199999999952e+02
2.110000000000000000e+02,5.811997099999999818e+02
2.120000000000000000e+02,5.817595800000000281e+02
2.130000000000000000e+02,5.823181799999999839e+02
2.140000000000000000e+02,5.828681599999999889e+02
2.150000000000000000e+02,5.834233400000000529e+02
2.160000000000000000e+02,5.839592900000000100e+02
2.170000000000000000e+02,5.845089699999999766e+02
2.180000000000000000e+02,5.850362499999999955e+02
2.190000000000000000e+02,5.855750100000000202e+02
2.200000000000000000e+02,5.860951499999999896e+02
2.210000000000000000e+02,5.866259800000000268e+02
2.220000000000000000e+02,5.871359899999999925e+02
2.230000000000000000e+02,5.876625999999999976e+02
2.240000000000000000e+02,5.881699200000000474e+02
2.250000000000000000e+02,5.886788299999999481e+02
2.260000000000000000e+02,5.891788299999999481e+02
2.270000000000000000e+02,5.896852400000000216e+02
2.280000000000000000e+02,5.901707199999999602e+02
2.290000000000000000e+02,5.906762700000000450e+02
2.300000000000000000e+02,5.911572300000000268e+02
2.310000000000000000e+02,5.916550300000000107e+02
2.320000000000000000e+02,5.921248799999999619e+02
2.330000000000000000e+02,5.926157200000000103e+02
2.340000000000000000e+02,5.930846599999999853e+02
2.350000000000000000e+02,5.935684199999999464e+02
2.360000000000000000e+02,5.940291700000000219e+02
2.370000000000000000e+02,5.945079299999999876e+02
2.380000000000000000e+02,5.949616099999999506e+02
2.390000000000000000e+02,5.954224199999999882e+02
2.400000000000000000e+02,5.958047500000000127e+02
2.410000000000000000e+02,5.962211300000000165e+02
2.420000000000000000e+02,5.966177999999999884e+02
2.430000000000000000e+02,5.970488299999999526e+02
2.440000000000000000e+02,5.974514799999999468e+02
2.450000000000000000e+02,5.978850099999999657e+02
2.460000000000000000e+02,5.982967499999999745e+02
2.470000000000000000e+02,5.987349900000000389e+02
2.480000000000000000e+02,5.991546600000000353e+02
2.490000000000000000e+02,5.995930799999999863e+02
2.500000000000000000e+02,6.000160499999999502e+02
2.510000000000000000e+02,6.004512300000000096e+02
2.520000000000000000e+02,6.008820799999999736e+02
2.530000000000000000e+02,6.013209799999999632e+02
2.540000000000000000e+02,6.017510399999999890e+02
2.550000000000000000e+02,6.021893900000000031e+02
2.560000000000000000e+02,6.026175500000000511e+02
2.570000000000000000e+02,6.030589599999999564e+02
2.580000000000000000e+02,6.034872400000000425e+02
2.590000000000000000e+02,6.039306599999999889e+02
2.600000000000000000e+02,6.043576699999999846e+02
2.610000000000000000e+02,6.048019399999999450e+02
2.620000000000000000e+02,6.052281500000000278e+02
2.630000000000000000e+02,6.056769399999999450e+02
2.640000000000000000e+02,6.061055900000000065e+02
2.650000000000000000e+02,6.065571899999999914e+02
2.660000000000000000e+02,6.069835199999999986e+02
2.670000000000000000e+02,6.074401199999999790e+02
2.680000000000000000e+02,6.078704800000000432e+02
2.690000000000000000e+02,6.083263500000000477e+02
2.700000000000000000e+02,6.087631199999999581e+02
2.710000000000000000e+02,6.092192999999999756e+02
2.720000000000000000e+02,6.096654700000000275e+02
2.730000000000000000e+02,6.101303699999999708e+02
2.740000000000000000e+02,6.105769000000000233e+02
2.750000000000000000e+02,6.110528000000000475e+02
2.760000000000000000e+02,6.115056799999999839e+02
2.770000000000000000e+02,6.119903000000000475e+02
2.780000000000000000e+02,6.124510500000000093e+02
2.790000000000000000e+02,6.129476300000000037e+02
2.800000000000000000e+02,6.134201699999999846e+02
2.810000000000000000e+02,6.139290799999999990e+02
2.820000000000000000e+02,6.144115000000000464e+02
2.830000000000000000e+02,6.149378699999999753e+02
2.840000000000000000e+02,6.154345700000000079e+02
2.850000000000000000e+02,6.159790600000000040e+02
2.860000000000000000e+02,6.164888899999999694e+02
2.870000000000000000e+02,6.170609100000000353e+02
2.880000000000000000e+02,6.175895400000000564e+02
2.890000000000000000e+02,6.181797500000000127e+02
2.900000000000000000e+02,6.187399900000000343e+02
2.910000000000000000e+02,6.193564499999999953e+02
2.920000000000000000e+02,6.199445799999999736e+02
2.930000000000000000e+02,6.205924700000000485e+02
2.940000000000000000e+02,6.212127100000000155e+02
2.950000000000000000e+02,6.218928799999999910e+02
2.960000000000000000e+02,6.225515699999999697e+02
2.970000000000000000e+02,6.232766699999999673e+02
2.980000000000000000e+02,6.239677100000000110e+02
2.990000000000000000e+02,6.247364499999999907e+02
3.000000000000000000e+02,6.254718599999999924e+02
3.010000000000000000e+02,6.262889999999999873e+02
3.020000000000000000e+02,6.270641500000000406e+02
3.030000000000000000e+02,6.279299899999999752e+02
3.040000000000000000e+02,6.287439000000000533e+02
3.050000000000000000e+02,6.296576499999999896e+02
3.060000000000000000e+02,6.305087300000000141e+02
3.070000000000000000e+02,6.314611800000000130e+02
3.080000000000000000e+02,6.323418599999999969e+02
3.090000000000000000e+02,6.333331299999999828e+02
3.100000000000000000e+02,6.342338899999999740e+02
3.110000000000000000e+02,6.352508500000000140e+02
3.120000000000000000e+02,6.361636999999999489e+02
3.130000000000000000e+02,6.371962899999999763e+02
3.140000000000000000e+02,6.381141400000000203e+02
3.150000000000000000e+02,6.391560699999999997e+02
3.160000000000000000e+02,6.400563399999999774e+02
3.170000000000000000e+02,6.411094399999999496e+02
3.180000000000000000e+02,6.419854100000000017e+02
3.190000000000000000e+02,6.430381499999999733e+02
3.200000000000000000e+02,6.438876299999999446e+02
3.210000000000000000e+02,6.449342699999999695e+02
3.220000000000000000e+02,6.457434700000000021e+02
3.230000000000000000e+02,6.467899200000000519e+02
3.240000000000000000e+02,6.475537699999999859e+02
3.250000000000000000e+02,6.485918000000000347e+02
3.260000000000000000e+02,6.493062099999999646e+02
3.270000000000000000e+02,6.503444200000000137e+02
3.280000000000000000e+02,6.509973800000000210e+02
3.290000000000000000e+02,6.520422399999999925e+02
3.300000000000000000e+02,6.526254300000000512e+02
3.310000000000000000e+02,6.536838400000000320e+02
3.320000000000000000e+02,6.541881700000000137e+02
3.330000000000000000e+02,6.552708099999999831e+02
3.340000000000000000e+02,6.556823100000000295e+02
3.350000000000000000e+02,6.568054799999999886e+02
3.360000000000000000e+02,6.571133999999999560e+02
3.370000000000000000e+02,6.582825900000000274e+02
3.380000000000000000e+02,6.584747899999999845e+02
3.390000000000000000e+02,6.597182000000000244e+02
