# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997499999999917e+01
2.000000000000000000e+00,3.272518199999999666e+01
3.000000000000000000e+00,3.732689700000000244e+01
4.000000000000000000e+00,4.109210199999999702e+01
5.000000000000000000e+00,4.426714299999999724e+01
6.000000000000000000e+00,4.707138799999999890e+01
7.000000000000000000e+00,4.959657700000000347e+01
8.000000000000000000e+00,5.190835200000000071e+01
9.000000000000000000e+00,5.404803499999999872e+01
1.000000000000000000e+01,5.604601699999999909e+01
1.100000000000000000e+01,5.792448799999999665e+01
1.200000000000000000e+01,5.970042800000000227e+01
1.300000000000000000e+01,6.138695100000000338e+01
1.400000000000000000e+01,6.299492300000000000e+01
1.500000000000000000e+01,6.453296699999999930e+01
1.600000000000000000e+01,6.600824699999999723e+01
1.700000000000000000e+01,6.742682600000000548e+01
1.800000000000000000e+01,6.879410599999999931e+01
1.900000000000000000e+01,7.011404400000000692e+01
2.000000000000000000e+01,7.139105200000000195e+01
2.100000000000000000e+01,7.262800599999999918e+01
2.200000000000000000e+01,7.382776599999999689e+01
2.300000000000000000e+01,7.499335499999999399e+01
2.400000000000000000e+01,7.612668600000000652e+01
2.500000000000000000e+01,7.723008000000000095e+01
2.600000000000000000e+01,7.830527499999999463e+01
2.700000000000000000e+01,7.935377499999999884e+01
2.800000000000000000e+01,8.037735700000000350e+01
2.900000000000000000e+01,8.137741099999999506e+01
3.000000000000000000e+01,8.235496500000000708e+01
3.100000000000000000e+01,8.331124099999999544e+01
3.200000000000000000e+01,8.424739800000000400e+01
3.300000000000000000e+01,8.516423000000000343e+01
3.400000000000000000e+01,8.606280499999999734e+01
3.500000000000000000e+01,8.694407699999999295e+01
3.600000000000000000e+01,8.780822799999999972e+01
3.700000000000000000e+01,8.865655499999999734e+01
3.800000000000000000e+01,8.948972299999999791e+01
3.900000000000000000e+01,9.030815099999999518e+01
4.000000000000000000e+01,9.111243399999999326e+01
4.100000000000000000e+01,9.190325199999999484e+01
4.200000000000000000e+01,9.268096199999999385e+01
4.300000000000000000e+01,9.344608300000000156e+01
4.400000000000000000e+01,9.419918099999999583e+01
4.500000000000000000e+01,9.494055899999999326e+01
4.600000000000000000e+01,9.567064700000000244e+01
4.700000000000000000e+01,9.638994599999999480e+01
4.800000000000000000e+01,9.709870100000000548e+01
4.900000000000000000e+01,9.779741699999999582e+01
5.000000000000000000e+01,9.848652599999999779e+01
5.100000000000000000e+01,9.916605400000000259e+01
5.200000000000000000e+01,9.983632699999999716e+01
5.300000000000000000e+01,1.004978899999999982e+02
5.400000000000000000e+01,1.011508699999999976e+02
5.500000000000000000e+01,1.017954500000000024e+02
5.600000000000000000e+01,1.024320699999999960e+02
5.700000000000000000e+01,1.030608699999999942e+02
5.800000000000000000e+01,1.036821099999999944e+02
5.900000000000000000e+01,1.042960199999999986e+02
6.000000000000000000e+01,1.049027899999999960e+02
6.100000000000000000e+01,1.055024899999999946e+02
6.200000000000000000e+01,1.060957899999999938e+02
6.300000000000000000e+01,1.066822999999999979e+02
6.400000000000000000e+01,1.072626999999999953e+02
6.500000000000000000e+01,1.078367999999999967e+02
6.600000000000000000e+01,1.084050900000000013e+02
6.700000000000000000e+01,1.089673200000000008e+02
6.800000000000000000e+01,1.095242099999999965e+02
6.900000000000000000e+01,1.100754799999999989e+02
7.000000000000000000e+01,1.106213800000000020e+02
7.100000000000000000e+01,1.111622299999999939e+02
7.200000000000000000e+01,1.116977700000000056e+02
7.300000000000000000e+01,1.122285899999999970e+02
7.400000000000000000e+01,1.127547100000000029e+02
7.500000000000000000e+01,1.132759599999999978e+02
7.600000000000000000e+01,1.137928500000000014e+02
