# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000599999999906e+01
6.000000000000000000e+00,2.500003099999999989e+01
7.000000000000000000e+00,2.500012999999999863e+01
8.000000000000000000e+00,2.500045000000000073e+01
9.000000000000000000e+00,2.500133100000000042e+01
1.000000000000000000e+01,2.500342799999999954e+01
1.100000000000000000e+01,2.500785799999999881e+01
1.200000000000000000e+01,2.501630400000000165e+01
1.300000000000000000e+01,2.503106700000000018e+01
1.400000000000000000e+01,2.505505199999999988e+01
1.500000000000000000e+01,2.509168400000000076e+01
1.600000000000000000e+01,2.514478499999999883e+01
1.700000000000000000e+01,2.521843099999999893e+01
1.800000000000000000e+01,2.531681299999999979e+01
1.900000000000000000e+01,2.544410500000000042e+01
2.000000000000000000e+01,2.560434300000000007e+01
2.100000000000000000e+01,2.580135900000000149e+01
2.200000000000000000e+01,2.603870399999999918e+01
2.300000000000000000e+01,2.631960300000000075e+01
2.400000000000000000e+01,2.664690999999999832e+01
2.500000000000000000e+01,2.702313799999999944e+01
2.600000000000000000e+01,2.745042400000000171e+01
2.700000000000000000e+01,2.793056100000000086e+01
2.800000000000000000e+01,2.846494900000000072e+01
2.900000000000000000e+01,2.905470299999999995e+01
3.000000000000000000e+01,2.970064400000000049e+01
3.100000000000000000e+01,3.040326699999999960e+01
3.200000000000000000e+01,3.116282299999999950e+01
3.300000000000000000e+01,3.197932399999999831e+01
3.400000000000000000e+01,3.285260399999999947e+01
3.500000000000000000e+01,3.378228000000000009e+01
3.600000000000000000e+01,3.482451199999999858e+01
3.700000000000000000e+01,3.588993800000000078e+01
3.800000000000000000e+01,3.700191099999999977e+01
3.900000000000000000e+01,3.816467699999999752e+01
4.000000000000000000e+01,3.937788799999999867e+01
4.100000000000000000e+01,4.064094899999999910e+01
4.200000000000000000e+01,4.195274700000000223e+01
4.300000000000000000e+01,4.331217199999999679e+01
4.400000000000000000e+01,4.471807499999999891e+01
4.500000000000000000e+01,4.616902900000000187e+01
4.600000000000000000e+01,4.766375699999999682e+01
4.700000000000000000e+01,4.920087099999999936e+01
4.800000000000000000e+01,5.077891499999999780e+01
4.900000000000000000e+01,5.239640800000000098e+01
5.000000000000000000e+01,5.405181100000000072e+01
5.100000000000000000e+01,5.574362899999999854e+01
5.200000000000000000e+01,5.747036399999999645e+01
5.300000000000000000e+01,5.923038100000000128e+01
5.400000000000000000e+01,6.102215600000000251e+01
5.500000000000000000e+01,6.284420000000000073e+01
5.600000000000000000e+01,6.469495399999999563e+01
5.700000000000000000e+01,6.657281500000000563e+01
5.800000000000000000e+01,6.847635699999999304e+01
5.900000000000000000e+01,7.040409099999999398e+01
6.000000000000000000e+01,7.235460700000000145e+01
6.100000000000000000e+01,7.432648500000000524e+01
6.200000000000000000e+01,7.631836699999999496e+01
6.300000000000000000e+01,7.832897900000000391e+01
6.400000000000000000e+01,8.035705600000000004e+01
6.500000000000000000e+01,8.240136699999999337e+01
6.600000000000000000e+01,8.446073900000000378e+01
6.700000000000000000e+01,8.653407300000000646e+01
6.800000000000000000e+01,8.862036100000000260e+01
6.900000000000000000e+01,9.071859000000000606e+01
7.000000000000000000e+01,9.282768199999999581e+01
7.100000000000000000e+01,9.494684599999999364e+01
7.200000000000000000e+01,9.707527199999999823e+01
7.300000000000000000e+01,9.921199000000000012e+01
7.400000000000000000e+01,1.013562900000000013e+02
7.500000000000000000e+01,1.035075400000000059e+02
7.600000000000000000e+01,1.056649199999999951e+02
7.700000000000000000e+01,1.078277899999999931e+02
7.800000000000000000e+01,1.099955800000000039e+02
7.900000000000000000e+01,1.121676300000000026e+02
8.000000000000000000e+01,1.143434699999999964e+02
8.100000000000000000e+01,1.165224099999999936e+02
8.200000000000000000e+01,1.187040400000000062e+02
8.300000000000000000e+01,1.208877700000000033e+02
8.400000000000000000e+01,1.230732200000000063e+02
8.500000000000000000e+01,1.252598299999999938e+02
8.600000000000000000e+01,1.274471900000000062e+02
8.700000000000000000e+01,1.296349500000000035e+02
8.800000000000000000e+01,1.318226600000000133e+02
8.900000000000000000e+01,1.340100400000000036e+02
9.000000000000000000e+01,1.361966099999999926e+02
9.100000000000000000e+01,1.383821599999999989e+02
9.200000000000000000e+01,1.405662399999999934e+02
9.300000000000000000e+01,1.427486399999999946e+02
9.400000000000000000e+01,1.449289599999999893e+02
9.500000000000000000e+01,1.471070300000000088e+02
9.600000000000000000e+01,1.492824699999999893e+02
9.700000000000000000e+01,1.514550900000000127e+02
9.800000000000000000e+01,1.536247400000000027e+02
9.900000000000000000e+01,1.557910200000000032e+02
1.000000000000000000e+02,1.579538300000000106e+02
1.010000000000000000e+02,1.601128099999999961e+02
1.020000000000000000e+02,1.622678200000000004e+02
1.030000000000000000e+02,1.644187300000000107e+02
1.040000000000000000e+02,1.665652000000000044e+02
1.050000000000000000e+02,1.687071699999999908e+02
1.060000000000000000e+02,1.708443300000000136e+02
1.070000000000000000e+02,1.729765500000000031e+02
1.080000000000000000e+02,1.751037800000000004e+02
1.090000000000000000e+02,1.772256899999999860e+02
1.100000000000000000e+02,1.793420999999999879e+02
1.110000000000000000e+02,1.814529100000000028e+02
1.120000000000000000e+02,1.835580699999999865e+02
1.130000000000000000e+02,1.856573199999999986e+02
1.140000000000000000e+02,1.877505199999999945e+02
1.150000000000000000e+02,1.898375399999999900e+02
1.160000000000000000e+02,1.919182999999999879e+02
1.170000000000000000e+02,1.939926000000000101e+02
1.180000000000000000e+02,1.960603600000000029e+02
1.190000000000000000e+02,1.981214300000000037e+02
1.200000000000000000e+02,2.001756900000000030e+02
1.210000000000000000e+02,2.022230399999999975e+02
1.220000000000000000e+02,2.042633199999999931e+02
1.230000000000000000e+02,2.062964299999999866e+02
1.240000000000000000e+02,2.083223099999999874e+02
1.250000000000000000e+02,2.103407599999999888e+02
1.260000000000000000e+02,2.123516999999999939e+02
1.270000000000000000e+02,2.143550400000000025e+02
1.280000000000000000e+02,2.163506500000000017e+02
1.290000000000000000e+02,2.183386800000000108e+02
1.300000000000000000e+02,2.203186499999999910e+02
1.310000000000000000e+02,2.222905000000000086e+02
1.320000000000000000e+02,2.242542300000000068e+02
1.330000000000000000e+02,2.262097799999999950e+02
1.340000000000000000e+02,2.281571999999999889e+02
1.350000000000000000e+02,2.300965899999999920e+02
1.360000000000000000e+02,2.320279800000000137e+02
1.370000000000000000e+02,2.339513900000000035e+02
1.380000000000000000e+02,2.358667000000000087e+02
1.390000000000000000e+02,2.377739300000000071e+02
1.400000000000000000e+02,2.396729899999999986e+02
1.410000000000000000e+02,2.415636900000000082e+02
1.420000000000000000e+02,2.434458199999999977e+02
1.430000000000000000e+02,2.453193100000000015e+02
1.440000000000000000e+02,2.471839099999999974e+02
1.450000000000000000e+02,2.490394400000000132e+02
1.460000000000000000e+02,2.508857999999999890e+02
1.470000000000000000e+02,2.527227599999999939e+02
1.480000000000000000e+02,2.545501099999999894e+02
1.490000000000000000e+02,2.563677700000000073e+02
1.500000000000000000e+02,2.581755400000000122e+02
1.510000000000000000e+02,2.599732700000000136e+02
1.520000000000000000e+02,2.617607100000000173e+02
1.530000000000000000e+02,2.635378400000000170e+02
1.540000000000000000e+02,2.653043200000000184e+02
1.550000000000000000e+02,2.670600600000000213e+02
1.560000000000000000e+02,2.688049300000000130e+02
1.570000000000000000e+02,2.705385699999999929e+02
1.580000000000000000e+02,2.722608299999999986e+02
1.590000000000000000e+02,2.739716199999999731e+02
1.600000000000000000e+02,2.756705600000000231e+02
1.610000000000000000e+02,2.773574800000000096e+02
1.620000000000000000e+02,2.790321700000000078e+02
1.630000000000000000e+02,2.806943099999999731e+02
1.640000000000000000e+02,2.823436899999999810e+02
1.650000000000000000e+02,2.839800099999999929e+02
1.660000000000000000e+02,2.856030299999999897e+02
1.670000000000000000e+02,2.872123700000000213e+02
1.680000000000000000e+02,2.888077999999999861e+02
1.690000000000000000e+02,2.903889800000000037e+02
1.700000000000000000e+02,2.919556299999999851e+02
1.710000000000000000e+02,2.935073499999999740e+02
1.720000000000000000e+02,2.950437900000000013e+02
1.730000000000000000e+02,2.965646699999999782e+02
1.740000000000000000e+02,2.980695799999999736e+02
1.750000000000000000e+02,2.995581999999999994e+02
1.760000000000000000e+02,3.010300300000000107e+02
1.770000000000000000e+02,3.024847700000000259e+02
1.780000000000000000e+02,3.039220599999999877e+02
1.790000000000000000e+02,3.053414599999999837e+02
1.800000000000000000e+02,3.067426100000000133e+02
1.810000000000000000e+02,3.081250900000000001e+02
1.820000000000000000e+02,3.094885899999999879e+02
1.830000000000000000e+02,3.108326099999999883e+02
1.840000000000000000e+02,3.121568300000000136e+02
1.850000000000000000e+02,3.134609399999999937e+02
1.860000000000000000e+02,3.147444499999999721e+02
1.870000000000000000e+02,3.160071399999999926e+02
1.880000000000000000e+02,3.172486299999999915e+02
1.890000000000000000e+02,3.184686300000000188e+02
1.900000000000000000e+02,3.196668999999999983e+02
1.910000000000000000e+02,3.208431699999999864e+02
1.920000000000000000e+02,3.219971600000000080e+02
1.930000000000000000e+02,3.231287500000000250e+02
1.940000000000000000e+02,3.242377900000000182e+02
1.950000000000000000e+02,3.253240700000000061e+02
1.960000000000000000e+02,3.263875400000000013e+02
1.970000000000000000e+02,3.274356099999999969e+02
1.980000000000000000e+02,3.284588299999999776e+02
1.990000000000000000e+02,3.294601099999999860e+02
2.000000000000000000e+02,3.304404000000000110e+02
2.010000000000000000e+02,3.313994400000000269e+02
2.020000000000000000e+02,3.323369099999999889e+02
2.030000000000000000e+02,3.332522599999999784e+02
2.040000000000000000e+02,3.341451700000000073e+02
2.050000000000000000e+02,3.350158400000000256e+02
2.060000000000000000e+02,3.358645300000000020e+02
2.070000000000000000e+02,3.366918000000000006e+02
2.080000000000000000e+02,3.374981999999999971e+02
2.090000000000000000e+02,3.382844499999999925e+02
2.100000000000000000e+02,3.390512400000000071e+02
2.110000000000000000e+02,3.397992899999999850e+02
2.120000000000000000e+02,3.405293300000000158e+02
2.130000000000000000e+02,3.412421299999999746e+02
2.140000000000000000e+02,3.419383900000000267e+02
2.150000000000000000e+02,3.426188700000000154e+02
2.160000000000000000e+02,3.432843300000000113e+02
2.170000000000000000e+02,3.439356099999999969e+02
2.180000000000000000e+02,3.445734899999999925e+02
2.190000000000000000e+02,3.451986699999999928e+02
2.200000000000000000e+02,3.458120099999999866e+02
2.210000000000000000e+02,3.464142800000000193e+02
2.220000000000000000e+02,3.470062300000000164e+02
2.230000000000000000e+02,3.475886499999999728e+02
2.240000000000000000e+02,3.481623200000000224e+02
2.250000000000000000e+02,3.487279700000000275e+02
2.260000000000000000e+02,3.492863800000000083e+02
2.270000000000000000e+02,3.498382300000000100e+02
2.280000000000000000e+02,3.503843100000000277e+02
2.290000000000000000e+02,3.509253199999999993e+02
2.300000000000000000e+02,3.514619099999999889e+02
2.310000000000000000e+02,3.519947799999999916e+02
2.320000000000000000e+02,3.525245100000000207e+02
2.330000000000000000e+02,3.530517899999999827e+02
2.340000000000000000e+02,3.535772699999999986e+02
2.350000000000000000e+02,3.541014099999999871e+02
2.360000000000000000e+02,3.546249099999999999e+02
2.370000000000000000e+02,3.551483499999999935e+02
2.380000000000000000e+02,3.556721499999999878e+02
2.390000000000000000e+02,3.561968400000000088e+02
2.400000000000000000e+02,3.567230200000000195e+02
2.410000000000000000e+02,3.572511600000000271e+02
2.420000000000000000e+02,3.577816500000000133e+02
2.430000000000000000e+02,3.583149999999999977e+02
2.440000000000000000e+02,3.588516799999999876e+02
2.450000000000000000e+02,3.593921199999999772e+02
2.460000000000000000e+02,3.600386700000000246e+02
2.470000000000000000e+02,3.606355899999999792e+02
2.480000000000000000e+02,3.612186599999999999e+02
2.490000000000000000e+02,3.617972100000000069e+02
2.500000000000000000e+02,3.623734999999999786e+02
2.510000000000000000e+02,3.629505899999999770e+02
2.520000000000000000e+02,3.635310400000000186e+02
2.530000000000000000e+02,3.641166099999999801e+02
2.540000000000000000e+02,3.647088899999999967e+02
2.550000000000000000e+02,3.653088099999999940e+02
2.560000000000000000e+02,3.659171400000000176e+02
2.570000000000000000e+02,3.665345500000000243e+02
2.580000000000000000e+02,3.671614400000000273e+02
2.590000000000000000e+02,3.677983699999999772e+02
2.600000000000000000e+02,3.684456200000000194e+02
2.610000000000000000e+02,3.691039400000000228e+02
2.620000000000000000e+02,3.697736800000000130e+02
2.630000000000000000e+02,3.704549600000000282e+02
2.640000000000000000e+02,3.711485000000000127e+02
2.650000000000000000e+02,3.718546099999999797e+02
2.660000000000000000e+02,3.725737899999999740e+02
2.670000000000000000e+02,3.733066699999999969e+02
2.680000000000000000e+02,3.740539200000000051e+02
2.690000000000000000e+02,3.748161000000000058e+02
2.700000000000000000e+02,3.755937200000000189e+02
2.710000000000000000e+02,3.763874200000000201e+02
2.720000000000000000e+02,3.771979999999999791e+02
2.730000000000000000e+02,3.780260900000000106e+02
2.740000000000000000e+02,3.788726800000000026e+02
2.750000000000000000e+02,3.797385600000000068e+02
2.760000000000000000e+02,3.806246600000000058e+02
2.770000000000000000e+02,3.815321700000000078e+02
2.780000000000000000e+02,3.824615800000000263e+02
2.790000000000000000e+02,3.834143399999999815e+02
2.800000000000000000e+02,3.843917799999999829e+02
2.810000000000000000e+02,3.853946199999999749e+02
2.820000000000000000e+02,3.864247100000000046e+02
2.830000000000000000e+02,3.874834900000000175e+02
2.840000000000000000e+02,3.885719300000000089e+02
2.850000000000000000e+02,3.896922000000000139e+02
2.860000000000000000e+02,3.908459199999999782e+02
2.870000000000000000e+02,3.920346400000000244e+02
2.880000000000000000e+02,3.932602800000000229e+02
2.890000000000000000e+02,3.945249299999999835e+02
2.900000000000000000e+02,3.958309300000000235e+02
2.910000000000000000e+02,3.971806300000000078e+02
2.920000000000000000e+02,3.985759300000000280e+02
2.930000000000000000e+02,4.000201999999999884e+02
