# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.915079995362458862e-02
5.000000000000000000e+00,3.040000000141642594e-02
6.000000000000000000e+00,5.283560500250115977e-02
7.000000000000000000e+00,8.453172605098728531e-02
8.000000000000000000e+00,1.266153036197226744e-01
9.000000000000000000e+00,1.796857357566813418e-01
1.000000000000000000e+01,2.440480808232073084e-01
1.100000000000000000e+01,3.191885105464003503e-01
1.200000000000000000e+01,4.043121516557582895e-01
1.300000000000000000e+01,4.983029549447353101e-01
1.400000000000000000e+01,5.999812066409846434e-01
1.500000000000000000e+01,7.081363394961432967e-01
1.600000000000000000e+01,8.216331731853390163e-01
1.700000000000000000e+01,9.394103662733606086e-01
1.800000000000000000e+01,1.060534082782250476e+00
1.900000000000000000e+01,1.184187579484269337e+00
2.000000000000000000e+01,1.309654052378448119e+00
2.100000000000000000e+01,1.436327587029138320e+00
2.200000000000000000e+01,1.563685900323999789e+00
2.300000000000000000e+01,1.691291598074483593e+00
2.400000000000000000e+01,1.818772700351493965e+00
2.500000000000000000e+01,1.945812427977339887e+00
2.600000000000000000e+01,2.072149343121169274e+00
2.700000000000000000e+01,2.197566755964000862e+00
2.800000000000000000e+01,2.321885788057214572e+00
2.900000000000000000e+01,2.444964371606627385e+00
3.000000000000000000e+01,2.566684204838598049e+00
3.100000000000000000e+01,2.686958955257007453e+00
3.200000000000000000e+01,2.805716627280565589e+00
3.300000000000000000e+01,2.922909377109339513e+00
3.400000000000000000e+01,3.038498892230158788e+00
3.500000000000000000e+01,3.152459242610077261e+00
3.600000000000000000e+01,3.270984989285979694e+00
3.700000000000000000e+01,3.383771094397945767e+00
3.800000000000000000e+01,3.493892375509920711e+00
3.900000000000000000e+01,3.601990517646394885e+00
4.000000000000000000e+01,3.708194396324764774e+00
4.100000000000000000e+01,3.812591820656790365e+00
4.200000000000000000e+01,3.915238770614498875e+00
4.300000000000000000e+01,4.016181397635912198e+00
4.400000000000000000e+01,4.115454805877293509e+00
4.500000000000000000e+01,4.213095337003012197e+00
4.600000000000000000e+01,4.309132238814119553e+00
4.700000000000000000e+01,4.403594345679890054e+00
4.800000000000000000e+01,4.496511179518991597e+00
4.900000000000000000e+01,4.587906810963203519e+00
5.000000000000000000e+01,4.677806166311316183e+00
5.100000000000000000e+01,4.766232811428999128e+00
5.200000000000000000e+01,4.853211499928661965e+00
5.300000000000000000e+01,4.938759032506055746e+00
5.400000000000000000e+01,5.022901498364948480e+00
5.500000000000000000e+01,5.105657714102965095e+00
5.600000000000000000e+01,5.187049220891950974e+00
5.700000000000000000e+01,5.267096540852969966e+00
5.800000000000000000e+01,5.345821673155952247e+00
5.900000000000000000e+01,5.423244921328321588e+00
6.000000000000000000e+01,5.499391273529575130e+00
6.100000000000000000e+01,5.574281678475769830e+00
6.200000000000000000e+01,5.647936994495466045e+00
6.300000000000000000e+01,5.720380092991630860e+00
6.400000000000000000e+01,5.791633577116352072e+00
6.500000000000000000e+01,5.861721821592523085e+00
6.600000000000000000e+01,5.930668342452722008e+00
6.700000000000000000e+01,5.998494864305847329e+00
6.800000000000000000e+01,6.065224746478591555e+00
6.900000000000000000e+01,6.130882734395510347e+00
7.000000000000000000e+01,6.195494871283528049e+00
7.100000000000000000e+01,6.259079224095017935e+00
7.200000000000000000e+01,6.321660120279712025e+00
7.300000000000000000e+01,6.383261571430781878e+00
7.400000000000000000e+01,6.443908328637876437e+00
7.500000000000000000e+01,6.503618687993129477e+00
7.600000000000000000e+01,6.562415956013433416e+00
7.700000000000000000e+01,6.620320439989190398e+00
7.800000000000000000e+01,6.677352216729174117e+00
7.900000000000000000e+01,6.733533467538634021e+00
8.000000000000000000e+01,6.788881697637251911e+00
8.100000000000000000e+01,6.843416354265052348e+00
8.200000000000000000e+01,6.897158424620500661e+00
8.300000000000000000e+01,6.950122562344662747e+00
8.400000000000000000e+01,7.002328541150426133e+00
8.500000000000000000e+01,7.053792644172273363e+00
8.600000000000000000e+01,7.104531625258445615e+00
8.700000000000000000e+01,7.154560846370856986e+00
8.800000000000000000e+01,7.203895275905412454e+00
8.900000000000000000e+01,7.252553744000015179e+00
9.000000000000000000e+01,7.300547489102366505e+00
9.100000000000000000e+01,7.347893442593354862e+00
9.200000000000000000e+01,7.394604449535525426e+00
9.300000000000000000e+01,7.440694599966723999e+00
9.400000000000000000e+01,7.486176857202655022e+00
9.500000000000000000e+01,7.531063746850081841e+00
9.600000000000000000e+01,7.575370036485330694e+00
9.700000000000000000e+01,7.619104140300379413e+00
9.800000000000000000e+01,7.662281241251397645e+00
9.900000000000000000e+01,7.704911480560117987e+00
1.000000000000000000e+02,7.747004722341787719e+00
1.010000000000000000e+02,7.788574236468112311e+00
1.020000000000000000e+02,7.829628884018046797e+00
1.030000000000000000e+02,7.870177317091341607e+00
1.040000000000000000e+02,7.910232293626030753e+00
1.050000000000000000e+02,7.949800658118880925e+00
1.060000000000000000e+02,7.988891338244013873e+00
1.070000000000000000e+02,8.027513792145111182e+00
1.080000000000000000e+02,8.065678345392736759e+00
1.090000000000000000e+02,8.103390270432178966e+00
1.100000000000000000e+02,8.140659029343709108e+00
1.110000000000000000e+02,8.177493359213354296e+00
1.120000000000000000e+02,8.213899225048923114e+00
1.130000000000000000e+02,8.249884586801083941e+00
1.140000000000000000e+02,8.285455904367205804e+00
1.150000000000000000e+02,8.320620739288253631e+00
1.160000000000000000e+02,8.355386368945540099e+00
1.170000000000000000e+02,8.389759301353461041e+00
1.180000000000000000e+02,8.423744318316934709e+00
1.190000000000000000e+02,8.457348636966404598e+00
1.200000000000000000e+02,8.490577268637013120e+00
1.210000000000000000e+02,8.523436973003661876e+00
1.220000000000000000e+02,8.555932834623183325e+00
1.230000000000000000e+02,8.588070232020211137e+00
1.240000000000000000e+02,8.619853567557152374e+00
1.250000000000000000e+02,8.651288024551192279e+00
1.260000000000000000e+02,8.682378763719947656e+00
1.270000000000000000e+02,8.713130616838144604e+00
1.280000000000000000e+02,8.743548558789861147e+00
1.290000000000000000e+02,8.773640289026774397e+00
1.300000000000000000e+02,8.803405114503064510e+00
1.310000000000000000e+02,8.832848485420949913e+00
1.320000000000000000e+02,8.861974935566419020e+00
1.330000000000000000e+02,8.890789298235356242e+00
1.340000000000000000e+02,8.919298904983042675e+00
1.350000000000000000e+02,8.947509852779250039e+00
1.360000000000000000e+02,8.975428061968663940e+00
1.370000000000000000e+02,9.003059139125276999e+00
1.380000000000000000e+02,9.030407096391851240e+00
1.390000000000000000e+02,9.057476398362274139e+00
1.400000000000000000e+02,9.084270814907442926e+00
1.410000000000000000e+02,9.110793019448257368e+00
1.420000000000000000e+02,9.137045041933612666e+00
1.430000000000000000e+02,9.163030518240205424e+00
1.440000000000000000e+02,9.188750763466266847e+00
1.450000000000000000e+02,9.214209800409951967e+00
1.460000000000000000e+02,9.239409074932190435e+00
1.470000000000000000e+02,9.264350663224838911e+00
1.480000000000000000e+02,9.289037662077559432e+00
1.490000000000000000e+02,9.313470923508003096e+00
1.500000000000000000e+02,9.337654080989546301e+00
1.510000000000000000e+02,9.361587868280080826e+00
1.520000000000000000e+02,9.385274446146802063e+00
1.530000000000000000e+02,9.408714589697083852e+00
1.540000000000000000e+02,9.431910354502001326e+00
1.550000000000000000e+02,9.454862295470981337e+00
1.560000000000000000e+02,9.477570285039728759e+00
1.570000000000000000e+02,9.500036771697667248e+00
1.580000000000000000e+02,9.522260909897427794e+00
1.590000000000000000e+02,9.544243005607008001e+00
1.600000000000000000e+02,9.565982442630241778e+00
1.610000000000000000e+02,9.587480632023405391e+00
1.620000000000000000e+02,9.608736148705949276e+00
1.630000000000000000e+02,9.629748580491790833e+00
1.640000000000000000e+02,9.650516997026834076e+00
1.650000000000000000e+02,9.671040961481999432e+00
1.660000000000000000e+02,9.691319647007066607e+00
1.670000000000000000e+02,9.711352092441895678e+00
1.680000000000000000e+02,9.731136462604004222e+00
1.690000000000000000e+02,9.750671419351554903e+00
1.700000000000000000e+02,9.769955865341293233e+00
1.710000000000000000e+02,9.788987716781347714e+00
1.720000000000000000e+02,9.807765381775533697e+00
1.730000000000000000e+02,9.826287507294374279e+00
1.740000000000000000e+02,9.844551041084169896e+00
1.750000000000000000e+02,9.862555233087919149e+00
1.760000000000000000e+02,9.880296795817873345e+00
1.770000000000000000e+02,9.897774608552181164e+00
1.780000000000000000e+02,9.914985272022301288e+00
1.790000000000000000e+02,9.931927893170806598e+00
1.800000000000000000e+02,9.948599428541349710e+00
1.810000000000000000e+02,9.964997430176859794e+00
1.820000000000000000e+02,9.981119564135774169e+00
1.830000000000000000e+02,9.996964544157478372e+00
