# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000599999999906e+01
6.000000000000000000e+00,2.500003399999999942e+01
7.000000000000000000e+00,2.500014699999999834e+01
8.000000000000000000e+00,2.500050399999999939e+01
9.000000000000000000e+00,2.500146900000000016e+01
1.000000000000000000e+01,2.500374000000000052e+01
1.100000000000000000e+01,2.500848399999999927e+01
1.200000000000000000e+01,2.501744499999999860e+01
1.300000000000000000e+01,2.503298399999999901e+01
1.400000000000000000e+01,2.505805799999999905e+01
1.500000000000000000e+01,2.509613399999999928e+01
1.600000000000000000e+01,2.515106000000000108e+01
1.700000000000000000e+01,2.522692500000000138e+01
1.800000000000000000e+01,2.532791699999999935e+01
1.900000000000000000e+01,2.545819499999999991e+01
2.000000000000000000e+01,2.562177799999999905e+01
2.100000000000000000e+01,2.582246400000000008e+01
2.200000000000000000e+01,2.606376500000000007e+01
2.300000000000000000e+01,2.634885600000000139e+01
2.400000000000000000e+01,2.668055499999999824e+01
2.500000000000000000e+01,2.706129599999999868e+01
2.600000000000000000e+01,2.749316800000000072e+01
2.700000000000000000e+01,2.797786100000000076e+01
2.800000000000000000e+01,2.851672399999999996e+01
2.900000000000000000e+01,2.911079799999999906e+01
3.000000000000000000e+01,2.976079400000000064e+01
3.100000000000000000e+01,3.046716500000000138e+01
3.200000000000000000e+01,3.123010299999999972e+01
3.300000000000000000e+01,3.204957999999999885e+01
3.400000000000000000e+01,3.292535399999999868e+01
3.500000000000000000e+01,3.385701000000000249e+01
3.600000000000000000e+01,3.484400600000000026e+01
3.700000000000000000e+01,3.594456900000000132e+01
3.800000000000000000e+01,3.706538799999999867e+01
3.900000000000000000e+01,3.823085799999999779e+01
4.000000000000000000e+01,3.944540800000000047e+01
4.100000000000000000e+01,4.070857999999999777e+01
4.200000000000000000e+01,4.201966099999999926e+01
4.300000000000000000e+01,4.337759799999999899e+01
4.400000000000000000e+01,4.478125000000000000e+01
4.500000000000000000e+01,4.622928600000000188e+01
4.600000000000000000e+01,4.772037900000000121e+01
4.700000000000000000e+01,4.925309800000000138e+01
4.800000000000000000e+01,5.082599600000000351e+01
4.900000000000000000e+01,5.243760699999999986e+01
5.000000000000000000e+01,5.408641800000000188e+01
5.100000000000000000e+01,5.577091200000000271e+01
5.200000000000000000e+01,5.748957399999999751e+01
5.300000000000000000e+01,5.924082899999999796e+01
5.400000000000000000e+01,6.102313600000000093e+01
5.500000000000000000e+01,6.283502200000000215e+01
5.600000000000000000e+01,6.467494200000000149e+01
5.700000000000000000e+01,6.654135100000000591e+01
5.800000000000000000e+01,6.843285400000000607e+01
5.900000000000000000e+01,7.034802999999999429e+01
6.000000000000000000e+01,7.228549200000000496e+01
6.100000000000000000e+01,7.424386599999999703e+01
6.200000000000000000e+01,7.622193099999999788e+01
6.300000000000000000e+01,7.821841399999999567e+01
6.400000000000000000e+01,8.023211700000000235e+01
6.500000000000000000e+01,8.226195500000000038e+01
6.600000000000000000e+01,8.430680099999999300e+01
6.700000000000000000e+01,8.636563900000000160e+01
6.800000000000000000e+01,8.843746899999999300e+01
6.900000000000000000e+01,9.052137000000000455e+01
7.000000000000000000e+01,9.261650099999999952e+01
7.100000000000000000e+01,9.472203799999999774e+01
7.200000000000000000e+01,9.683709000000000344e+01
7.300000000000000000e+01,9.896096000000000004e+01
7.400000000000000000e+01,1.010929699999999940e+02
7.500000000000000000e+01,1.032323599999999999e+02
7.600000000000000000e+01,1.053784899999999993e+02
7.700000000000000000e+01,1.075307899999999961e+02
7.800000000000000000e+01,1.096886099999999971e+02
7.900000000000000000e+01,1.118513899999999950e+02
8.000000000000000000e+01,1.140186199999999985e+02
8.100000000000000000e+01,1.161897199999999941e+02
8.200000000000000000e+01,1.183642700000000048e+02
8.300000000000000000e+01,1.205417199999999980e+02
8.400000000000000000e+01,1.227216600000000000e+02
8.500000000000000000e+01,1.249036100000000005e+02
8.600000000000000000e+01,1.270871999999999957e+02
8.700000000000000000e+01,1.292719899999999882e+02
8.800000000000000000e+01,1.314576099999999883e+02
8.900000000000000000e+01,1.336437400000000082e+02
9.000000000000000000e+01,1.358299700000000030e+02
9.100000000000000000e+01,1.380160400000000038e+02
9.200000000000000000e+01,1.402015700000000038e+02
9.300000000000000000e+01,1.423863200000000120e+02
9.400000000000000000e+01,1.445698999999999899e+02
9.500000000000000000e+01,1.467520900000000097e+02
9.600000000000000000e+01,1.489325900000000047e+02
9.700000000000000000e+01,1.511111500000000092e+02
9.800000000000000000e+01,1.532874600000000100e+02
9.900000000000000000e+01,1.554612899999999911e+02
1.000000000000000000e+02,1.576324600000000089e+02
1.010000000000000000e+02,1.598006900000000030e+02
1.020000000000000000e+02,1.619657699999999920e+02
1.030000000000000000e+02,1.641274300000000039e+02
1.040000000000000000e+02,1.662854800000000068e+02
1.050000000000000000e+02,1.684397600000000068e+02
1.060000000000000000e+02,1.705900300000000129e+02
1.070000000000000000e+02,1.727361500000000092e+02
1.080000000000000000e+02,1.748778399999999920e+02
1.090000000000000000e+02,1.770149399999999957e+02
1.100000000000000000e+02,1.791473799999999983e+02
1.110000000000000000e+02,1.812749000000000024e+02
1.120000000000000000e+02,1.833973100000000045e+02
1.130000000000000000e+02,1.855145300000000077e+02
1.140000000000000000e+02,1.876263600000000054e+02
1.150000000000000000e+02,1.897325999999999908e+02
1.160000000000000000e+02,1.918331300000000113e+02
1.170000000000000000e+02,1.939278400000000033e+02
1.180000000000000000e+02,1.960165100000000109e+02
1.190000000000000000e+02,1.980990099999999927e+02
1.200000000000000000e+02,2.001752199999999959e+02
1.210000000000000000e+02,2.022449599999999919e+02
1.220000000000000000e+02,2.043083599999999933e+02
1.230000000000000000e+02,2.063649100000000089e+02
1.240000000000000000e+02,2.084146000000000072e+02
1.250000000000000000e+02,2.104573200000000099e+02
1.260000000000000000e+02,2.124930400000000077e+02
1.270000000000000000e+02,2.145217000000000098e+02
1.280000000000000000e+02,2.165433700000000101e+02
1.290000000000000000e+02,2.185580400000000054e+02
1.300000000000000000e+02,2.205657699999999863e+02
1.310000000000000000e+02,2.225664800000000128e+02
1.320000000000000000e+02,2.245601000000000056e+02
1.330000000000000000e+02,2.265464900000000057e+02
1.340000000000000000e+02,2.285255600000000129e+02
1.350000000000000000e+02,2.304971299999999985e+02
1.360000000000000000e+02,2.324610000000000127e+02
1.370000000000000000e+02,2.344169899999999984e+02
1.380000000000000000e+02,2.363649100000000089e+02
1.390000000000000000e+02,2.383045700000000124e+02
1.400000000000000000e+02,2.402357900000000086e+02
1.410000000000000000e+02,2.421584799999999973e+02
1.420000000000000000e+02,2.440724299999999971e+02
1.430000000000000000e+02,2.459775199999999984e+02
1.440000000000000000e+02,2.478735399999999913e+02
1.450000000000000000e+02,2.497603900000000010e+02
1.460000000000000000e+02,2.516379499999999894e+02
1.470000000000000000e+02,2.535060599999999909e+02
1.480000000000000000e+02,2.553645600000000115e+02
1.490000000000000000e+02,2.572133499999999913e+02
1.500000000000000000e+02,2.590522500000000150e+02
1.510000000000000000e+02,2.608811299999999846e+02
1.520000000000000000e+02,2.626998300000000199e+02
1.530000000000000000e+02,2.645082400000000007e+02
1.540000000000000000e+02,2.663060899999999833e+02
1.550000000000000000e+02,2.680932900000000245e+02
1.560000000000000000e+02,2.698695700000000102e+02
1.570000000000000000e+02,2.716347999999999843e+02
1.580000000000000000e+02,2.733886400000000094e+02
1.590000000000000000e+02,2.751309800000000223e+02
1.600000000000000000e+02,2.768614799999999718e+02
1.610000000000000000e+02,2.785798599999999965e+02
1.620000000000000000e+02,2.802858899999999949e+02
1.630000000000000000e+02,2.819792800000000170e+02
1.640000000000000000e+02,2.836596400000000244e+02
1.650000000000000000e+02,2.853266600000000039e+02
1.660000000000000000e+02,2.869800099999999929e+02
1.670000000000000000e+02,2.886193499999999972e+02
1.680000000000000000e+02,2.902442599999999970e+02
1.690000000000000000e+02,2.918543700000000172e+02
1.700000000000000000e+02,2.934492500000000064e+02
1.710000000000000000e+02,2.950285000000000082e+02
1.720000000000000000e+02,2.965916700000000219e+02
1.730000000000000000e+02,2.981382800000000088e+02
1.740000000000000000e+02,2.996679100000000062e+02
1.750000000000000000e+02,3.011800499999999943e+02
1.760000000000000000e+02,3.026742899999999850e+02
1.770000000000000000e+02,3.041500199999999836e+02
1.780000000000000000e+02,3.056068099999999959e+02
1.790000000000000000e+02,3.070441900000000146e+02
1.800000000000000000e+02,3.084616100000000074e+02
1.810000000000000000e+02,3.098586099999999988e+02
1.820000000000000000e+02,3.112346499999999878e+02
1.830000000000000000e+02,3.125892299999999864e+02
1.840000000000000000e+02,3.139219100000000253e+02
1.850000000000000000e+02,3.152321800000000280e+02
1.860000000000000000e+02,3.165195899999999938e+02
1.870000000000000000e+02,3.177837499999999977e+02
1.880000000000000000e+02,3.190290200000000027e+02
1.890000000000000000e+02,3.202491499999999860e+02
1.900000000000000000e+02,3.214458300000000008e+02
1.910000000000000000e+02,3.226195099999999911e+02
1.920000000000000000e+02,3.237699600000000260e+02
1.930000000000000000e+02,3.248963299999999776e+02
1.940000000000000000e+02,3.259978300000000218e+02
1.950000000000000000e+02,3.270737599999999929e+02
1.960000000000000000e+02,3.281237800000000107e+02
1.970000000000000000e+02,3.291476700000000051e+02
1.980000000000000000e+02,3.301456299999999828e+02
1.990000000000000000e+02,3.311177700000000073e+02
2.000000000000000000e+02,3.320644500000000221e+02
2.010000000000000000e+02,3.329859900000000152e+02
2.020000000000000000e+02,3.338829299999999876e+02
2.030000000000000000e+02,3.347557699999999841e+02
2.040000000000000000e+02,3.356049800000000118e+02
2.050000000000000000e+02,3.364312400000000025e+02
2.060000000000000000e+02,3.372352300000000014e+02
2.070000000000000000e+02,3.380176700000000096e+02
2.080000000000000000e+02,3.387792400000000157e+02
2.090000000000000000e+02,3.395207500000000209e+02
2.100000000000000000e+02,3.402431000000000267e+02
2.110000000000000000e+02,3.409471100000000092e+02
2.120000000000000000e+02,3.416336999999999762e+02
2.130000000000000000e+02,3.423037699999999859e+02
2.140000000000000000e+02,3.429582500000000209e+02
2.150000000000000000e+02,3.435980200000000195e+02
2.160000000000000000e+02,3.442241799999999898e+02
2.170000000000000000e+02,3.448376200000000154e+02
2.180000000000000000e+02,3.454393000000000029e+02
2.190000000000000000e+02,3.460302100000000110e+02
2.200000000000000000e+02,3.466113000000000284e+02
2.210000000000000000e+02,3.471834400000000187e+02
2.220000000000000000e+02,3.477476500000000215e+02
2.230000000000000000e+02,3.483047500000000127e+02
2.240000000000000000e+02,3.488556500000000256e+02
2.250000000000000000e+02,3.494011800000000108e+02
2.260000000000000000e+02,3.499422000000000139e+02
2.270000000000000000e+02,3.504794299999999794e+02
2.280000000000000000e+02,3.510136999999999716e+02
2.290000000000000000e+02,3.515458100000000172e+02
2.300000000000000000e+02,3.520763200000000097e+02
2.310000000000000000e+02,3.526060200000000009e+02
2.320000000000000000e+02,3.531356200000000172e+02
2.330000000000000000e+02,3.536656500000000278e+02
2.340000000000000000e+02,3.541968100000000277e+02
2.350000000000000000e+02,3.547295799999999986e+02
2.360000000000000000e+02,3.553522899999999822e+02
2.370000000000000000e+02,3.559341699999999946e+02
2.380000000000000000e+02,3.565039699999999812e+02
2.390000000000000000e+02,3.570686000000000035e+02
2.400000000000000000e+02,3.576299700000000144e+02
2.410000000000000000e+02,3.581909499999999866e+02
2.420000000000000000e+02,3.587539100000000190e+02
2.430000000000000000e+02,3.593206799999999816e+02
2.440000000000000000e+02,3.598926399999999717e+02
2.450000000000000000e+02,3.604707900000000222e+02
2.460000000000000000e+02,3.610559999999999832e+02
2.470000000000000000e+02,3.616488600000000133e+02
2.480000000000000000e+02,3.622499099999999999e+02
2.490000000000000000e+02,3.628596800000000258e+02
2.500000000000000000e+02,3.634785200000000032e+02
2.510000000000000000e+02,3.641068399999999770e+02
2.520000000000000000e+02,3.647452400000000239e+02
2.530000000000000000e+02,3.653942000000000121e+02
2.540000000000000000e+02,3.660538300000000049e+02
2.550000000000000000e+02,3.667248799999999846e+02
2.560000000000000000e+02,3.674077500000000214e+02
2.570000000000000000e+02,3.681029100000000085e+02
2.580000000000000000e+02,3.688106099999999969e+02
2.590000000000000000e+02,3.695317999999999756e+02
2.600000000000000000e+02,3.702669700000000148e+02
2.610000000000000000e+02,3.710166600000000017e+02
2.620000000000000000e+02,3.717814599999999814e+02
2.630000000000000000e+02,3.725620999999999867e+02
2.640000000000000000e+02,3.733595599999999877e+02
2.650000000000000000e+02,3.741742600000000039e+02
2.660000000000000000e+02,3.750069899999999734e+02
2.670000000000000000e+02,3.758591599999999744e+02
2.680000000000000000e+02,3.767310800000000199e+02
2.690000000000000000e+02,3.776239600000000110e+02
2.700000000000000000e+02,3.785388800000000060e+02
2.710000000000000000e+02,3.794769900000000007e+02
2.720000000000000000e+02,3.804391200000000026e+02
2.730000000000000000e+02,3.814269100000000208e+02
2.740000000000000000e+02,3.824418000000000006e+02
2.750000000000000000e+02,3.834848900000000071e+02
2.760000000000000000e+02,3.845581700000000183e+02
2.770000000000000000e+02,3.856625099999999975e+02
2.780000000000000000e+02,3.868003199999999993e+02
2.790000000000000000e+02,3.879731400000000008e+02
2.800000000000000000e+02,3.891830400000000054e+02
2.810000000000000000e+02,3.904321899999999914e+02
2.820000000000000000e+02,3.917227500000000191e+02
2.830000000000000000e+02,3.930571899999999914e+02
2.840000000000000000e+02,3.944379299999999944e+02
2.850000000000000000e+02,3.958678600000000074e+02
2.860000000000000000e+02,3.973492100000000278e+02
2.870000000000000000e+02,3.988853500000000167e+02
2.880000000000000000e+02,4.004800099999999929e+02
2.890000000000000000e+02,4.021356499999999983e+02
2.900000000000000000e+02,4.038557400000000257e+02
2.910000000000000000e+02,4.056435500000000047e+02
2.920000000000000000e+02,4.075029299999999921e+02
2.930000000000000000e+02,4.094373499999999808e+02
