# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,2.762023300960968902e-02
7.000000000000000000e+00,4.322677809297574558e-02
8.000000000000000000e+00,6.438451848066449601e-02
9.000000000000000000e+00,9.162028243445757836e-02
1.000000000000000000e+01,1.249130796260213699e-01
1.100000000000000000e+01,1.638679214193028977e-01
1.200000000000000000e+01,2.080142672658848446e-01
1.300000000000000000e+01,2.568656476931856503e-01
1.400000000000000000e+01,3.097306279067493784e-01
1.500000000000000000e+01,3.660273475141219146e-01
1.600000000000000000e+01,4.250888421127054784e-01
1.700000000000000000e+01,4.864296856882024400e-01
1.800000000000000000e+01,5.495163128355450288e-01
1.900000000000000000e+01,6.139363504138114491e-01
2.000000000000000000e+01,6.793116082153901614e-01
2.100000000000000000e+01,7.453271847217586288e-01
2.200000000000000000e+01,8.117167710947972292e-01
2.300000000000000000e+01,8.782557405572325449e-01
2.400000000000000000e+01,9.447534656737949232e-01
2.500000000000000000e+01,1.011050135016752005e+00
2.600000000000000000e+01,1.077020583503266904e+00
2.700000000000000000e+01,1.142555971689670047e+00
2.800000000000000000e+01,1.207563393874025337e+00
2.900000000000000000e+01,1.271973615686265102e+00
3.000000000000000000e+01,1.335730756791799312e+00
3.100000000000000000e+01,1.398788392432733119e+00
3.200000000000000000e+01,1.461110691473401335e+00
3.300000000000000000e+01,1.522669495628047320e+00
3.400000000000000000e+01,1.583443211034257558e+00
3.500000000000000000e+01,1.643419792626421794e+00
3.600000000000000000e+01,1.702589009626600314e+00
3.700000000000000000e+01,1.760943546355354217e+00
3.800000000000000000e+01,1.818485306606547391e+00
3.900000000000000000e+01,1.875211763895494599e+00
4.000000000000000000e+01,1.931128515820925928e+00
4.100000000000000000e+01,1.986240564690366694e+00
4.200000000000000000e+01,2.040555823467669061e+00
4.300000000000000000e+01,2.094082770496147550e+00
4.400000000000000000e+01,2.146832075414141894e+00
4.500000000000000000e+01,2.198812933915279100e+00
4.600000000000000000e+01,2.250037789158242152e+00
4.700000000000000000e+01,2.300517437475288585e+00
4.800000000000000000e+01,2.350265412134957987e+00
4.900000000000000000e+01,2.399293593017741255e+00
5.000000000000000000e+01,2.447615294153429488e+00
5.100000000000000000e+01,2.495245221129378521e+00
5.200000000000000000e+01,2.542193465157036592e+00
5.300000000000000000e+01,2.588474756320007231e+00
5.400000000000000000e+01,2.634102160779685509e+00
5.500000000000000000e+01,2.679090190817043471e+00
5.600000000000000000e+01,2.723449114029577345e+00
5.700000000000000000e+01,2.767192261914416029e+00
5.800000000000000000e+01,2.810331636601369532e+00
5.900000000000000000e+01,2.852881204076061383e+00
6.000000000000000000e+01,2.894852499806395141e+00
6.100000000000000000e+01,2.936257357508611943e+00
6.200000000000000000e+01,2.977106233979886163e+00
6.300000000000000000e+01,3.017413361051522358e+00
6.400000000000000000e+01,3.057188451680281194e+00
6.500000000000000000e+01,3.096442360310887043e+00
6.600000000000000000e+01,3.135185361112295510e+00
6.700000000000000000e+01,3.173429744607179526e+00
6.800000000000000000e+01,3.211184786723386253e+00
6.900000000000000000e+01,3.248460951072612346e+00
7.000000000000000000e+01,3.285266914108695424e+00
7.100000000000000000e+01,3.321612604195795182e+00
7.200000000000000000e+01,3.357507076780328781e+00
7.300000000000000000e+01,3.392961130729972297e+00
7.400000000000000000e+01,3.427982732829808921e+00
7.500000000000000000e+01,3.462580605993102800e+00
7.600000000000000000e+01,3.496762706937418308e+00
7.700000000000000000e+01,3.530538260128755823e+00
7.800000000000000000e+01,3.563914219208682788e+00
7.900000000000000000e+01,3.596899084702263494e+00
8.000000000000000000e+01,3.629500801878384753e+00
8.100000000000000000e+01,3.661725492545794935e+00
8.200000000000000000e+01,3.693582667420796550e+00
8.300000000000000000e+01,3.725078522544505333e+00
8.400000000000000000e+01,3.756219692990073966e+00
8.500000000000000000e+01,3.787012803642421765e+00
8.600000000000000000e+01,3.817464625879141593e+00
8.700000000000000000e+01,3.847581429286102139e+00
8.800000000000000000e+01,3.877369794974985684e+00
8.900000000000000000e+01,3.906835438245868541e+00
9.000000000000000000e+01,3.935984931861146396e+00
9.100000000000000000e+01,3.964823928153966559e+00
9.200000000000000000e+01,3.993357809551611126e+00
9.300000000000000000e+01,4.021591994590419716e+00
9.400000000000000000e+01,4.049532504281590839e+00
9.500000000000000000e+01,4.077184229402733173e+00
9.600000000000000000e+01,4.104552324383472062e+00
9.700000000000000000e+01,4.131641914075939503e+00
9.800000000000000000e+01,4.158458026599237911e+00
9.900000000000000000e+01,4.185005063579996687e+00
1.000000000000000000e+02,4.211288224203211250e+00
1.010000000000000000e+02,4.237311564505917616e+00
1.020000000000000000e+02,4.263080062380574908e+00
1.030000000000000000e+02,4.288597779761631479e+00
1.040000000000000000e+02,4.313869173739040441e+00
1.050000000000000000e+02,4.338897953852386635e+00
1.060000000000000000e+02,4.363688845305484953e+00
1.070000000000000000e+02,4.388245707946809127e+00
1.080000000000000000e+02,4.412572124806793283e+00
1.090000000000000000e+02,4.436672189799343968e+00
1.100000000000000000e+02,4.460549362164370812e+00
1.110000000000000000e+02,4.484207431177747338e+00
1.120000000000000000e+02,4.507650037823961675e+00
1.130000000000000000e+02,4.530880511201208272e+00
1.140000000000000000e+02,4.553902505062013439e+00
1.150000000000000000e+02,4.576719031444445029e+00
1.160000000000000000e+02,4.599333488239771839e+00
1.170000000000000000e+02,4.621749037525849424e+00
1.180000000000000000e+02,4.643968942518170273e+00
1.190000000000000000e+02,4.665995863807629540e+00
1.200000000000000000e+02,4.687833165856748252e+00
1.210000000000000000e+02,4.709483459558987839e+00
1.220000000000000000e+02,4.730949839460000916e+00
1.230000000000000000e+02,4.752235032743257648e+00
1.240000000000000000e+02,4.773341621090513520e+00
1.250000000000000000e+02,4.794272505429679754e+00
1.260000000000000000e+02,4.815030084380079956e+00
1.270000000000000000e+02,4.835617126807038701e+00
1.280000000000000000e+02,4.856036210252112184e+00
1.290000000000000000e+02,4.876289729033640441e+00
1.300000000000000000e+02,4.896379901879311269e+00
1.310000000000000000e+02,4.916309311872668175e+00
1.320000000000000000e+02,4.936080267365467122e+00
1.330000000000000000e+02,4.955695051346744151e+00
1.340000000000000000e+02,4.975155922556055543e+00
1.350000000000000000e+02,4.994465022695399270e+00
1.360000000000000000e+02,5.013624334463698595e+00
1.370000000000000000e+02,5.032636242297748197e+00
1.380000000000000000e+02,5.051502783497027416e+00
1.390000000000000000e+02,5.070225797844713611e+00
1.400000000000000000e+02,5.088807386976954561e+00
1.410000000000000000e+02,5.107249635760984674e+00
1.420000000000000000e+02,5.125554212039086011e+00
1.430000000000000000e+02,5.143722912436078154e+00
1.440000000000000000e+02,5.161758097292375780e+00
1.450000000000000000e+02,5.179661013306733786e+00
1.460000000000000000e+02,5.197433391860021068e+00
1.470000000000000000e+02,5.215077475675180096e+00
1.480000000000000000e+02,5.232594847497390234e+00
1.490000000000000000e+02,5.249986622066904474e+00
1.500000000000000000e+02,5.267255866540211606e+00
1.510000000000000000e+02,5.284402716470946615e+00
1.520000000000000000e+02,5.301429468388882071e+00
1.530000000000000000e+02,5.318337117290486304e+00
1.540000000000000000e+02,5.335127289642540127e+00
1.550000000000000000e+02,5.351801855894873228e+00
1.560000000000000000e+02,5.368361948262328376e+00
1.570000000000000000e+02,5.384809436798159155e+00
1.580000000000000000e+02,5.401145141559594798e+00
1.590000000000000000e+02,5.417370738914351946e+00
1.600000000000000000e+02,5.433487308729501919e+00
1.610000000000000000e+02,5.449496810517196366e+00
1.620000000000000000e+02,5.465400255223632264e+00
1.630000000000000000e+02,5.481198862713255515e+00
1.640000000000000000e+02,5.496893939628429315e+00
1.650000000000000000e+02,5.512486645891474524e+00
1.660000000000000000e+02,5.527978535216139022e+00
1.670000000000000000e+02,5.543370668097975518e+00
1.680000000000000000e+02,5.558663928610340754e+00
1.690000000000000000e+02,5.573859971245227918e+00
1.700000000000000000e+02,5.588959626190526997e+00
1.710000000000000000e+02,5.603964188912423872e+00
1.720000000000000000e+02,5.618874666304197518e+00
1.730000000000000000e+02,5.633692079449430068e+00
1.740000000000000000e+02,5.648417683465021710e+00
1.750000000000000000e+02,5.663052158505415434e+00
1.760000000000000000e+02,5.677597222430048163e+00
1.770000000000000000e+02,5.692053292157393862e+00
1.780000000000000000e+02,5.706421493755870600e+00
1.790000000000000000e+02,5.720702929347754484e+00
1.800000000000000000e+02,5.734898499838318564e+00
1.810000000000000000e+02,5.749009016198590949e+00
1.820000000000000000e+02,5.763035800892062355e+00
1.830000000000000000e+02,5.776979412862919716e+00
