# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997300000000067e+01
2.000000000000000000e+00,3.348955500000000285e+01
3.000000000000000000e+00,3.816120099999999837e+01
4.000000000000000000e+00,4.198457299999999748e+01
5.000000000000000000e+00,4.517062800000000067e+01
6.000000000000000000e+00,4.797550199999999876e+01
7.000000000000000000e+00,5.049235199999999679e+01
8.000000000000000000e+00,5.279153099999999910e+01
9.000000000000000000e+00,5.491591600000000284e+01
1.000000000000000000e+01,5.689742700000000042e+01
1.100000000000000000e+01,5.875836900000000185e+01
1.200000000000000000e+01,6.051636100000000340e+01
1.300000000000000000e+01,6.218473099999999931e+01
1.400000000000000000e+01,6.377458200000000232e+01
1.500000000000000000e+01,6.529449499999999773e+01
1.600000000000000000e+01,6.675208999999999548e+01
1.700000000000000000e+01,6.815305299999999988e+01
1.800000000000000000e+01,6.950281499999999824e+01
1.900000000000000000e+01,7.080577900000000113e+01
2.000000000000000000e+01,7.206607800000000452e+01
2.100000000000000000e+01,7.328629300000000057e+01
2.200000000000000000e+01,7.446996300000000701e+01
2.300000000000000000e+01,7.561967500000000086e+01
2.400000000000000000e+01,7.673778500000000236e+01
2.500000000000000000e+01,7.782590500000000588e+01
2.600000000000000000e+01,7.888613100000000600e+01
2.700000000000000000e+01,7.992011300000000062e+01
2.800000000000000000e+01,8.092935900000000515e+01
2.900000000000000000e+01,8.191542099999999493e+01
3.000000000000000000e+01,8.287922700000000020e+01
3.100000000000000000e+01,8.382197600000000648e+01
3.200000000000000000e+01,8.474484300000000303e+01
3.300000000000000000e+01,8.564868199999999376e+01
3.400000000000000000e+01,8.653453799999999774e+01
3.500000000000000000e+01,8.740312199999999621e+01
3.600000000000000000e+01,8.825538600000000145e+01
3.700000000000000000e+01,8.909154499999999643e+01
3.800000000000000000e+01,8.991288799999999526e+01
3.900000000000000000e+01,9.071968800000000499e+01
4.000000000000000000e+01,9.151248900000000219e+01
4.100000000000000000e+01,9.229199199999999337e+01
4.200000000000000000e+01,9.305860099999999591e+01
4.300000000000000000e+01,9.381282000000000210e+01
4.400000000000000000e+01,9.455529799999999341e+01
4.500000000000000000e+01,9.528624000000000649e+01
4.600000000000000000e+01,9.600603499999999713e+01
4.700000000000000000e+01,9.671570599999999729e+01
4.800000000000000000e+01,9.741454299999999478e+01
4.900000000000000000e+01,9.810332499999999811e+01
5.000000000000000000e+01,9.878259300000000565e+01
5.100000000000000000e+01,9.945268199999999581e+01
5.200000000000000000e+01,1.001137499999999960e+02
5.300000000000000000e+01,1.007659600000000069e+02
5.400000000000000000e+01,1.014098500000000058e+02
5.500000000000000000e+01,1.020455900000000042e+02
5.600000000000000000e+01,1.026732300000000038e+02
5.700000000000000000e+01,1.032932700000000068e+02
5.800000000000000000e+01,1.039059100000000058e+02
5.900000000000000000e+01,1.045113199999999978e+02
6.000000000000000000e+01,1.051096900000000005e+02
6.100000000000000000e+01,1.057012500000000017e+02
6.200000000000000000e+01,1.062862499999999955e+02
6.300000000000000000e+01,1.068648000000000025e+02
