# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001699999999971e+01
7.000000000000000000e+00,2.500008199999999903e+01
8.000000000000000000e+00,2.500030100000000033e+01
9.000000000000000000e+00,2.500093800000000144e+01
1.000000000000000000e+01,2.500251599999999996e+01
1.100000000000000000e+01,2.500594900000000109e+01
1.200000000000000000e+01,2.501266299999999987e+01
1.300000000000000000e+01,2.502465400000000173e+01
1.400000000000000000e+01,2.504449299999999923e+01
1.500000000000000000e+01,2.507526000000000010e+01
1.600000000000000000e+01,2.512045099999999920e+01
1.700000000000000000e+01,2.518383199999999889e+01
1.800000000000000000e+01,2.526932299999999998e+01
1.900000000000000000e+01,2.538085200000000086e+01
2.000000000000000000e+01,2.552226100000000031e+01
2.100000000000000000e+01,2.569720600000000132e+01
2.200000000000000000e+01,2.590909800000000018e+01
2.300000000000000000e+01,2.616103700000000032e+01
2.400000000000000000e+01,2.645581400000000016e+01
2.500000000000000000e+01,2.679586400000000168e+01
2.600000000000000000e+01,2.718327700000000036e+01
2.700000000000000000e+01,2.761979300000000137e+01
2.800000000000000000e+01,2.810682699999999912e+01
2.900000000000000000e+01,2.864548500000000075e+01
3.000000000000000000e+01,2.923659299999999917e+01
3.100000000000000000e+01,2.988065500000000085e+01
3.200000000000000000e+01,3.057798400000000072e+01
3.300000000000000000e+01,3.132863199999999892e+01
3.400000000000000000e+01,3.213246900000000039e+01
3.500000000000000000e+01,3.298915900000000079e+01
3.600000000000000000e+01,3.395055399999999679e+01
3.700000000000000000e+01,3.493401300000000020e+01
3.800000000000000000e+01,3.596125399999999672e+01
3.900000000000000000e+01,3.703613299999999953e+01
4.000000000000000000e+01,3.815828700000000140e+01
4.100000000000000000e+01,3.932712899999999934e+01
4.200000000000000000e+01,4.054171800000000303e+01
4.300000000000000000e+01,4.180097599999999858e+01
4.400000000000000000e+01,4.310376000000000118e+01
4.500000000000000000e+01,4.444877199999999817e+01
4.600000000000000000e+01,4.583477400000000301e+01
4.700000000000000000e+01,4.726041000000000025e+01
4.800000000000000000e+01,4.872435399999999817e+01
4.900000000000000000e+01,5.022522000000000020e+01
5.000000000000000000e+01,5.176156199999999785e+01
5.100000000000000000e+01,5.333201199999999886e+01
5.200000000000000000e+01,5.493515000000000015e+01
5.300000000000000000e+01,5.656954999999999956e+01
5.400000000000000000e+01,5.823382200000000353e+01
5.500000000000000000e+01,5.992648299999999750e+01
5.600000000000000000e+01,6.164614900000000119e+01
5.700000000000000000e+01,6.339144900000000149e+01
5.800000000000000000e+01,6.516104900000000555e+01
5.900000000000000000e+01,6.695358299999999474e+01
6.000000000000000000e+01,6.876776900000000126e+01
6.100000000000000000e+01,7.060231799999999680e+01
6.200000000000000000e+01,7.245601700000000278e+01
6.300000000000000000e+01,7.432765999999999451e+01
6.400000000000000000e+01,7.621612500000000523e+01
6.500000000000000000e+01,7.812032299999999907e+01
6.600000000000000000e+01,8.003919199999999989e+01
6.700000000000000000e+01,8.197171000000000163e+01
6.800000000000000000e+01,8.391691600000000051e+01
6.900000000000000000e+01,8.587391700000000583e+01
7.000000000000000000e+01,8.784184299999999723e+01
7.100000000000000000e+01,8.981985500000000400e+01
7.200000000000000000e+01,9.180712900000000332e+01
7.300000000000000000e+01,9.380297899999999345e+01
7.400000000000000000e+01,9.580667099999999436e+01
7.500000000000000000e+01,9.781754300000000057e+01
7.600000000000000000e+01,9.983501400000000103e+01
7.700000000000000000e+01,1.018584299999999985e+02
7.800000000000000000e+01,1.038871599999999944e+02
7.900000000000000000e+01,1.059206599999999980e+02
8.000000000000000000e+01,1.079584100000000007e+02
8.100000000000000000e+01,1.099999200000000030e+02
8.200000000000000000e+01,1.120447099999999949e+02
8.300000000000000000e+01,1.140923200000000008e+02
8.400000000000000000e+01,1.161423199999999980e+02
8.500000000000000000e+01,1.181942999999999984e+02
8.600000000000000000e+01,1.202478799999999950e+02
8.700000000000000000e+01,1.223025999999999982e+02
8.800000000000000000e+01,1.243580900000000042e+02
8.900000000000000000e+01,1.264140500000000031e+02
9.000000000000000000e+01,1.284701399999999865e+02
9.100000000000000000e+01,1.305260600000000011e+02
9.200000000000000000e+01,1.325815100000000086e+02
9.300000000000000000e+01,1.346362300000000118e+02
9.400000000000000000e+01,1.366898799999999881e+02
9.500000000000000000e+01,1.387421899999999937e+02
9.600000000000000000e+01,1.407929200000000094e+02
9.700000000000000000e+01,1.428418599999999969e+02
9.800000000000000000e+01,1.448887799999999970e+02
9.900000000000000000e+01,1.469334399999999903e+02
1.000000000000000000e+02,1.489756500000000017e+02
1.010000000000000000e+02,1.510152300000000025e+02
1.020000000000000000e+02,1.530519899999999893e+02
1.030000000000000000e+02,1.550856300000000090e+02
1.040000000000000000e+02,1.571160000000000139e+02
1.050000000000000000e+02,1.591429300000000069e+02
1.060000000000000000e+02,1.611662399999999877e+02
1.070000000000000000e+02,1.631857899999999972e+02
1.080000000000000000e+02,1.652014000000000067e+02
1.090000000000000000e+02,1.672129199999999969e+02
1.100000000000000000e+02,1.692202000000000055e+02
1.110000000000000000e+02,1.712231099999999913e+02
1.120000000000000000e+02,1.732215099999999950e+02
1.130000000000000000e+02,1.752152600000000007e+02
1.140000000000000000e+02,1.772041900000000112e+02
1.150000000000000000e+02,1.791882300000000043e+02
1.160000000000000000e+02,1.811672499999999957e+02
1.170000000000000000e+02,1.831411099999999976e+02
1.180000000000000000e+02,1.851096799999999973e+02
1.190000000000000000e+02,1.870729100000000074e+02
1.200000000000000000e+02,1.890306500000000085e+02
1.210000000000000000e+02,1.909827600000000132e+02
1.220000000000000000e+02,1.929291499999999928e+02
1.230000000000000000e+02,1.948697799999999916e+02
1.240000000000000000e+02,1.968044899999999870e+02
1.250000000000000000e+02,1.987331800000000044e+02
1.260000000000000000e+02,2.006557599999999866e+02
1.270000000000000000e+02,2.025721299999999871e+02
1.280000000000000000e+02,2.044822100000000091e+02
1.290000000000000000e+02,2.063865499999999997e+02
1.300000000000000000e+02,2.082841200000000015e+02
1.310000000000000000e+02,2.101750000000000114e+02
1.320000000000000000e+02,2.120592000000000041e+02
1.330000000000000000e+02,2.139366799999999955e+02
1.340000000000000000e+02,2.158073699999999917e+02
1.350000000000000000e+02,2.176713000000000022e+02
1.360000000000000000e+02,2.195284000000000049e+02
1.370000000000000000e+02,2.213785900000000026e+02
1.380000000000000000e+02,2.232218200000000081e+02
1.390000000000000000e+02,2.250579700000000116e+02
1.400000000000000000e+02,2.268868400000000065e+02
1.410000000000000000e+02,2.287083599999999990e+02
1.420000000000000000e+02,2.305223499999999888e+02
1.430000000000000000e+02,2.323287400000000105e+02
1.440000000000000000e+02,2.341273500000000070e+02
1.450000000000000000e+02,2.359181199999999876e+02
1.460000000000000000e+02,2.377009299999999996e+02
1.470000000000000000e+02,2.394757099999999923e+02
1.480000000000000000e+02,2.412423400000000129e+02
1.490000000000000000e+02,2.430007500000000107e+02
1.500000000000000000e+02,2.447508899999999983e+02
1.510000000000000000e+02,2.464925800000000038e+02
1.520000000000000000e+02,2.482258300000000020e+02
1.530000000000000000e+02,2.499505299999999863e+02
1.540000000000000000e+02,2.516665299999999945e+02
1.550000000000000000e+02,2.533737900000000138e+02
1.560000000000000000e+02,2.550722399999999936e+02
1.570000000000000000e+02,2.567616600000000062e+02
1.580000000000000000e+02,2.584419899999999757e+02
1.590000000000000000e+02,2.601130999999999744e+02
1.600000000000000000e+02,2.617749000000000024e+02
1.610000000000000000e+02,2.634272500000000150e+02
1.620000000000000000e+02,2.650700400000000059e+02
1.630000000000000000e+02,2.667029999999999745e+02
1.640000000000000000e+02,2.683260500000000093e+02
1.650000000000000000e+02,2.699390300000000025e+02
1.660000000000000000e+02,2.715417499999999791e+02
1.670000000000000000e+02,2.731340599999999768e+02
1.680000000000000000e+02,2.747157900000000268e+02
1.690000000000000000e+02,2.762867400000000089e+02
1.700000000000000000e+02,2.778467099999999732e+02
1.710000000000000000e+02,2.793954800000000205e+02
1.720000000000000000e+02,2.809328300000000240e+02
1.730000000000000000e+02,2.824586199999999963e+02
1.740000000000000000e+02,2.839725300000000061e+02
1.750000000000000000e+02,2.854743700000000217e+02
1.760000000000000000e+02,2.869638100000000236e+02
1.770000000000000000e+02,2.884406700000000114e+02
1.780000000000000000e+02,2.899046900000000164e+02
1.790000000000000000e+02,2.913555299999999875e+02
1.800000000000000000e+02,2.927929700000000253e+02
1.810000000000000000e+02,2.942166700000000219e+02
1.820000000000000000e+02,2.956263099999999895e+02
1.830000000000000000e+02,2.970216399999999908e+02
1.840000000000000000e+02,2.984022800000000188e+02
1.850000000000000000e+02,2.997679099999999721e+02
1.860000000000000000e+02,3.011182900000000018e+02
1.870000000000000000e+02,3.024529999999999745e+02
1.880000000000000000e+02,3.037717299999999909e+02
1.890000000000000000e+02,3.050740999999999872e+02
1.900000000000000000e+02,3.063597700000000259e+02
1.910000000000000000e+02,3.076284200000000055e+02
1.920000000000000000e+02,3.088797000000000139e+02
1.930000000000000000e+02,3.101132799999999747e+02
1.940000000000000000e+02,3.113288299999999822e+02
1.950000000000000000e+02,3.125260000000000105e+02
1.960000000000000000e+02,3.137044700000000148e+02
1.970000000000000000e+02,3.148639499999999884e+02
1.980000000000000000e+02,3.160041800000000194e+02
1.990000000000000000e+02,3.171248499999999808e+02
2.000000000000000000e+02,3.182306500000000256e+02
2.010000000000000000e+02,3.193147299999999973e+02
2.020000000000000000e+02,3.203788499999999999e+02
2.030000000000000000e+02,3.214234000000000151e+02
2.040000000000000000e+02,3.224480899999999792e+02
2.050000000000000000e+02,3.234523599999999988e+02
2.060000000000000000e+02,3.244355800000000158e+02
2.070000000000000000e+02,3.253972800000000234e+02
2.080000000000000000e+02,3.263372200000000021e+02
2.090000000000000000e+02,3.272554299999999898e+02
2.100000000000000000e+02,3.281519499999999994e+02
2.110000000000000000e+02,3.290271299999999997e+02
2.120000000000000000e+02,3.298812599999999975e+02
2.130000000000000000e+02,3.307146299999999997e+02
2.140000000000000000e+02,3.315277399999999943e+02
2.150000000000000000e+02,3.323209800000000200e+02
2.160000000000000000e+02,3.330947600000000079e+02
2.170000000000000000e+02,3.338495800000000031e+02
2.180000000000000000e+02,3.345859100000000126e+02
2.190000000000000000e+02,3.353042300000000182e+02
2.200000000000000000e+02,3.360051000000000272e+02
2.210000000000000000e+02,3.366890300000000025e+02
2.220000000000000000e+02,3.373566000000000145e+02
2.230000000000000000e+02,3.380083900000000199e+02
2.240000000000000000e+02,3.386450199999999882e+02
2.250000000000000000e+02,3.392670899999999961e+02
2.260000000000000000e+02,3.398752099999999814e+02
2.270000000000000000e+02,3.404701200000000085e+02
2.280000000000000000e+02,3.410523999999999774e+02
2.290000000000000000e+02,3.416227700000000027e+02
2.300000000000000000e+02,3.421818799999999783e+02
2.310000000000000000e+02,3.427303800000000251e+02
2.320000000000000000e+02,3.432690099999999802e+02
2.330000000000000000e+02,3.437983399999999961e+02
2.340000000000000000e+02,3.443190900000000170e+02
2.350000000000000000e+02,3.448319999999999936e+02
2.360000000000000000e+02,3.453376200000000154e+02
2.370000000000000000e+02,3.458366399999999885e+02
2.380000000000000000e+02,3.463296799999999962e+02
2.390000000000000000e+02,3.468173800000000142e+02
2.400000000000000000e+02,3.473002900000000182e+02
2.410000000000000000e+02,3.477790499999999838e+02
2.420000000000000000e+02,3.482541800000000194e+02
2.430000000000000000e+02,3.487263199999999870e+02
2.440000000000000000e+02,3.491959200000000010e+02
2.450000000000000000e+02,3.496635099999999738e+02
2.460000000000000000e+02,3.501296100000000138e+02
2.470000000000000000e+02,3.505946999999999889e+02
2.480000000000000000e+02,3.510593299999999886e+02
2.490000000000000000e+02,3.515237999999999943e+02
2.500000000000000000e+02,3.519885899999999879e+02
2.510000000000000000e+02,3.524541300000000206e+02
2.520000000000000000e+02,3.529911799999999857e+02
2.530000000000000000e+02,3.534912400000000048e+02
2.540000000000000000e+02,3.539791000000000167e+02
2.550000000000000000e+02,3.544607799999999997e+02
2.560000000000000000e+02,3.549379599999999755e+02
2.570000000000000000e+02,3.554132399999999734e+02
2.580000000000000000e+02,3.558888499999999908e+02
2.590000000000000000e+02,3.563665799999999990e+02
2.600000000000000000e+02,3.568476600000000190e+02
2.610000000000000000e+02,3.573330399999999827e+02
2.620000000000000000e+02,3.578233599999999797e+02
2.630000000000000000e+02,3.583193099999999731e+02
2.640000000000000000e+02,3.588210799999999949e+02
2.650000000000000000e+02,3.593290400000000204e+02
2.660000000000000000e+02,3.598435400000000186e+02
2.670000000000000000e+02,3.603648400000000152e+02
2.680000000000000000e+02,3.608931000000000040e+02
2.690000000000000000e+02,3.614286200000000235e+02
2.700000000000000000e+02,3.619715299999999729e+02
2.710000000000000000e+02,3.625220299999999725e+02
2.720000000000000000e+02,3.630805700000000229e+02
2.730000000000000000e+02,3.636472800000000234e+02
2.740000000000000000e+02,3.642223799999999869e+02
2.750000000000000000e+02,3.648061500000000024e+02
2.760000000000000000e+02,3.653989300000000071e+02
2.770000000000000000e+02,3.660009800000000268e+02
2.780000000000000000e+02,3.666128499999999804e+02
2.790000000000000000e+02,3.672345900000000256e+02
2.800000000000000000e+02,3.678666400000000181e+02
2.810000000000000000e+02,3.685094599999999900e+02
2.820000000000000000e+02,3.691632700000000114e+02
2.830000000000000000e+02,3.698288000000000011e+02
2.840000000000000000e+02,3.705063799999999787e+02
2.850000000000000000e+02,3.711963499999999954e+02
2.860000000000000000e+02,3.718992000000000075e+02
2.870000000000000000e+02,3.726157499999999914e+02
2.880000000000000000e+02,3.733463699999999790e+02
2.890000000000000000e+02,3.740915499999999838e+02
2.900000000000000000e+02,3.748521700000000010e+02
2.910000000000000000e+02,3.756287500000000250e+02
2.920000000000000000e+02,3.764219100000000253e+02
2.930000000000000000e+02,3.772322700000000282e+02
