# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,3.372602100000000291e+01
3.000000000000000000e+00,3.856551699999999983e+01
4.000000000000000000e+00,4.252271300000000309e+01
5.000000000000000000e+00,4.582186899999999952e+01
6.000000000000000000e+00,4.872576099999999855e+01
7.000000000000000000e+00,5.133034899999999823e+01
8.000000000000000000e+00,5.370895000000000152e+01
9.000000000000000000e+00,5.590593299999999743e+01
1.000000000000000000e+01,5.795412799999999720e+01
1.100000000000000000e+01,5.987673199999999696e+01
1.200000000000000000e+01,6.169227200000000266e+01
1.300000000000000000e+01,6.341458899999999943e+01
1.400000000000000000e+01,6.505503099999999961e+01
1.500000000000000000e+01,6.662259699999999896e+01
1.600000000000000000e+01,6.812529000000000678e+01
1.700000000000000000e+01,6.956932799999999872e+01
1.800000000000000000e+01,7.095977800000000002e+01
1.900000000000000000e+01,7.230150600000000338e+01
2.000000000000000000e+01,7.359859500000000310e+01
2.100000000000000000e+01,7.485447700000000282e+01
2.200000000000000000e+01,7.607212099999999566e+01
2.300000000000000000e+01,7.725421900000000619e+01
2.400000000000000000e+01,7.840317500000000450e+01
2.500000000000000000e+01,7.952130099999999402e+01
2.600000000000000000e+01,8.061044300000000362e+01
2.700000000000000000e+01,8.167209599999999625e+01
2.800000000000000000e+01,8.270802299999999718e+01
2.900000000000000000e+01,8.371981800000000362e+01
3.000000000000000000e+01,8.470832799999999452e+01
3.100000000000000000e+01,8.567498799999999903e+01
3.200000000000000000e+01,8.662103999999999360e+01
3.300000000000000000e+01,8.754753100000000643e+01
3.400000000000000000e+01,8.845495599999999570e+01
3.500000000000000000e+01,8.934454300000000160e+01
3.600000000000000000e+01,9.021708700000000647e+01
3.700000000000000000e+01,9.107295999999999481e+01
3.800000000000000000e+01,9.191336099999999476e+01
3.900000000000000000e+01,9.273864000000000374e+01
4.000000000000000000e+01,9.354944600000000321e+01
4.100000000000000000e+01,9.434648099999999715e+01
4.200000000000000000e+01,9.513008100000000411e+01
4.300000000000000000e+01,9.590080299999999625e+01
4.400000000000000000e+01,9.665923300000000040e+01
4.500000000000000000e+01,9.740564000000000533e+01
4.600000000000000000e+01,9.814050299999999538e+01
4.700000000000000000e+01,9.886432600000000548e+01
4.800000000000000000e+01,9.957736199999999371e+01
4.900000000000000000e+01,1.002800299999999964e+02
5.000000000000000000e+01,1.009731699999999961e+02
5.100000000000000000e+01,1.016563000000000017e+02
5.200000000000000000e+01,1.023299599999999998e+02
5.300000000000000000e+01,1.029946199999999976e+02
5.400000000000000000e+01,1.036507600000000053e+02
5.500000000000000000e+01,1.042981300000000005e+02
5.600000000000000000e+01,1.049373599999999982e+02
5.700000000000000000e+01,1.055687999999999960e+02
5.800000000000000000e+01,1.061922299999999950e+02
5.900000000000000000e+01,1.068083599999999933e+02
6.000000000000000000e+01,1.074171699999999987e+02
6.100000000000000000e+01,1.080189100000000053e+02
6.200000000000000000e+01,1.086137800000000055e+02
6.300000000000000000e+01,1.092019999999999982e+02
6.400000000000000000e+01,1.097837300000000056e+02
6.500000000000000000e+01,1.103592900000000014e+02
6.600000000000000000e+01,1.109286699999999968e+02
6.700000000000000000e+01,1.114921199999999999e+02
6.800000000000000000e+01,1.120498699999999985e+02
6.900000000000000000e+01,1.126019500000000022e+02
7.000000000000000000e+01,1.131486900000000020e+02
7.100000000000000000e+01,1.136899300000000039e+02
7.200000000000000000e+01,1.142262400000000042e+02
7.300000000000000000e+01,1.147574000000000041e+02
7.400000000000000000e+01,1.152837899999999962e+02
7.500000000000000000e+01,1.158054699999999997e+02
7.600000000000000000e+01,1.163224199999999939e+02
7.700000000000000000e+01,1.168349400000000031e+02
7.800000000000000000e+01,1.173430900000000037e+02
7.900000000000000000e+01,1.178470099999999974e+02
8.000000000000000000e+01,1.183465999999999951e+02
8.100000000000000000e+01,1.188423200000000008e+02
8.200000000000000000e+01,1.193340699999999970e+02
8.300000000000000000e+01,1.198219500000000011e+02
8.400000000000000000e+01,1.203059899999999942e+02
8.500000000000000000e+01,1.207865100000000069e+02
8.600000000000000000e+01,1.212635800000000046e+02
8.700000000000000000e+01,1.217369699999999995e+02
8.800000000000000000e+01,1.222069299999999998e+02
8.900000000000000000e+01,1.226738399999999984e+02
9.000000000000000000e+01,1.231375000000000028e+02
9.100000000000000000e+01,1.235979999999999990e+02
9.200000000000000000e+01,1.240552899999999994e+02
9.300000000000000000e+01,1.245096800000000030e+02
9.400000000000000000e+01,1.249610600000000034e+02
9.500000000000000000e+01,1.254098400000000026e+02
9.600000000000000000e+01,1.258557100000000020e+02
9.700000000000000000e+01,1.262986499999999950e+02
9.800000000000000000e+01,1.267391700000000014e+02
9.900000000000000000e+01,1.271770900000000069e+02
1.000000000000000000e+02,1.276124999999999972e+02
1.010000000000000000e+02,1.280454699999999946e+02
1.020000000000000000e+02,1.284759200000000021e+02
1.030000000000000000e+02,1.289038400000000024e+02
1.040000000000000000e+02,1.293297000000000025e+02
1.050000000000000000e+02,1.297530700000000081e+02
1.060000000000000000e+02,1.301743299999999977e+02
1.070000000000000000e+02,1.305934900000000027e+02
1.080000000000000000e+02,1.310104800000000012e+02
1.090000000000000000e+02,1.314253999999999962e+02
1.100000000000000000e+02,1.318383200000000102e+02
1.110000000000000000e+02,1.322491799999999955e+02
1.120000000000000000e+02,1.326580999999999904e+02
1.130000000000000000e+02,1.330651900000000012e+02
1.140000000000000000e+02,1.334703800000000058e+02
1.150000000000000000e+02,1.338737000000000137e+02
1.160000000000000000e+02,1.342752700000000061e+02
1.170000000000000000e+02,1.346750299999999925e+02
1.180000000000000000e+02,1.350730599999999981e+02
1.190000000000000000e+02,1.354692799999999977e+02
1.200000000000000000e+02,1.358639100000000042e+02
1.210000000000000000e+02,1.362569000000000017e+02
1.220000000000000000e+02,1.366483000000000061e+02
1.230000000000000000e+02,1.370380900000000111e+02
1.240000000000000000e+02,1.374263300000000072e+02
1.250000000000000000e+02,1.378131600000000105e+02
1.260000000000000000e+02,1.381984099999999955e+02
1.270000000000000000e+02,1.385821799999999939e+02
1.280000000000000000e+02,1.389645800000000122e+02
1.290000000000000000e+02,1.393455399999999997e+02
1.300000000000000000e+02,1.397250699999999881e+02
1.310000000000000000e+02,1.401032999999999902e+02
