# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997300000000067e+01
2.000000000000000000e+00,1.055860200000000049e+02
3.000000000000000000e+00,1.551683800000000133e+02
4.000000000000000000e+00,1.927120400000000018e+02
5.000000000000000000e+00,2.237944500000000119e+02
6.000000000000000000e+00,2.507750699999999995e+02
7.000000000000000000e+00,2.757923299999999927e+02
8.000000000000000000e+00,2.996646700000000010e+02
9.000000000000000000e+00,3.200871599999999830e+02
1.000000000000000000e+01,3.371390099999999848e+02
1.100000000000000000e+01,3.510128799999999956e+02
1.200000000000000000e+01,3.614436000000000035e+02
1.300000000000000000e+01,3.665710100000000011e+02
1.400000000000000000e+01,3.736251199999999812e+02
1.500000000000000000e+01,3.787456700000000183e+02
1.600000000000000000e+01,3.845720800000000281e+02
1.700000000000000000e+01,3.894027699999999754e+02
1.800000000000000000e+01,3.956997400000000198e+02
1.900000000000000000e+01,4.013740799999999922e+02
2.000000000000000000e+01,4.071369300000000067e+02
2.100000000000000000e+01,4.139407699999999863e+02
2.200000000000000000e+01,4.203860500000000116e+02
2.300000000000000000e+01,4.262463999999999942e+02
2.400000000000000000e+01,4.332880200000000173e+02
2.500000000000000000e+01,4.392298000000000116e+02
2.600000000000000000e+01,4.443331600000000208e+02
2.700000000000000000e+01,4.495799900000000093e+02
2.800000000000000000e+01,4.541992799999999875e+02
2.900000000000000000e+01,4.583584000000000174e+02
3.000000000000000000e+01,4.627833899999999971e+02
3.100000000000000000e+01,4.671838999999999942e+02
3.200000000000000000e+01,4.716150799999999776e+02
3.300000000000000000e+01,4.761970499999999902e+02
3.400000000000000000e+01,4.808156700000000114e+02
3.500000000000000000e+01,4.853731999999999971e+02
3.600000000000000000e+01,4.898347800000000234e+02
3.700000000000000000e+01,4.940816699999999742e+02
3.800000000000000000e+01,4.962393200000000206e+02
3.900000000000000000e+01,4.826729100000000017e+02
4.000000000000000000e+01,4.877889099999999871e+02
4.100000000000000000e+01,4.909084199999999782e+02
4.200000000000000000e+01,4.953459199999999782e+02
4.300000000000000000e+01,4.991301000000000272e+02
4.400000000000000000e+01,5.035788900000000012e+02
4.500000000000000000e+01,5.075398900000000140e+02
4.600000000000000000e+01,5.117183499999999867e+02
4.700000000000000000e+01,5.154780299999999897e+02
4.800000000000000000e+01,5.191674799999999550e+02
4.900000000000000000e+01,5.225418100000000550e+02
5.000000000000000000e+01,5.258075599999999667e+02
5.100000000000000000e+01,5.289037499999999454e+02
5.200000000000000000e+01,5.319363399999999729e+02
5.300000000000000000e+01,5.349105200000000195e+02
5.400000000000000000e+01,5.378607799999999770e+02
5.500000000000000000e+01,5.407827099999999518e+02
5.600000000000000000e+01,5.436867700000000241e+02
5.700000000000000000e+01,5.465453499999999849e+02
5.800000000000000000e+01,5.493519300000000385e+02
5.900000000000000000e+01,5.520927699999999732e+02
6.000000000000000000e+01,5.547564099999999598e+02
6.100000000000000000e+01,5.573380700000000161e+02
6.200000000000000000e+01,5.598544900000000553e+02
6.300000000000000000e+01,5.622988900000000285e+02
6.400000000000000000e+01,5.622413900000000240e+02
6.500000000000000000e+01,5.642382800000000316e+02
6.600000000000000000e+01,5.653175700000000461e+02
6.700000000000000000e+01,5.674717399999999543e+02
6.800000000000000000e+01,5.697810699999999997e+02
6.900000000000000000e+01,5.721837199999999939e+02
7.000000000000000000e+01,5.746069899999999961e+02
7.100000000000000000e+01,5.769684399999999869e+02
7.200000000000000000e+01,5.792652000000000498e+02
7.300000000000000000e+01,5.814741800000000467e+02
7.400000000000000000e+01,5.836168199999999615e+02
7.500000000000000000e+01,5.856874400000000378e+02
7.600000000000000000e+01,5.877051400000000285e+02
7.700000000000000000e+01,5.896816999999999780e+02
7.800000000000000000e+01,5.916207900000000564e+02
7.900000000000000000e+01,5.935302699999999732e+02
8.000000000000000000e+01,5.954176599999999553e+02
8.100000000000000000e+01,5.972759999999999536e+02
8.200000000000000000e+01,5.991097999999999502e+02
8.300000000000000000e+01,6.009186999999999443e+02
8.400000000000000000e+01,6.026961700000000519e+02
8.500000000000000000e+01,6.044398200000000543e+02
8.600000000000000000e+01,6.061601000000000568e+02
8.700000000000000000e+01,6.078443600000000515e+02
8.800000000000000000e+01,6.094996899999999869e+02
8.900000000000000000e+01,6.111322599999999738e+02
9.000000000000000000e+01,6.127373700000000554e+02
9.100000000000000000e+01,6.143191500000000360e+02
9.200000000000000000e+01,6.154521499999999605e+02
9.300000000000000000e+01,6.163895300000000361e+02
9.400000000000000000e+01,6.175734899999999925e+02
9.500000000000000000e+01,6.186648599999999760e+02
9.600000000000000000e+01,6.199807100000000446e+02
9.700000000000000000e+01,6.213572400000000471e+02
9.800000000000000000e+01,6.227825299999999515e+02
9.900000000000000000e+01,6.242200900000000274e+02
1.000000000000000000e+02,6.256570400000000518e+02
1.010000000000000000e+02,6.270918599999999969e+02
1.020000000000000000e+02,6.285111699999999928e+02
1.030000000000000000e+02,6.299220599999999877e+02
1.040000000000000000e+02,6.313202499999999873e+02
1.050000000000000000e+02,6.327037400000000389e+02
1.060000000000000000e+02,6.340731799999999794e+02
1.070000000000000000e+02,6.354310299999999643e+02
1.080000000000000000e+02,6.367702000000000453e+02
1.090000000000000000e+02,6.380956400000000031e+02
1.100000000000000000e+02,6.394072899999999890e+02
1.110000000000000000e+02,6.406982400000000553e+02
1.120000000000000000e+02,6.419741800000000467e+02
1.130000000000000000e+02,6.432352300000000014e+02
1.140000000000000000e+02,6.444771100000000388e+02
1.150000000000000000e+02,6.457029400000000123e+02
1.160000000000000000e+02,6.469166900000000169e+02
1.170000000000000000e+02,6.481129799999999932e+02
1.180000000000000000e+02,6.492972399999999880e+02
1.190000000000000000e+02,6.504210799999999608e+02
1.200000000000000000e+02,6.513983200000000124e+02
1.210000000000000000e+02,6.523201900000000251e+02
1.220000000000000000e+02,6.532655600000000504e+02
1.230000000000000000e+02,6.541987299999999550e+02
1.240000000000000000e+02,6.551766400000000203e+02
1.250000000000000000e+02,6.561842699999999695e+02
1.260000000000000000e+02,6.572084999999999582e+02
1.270000000000000000e+02,6.582512199999999893e+02
1.280000000000000000e+02,6.593007199999999557e+02
1.290000000000000000e+02,6.603562600000000202e+02
1.300000000000000000e+02,6.614132700000000114e+02
1.310000000000000000e+02,6.624683199999999488e+02
1.320000000000000000e+02,6.635192899999999554e+02
1.330000000000000000e+02,6.645650600000000168e+02
1.340000000000000000e+02,6.656018699999999626e+02
1.350000000000000000e+02,6.666298799999999574e+02
1.360000000000000000e+02,6.676488600000000133e+02
1.370000000000000000e+02,6.686563099999999622e+02
1.380000000000000000e+02,6.696549700000000485e+02
1.390000000000000000e+02,6.706408099999999877e+02
1.400000000000000000e+02,6.716206700000000183e+02
1.410000000000000000e+02,6.725713500000000522e+02
1.420000000000000000e+02,6.734704000000000406e+02
