# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000199999999850e+01
5.000000000000000000e+00,2.500000800000000112e+01
6.000000000000000000e+00,2.500003799999999998e+01
7.000000000000000000e+00,2.500015399999999843e+01
8.000000000000000000e+00,2.500052799999999920e+01
9.000000000000000000e+00,2.500153399999999948e+01
1.000000000000000000e+01,2.500388900000000092e+01
1.100000000000000000e+01,2.500879300000000072e+01
1.200000000000000000e+01,2.501802599999999899e+01
1.300000000000000000e+01,2.503399699999999939e+01
1.400000000000000000e+01,2.505971100000000007e+01
1.500000000000000000e+01,2.509868200000000016e+01
1.600000000000000000e+01,2.515480600000000067e+01
1.700000000000000000e+01,2.523221200000000053e+01
1.800000000000000000e+01,2.533512699999999995e+01
1.900000000000000000e+01,2.546773100000000056e+01
2.000000000000000000e+01,2.563405399999999901e+01
2.100000000000000000e+01,2.583789099999999905e+01
2.200000000000000000e+01,2.608273700000000161e+01
2.300000000000000000e+01,2.637173500000000104e+01
2.400000000000000000e+01,2.670765499999999903e+01
2.500000000000000000e+01,2.709288199999999946e+01
2.600000000000000000e+01,2.752943600000000046e+01
2.700000000000000000e+01,2.801896899999999846e+01
2.800000000000000000e+01,2.856278400000000062e+01
2.900000000000000000e+01,2.916187299999999993e+01
3.000000000000000000e+01,2.985536799999999857e+01
3.100000000000000000e+01,3.058531800000000089e+01
3.200000000000000000e+01,3.136712299999999942e+01
3.300000000000000000e+01,3.220389200000000329e+01
3.400000000000000000e+01,3.309568399999999855e+01
3.500000000000000000e+01,3.404221299999999673e+01
3.600000000000000000e+01,3.504292300000000182e+01
3.700000000000000000e+01,3.609698099999999954e+01
3.800000000000000000e+01,3.720347199999999788e+01
3.900000000000000000e+01,3.836129400000000089e+01
4.000000000000000000e+01,3.956920600000000121e+01
4.100000000000000000e+01,4.082586299999999824e+01
4.200000000000000000e+01,4.212985599999999664e+01
4.300000000000000000e+01,4.347967500000000030e+01
4.400000000000000000e+01,4.487370299999999901e+01
4.500000000000000000e+01,4.631035200000000174e+01
4.600000000000000000e+01,4.778788800000000236e+01
4.700000000000000000e+01,4.930461900000000242e+01
4.800000000000000000e+01,5.085878399999999999e+01
4.900000000000000000e+01,5.244864299999999702e+01
5.000000000000000000e+01,5.407245999999999952e+01
5.100000000000000000e+01,5.572852699999999970e+01
5.200000000000000000e+01,5.741516099999999767e+01
5.300000000000000000e+01,5.913071800000000167e+01
5.400000000000000000e+01,6.087354299999999796e+01
5.500000000000000000e+01,6.264210099999999670e+01
5.600000000000000000e+01,6.443490599999999802e+01
5.700000000000000000e+01,6.625049599999999828e+01
5.800000000000000000e+01,6.808744799999999486e+01
5.900000000000000000e+01,6.994450399999999490e+01
6.000000000000000000e+01,7.182031999999999528e+01
6.100000000000000000e+01,7.371370699999999943e+01
6.200000000000000000e+01,7.562352799999999320e+01
6.300000000000000000e+01,7.754870599999999570e+01
6.400000000000000000e+01,7.948819000000000301e+01
6.500000000000000000e+01,8.144097899999999868e+01
6.600000000000000000e+01,8.340618899999999769e+01
6.700000000000000000e+01,8.538292699999999513e+01
6.800000000000000000e+01,8.737036899999999662e+01
6.900000000000000000e+01,8.936770599999999831e+01
7.000000000000000000e+01,9.137416799999999739e+01
7.100000000000000000e+01,9.338906900000000633e+01
7.200000000000000000e+01,9.541172000000000253e+01
7.300000000000000000e+01,9.744148300000000518e+01
7.400000000000000000e+01,9.947779099999999630e+01
7.500000000000000000e+01,1.015200300000000055e+02
7.600000000000000000e+01,1.035676899999999989e+02
7.700000000000000000e+01,1.056201999999999970e+02
7.800000000000000000e+01,1.076770900000000069e+02
7.900000000000000000e+01,1.097386500000000069e+02
8.000000000000000000e+01,1.118033400000000057e+02
8.100000000000000000e+01,1.138710599999999999e+02
8.200000000000000000e+01,1.159413499999999999e+02
8.300000000000000000e+01,1.180138900000000035e+02
8.400000000000000000e+01,1.200883599999999944e+02
8.500000000000000000e+01,1.221644900000000007e+02
8.600000000000000000e+01,1.242420999999999935e+02
8.700000000000000000e+01,1.263211000000000013e+02
8.800000000000000000e+01,1.284012299999999982e+02
8.900000000000000000e+01,1.304823299999999904e+02
9.000000000000000000e+01,1.325642200000000059e+02
9.100000000000000000e+01,1.346466700000000003e+02
9.200000000000000000e+01,1.367294500000000141e+02
9.300000000000000000e+01,1.388122299999999996e+02
9.400000000000000000e+01,1.408947300000000098e+02
9.500000000000000000e+01,1.429766799999999876e+02
9.600000000000000000e+01,1.450578199999999924e+02
9.700000000000000000e+01,1.471379100000000051e+02
9.800000000000000000e+01,1.492166899999999998e+02
9.900000000000000000e+01,1.512938699999999983e+02
1.000000000000000000e+02,1.533692599999999970e+02
1.010000000000000000e+02,1.554426100000000019e+02
1.020000000000000000e+02,1.575137300000000096e+02
1.030000000000000000e+02,1.595823800000000006e+02
1.040000000000000000e+02,1.616483800000000031e+02
1.050000000000000000e+02,1.637114899999999977e+02
1.060000000000000000e+02,1.657715100000000064e+02
1.070000000000000000e+02,1.678282299999999907e+02
1.080000000000000000e+02,1.698814500000000010e+02
1.090000000000000000e+02,1.719310000000000116e+02
1.100000000000000000e+02,1.739766400000000033e+02
1.110000000000000000e+02,1.760181900000000041e+02
1.120000000000000000e+02,1.780554799999999886e+02
1.130000000000000000e+02,1.800882900000000006e+02
1.140000000000000000e+02,1.821164400000000114e+02
1.150000000000000000e+02,1.841397200000000112e+02
1.160000000000000000e+02,1.861579600000000028e+02
1.170000000000000000e+02,1.881709600000000080e+02
1.180000000000000000e+02,1.901806799999999953e+02
1.190000000000000000e+02,1.921835499999999968e+02
1.200000000000000000e+02,1.941803099999999915e+02
1.210000000000000000e+02,1.961710500000000081e+02
1.220000000000000000e+02,1.981557300000000055e+02
1.230000000000000000e+02,2.001342899999999929e+02
1.240000000000000000e+02,2.021067700000000116e+02
1.250000000000000000e+02,2.040730599999999981e+02
1.260000000000000000e+02,2.060330399999999997e+02
1.270000000000000000e+02,2.079864300000000128e+02
1.280000000000000000e+02,2.099329500000000053e+02
1.290000000000000000e+02,2.118722500000000082e+02
1.300000000000000000e+02,2.138040499999999895e+02
1.310000000000000000e+02,2.157280599999999993e+02
1.320000000000000000e+02,2.176440299999999866e+02
1.330000000000000000e+02,2.195516700000000014e+02
1.340000000000000000e+02,2.214506499999999960e+02
1.350000000000000000e+02,2.233408499999999890e+02
1.360000000000000000e+02,2.252220199999999863e+02
1.370000000000000000e+02,2.270938700000000097e+02
1.380000000000000000e+02,2.289562500000000114e+02
1.390000000000000000e+02,2.308088999999999942e+02
1.400000000000000000e+02,2.326515400000000113e+02
1.410000000000000000e+02,2.344839800000000025e+02
1.420000000000000000e+02,2.363059499999999957e+02
1.430000000000000000e+02,2.381171400000000062e+02
1.440000000000000000e+02,2.399173000000000116e+02
1.450000000000000000e+02,2.417060899999999890e+02
1.460000000000000000e+02,2.434832199999999887e+02
1.470000000000000000e+02,2.452483400000000131e+02
1.480000000000000000e+02,2.470010499999999922e+02
1.490000000000000000e+02,2.487410099999999886e+02
1.500000000000000000e+02,2.504677100000000110e+02
1.510000000000000000e+02,2.521807599999999923e+02
1.520000000000000000e+02,2.538797600000000045e+02
1.530000000000000000e+02,2.555641300000000058e+02
1.540000000000000000e+02,2.572334000000000174e+02
1.550000000000000000e+02,2.588880599999999959e+02
1.560000000000000000e+02,2.605259699999999725e+02
1.570000000000000000e+02,2.621474299999999857e+02
1.580000000000000000e+02,2.637524399999999787e+02
1.590000000000000000e+02,2.653410000000000082e+02
1.600000000000000000e+02,2.669126299999999787e+02
1.610000000000000000e+02,2.684664599999999837e+02
1.620000000000000000e+02,2.700013999999999896e+02
1.630000000000000000e+02,2.715163900000000012e+02
1.640000000000000000e+02,2.730104099999999789e+02
1.650000000000000000e+02,2.744825700000000097e+02
1.660000000000000000e+02,2.759320399999999722e+02
1.670000000000000000e+02,2.773580299999999852e+02
1.680000000000000000e+02,2.787599200000000224e+02
1.690000000000000000e+02,2.801370200000000068e+02
1.700000000000000000e+02,2.814887699999999882e+02
1.710000000000000000e+02,2.828145799999999781e+02
1.720000000000000000e+02,2.841139200000000073e+02
1.730000000000000000e+02,2.853863200000000120e+02
1.740000000000000000e+02,2.866313200000000165e+02
1.750000000000000000e+02,2.878485400000000141e+02
1.760000000000000000e+02,2.890376299999999787e+02
1.770000000000000000e+02,2.901983299999999986e+02
1.780000000000000000e+02,2.913304400000000101e+02
1.790000000000000000e+02,2.924337800000000129e+02
1.800000000000000000e+02,2.935082699999999818e+02
1.810000000000000000e+02,2.945539600000000178e+02
1.820000000000000000e+02,2.955709200000000010e+02
1.830000000000000000e+02,2.965593299999999886e+02
1.840000000000000000e+02,2.975193800000000124e+02
1.850000000000000000e+02,2.984515400000000227e+02
1.860000000000000000e+02,2.993698699999999917e+02
1.870000000000000000e+02,3.002574500000000057e+02
1.880000000000000000e+02,3.011197500000000105e+02
1.890000000000000000e+02,3.019580100000000016e+02
1.900000000000000000e+02,3.027718800000000101e+02
1.910000000000000000e+02,3.035609699999999975e+02
1.920000000000000000e+02,3.043253199999999765e+02
1.930000000000000000e+02,3.050654900000000112e+02
1.940000000000000000e+02,3.057824699999999893e+02
1.950000000000000000e+02,3.064774499999999762e+02
1.960000000000000000e+02,3.071517000000000053e+02
1.970000000000000000e+02,3.078065199999999777e+02
1.980000000000000000e+02,3.084432100000000219e+02
1.990000000000000000e+02,3.090629299999999944e+02
2.000000000000000000e+02,3.096669899999999984e+02
2.010000000000000000e+02,3.102565299999999979e+02
2.020000000000000000e+02,3.108327300000000264e+02
2.030000000000000000e+02,3.113967299999999909e+02
2.040000000000000000e+02,3.119496500000000196e+02
2.050000000000000000e+02,3.124924899999999752e+02
2.060000000000000000e+02,3.130262799999999856e+02
2.070000000000000000e+02,3.135520900000000211e+02
2.080000000000000000e+02,3.140708000000000197e+02
2.090000000000000000e+02,3.145833099999999831e+02
2.100000000000000000e+02,3.150905500000000075e+02
2.110000000000000000e+02,3.155932900000000245e+02
2.120000000000000000e+02,3.160923199999999724e+02
2.130000000000000000e+02,3.166540499999999838e+02
2.140000000000000000e+02,3.171847200000000271e+02
2.150000000000000000e+02,3.177045299999999770e+02
2.160000000000000000e+02,3.182173500000000104e+02
2.170000000000000000e+02,3.187234199999999760e+02
2.180000000000000000e+02,3.192244299999999839e+02
2.190000000000000000e+02,3.197221999999999866e+02
2.200000000000000000e+02,3.202185999999999808e+02
2.210000000000000000e+02,3.207152399999999943e+02
2.220000000000000000e+02,3.212131299999999783e+02
2.230000000000000000e+02,3.217131299999999783e+02
2.240000000000000000e+02,3.222159399999999891e+02
2.250000000000000000e+02,3.227221400000000244e+02
2.260000000000000000e+02,3.232320900000000279e+02
2.270000000000000000e+02,3.237462199999999939e+02
2.280000000000000000e+02,3.242649499999999989e+02
2.290000000000000000e+02,3.247885400000000118e+02
2.300000000000000000e+02,3.253173800000000142e+02
2.310000000000000000e+02,3.258517200000000003e+02
2.320000000000000000e+02,3.263918499999999767e+02
2.330000000000000000e+02,3.269380800000000136e+02
2.340000000000000000e+02,3.274905999999999722e+02
2.350000000000000000e+02,3.280498000000000047e+02
2.360000000000000000e+02,3.286157799999999725e+02
2.370000000000000000e+02,3.291890300000000025e+02
2.380000000000000000e+02,3.297695899999999938e+02
2.390000000000000000e+02,3.303579100000000039e+02
2.400000000000000000e+02,3.309542500000000018e+02
2.410000000000000000e+02,3.315590199999999754e+02
2.420000000000000000e+02,3.323733500000000163e+02
2.430000000000000000e+02,3.330708900000000199e+02
2.440000000000000000e+02,3.337286399999999844e+02
2.450000000000000000e+02,3.343789400000000001e+02
2.460000000000000000e+02,3.350293300000000158e+02
2.470000000000000000e+02,3.356863700000000108e+02
2.480000000000000000e+02,3.363536700000000224e+02
2.490000000000000000e+02,3.370329300000000217e+02
2.500000000000000000e+02,3.377247899999999845e+02
2.510000000000000000e+02,3.384297500000000127e+02
2.520000000000000000e+02,3.391485900000000129e+02
2.530000000000000000e+02,3.398814399999999978e+02
2.540000000000000000e+02,3.406286000000000058e+02
2.550000000000000000e+02,3.413906900000000064e+02
2.560000000000000000e+02,3.421679700000000253e+02
2.570000000000000000e+02,3.429612399999999752e+02
2.580000000000000000e+02,3.437708700000000022e+02
2.590000000000000000e+02,3.445975599999999872e+02
2.600000000000000000e+02,3.454418600000000197e+02
2.610000000000000000e+02,3.463047500000000127e+02
2.620000000000000000e+02,3.471869500000000244e+02
2.630000000000000000e+02,3.480894200000000183e+02
2.640000000000000000e+02,3.490126300000000015e+02
2.650000000000000000e+02,3.499580100000000016e+02
2.660000000000000000e+02,3.509266400000000203e+02
2.670000000000000000e+02,3.519194899999999961e+02
2.680000000000000000e+02,3.529378399999999942e+02
2.690000000000000000e+02,3.539827000000000226e+02
2.700000000000000000e+02,3.550556300000000078e+02
2.710000000000000000e+02,3.561582599999999843e+02
2.720000000000000000e+02,3.572920199999999795e+02
2.730000000000000000e+02,3.584586800000000153e+02
2.740000000000000000e+02,3.601985199999999736e+02
2.750000000000000000e+02,3.615232199999999807e+02
2.760000000000000000e+02,3.627868300000000090e+02
2.770000000000000000e+02,3.640919200000000160e+02
2.780000000000000000e+02,3.654434800000000223e+02
2.790000000000000000e+02,3.668485400000000141e+02
2.800000000000000000e+02,3.683048099999999749e+02
2.810000000000000000e+02,3.698170200000000136e+02
2.820000000000000000e+02,3.713860199999999736e+02
2.830000000000000000e+02,3.730149200000000178e+02
2.840000000000000000e+02,3.747072800000000257e+02
2.850000000000000000e+02,3.764662500000000023e+02
2.860000000000000000e+02,3.782966299999999933e+02
2.870000000000000000e+02,3.802014500000000226e+02
2.880000000000000000e+02,3.821860399999999913e+02
2.890000000000000000e+02,3.842550400000000081e+02
2.900000000000000000e+02,3.864134799999999927e+02
2.910000000000000000e+02,3.886663500000000226e+02
2.920000000000000000e+02,3.910196799999999939e+02
2.930000000000000000e+02,3.934776299999999765e+02
