# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000599999999906e+01
6.000000000000000000e+00,2.500003200000000092e+01
7.000000000000000000e+00,2.500013699999999872e+01
8.000000000000000000e+00,2.500047299999999950e+01
9.000000000000000000e+00,2.500139199999999917e+01
1.000000000000000000e+01,2.500357400000000041e+01
1.100000000000000000e+01,2.500816500000000175e+01
1.200000000000000000e+01,2.501688800000000157e+01
1.300000000000000000e+01,2.503209299999999971e+01
1.400000000000000000e+01,2.505673399999999873e+01
1.500000000000000000e+01,2.509428000000000125e+01
1.600000000000000000e+01,2.514859399999999923e+01
1.700000000000000000e+01,2.522378700000000151e+01
1.800000000000000000e+01,2.532407200000000103e+01
1.900000000000000000e+01,2.545363400000000098e+01
2.000000000000000000e+01,2.561651799999999923e+01
2.100000000000000000e+01,2.581654500000000141e+01
2.200000000000000000e+01,2.605724700000000027e+01
2.300000000000000000e+01,2.634182200000000051e+01
2.400000000000000000e+01,2.667309200000000047e+01
2.500000000000000000e+01,2.705350299999999919e+01
2.600000000000000000e+01,2.748516100000000151e+01
2.700000000000000000e+01,2.796976300000000037e+01
2.800000000000000000e+01,2.854132500000000050e+01
2.900000000000000000e+01,2.915205999999999875e+01
3.000000000000000000e+01,2.981513599999999897e+01
3.100000000000000000e+01,3.053358499999999864e+01
3.200000000000000000e+01,3.130782900000000168e+01
3.300000000000000000e+01,3.213796200000000169e+01
3.400000000000000000e+01,3.302374600000000271e+01
3.500000000000000000e+01,3.396470599999999962e+01
3.600000000000000000e+01,3.496015899999999732e+01
3.700000000000000000e+01,3.600931500000000085e+01
3.800000000000000000e+01,3.711115999999999815e+01
3.900000000000000000e+01,3.826456799999999703e+01
4.000000000000000000e+01,3.946830700000000292e+01
4.100000000000000000e+01,4.072102399999999989e+01
4.200000000000000000e+01,4.202123999999999882e+01
4.300000000000000000e+01,4.336743500000000040e+01
4.400000000000000000e+01,4.475802999999999798e+01
4.500000000000000000e+01,4.619125700000000023e+01
4.600000000000000000e+01,4.766547400000000323e+01
4.700000000000000000e+01,4.917891699999999844e+01
4.800000000000000000e+01,5.072981599999999958e+01
4.900000000000000000e+01,5.231641799999999876e+01
5.000000000000000000e+01,5.393696599999999819e+01
5.100000000000000000e+01,5.558970999999999663e+01
5.200000000000000000e+01,5.727296799999999877e+01
5.300000000000000000e+01,5.898511899999999741e+01
5.400000000000000000e+01,6.072456700000000041e+01
5.500000000000000000e+01,6.248965100000000206e+01
5.600000000000000000e+01,6.427895399999999881e+01
5.700000000000000000e+01,6.609093500000000176e+01
5.800000000000000000e+01,6.792431600000000458e+01
5.900000000000000000e+01,6.977761800000000392e+01
6.000000000000000000e+01,7.164968100000000106e+01
6.100000000000000000e+01,7.353926099999999622e+01
6.200000000000000000e+01,7.544516799999999535e+01
6.300000000000000000e+01,7.736627199999999505e+01
6.400000000000000000e+01,7.930161300000000324e+01
6.500000000000000000e+01,8.125013699999999517e+01
6.600000000000000000e+01,8.321088399999999297e+01
6.700000000000000000e+01,8.518296100000000592e+01
6.800000000000000000e+01,8.716552000000000078e+01
6.900000000000000000e+01,8.915776099999999360e+01
7.000000000000000000e+01,9.115889699999999607e+01
7.100000000000000000e+01,9.316822100000000262e+01
7.200000000000000000e+01,9.518503599999999665e+01
7.300000000000000000e+01,9.720871699999999294e+01
7.400000000000000000e+01,9.923863199999999551e+01
7.500000000000000000e+01,1.012741999999999933e+02
7.600000000000000000e+01,1.033148599999999959e+02
7.700000000000000000e+01,1.053600899999999996e+02
7.800000000000000000e+01,1.074094000000000051e+02
7.900000000000000000e+01,1.094628000000000014e+02
8.000000000000000000e+01,1.115191499999999962e+02
8.100000000000000000e+01,1.135781900000000064e+02
8.200000000000000000e+01,1.156395299999999935e+02
8.300000000000000000e+01,1.177028300000000058e+02
8.400000000000000000e+01,1.197677599999999956e+02
8.500000000000000000e+01,1.218340800000000002e+02
8.600000000000000000e+01,1.239016500000000036e+02
8.700000000000000000e+01,1.259702199999999976e+02
8.800000000000000000e+01,1.280396599999999978e+02
8.900000000000000000e+01,1.301097900000000038e+02
9.000000000000000000e+01,1.321804500000000075e+02
9.100000000000000000e+01,1.342514500000000055e+02
9.200000000000000000e+01,1.363225600000000099e+02
9.300000000000000000e+01,1.383934000000000140e+02
9.400000000000000000e+01,1.404638099999999952e+02
9.500000000000000000e+01,1.425334799999999973e+02
9.600000000000000000e+01,1.446021700000000010e+02
9.700000000000000000e+01,1.466696799999999996e+02
9.800000000000000000e+01,1.487357000000000085e+02
9.900000000000000000e+01,1.508000499999999988e+02
1.000000000000000000e+02,1.528624700000000018e+02
1.010000000000000000e+02,1.549227600000000109e+02
1.020000000000000000e+02,1.569806800000000067e+02
1.030000000000000000e+02,1.590360400000000141e+02
1.040000000000000000e+02,1.610886199999999917e+02
1.050000000000000000e+02,1.631382299999999930e+02
1.060000000000000000e+02,1.651846600000000080e+02
1.070000000000000000e+02,1.672277100000000019e+02
1.080000000000000000e+02,1.692672100000000057e+02
1.090000000000000000e+02,1.713029899999999941e+02
1.100000000000000000e+02,1.733348699999999951e+02
1.110000000000000000e+02,1.753626600000000053e+02
1.120000000000000000e+02,1.773861699999999928e+02
1.130000000000000000e+02,1.794052299999999889e+02
1.140000000000000000e+02,1.814196000000000026e+02
1.150000000000000000e+02,1.834291499999999928e+02
1.160000000000000000e+02,1.854337299999999971e+02
1.170000000000000000e+02,1.874331500000000119e+02
1.180000000000000000e+02,1.894272499999999866e+02
1.190000000000000000e+02,1.914158299999999997e+02
1.200000000000000000e+02,1.933987600000000100e+02
1.210000000000000000e+02,1.953762800000000084e+02
1.220000000000000000e+02,1.973475799999999936e+02
1.230000000000000000e+02,1.993125799999999970e+02
1.240000000000000000e+02,2.012712199999999996e+02
1.250000000000000000e+02,2.032235000000000014e+02
1.260000000000000000e+02,2.051693899999999928e+02
1.270000000000000000e+02,2.071089299999999866e+02
1.280000000000000000e+02,2.090420100000000048e+02
1.290000000000000000e+02,2.109685100000000091e+02
1.300000000000000000e+02,2.128882299999999930e+02
1.310000000000000000e+02,2.148008399999999938e+02
1.320000000000000000e+02,2.167060400000000016e+02
1.330000000000000000e+02,2.186034500000000094e+02
1.340000000000000000e+02,2.204928600000000074e+02
1.350000000000000000e+02,2.223739799999999889e+02
1.360000000000000000e+02,2.242464400000000069e+02
1.370000000000000000e+02,2.261100600000000043e+02
1.380000000000000000e+02,2.279645700000000090e+02
1.390000000000000000e+02,2.298096299999999985e+02
1.400000000000000000e+02,2.316450700000000040e+02
1.410000000000000000e+02,2.334705500000000029e+02
1.420000000000000000e+02,2.352858699999999885e+02
1.430000000000000000e+02,2.370907300000000077e+02
1.440000000000000000e+02,2.388848000000000127e+02
1.450000000000000000e+02,2.406678300000000092e+02
1.460000000000000000e+02,2.424395299999999907e+02
1.470000000000000000e+02,2.441995400000000132e+02
1.480000000000000000e+02,2.459475899999999911e+02
1.490000000000000000e+02,2.476831999999999994e+02
1.500000000000000000e+02,2.494061000000000092e+02
1.510000000000000000e+02,2.511159199999999885e+02
1.520000000000000000e+02,2.528122099999999932e+02
1.530000000000000000e+02,2.544945500000000038e+02
1.540000000000000000e+02,2.561625099999999975e+02
1.550000000000000000e+02,2.578156399999999735e+02
1.560000000000000000e+02,2.594534300000000258e+02
1.570000000000000000e+02,2.610754400000000146e+02
1.580000000000000000e+02,2.626810899999999833e+02
1.590000000000000000e+02,2.642701099999999883e+02
1.600000000000000000e+02,2.658418599999999969e+02
1.610000000000000000e+02,2.673964500000000157e+02
1.620000000000000000e+02,2.689338399999999751e+02
1.630000000000000000e+02,2.704536100000000260e+02
1.640000000000000000e+02,2.719551999999999907e+02
1.650000000000000000e+02,2.734376199999999812e+02
1.660000000000000000e+02,2.748997800000000211e+02
1.670000000000000000e+02,2.763406400000000076e+02
1.680000000000000000e+02,2.777591600000000085e+02
1.690000000000000000e+02,2.791544499999999971e+02
1.700000000000000000e+02,2.805257300000000100e+02
1.710000000000000000e+02,2.818722500000000082e+02
1.720000000000000000e+02,2.831933599999999842e+02
1.730000000000000000e+02,2.844884299999999939e+02
1.740000000000000000e+02,2.857570200000000114e+02
1.750000000000000000e+02,2.869984999999999786e+02
1.760000000000000000e+02,2.882125199999999836e+02
1.770000000000000000e+02,2.893986499999999751e+02
1.780000000000000000e+02,2.905565500000000156e+02
1.790000000000000000e+02,2.916859699999999975e+02
1.800000000000000000e+02,2.927866200000000276e+02
1.810000000000000000e+02,2.938584900000000175e+02
1.820000000000000000e+02,2.949014300000000048e+02
1.830000000000000000e+02,2.959154700000000275e+02
1.840000000000000000e+02,2.969008200000000102e+02
1.850000000000000000e+02,2.978575700000000097e+02
1.860000000000000000e+02,2.987860699999999952e+02
1.870000000000000000e+02,2.996867100000000050e+02
1.880000000000000000e+02,3.005599399999999832e+02
1.890000000000000000e+02,3.014062799999999811e+02
1.900000000000000000e+02,3.022447500000000105e+02
1.910000000000000000e+02,3.030518200000000206e+02
1.920000000000000000e+02,3.038346599999999853e+02
1.930000000000000000e+02,3.045947899999999890e+02
1.940000000000000000e+02,3.053320600000000127e+02
1.950000000000000000e+02,3.060464799999999741e+02
1.960000000000000000e+02,3.067383399999999938e+02
1.970000000000000000e+02,3.074085099999999784e+02
1.980000000000000000e+02,3.080581099999999992e+02
1.990000000000000000e+02,3.086884499999999889e+02
2.000000000000000000e+02,3.093008399999999938e+02
2.010000000000000000e+02,3.098966100000000097e+02
2.020000000000000000e+02,3.104771099999999819e+02
2.030000000000000000e+02,3.110434900000000198e+02
2.040000000000000000e+02,3.115970500000000243e+02
2.050000000000000000e+02,3.121389500000000226e+02
2.060000000000000000e+02,3.126703200000000038e+02
2.070000000000000000e+02,3.131923199999999952e+02
2.080000000000000000e+02,3.137058700000000044e+02
2.090000000000000000e+02,3.142120699999999829e+02
2.100000000000000000e+02,3.147119099999999889e+02
2.110000000000000000e+02,3.152062099999999987e+02
2.120000000000000000e+02,3.156958900000000199e+02
2.130000000000000000e+02,3.161817599999999970e+02
2.140000000000000000e+02,3.166646099999999819e+02
2.150000000000000000e+02,3.171451400000000262e+02
2.160000000000000000e+02,3.176240500000000111e+02
2.170000000000000000e+02,3.181020500000000197e+02
2.180000000000000000e+02,3.186574100000000271e+02
2.190000000000000000e+02,3.191768200000000206e+02
2.200000000000000000e+02,3.196841400000000135e+02
2.210000000000000000e+02,3.201852099999999837e+02
2.220000000000000000e+02,3.206815199999999777e+02
2.230000000000000000e+02,3.211752599999999802e+02
2.240000000000000000e+02,3.216680299999999875e+02
2.250000000000000000e+02,3.221614999999999895e+02
2.260000000000000000e+02,3.226569799999999759e+02
2.270000000000000000e+02,3.231553599999999733e+02
2.280000000000000000e+02,3.236573200000000270e+02
2.290000000000000000e+02,3.241634799999999927e+02
2.300000000000000000e+02,3.246742199999999912e+02
2.310000000000000000e+02,3.251900299999999788e+02
2.320000000000000000e+02,3.257112999999999943e+02
2.330000000000000000e+02,3.262382200000000125e+02
2.340000000000000000e+02,3.267712099999999964e+02
2.350000000000000000e+02,3.273106399999999780e+02
2.360000000000000000e+02,3.278566900000000146e+02
2.370000000000000000e+02,3.284096999999999866e+02
2.380000000000000000e+02,3.289698200000000270e+02
2.390000000000000000e+02,3.295375099999999975e+02
2.400000000000000000e+02,3.301128499999999804e+02
2.410000000000000000e+02,3.306963200000000143e+02
2.420000000000000000e+02,3.312881499999999733e+02
2.430000000000000000e+02,3.318887599999999907e+02
2.440000000000000000e+02,3.324983199999999783e+02
2.450000000000000000e+02,3.331170999999999935e+02
2.460000000000000000e+02,3.337455100000000243e+02
2.470000000000000000e+02,3.343840299999999957e+02
2.480000000000000000e+02,3.352773399999999810e+02
2.490000000000000000e+02,3.360139500000000226e+02
2.500000000000000000e+02,3.367058999999999855e+02
2.510000000000000000e+02,3.373966699999999719e+02
2.520000000000000000e+02,3.380910299999999893e+02
2.530000000000000000e+02,3.387954700000000230e+02
2.540000000000000000e+02,3.395128799999999956e+02
2.550000000000000000e+02,3.402444499999999721e+02
2.560000000000000000e+02,3.409909099999999853e+02
2.570000000000000000e+02,3.417530800000000113e+02
2.580000000000000000e+02,3.425314599999999814e+02
2.590000000000000000e+02,3.433268100000000231e+02
2.600000000000000000e+02,3.441393699999999853e+02
2.610000000000000000e+02,3.449697600000000079e+02
2.620000000000000000e+02,3.458189699999999789e+02
2.630000000000000000e+02,3.466876800000000003e+02
2.640000000000000000e+02,3.475763200000000097e+02
2.650000000000000000e+02,3.484856300000000147e+02
2.660000000000000000e+02,3.494169600000000173e+02
2.670000000000000000e+02,3.503719800000000077e+02
2.680000000000000000e+02,3.513503699999999981e+02
2.690000000000000000e+02,3.523542800000000170e+02
2.700000000000000000e+02,3.533845800000000281e+02
2.710000000000000000e+02,3.544426900000000273e+02
2.720000000000000000e+02,3.555303599999999733e+02
2.730000000000000000e+02,3.566484699999999748e+02
2.740000000000000000e+02,3.577985800000000154e+02
2.750000000000000000e+02,3.589824499999999716e+02
2.760000000000000000e+02,3.602025100000000180e+02
2.770000000000000000e+02,3.614601400000000240e+02
2.780000000000000000e+02,3.627575100000000248e+02
2.790000000000000000e+02,3.640968599999999924e+02
2.800000000000000000e+02,3.654812000000000012e+02
2.810000000000000000e+02,3.669124800000000164e+02
2.820000000000000000e+02,3.683934899999999857e+02
2.830000000000000000e+02,3.699278899999999908e+02
2.840000000000000000e+02,3.721311999999999784e+02
2.850000000000000000e+02,3.739144000000000005e+02
2.860000000000000000e+02,3.756263099999999895e+02
2.870000000000000000e+02,3.773984699999999748e+02
2.880000000000000000e+02,3.792471300000000269e+02
2.890000000000000000e+02,3.811749899999999798e+02
2.900000000000000000e+02,3.831868299999999863e+02
2.910000000000000000e+02,3.852881199999999922e+02
2.920000000000000000e+02,3.874832799999999793e+02
2.930000000000000000e+02,3.897785600000000272e+02
