# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,1.069246700000000061e+02
3.000000000000000000e+00,1.570202299999999980e+02
4.000000000000000000e+00,1.946973299999999938e+02
5.000000000000000000e+00,2.257943099999999959e+02
6.000000000000000000e+00,2.525364500000000021e+02
7.000000000000000000e+00,2.762757599999999911e+02
8.000000000000000000e+00,2.980538000000000238e+02
9.000000000000000000e+00,3.177549999999999955e+02
1.000000000000000000e+01,3.347069999999999936e+02
1.100000000000000000e+01,3.486250600000000190e+02
1.200000000000000000e+01,3.591447400000000130e+02
1.300000000000000000e+01,3.666345499999999902e+02
1.400000000000000000e+01,3.723508600000000115e+02
1.500000000000000000e+01,3.777540599999999813e+02
1.600000000000000000e+01,3.830013700000000085e+02
1.700000000000000000e+01,3.880757800000000088e+02
1.800000000000000000e+01,3.941747399999999857e+02
1.900000000000000000e+01,4.002301899999999932e+02
2.000000000000000000e+01,4.062821000000000140e+02
2.100000000000000000e+01,4.134466899999999896e+02
2.200000000000000000e+01,4.201077300000000037e+02
2.300000000000000000e+01,4.258171699999999760e+02
2.400000000000000000e+01,4.319675599999999918e+02
2.500000000000000000e+01,4.370743400000000065e+02
2.600000000000000000e+01,4.410033599999999865e+02
2.700000000000000000e+01,4.455494100000000230e+02
2.800000000000000000e+01,4.497755999999999972e+02
2.900000000000000000e+01,4.536592400000000112e+02
3.000000000000000000e+01,4.581943099999999731e+02
3.100000000000000000e+01,4.627616899999999873e+02
3.200000000000000000e+01,4.672417300000000182e+02
3.300000000000000000e+01,4.718229999999999791e+02
3.400000000000000000e+01,4.762153000000000134e+02
3.500000000000000000e+01,4.803205600000000004e+02
3.600000000000000000e+01,4.841759000000000128e+02
3.700000000000000000e+01,4.873856200000000172e+02
3.800000000000000000e+01,4.763214699999999766e+02
3.900000000000000000e+01,4.811504499999999780e+02
4.000000000000000000e+01,4.840514499999999884e+02
4.100000000000000000e+01,4.883407599999999888e+02
4.200000000000000000e+01,4.919666700000000219e+02
4.300000000000000000e+01,4.960999499999999784e+02
4.400000000000000000e+01,4.997570499999999925e+02
4.500000000000000000e+01,5.034450100000000248e+02
4.600000000000000000e+01,5.068095099999999888e+02
4.700000000000000000e+01,5.101185300000000211e+02
4.800000000000000000e+01,5.132685500000000047e+02
4.900000000000000000e+01,5.163761600000000271e+02
5.000000000000000000e+01,5.194369500000000244e+02
5.100000000000000000e+01,5.224885299999999688e+02
5.200000000000000000e+01,5.255001200000000381e+02
5.300000000000000000e+01,5.284756499999999733e+02
5.400000000000000000e+01,5.313720700000000079e+02
5.500000000000000000e+01,5.342031200000000126e+02
5.600000000000000000e+01,5.369241899999999532e+02
5.700000000000000000e+01,5.395448599999999715e+02
5.800000000000000000e+01,5.420712899999999763e+02
5.900000000000000000e+01,5.445167800000000398e+02
6.000000000000000000e+01,5.469285300000000234e+02
6.100000000000000000e+01,5.493083500000000186e+02
6.200000000000000000e+01,5.516765699999999697e+02
6.300000000000000000e+01,5.540246600000000399e+02
6.400000000000000000e+01,5.546708999999999605e+02
6.500000000000000000e+01,5.570953399999999647e+02
6.600000000000000000e+01,5.587843000000000302e+02
6.700000000000000000e+01,5.610120799999999690e+02
6.800000000000000000e+01,5.631542399999999589e+02
6.900000000000000000e+01,5.653478999999999814e+02
7.000000000000000000e+01,5.674949299999999539e+02
7.100000000000000000e+01,5.696274399999999787e+02
7.200000000000000000e+01,5.717174099999999726e+02
7.300000000000000000e+01,5.737856399999999439e+02
7.400000000000000000e+01,5.758146400000000540e+02
7.500000000000000000e+01,5.778140300000000025e+02
7.600000000000000000e+01,5.797759999999999536e+02
7.700000000000000000e+01,5.816991600000000062e+02
7.800000000000000000e+01,5.835790399999999636e+02
7.900000000000000000e+01,5.854138799999999492e+02
8.000000000000000000e+01,5.872256499999999733e+02
8.100000000000000000e+01,5.889731399999999439e+02
8.200000000000000000e+01,5.906983000000000175e+02
8.300000000000000000e+01,5.923777499999999918e+02
8.400000000000000000e+01,5.940460199999999986e+02
8.500000000000000000e+01,5.956933599999999842e+02
8.600000000000000000e+01,5.973291600000000017e+02
8.700000000000000000e+01,5.989476300000000037e+02
8.800000000000000000e+01,6.005516999999999825e+02
8.900000000000000000e+01,6.021413000000000011e+02
9.000000000000000000e+01,6.037086199999999963e+02
9.100000000000000000e+01,6.052537200000000439e+02
9.200000000000000000e+01,6.065372899999999845e+02
9.300000000000000000e+01,6.076013799999999492e+02
9.400000000000000000e+01,6.088695099999999911e+02
9.500000000000000000e+01,6.101146899999999960e+02
9.600000000000000000e+01,6.114378100000000131e+02
9.700000000000000000e+01,6.128342900000000100e+02
9.800000000000000000e+01,6.142404800000000478e+02
9.900000000000000000e+01,6.156674199999999928e+02
1.000000000000000000e+02,6.170917399999999589e+02
1.010000000000000000e+02,6.185024399999999787e+02
1.020000000000000000e+02,6.199013700000000426e+02
1.030000000000000000e+02,6.212867400000000089e+02
1.040000000000000000e+02,6.226416600000000017e+02
1.050000000000000000e+02,6.239901700000000346e+02
1.060000000000000000e+02,6.253169599999999946e+02
1.070000000000000000e+02,6.266244500000000244e+02
1.080000000000000000e+02,6.279204700000000230e+02
1.090000000000000000e+02,6.292025800000000118e+02
1.100000000000000000e+02,6.304769900000000007e+02
1.110000000000000000e+02,6.317296800000000303e+02
1.120000000000000000e+02,6.329804699999999684e+02
1.130000000000000000e+02,6.342183199999999488e+02
1.140000000000000000e+02,6.354471999999999525e+02
1.150000000000000000e+02,6.366581400000000031e+02
1.160000000000000000e+02,6.378587599999999611e+02
1.170000000000000000e+02,6.390428500000000440e+02
1.180000000000000000e+02,6.402211300000000165e+02
1.190000000000000000e+02,6.413653600000000097e+02
1.200000000000000000e+02,6.424126599999999598e+02
1.210000000000000000e+02,6.434057599999999866e+02
1.220000000000000000e+02,6.444206500000000233e+02
1.230000000000000000e+02,6.454357300000000350e+02
1.240000000000000000e+02,6.464728999999999814e+02
1.250000000000000000e+02,6.475235000000000127e+02
1.260000000000000000e+02,6.485844700000000103e+02
1.270000000000000000e+02,6.496384900000000471e+02
1.280000000000000000e+02,6.507026399999999740e+02
1.290000000000000000e+02,6.517648900000000367e+02
1.300000000000000000e+02,6.528185999999999467e+02
1.310000000000000000e+02,6.538679799999999886e+02
1.320000000000000000e+02,6.549155299999999897e+02
1.330000000000000000e+02,6.559506800000000339e+02
1.340000000000000000e+02,6.569827299999999468e+02
1.350000000000000000e+02,6.580082400000000007e+02
1.360000000000000000e+02,6.590169700000000148e+02
1.370000000000000000e+02,6.600304599999999482e+02
1.380000000000000000e+02,6.610221599999999853e+02
1.390000000000000000e+02,6.620133700000000090e+02
1.400000000000000000e+02,6.629817500000000337e+02
1.410000000000000000e+02,6.639113200000000461e+02
1.420000000000000000e+02,6.648124400000000378e+02
1.430000000000000000e+02,6.656985499999999547e+02
1.440000000000000000e+02,6.665808700000000044e+02
1.450000000000000000e+02,6.674565400000000182e+02
1.460000000000000000e+02,6.683402700000000323e+02
1.470000000000000000e+02,6.692125899999999774e+02
1.480000000000000000e+02,6.700925300000000107e+02
1.490000000000000000e+02,6.709674099999999726e+02
1.500000000000000000e+02,6.718445400000000518e+02
1.510000000000000000e+02,6.727145400000000564e+02
1.520000000000000000e+02,6.735795900000000529e+02
1.530000000000000000e+02,6.744503200000000334e+02
1.540000000000000000e+02,6.753057300000000396e+02
1.550000000000000000e+02,6.761586899999999787e+02
1.560000000000000000e+02,6.770101300000000037e+02
1.570000000000000000e+02,6.778503399999999601e+02
1.580000000000000000e+02,6.786905500000000302e+02
1.590000000000000000e+02,6.795079299999999876e+02
1.600000000000000000e+02,6.802829600000000028e+02
1.610000000000000000e+02,6.810863600000000133e+02
1.620000000000000000e+02,6.818610800000000154e+02
1.630000000000000000e+02,6.826306200000000217e+02
1.640000000000000000e+02,6.834011799999999539e+02
1.650000000000000000e+02,6.841608899999999949e+02
1.660000000000000000e+02,6.849156500000000278e+02
1.670000000000000000e+02,6.856743199999999661e+02
1.680000000000000000e+02,6.864316400000000158e+02
1.690000000000000000e+02,6.871831100000000561e+02
1.700000000000000000e+02,6.879387199999999893e+02
1.710000000000000000e+02,6.886918899999999439e+02
1.720000000000000000e+02,6.894392100000000028e+02
1.730000000000000000e+02,6.901928100000000086e+02
1.740000000000000000e+02,6.909464699999999766e+02
1.750000000000000000e+02,6.916924999999999955e+02
1.760000000000000000e+02,6.924374400000000378e+02
1.770000000000000000e+02,6.931842699999999695e+02
1.780000000000000000e+02,6.939317600000000539e+02
1.790000000000000000e+02,6.946747400000000425e+02
1.800000000000000000e+02,6.954211999999999989e+02
1.810000000000000000e+02,6.961696200000000090e+02
1.820000000000000000e+02,6.969194899999999961e+02
1.830000000000000000e+02,6.976636399999999867e+02
1.840000000000000000e+02,6.984077099999999518e+02
1.850000000000000000e+02,6.991535000000000082e+02
1.860000000000000000e+02,6.998997799999999643e+02
1.870000000000000000e+02,7.006560699999999997e+02
1.880000000000000000e+02,7.014235200000000532e+02
1.890000000000000000e+02,7.021978800000000547e+02
1.900000000000000000e+02,7.029913299999999481e+02
1.910000000000000000e+02,7.037977300000000014e+02
1.920000000000000000e+02,7.046274399999999787e+02
1.930000000000000000e+02,7.054754599999999982e+02
1.940000000000000000e+02,7.063546099999999797e+02
1.950000000000000000e+02,7.072564700000000357e+02
1.960000000000000000e+02,7.081899399999999787e+02
1.970000000000000000e+02,7.091571699999999510e+02
1.980000000000000000e+02,7.101696799999999712e+02
1.990000000000000000e+02,7.112195400000000518e+02
2.000000000000000000e+02,7.123264199999999846e+02
2.010000000000000000e+02,7.134726000000000568e+02
2.020000000000000000e+02,7.146810299999999643e+02
2.030000000000000000e+02,7.159408600000000433e+02
2.040000000000000000e+02,7.172545199999999568e+02
2.050000000000000000e+02,7.186190800000000536e+02
2.060000000000000000e+02,7.200257599999999911e+02
2.070000000000000000e+02,7.214810199999999440e+02
2.080000000000000000e+02,7.229642900000000054e+02
2.090000000000000000e+02,7.244776000000000522e+02
2.100000000000000000e+02,7.260122699999999440e+02
2.110000000000000000e+02,7.275610400000000482e+02
2.120000000000000000e+02,7.291220700000000079e+02
2.130000000000000000e+02,7.306875000000000000e+02
2.140000000000000000e+02,7.322557399999999461e+02
2.150000000000000000e+02,7.338236699999999928e+02
2.160000000000000000e+02,7.353886700000000474e+02
2.170000000000000000e+02,7.369436600000000226e+02
2.180000000000000000e+02,7.384925500000000511e+02
2.190000000000000000e+02,7.400266699999999673e+02
2.200000000000000000e+02,7.415540200000000368e+02
2.210000000000000000e+02,7.430625000000000000e+02
2.220000000000000000e+02,7.445565199999999777e+02
2.230000000000000000e+02,7.460363200000000461e+02
2.240000000000000000e+02,7.474990800000000490e+02
2.250000000000000000e+02,7.489463500000000522e+02
2.260000000000000000e+02,7.503698699999999917e+02
2.270000000000000000e+02,7.517843000000000302e+02
2.280000000000000000e+02,7.531724900000000389e+02
2.290000000000000000e+02,7.545449800000000096e+02
2.300000000000000000e+02,7.558992899999999509e+02
2.310000000000000000e+02,7.572356600000000526e+02
2.320000000000000000e+02,7.585477899999999636e+02
2.330000000000000000e+02,7.598499100000000226e+02
2.340000000000000000e+02,7.611261600000000271e+02
2.350000000000000000e+02,7.623858599999999797e+02
2.360000000000000000e+02,7.636268300000000409e+02
2.370000000000000000e+02,7.648523599999999760e+02
2.380000000000000000e+02,7.660538299999999481e+02
2.390000000000000000e+02,7.672427400000000262e+02
2.400000000000000000e+02,7.684097299999999677e+02
2.410000000000000000e+02,7.695575000000000045e+02
2.420000000000000000e+02,7.706935999999999467e+02
2.430000000000000000e+02,7.718042000000000371e+02
2.440000000000000000e+02,7.729017900000000054e+02
2.450000000000000000e+02,7.739819899999999961e+02
2.460000000000000000e+02,7.750448599999999715e+02
2.470000000000000000e+02,7.760916099999999460e+02
2.480000000000000000e+02,7.771225600000000213e+02
2.490000000000000000e+02,7.781356200000000172e+02
2.500000000000000000e+02,7.791298799999999574e+02
2.510000000000000000e+02,7.801154199999999719e+02
2.520000000000000000e+02,7.810779400000000123e+02
2.530000000000000000e+02,7.820293599999999969e+02
2.540000000000000000e+02,7.829656400000000076e+02
2.550000000000000000e+02,7.838861100000000306e+02
2.560000000000000000e+02,7.847886399999999867e+02
2.570000000000000000e+02,7.856796900000000505e+02
2.580000000000000000e+02,7.865554200000000264e+02
2.590000000000000000e+02,7.874164399999999659e+02
2.600000000000000000e+02,7.882649499999999989e+02
2.610000000000000000e+02,7.890987499999999955e+02
2.620000000000000000e+02,7.899172399999999925e+02
2.630000000000000000e+02,7.907254599999999982e+02
2.640000000000000000e+02,7.915191700000000310e+02
2.650000000000000000e+02,7.922994400000000041e+02
2.660000000000000000e+02,7.930676300000000083e+02
2.670000000000000000e+02,7.938227500000000418e+02
2.680000000000000000e+02,7.945633500000000140e+02
2.690000000000000000e+02,7.952948000000000093e+02
2.700000000000000000e+02,7.960117800000000443e+02
2.710000000000000000e+02,7.967177100000000110e+02
2.720000000000000000e+02,7.974132100000000491e+02
2.730000000000000000e+02,7.980962500000000546e+02
2.740000000000000000e+02,7.987656899999999496e+02
2.750000000000000000e+02,7.994282799999999725e+02
2.760000000000000000e+02,8.000773900000000367e+02
2.770000000000000000e+02,8.007138700000000426e+02
2.780000000000000000e+02,8.013435100000000375e+02
2.790000000000000000e+02,8.019606899999999996e+02
2.800000000000000000e+02,8.025657300000000305e+02
2.810000000000000000e+02,8.031647299999999632e+02
2.820000000000000000e+02,8.037485400000000482e+02
2.830000000000000000e+02,8.043263500000000477e+02
2.840000000000000000e+02,8.048933100000000422e+02
2.850000000000000000e+02,8.054516599999999471e+02
2.860000000000000000e+02,8.059975600000000213e+02
2.870000000000000000e+02,8.065374799999999595e+02
2.880000000000000000e+02,8.070668299999999817e+02
2.890000000000000000e+02,8.075855699999999615e+02
2.900000000000000000e+02,8.081008299999999736e+02
2.910000000000000000e+02,8.086020499999999629e+02
2.920000000000000000e+02,8.090966799999999921e+02
2.930000000000000000e+02,8.095825200000000450e+02
2.940000000000000000e+02,8.100617700000000241e+02
2.950000000000000000e+02,8.105298500000000104e+02
2.960000000000000000e+02,8.109932300000000396e+02
2.970000000000000000e+02,8.114456199999999626e+02
2.980000000000000000e+02,8.118912400000000389e+02
2.990000000000000000e+02,8.123317899999999554e+02
3.000000000000000000e+02,8.127611699999999928e+02
3.010000000000000000e+02,8.131847500000000082e+02
3.020000000000000000e+02,8.136014999999999873e+02
3.030000000000000000e+02,8.140102500000000418e+02
3.040000000000000000e+02,8.144110100000000330e+02
3.050000000000000000e+02,8.148076200000000426e+02
3.060000000000000000e+02,8.151951900000000251e+02
3.070000000000000000e+02,8.155769000000000233e+02
3.080000000000000000e+02,8.159528800000000501e+02
3.090000000000000000e+02,8.163206199999999626e+02
3.100000000000000000e+02,8.166829199999999673e+02
3.110000000000000000e+02,8.170397299999999632e+02
3.120000000000000000e+02,8.173892200000000230e+02
3.130000000000000000e+02,8.177332800000000361e+02
3.140000000000000000e+02,8.180705000000000382e+02
3.150000000000000000e+02,8.184027099999999564e+02
3.160000000000000000e+02,8.187282099999999900e+02
3.170000000000000000e+02,8.190498700000000554e+02
3.180000000000000000e+02,8.193644399999999450e+02
3.190000000000000000e+02,8.196741899999999532e+02
3.200000000000000000e+02,8.199779099999999517e+02
3.210000000000000000e+02,8.202772200000000566e+02
3.220000000000000000e+02,8.205705000000000382e+02
3.230000000000000000e+02,8.208605999999999767e+02
3.240000000000000000e+02,8.211423999999999523e+02
3.250000000000000000e+02,8.214220599999999877e+02
3.260000000000000000e+02,8.216962899999999763e+02
3.270000000000000000e+02,8.219658200000000079e+02
3.280000000000000000e+02,8.222284499999999525e+02
3.290000000000000000e+02,8.224896899999999960e+02
3.300000000000000000e+02,8.227445699999999533e+02
3.310000000000000000e+02,8.229945699999999533e+02
3.320000000000000000e+02,8.232418800000000374e+02
3.330000000000000000e+02,8.234822400000000471e+02
3.340000000000000000e+02,8.237205800000000409e+02
3.350000000000000000e+02,8.239553799999999910e+02
3.360000000000000000e+02,8.241838400000000320e+02
3.370000000000000000e+02,8.244101000000000568e+02
3.380000000000000000e+02,8.246312900000000354e+02
