# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.915079995362458862e-02
5.000000000000000000e+00,3.040000000141642594e-02
6.000000000000000000e+00,5.110202618333640340e-02
7.000000000000000000e+00,8.147364784639722635e-02
8.000000000000000000e+00,1.226205770978392312e-01
9.000000000000000000e+00,1.749196408411577419e-01
1.000000000000000000e+01,2.384776468846242503e-01
1.100000000000000000e+01,3.129310501084945351e-01
1.200000000000000000e+01,3.974358475281556391e-01
1.300000000000000000e+01,4.909441335247684002e-01
1.400000000000000000e+01,5.922465138436822096e-01
1.500000000000000000e+01,7.001349810556312114e-01
1.600000000000000000e+01,8.134523920331119262e-01
1.700000000000000000e+01,9.311320606778992204e-01
1.800000000000000000e+01,1.052228283035940626e+00
1.900000000000000000e+01,1.175906452891705367e+00
2.000000000000000000e+01,1.301440753017205409e+00
2.100000000000000000e+01,1.428221193050524418e+00
2.200000000000000000e+01,1.555715778601657329e+00
2.300000000000000000e+01,1.683485483992700038e+00
2.400000000000000000e+01,1.811155127245482221e+00
2.500000000000000000e+01,1.938410116460846710e+00
2.600000000000000000e+01,2.064987266126238286e+00
2.700000000000000000e+01,2.190669814266134274e+00
2.800000000000000000e+01,2.315281564611026521e+00
2.900000000000000000e+01,2.438681108244523887e+00
3.000000000000000000e+01,2.560743771959517634e+00
3.100000000000000000e+01,2.681379199371130451e+00
3.200000000000000000e+01,2.800510371619126637e+00
3.300000000000000000e+01,2.918077112715065091e+00
3.400000000000000000e+01,3.034034842688235756e+00
3.500000000000000000e+01,3.148349710704057003e+00
3.600000000000000000e+01,3.260991280552108407e+00
3.700000000000000000e+01,3.371945584170650712e+00
3.800000000000000000e+01,3.481193474585267733e+00
3.900000000000000000e+01,3.588730463478859711e+00
4.000000000000000000e+01,3.694551669289611429e+00
4.100000000000000000e+01,3.798657061454873141e+00
4.200000000000000000e+01,3.901049927502384662e+00
4.300000000000000000e+01,4.001731381181007130e+00
4.400000000000000000e+01,4.100710772813832783e+00
4.500000000000000000e+01,4.197999377849248148e+00
4.600000000000000000e+01,4.293609796688174995e+00
4.700000000000000000e+01,4.387555275247211561e+00
4.800000000000000000e+01,4.479850722976711275e+00
4.900000000000000000e+01,4.570519223247912599e+00
5.000000000000000000e+01,4.659580527909111147e+00
5.100000000000000000e+01,4.747059123799033387e+00
5.200000000000000000e+01,4.832974777720941084e+00
5.300000000000000000e+01,4.917353861920353175e+00
5.400000000000000000e+01,5.000225024201416346e+00
5.500000000000000000e+01,5.081618740995267558e+00
5.600000000000000000e+01,5.161557656385416415e+00
5.700000000000000000e+01,5.240074370156720285e+00
5.800000000000000000e+01,5.317196387259790491e+00
5.900000000000000000e+01,5.392957440484281939e+00
6.000000000000000000e+01,5.467388380003625592e+00
6.100000000000000000e+01,5.540517182558665432e+00
6.200000000000000000e+01,5.612376212403292541e+00
6.300000000000000000e+01,5.682993912803754100e+00
6.400000000000000000e+01,5.752399879189503906e+00
6.500000000000000000e+01,5.820624455967063682e+00
6.600000000000000000e+01,5.887695831074544195e+00
6.700000000000000000e+01,5.953642542507235014e+00
6.800000000000000000e+01,6.018492206676754108e+00
6.900000000000000000e+01,6.082272595438565688e+00
7.000000000000000000e+01,6.145010632104504822e+00
7.100000000000000000e+01,6.206731693764542257e+00
7.200000000000000000e+01,6.267461410714131986e+00
7.300000000000000000e+01,6.327224982996694891e+00
7.400000000000000000e+01,6.386046432368186032e+00
7.500000000000000000e+01,6.443948641545434342e+00
7.600000000000000000e+01,6.500954082429998948e+00
7.700000000000000000e+01,6.557085306940532377e+00
7.800000000000000000e+01,6.612363462646539070e+00
7.900000000000000000e+01,6.666809694483078808e+00
8.000000000000000000e+01,6.720447474888963768e+00
8.100000000000000000e+01,6.773293491275069300e+00
8.200000000000000000e+01,6.825365954227019749e+00
8.300000000000000000e+01,6.876684233723596051e+00
8.400000000000000000e+01,6.927266823083540359e+00
8.500000000000000000e+01,6.977132365349237197e+00
8.600000000000000000e+01,7.026299882116269657e+00
8.700000000000000000e+01,7.074788516945560879e+00
8.800000000000000000e+01,7.122619146630448483e+00
8.900000000000000000e+01,7.169808124094251944e+00
9.000000000000000000e+01,7.216374544728639151e+00
9.100000000000000000e+01,7.262333862242276616e+00
9.200000000000000000e+01,7.307701189096077243e+00
9.300000000000000000e+01,7.352490238081585971e+00
9.400000000000000000e+01,7.396712767524472376e+00
9.500000000000000000e+01,7.440381658919710262e+00
9.600000000000000000e+01,7.483506673581325153e+00
9.700000000000000000e+01,7.526099384915696966e+00
9.800000000000000000e+01,7.568169604400600825e+00
9.900000000000000000e+01,7.609727501457600241e+00
1.000000000000000000e+02,7.650782185781630496e+00
1.010000000000000000e+02,7.691342754358485578e+00
1.020000000000000000e+02,7.731418489290569518e+00
1.030000000000000000e+02,7.771018268379647154e+00
1.040000000000000000e+02,7.810150203353718901e+00
1.050000000000000000e+02,7.848823389429054664e+00
1.060000000000000000e+02,7.887044660017880737e+00
1.070000000000000000e+02,7.924822051530758138e+00
1.080000000000000000e+02,7.962163086067479689e+00
1.090000000000000000e+02,7.999074796817341237e+00
1.100000000000000000e+02,8.035564295593196960e+00
1.110000000000000000e+02,8.071638231614311820e+00
1.120000000000000000e+02,8.107302991370465506e+00
1.130000000000000000e+02,8.142564358133070002e+00
1.140000000000000000e+02,8.177429639490734203e+00
1.150000000000000000e+02,8.211904306235474849e+00
1.160000000000000000e+02,8.245993619453251711e+00
1.170000000000000000e+02,8.279704176768044377e+00
1.180000000000000000e+02,8.313041318848654271e+00
1.190000000000000000e+02,8.346009180642161240e+00
1.200000000000000000e+02,8.378613407228201027e+00
1.210000000000000000e+02,8.410858779824950560e+00
1.220000000000000000e+02,8.442750235023018135e+00
1.230000000000000000e+02,8.474291881867065612e+00
1.240000000000000000e+02,8.505487194985050792e+00
1.250000000000000000e+02,8.536363616657952846e+00
1.260000000000000000e+02,8.566892911020943302e+00
1.270000000000000000e+02,8.597086733238082701e+00
1.280000000000000000e+02,8.626949149505483305e+00
1.290000000000000000e+02,8.656487366752504187e+00
1.300000000000000000e+02,8.685708059138391945e+00
1.310000000000000000e+02,8.714616000847193789e+00
1.320000000000000000e+02,8.743217805451461544e+00
1.330000000000000000e+02,8.771517151371272192e+00
1.340000000000000000e+02,8.799515935489091945e+00
1.350000000000000000e+02,8.827216733425277795e+00
1.360000000000000000e+02,8.854619195215995830e+00
1.370000000000000000e+02,8.881725180125307872e+00
1.380000000000000000e+02,8.908535149133216535e+00
1.390000000000000000e+02,8.935048792868906631e+00
1.400000000000000000e+02,8.961268114647090499e+00
1.410000000000000000e+02,8.987192435184720551e+00
1.420000000000000000e+02,9.012823656791580262e+00
1.430000000000000000e+02,9.038162750717926741e+00
1.440000000000000000e+02,9.063209212925823266e+00
1.450000000000000000e+02,9.087964930743961389e+00
1.460000000000000000e+02,9.112429183618381501e+00
1.470000000000000000e+02,9.136602638622035144e+00
1.480000000000000000e+02,9.160486057732803999e+00
1.490000000000000000e+02,9.184080294999844796e+00
1.500000000000000000e+02,9.207383532241729895e+00
1.510000000000000000e+02,9.230395879329336140e+00
1.520000000000000000e+02,9.253117274492645095e+00
1.530000000000000000e+02,9.275546807542687233e+00
1.540000000000000000e+02,9.297683416414004753e+00
1.550000000000000000e+02,9.319526428711476740e+00
1.560000000000000000e+02,9.341073673323364801e+00
1.570000000000000000e+02,9.362323516651173350e+00
1.580000000000000000e+02,9.383273253392516722e+00
1.590000000000000000e+02,9.403922702548408452e+00
1.600000000000000000e+02,9.424268351706418301e+00
1.610000000000000000e+02,9.444307364166897756e+00
1.620000000000000000e+02,9.464037562304067563e+00
1.630000000000000000e+02,9.483455459476191507e+00
1.640000000000000000e+02,9.502573785408115370e+00
1.650000000000000000e+02,9.521374033042459217e+00
1.660000000000000000e+02,9.539861607076661087e+00
1.670000000000000000e+02,9.558039603018922747e+00
1.680000000000000000e+02,9.575907959138854508e+00
1.690000000000000000e+02,9.593461989104820731e+00
1.700000000000000000e+02,9.610695125729948884e+00
1.710000000000000000e+02,9.627598824355407814e+00
1.720000000000000000e+02,9.644165361104706236e+00
1.730000000000000000e+02,9.660387562282457097e+00
1.740000000000000000e+02,9.676260290064012892e+00
1.750000000000000000e+02,9.691777912089005298e+00
1.760000000000000000e+02,9.706937162527360385e+00
1.770000000000000000e+02,9.721734996040776622e+00
1.780000000000000000e+02,9.736170187022667122e+00
1.790000000000000000e+02,9.750241207343631089e+00
1.800000000000000000e+02,9.763947457028377741e+00
1.810000000000000000e+02,9.777289984662608902e+00
1.820000000000000000e+02,9.790268899842695660e+00
1.830000000000000000e+02,9.802886309005110377e+00
