# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500002299999999877e+01
7.000000000000000000e+00,2.500009500000000173e+01
8.000000000000000000e+00,2.500033200000000022e+01
9.000000000000000000e+00,2.500098799999999954e+01
1.000000000000000000e+01,2.500256900000000115e+01
1.100000000000000000e+01,2.500593900000000147e+01
1.200000000000000000e+01,2.501242799999999988e+01
1.300000000000000000e+01,2.502388799999999947e+01
1.400000000000000000e+01,2.504268499999999875e+01
1.500000000000000000e+01,2.507165499999999980e+01
1.600000000000000000e+01,2.511401700000000048e+01
1.700000000000000000e+01,2.517324999999999946e+01
1.800000000000000000e+01,2.525298499999999891e+01
1.900000000000000000e+01,2.535688400000000087e+01
2.000000000000000000e+01,2.548855400000000060e+01
2.100000000000000000e+01,2.565144499999999894e+01
2.200000000000000000e+01,2.584881400000000085e+01
2.300000000000000000e+01,2.608364900000000119e+01
2.400000000000000000e+01,2.635866000000000042e+01
2.500000000000000000e+01,2.667625200000000163e+01
2.600000000000000000e+01,2.703849599999999853e+01
2.700000000000000000e+01,2.744718699999999956e+01
2.800000000000000000e+01,2.790381400000000056e+01
2.900000000000000000e+01,2.840953299999999970e+01
3.000000000000000000e+01,2.896525799999999862e+01
3.100000000000000000e+01,2.957166099999999886e+01
3.200000000000000000e+01,3.022910699999999906e+01
3.300000000000000000e+01,3.093780500000000089e+01
3.400000000000000000e+01,3.169773700000000005e+01
3.500000000000000000e+01,3.250867499999999666e+01
3.600000000000000000e+01,3.337018199999999979e+01
3.700000000000000000e+01,3.428168900000000008e+01
3.800000000000000000e+01,3.524250800000000083e+01
3.900000000000000000e+01,3.625169799999999753e+01
4.000000000000000000e+01,3.730833100000000258e+01
4.100000000000000000e+01,3.841124299999999891e+01
4.200000000000000000e+01,3.955922300000000291e+01
4.300000000000000000e+01,4.075092699999999724e+01
4.400000000000000000e+01,4.198494699999999824e+01
4.500000000000000000e+01,4.325985699999999667e+01
4.600000000000000000e+01,4.457414200000000193e+01
4.700000000000000000e+01,4.592629600000000067e+01
4.800000000000000000e+01,4.737062099999999987e+01
4.900000000000000000e+01,4.881724899999999678e+01
5.000000000000000000e+01,5.028918800000000289e+01
5.100000000000000000e+01,5.179010799999999648e+01
5.200000000000000000e+01,5.331930899999999696e+01
5.300000000000000000e+01,5.487586999999999904e+01
5.400000000000000000e+01,5.645856899999999712e+01
5.500000000000000000e+01,5.806618100000000027e+01
5.600000000000000000e+01,5.969745999999999952e+01
5.700000000000000000e+01,6.135118899999999798e+01
5.800000000000000000e+01,6.302622999999999820e+01
5.900000000000000000e+01,6.472150399999999593e+01
6.000000000000000000e+01,6.643575300000000539e+01
6.100000000000000000e+01,6.816799199999999814e+01
6.200000000000000000e+01,6.991725900000000138e+01
6.300000000000000000e+01,7.168248699999999474e+01
6.400000000000000000e+01,7.346274599999999566e+01
6.500000000000000000e+01,7.525711800000000551e+01
6.600000000000000000e+01,7.706478099999999642e+01
6.700000000000000000e+01,7.888485699999999667e+01
6.800000000000000000e+01,8.071662100000000351e+01
6.900000000000000000e+01,8.255928799999999512e+01
7.000000000000000000e+01,8.441217000000000326e+01
7.100000000000000000e+01,8.627465800000000229e+01
7.200000000000000000e+01,8.814598100000000613e+01
7.300000000000000000e+01,9.002564200000000483e+01
7.400000000000000000e+01,9.191314699999999505e+01
7.500000000000000000e+01,9.380783800000000383e+01
7.600000000000000000e+01,9.570926699999999698e+01
7.700000000000000000e+01,9.761694300000000624e+01
7.800000000000000000e+01,9.953048699999999371e+01
7.900000000000000000e+01,1.014493599999999986e+02
8.000000000000000000e+01,1.033732399999999956e+02
8.100000000000000000e+01,1.053016700000000014e+02
8.200000000000000000e+01,1.072343099999999936e+02
8.300000000000000000e+01,1.091708600000000047e+02
8.400000000000000000e+01,1.111109699999999947e+02
8.500000000000000000e+01,1.130542599999999993e+02
8.600000000000000000e+01,1.150005000000000024e+02
8.700000000000000000e+01,1.169493700000000018e+02
8.800000000000000000e+01,1.189004999999999939e+02
8.900000000000000000e+01,1.208536500000000018e+02
9.000000000000000000e+01,1.228093400000000059e+02
9.100000000000000000e+01,1.247661700000000025e+02
9.200000000000000000e+01,1.267241499999999945e+02
9.300000000000000000e+01,1.286830400000000054e+02
9.400000000000000000e+01,1.306425800000000095e+02
9.500000000000000000e+01,1.326026799999999923e+02
9.600000000000000000e+01,1.345631400000000042e+02
9.700000000000000000e+01,1.365238200000000006e+02
9.800000000000000000e+01,1.384846300000000099e+02
9.900000000000000000e+01,1.404454800000000034e+02
1.000000000000000000e+02,1.424062700000000063e+02
1.010000000000000000e+02,1.443668099999999868e+02
1.020000000000000000e+02,1.463268899999999917e+02
1.030000000000000000e+02,1.482861900000000048e+02
1.040000000000000000e+02,1.502445800000000133e+02
1.050000000000000000e+02,1.522017700000000104e+02
1.060000000000000000e+02,1.541574699999999893e+02
1.070000000000000000e+02,1.561114200000000096e+02
1.080000000000000000e+02,1.580634799999999984e+02
1.090000000000000000e+02,1.600133500000000026e+02
1.100000000000000000e+02,1.619608299999999872e+02
1.110000000000000000e+02,1.639056999999999960e+02
1.120000000000000000e+02,1.658476599999999905e+02
1.130000000000000000e+02,1.677865400000000022e+02
1.140000000000000000e+02,1.697221399999999960e+02
1.150000000000000000e+02,1.716543100000000095e+02
1.160000000000000000e+02,1.735827899999999886e+02
1.170000000000000000e+02,1.755073700000000088e+02
1.180000000000000000e+02,1.774277299999999968e+02
1.190000000000000000e+02,1.793438299999999970e+02
1.200000000000000000e+02,1.812553900000000056e+02
1.210000000000000000e+02,1.831622299999999939e+02
1.220000000000000000e+02,1.850640400000000056e+02
1.230000000000000000e+02,1.869606899999999996e+02
1.240000000000000000e+02,1.888519400000000132e+02
1.250000000000000000e+02,1.907376099999999894e+02
1.260000000000000000e+02,1.926173599999999908e+02
1.270000000000000000e+02,1.944910900000000140e+02
1.280000000000000000e+02,1.963585199999999986e+02
1.290000000000000000e+02,1.982203399999999931e+02
1.300000000000000000e+02,2.000749700000000075e+02
1.310000000000000000e+02,2.019225299999999947e+02
1.320000000000000000e+02,2.037629900000000021e+02
1.330000000000000000e+02,2.055963399999999979e+02
1.340000000000000000e+02,2.074225600000000043e+02
1.350000000000000000e+02,2.092416100000000085e+02
1.360000000000000000e+02,2.110531799999999976e+02
1.370000000000000000e+02,2.128571200000000090e+02
1.380000000000000000e+02,2.146529199999999946e+02
1.390000000000000000e+02,2.164402800000000013e+02
1.400000000000000000e+02,2.182186399999999935e+02
1.410000000000000000e+02,2.199876999999999896e+02
1.420000000000000000e+02,2.217469199999999887e+02
1.430000000000000000e+02,2.234959900000000061e+02
1.440000000000000000e+02,2.252346300000000099e+02
1.450000000000000000e+02,2.269622999999999990e+02
1.460000000000000000e+02,2.286786299999999983e+02
1.470000000000000000e+02,2.303834099999999978e+02
1.480000000000000000e+02,2.320760799999999904e+02
1.490000000000000000e+02,2.337563000000000102e+02
1.500000000000000000e+02,2.354236500000000092e+02
1.510000000000000000e+02,2.370776999999999930e+02
1.520000000000000000e+02,2.387180600000000084e+02
1.530000000000000000e+02,2.403441799999999944e+02
1.540000000000000000e+02,2.419556000000000040e+02
1.550000000000000000e+02,2.435518199999999922e+02
1.560000000000000000e+02,2.451323500000000024e+02
1.570000000000000000e+02,2.466966700000000117e+02
1.580000000000000000e+02,2.482441300000000126e+02
1.590000000000000000e+02,2.497741900000000044e+02
1.600000000000000000e+02,2.512862399999999923e+02
1.610000000000000000e+02,2.527797500000000070e+02
1.620000000000000000e+02,2.542539500000000032e+02
1.630000000000000000e+02,2.557083000000000084e+02
1.640000000000000000e+02,2.571421500000000151e+02
1.650000000000000000e+02,2.585558800000000019e+02
1.660000000000000000e+02,2.599480300000000170e+02
1.670000000000000000e+02,2.613187300000000164e+02
1.680000000000000000e+02,2.626677900000000250e+02
1.690000000000000000e+02,2.639947799999999916e+02
1.700000000000000000e+02,2.652988899999999717e+02
1.710000000000000000e+02,2.665790099999999825e+02
1.720000000000000000e+02,2.678340799999999717e+02
1.730000000000000000e+02,2.690630499999999756e+02
1.740000000000000000e+02,2.702650800000000118e+02
1.750000000000000000e+02,2.714395400000000222e+02
1.760000000000000000e+02,2.725859399999999937e+02
1.770000000000000000e+02,2.737037700000000200e+02
1.780000000000000000e+02,2.747928499999999872e+02
1.790000000000000000e+02,2.758530000000000086e+02
1.800000000000000000e+02,2.768840299999999957e+02
1.810000000000000000e+02,2.778858900000000176e+02
1.820000000000000000e+02,2.788587600000000180e+02
1.830000000000000000e+02,2.798027000000000157e+02
1.840000000000000000e+02,2.807179899999999861e+02
1.850000000000000000e+02,2.816050099999999929e+02
1.860000000000000000e+02,2.824641100000000051e+02
1.870000000000000000e+02,2.832958399999999983e+02
1.880000000000000000e+02,2.841007999999999925e+02
1.890000000000000000e+02,2.848796399999999949e+02
1.900000000000000000e+02,2.856331500000000005e+02
1.910000000000000000e+02,2.863621200000000044e+02
1.920000000000000000e+02,2.870674099999999953e+02
1.930000000000000000e+02,2.877499700000000189e+02
1.940000000000000000e+02,2.884107399999999757e+02
1.950000000000000000e+02,2.890737300000000118e+02
1.960000000000000000e+02,2.897091100000000097e+02
1.970000000000000000e+02,2.903255599999999959e+02
1.980000000000000000e+02,2.909249300000000176e+02
1.990000000000000000e+02,2.915069599999999923e+02
2.000000000000000000e+02,2.920720800000000281e+02
2.010000000000000000e+02,2.926209099999999808e+02
2.020000000000000000e+02,2.931546000000000163e+02
2.030000000000000000e+02,2.936744400000000041e+02
2.040000000000000000e+02,2.941816999999999780e+02
2.050000000000000000e+02,2.946776100000000156e+02
2.060000000000000000e+02,2.951635099999999738e+02
2.070000000000000000e+02,2.956404400000000123e+02
2.080000000000000000e+02,2.961094400000000064e+02
2.090000000000000000e+02,2.965715299999999957e+02
2.100000000000000000e+02,2.970276499999999942e+02
2.110000000000000000e+02,2.974787299999999846e+02
2.120000000000000000e+02,2.979254199999999742e+02
2.130000000000000000e+02,2.983685300000000211e+02
2.140000000000000000e+02,2.988088099999999940e+02
2.150000000000000000e+02,2.992469199999999887e+02
2.160000000000000000e+02,2.996834099999999808e+02
2.170000000000000000e+02,3.001188999999999965e+02
2.180000000000000000e+02,3.005540199999999800e+02
2.190000000000000000e+02,3.009891999999999825e+02
2.200000000000000000e+02,3.014248999999999796e+02
2.210000000000000000e+02,3.018615699999999720e+02
2.220000000000000000e+02,3.022996200000000044e+02
2.230000000000000000e+02,3.027394400000000019e+02
2.240000000000000000e+02,3.032676700000000096e+02
2.250000000000000000e+02,3.037566499999999792e+02
2.260000000000000000e+02,3.042324199999999905e+02
2.270000000000000000e+02,3.047023599999999988e+02
2.280000000000000000e+02,3.051686700000000201e+02
2.290000000000000000e+02,3.056338200000000143e+02
2.300000000000000000e+02,3.060995199999999841e+02
2.310000000000000000e+02,3.065673800000000142e+02
2.320000000000000000e+02,3.070383600000000115e+02
2.330000000000000000e+02,3.075132800000000088e+02
2.340000000000000000e+02,3.079926100000000133e+02
2.350000000000000000e+02,3.084769600000000196e+02
2.360000000000000000e+02,3.089664900000000216e+02
2.370000000000000000e+02,3.094614900000000262e+02
2.380000000000000000e+02,3.099622499999999832e+02
2.390000000000000000e+02,3.104690200000000004e+02
2.400000000000000000e+02,3.109819600000000150e+02
2.410000000000000000e+02,3.115013099999999895e+02
2.420000000000000000e+02,3.120274699999999939e+02
2.430000000000000000e+02,3.125603300000000218e+02
2.440000000000000000e+02,3.131005200000000173e+02
2.450000000000000000e+02,3.136479800000000182e+02
2.460000000000000000e+02,3.142030300000000125e+02
2.470000000000000000e+02,3.147658400000000256e+02
2.480000000000000000e+02,3.153364900000000262e+02
2.490000000000000000e+02,3.159157099999999900e+02
2.500000000000000000e+02,3.165036299999999869e+02
2.510000000000000000e+02,3.171002199999999789e+02
2.520000000000000000e+02,3.177062700000000177e+02
2.530000000000000000e+02,3.183217200000000275e+02
2.540000000000000000e+02,3.189470499999999902e+02
2.550000000000000000e+02,3.198475599999999872e+02
2.560000000000000000e+02,3.205701900000000251e+02
2.570000000000000000e+02,3.212441400000000158e+02
2.580000000000000000e+02,3.219177199999999743e+02
2.590000000000000000e+02,3.225958600000000160e+02
2.600000000000000000e+02,3.232840899999999920e+02
2.610000000000000000e+02,3.239854100000000017e+02
2.620000000000000000e+02,3.247007800000000088e+02
2.630000000000000000e+02,3.254308199999999829e+02
2.640000000000000000e+02,3.261761799999999880e+02
2.650000000000000000e+02,3.269372299999999996e+02
2.660000000000000000e+02,3.277142299999999864e+02
2.670000000000000000e+02,3.285077800000000252e+02
2.680000000000000000e+02,3.293186000000000035e+02
2.690000000000000000e+02,3.301471599999999853e+02
2.700000000000000000e+02,3.309937400000000025e+02
2.710000000000000000e+02,3.318596200000000067e+02
2.720000000000000000e+02,3.327453300000000240e+02
2.730000000000000000e+02,3.336511800000000108e+02
2.740000000000000000e+02,3.345784600000000069e+02
2.750000000000000000e+02,3.355277100000000132e+02
2.760000000000000000e+02,3.365010100000000079e+02
2.770000000000000000e+02,3.374977099999999837e+02
2.780000000000000000e+02,3.385202899999999886e+02
2.790000000000000000e+02,3.395690000000000168e+02
2.800000000000000000e+02,3.406458099999999831e+02
2.810000000000000000e+02,3.417514300000000276e+02
2.820000000000000000e+02,3.428871199999999817e+02
2.830000000000000000e+02,3.440547500000000127e+02
2.840000000000000000e+02,3.452554600000000278e+02
2.850000000000000000e+02,3.464908399999999915e+02
2.860000000000000000e+02,3.477630300000000148e+02
2.870000000000000000e+02,3.490736099999999738e+02
2.880000000000000000e+02,3.504246800000000235e+02
2.890000000000000000e+02,3.518174999999999955e+02
2.900000000000000000e+02,3.532553700000000276e+02
2.910000000000000000e+02,3.547387699999999882e+02
2.920000000000000000e+02,3.562725500000000238e+02
2.930000000000000000e+02,3.585192000000000121e+02
