# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,7.535033400000000370e+01
3.000000000000000000e+00,1.027903900000000021e+02
4.000000000000000000e+00,1.250931900000000070e+02
5.000000000000000000e+00,1.435101600000000133e+02
6.000000000000000000e+00,1.595937000000000126e+02
7.000000000000000000e+00,1.738956599999999924e+02
8.000000000000000000e+00,1.868482099999999946e+02
9.000000000000000000e+00,1.987090599999999938e+02
1.000000000000000000e+01,2.096726099999999917e+02
1.100000000000000000e+01,2.198804599999999994e+02
1.200000000000000000e+01,2.294420499999999947e+02
1.300000000000000000e+01,2.384521900000000016e+02
1.400000000000000000e+01,2.469915200000000084e+02
1.500000000000000000e+01,2.551285699999999963e+02
1.600000000000000000e+01,2.629106800000000135e+02
1.700000000000000000e+01,2.703537000000000035e+02
1.800000000000000000e+01,2.774446399999999926e+02
1.900000000000000000e+01,2.841610699999999952e+02
2.000000000000000000e+01,2.904995099999999866e+02
2.100000000000000000e+01,2.964566300000000183e+02
2.200000000000000000e+01,3.020377199999999789e+02
2.300000000000000000e+01,3.072549399999999764e+02
2.400000000000000000e+01,3.120898099999999999e+02
2.500000000000000000e+01,3.165432999999999879e+02
2.600000000000000000e+01,3.206426999999999907e+02
2.700000000000000000e+01,3.243525099999999952e+02
2.800000000000000000e+01,3.277067599999999743e+02
2.900000000000000000e+01,3.307918999999999983e+02
3.000000000000000000e+01,3.335448900000000094e+02
3.100000000000000000e+01,3.360503499999999804e+02
3.200000000000000000e+01,3.384451000000000249e+02
3.300000000000000000e+01,3.405870699999999829e+02
3.400000000000000000e+01,3.426039099999999848e+02
3.500000000000000000e+01,3.444251100000000179e+02
3.600000000000000000e+01,3.433011200000000258e+02
3.700000000000000000e+01,3.456785300000000234e+02
3.800000000000000000e+01,3.472597000000000094e+02
3.900000000000000000e+01,3.490500200000000177e+02
4.000000000000000000e+01,3.506998899999999821e+02
4.100000000000000000e+01,3.525862399999999752e+02
4.200000000000000000e+01,3.542447799999999916e+02
4.300000000000000000e+01,3.559409200000000055e+02
4.400000000000000000e+01,3.578554399999999873e+02
4.500000000000000000e+01,3.595364099999999894e+02
4.600000000000000000e+01,3.612586400000000140e+02
4.700000000000000000e+01,3.632379199999999742e+02
4.800000000000000000e+01,3.649430800000000090e+02
4.900000000000000000e+01,3.666919300000000135e+02
5.000000000000000000e+01,3.687148099999999999e+02
5.100000000000000000e+01,3.704308500000000208e+02
5.200000000000000000e+01,3.721776100000000156e+02
5.300000000000000000e+01,3.742049299999999903e+02
5.400000000000000000e+01,3.759003900000000158e+02
5.500000000000000000e+01,3.776095000000000255e+02
5.600000000000000000e+01,3.795911300000000210e+02
5.700000000000000000e+01,3.812395900000000211e+02
5.800000000000000000e+01,3.828869000000000256e+02
5.900000000000000000e+01,3.847986099999999965e+02
6.000000000000000000e+01,3.863922099999999773e+02
6.100000000000000000e+01,3.879881599999999935e+02
6.200000000000000000e+01,3.898207699999999818e+02
6.300000000000000000e+01,3.913782699999999863e+02
6.400000000000000000e+01,3.929304799999999886e+02
6.500000000000000000e+01,3.947051099999999906e+02
6.600000000000000000e+01,3.962538799999999810e+02
6.700000000000000000e+01,3.977911700000000224e+02
6.800000000000000000e+01,3.995190400000000182e+02
6.900000000000000000e+01,4.010604900000000157e+02
7.000000000000000000e+01,4.025954899999999839e+02
7.100000000000000000e+01,4.042736199999999940e+02
7.200000000000000000e+01,4.058031899999999723e+02
7.300000000000000000e+01,4.073186600000000226e+02
7.400000000000000000e+01,4.089277000000000157e+02
7.500000000000000000e+01,4.104259000000000128e+02
7.600000000000000000e+01,4.118988600000000133e+02
7.700000000000000000e+01,4.134366800000000239e+02
7.800000000000000000e+01,4.148772599999999784e+02
7.900000000000000000e+01,4.162959000000000174e+02
8.000000000000000000e+01,4.177497599999999807e+02
8.100000000000000000e+01,4.167210999999999785e+02
8.200000000000000000e+01,4.121567999999999756e+02
8.300000000000000000e+01,4.130169999999999959e+02
8.400000000000000000e+01,4.138460999999999785e+02
8.500000000000000000e+01,4.152377900000000182e+02
8.600000000000000000e+01,4.167342800000000125e+02
8.700000000000000000e+01,4.182543900000000008e+02
8.800000000000000000e+01,4.197462800000000129e+02
8.900000000000000000e+01,4.212867699999999900e+02
9.000000000000000000e+01,4.227585799999999949e+02
9.100000000000000000e+01,4.241965299999999957e+02
9.200000000000000000e+01,4.256320799999999736e+02
9.300000000000000000e+01,4.270094599999999900e+02
9.400000000000000000e+01,4.283564099999999826e+02
9.500000000000000000e+01,4.296941800000000171e+02
9.600000000000000000e+01,4.310014300000000276e+02
9.700000000000000000e+01,4.322774699999999939e+02
9.800000000000000000e+01,4.335457499999999982e+02
9.900000000000000000e+01,4.347912000000000035e+02
1.000000000000000000e+02,4.360267000000000053e+02
1.010000000000000000e+02,4.372504000000000133e+02
1.020000000000000000e+02,4.384608200000000124e+02
1.030000000000000000e+02,4.396665300000000229e+02
1.040000000000000000e+02,4.408622399999999857e+02
1.050000000000000000e+02,4.420530699999999911e+02
1.060000000000000000e+02,4.432317199999999957e+02
1.070000000000000000e+02,4.444086599999999976e+02
1.080000000000000000e+02,4.455724799999999846e+02
1.090000000000000000e+02,4.467301899999999932e+02
1.100000000000000000e+02,4.478798199999999952e+02
1.110000000000000000e+02,4.490140099999999848e+02
1.120000000000000000e+02,4.501413000000000011e+02
1.130000000000000000e+02,4.512575400000000059e+02
1.140000000000000000e+02,4.523609000000000151e+02
1.150000000000000000e+02,4.534518400000000042e+02
1.160000000000000000e+02,4.545337499999999977e+02
1.170000000000000000e+02,4.556032700000000091e+02
1.180000000000000000e+02,4.566656199999999899e+02
1.190000000000000000e+02,4.577142299999999864e+02
1.200000000000000000e+02,4.587529299999999921e+02
1.210000000000000000e+02,4.587876299999999787e+02
1.220000000000000000e+02,4.595071699999999737e+02
1.230000000000000000e+02,4.602262600000000248e+02
1.240000000000000000e+02,4.610866700000000264e+02
1.250000000000000000e+02,4.620194999999999936e+02
1.260000000000000000e+02,4.629889200000000073e+02
1.270000000000000000e+02,4.639842800000000125e+02
1.280000000000000000e+02,4.649872100000000046e+02
1.290000000000000000e+02,4.659960599999999999e+02
1.300000000000000000e+02,4.669992399999999861e+02
1.310000000000000000e+02,4.680013700000000085e+02
1.320000000000000000e+02,4.689912100000000237e+02
1.330000000000000000e+02,4.699771099999999819e+02
1.340000000000000000e+02,4.709511400000000094e+02
1.350000000000000000e+02,4.719218799999999874e+02
1.360000000000000000e+02,4.728797900000000141e+02
1.370000000000000000e+02,4.738346599999999853e+02
1.380000000000000000e+02,4.747872300000000223e+02
1.390000000000000000e+02,4.757264999999999873e+02
1.400000000000000000e+02,4.766620800000000031e+02
1.410000000000000000e+02,4.775855099999999993e+02
1.420000000000000000e+02,4.785069300000000112e+02
1.430000000000000000e+02,4.794265700000000265e+02
1.440000000000000000e+02,4.803353900000000181e+02
1.450000000000000000e+02,4.812329700000000230e+02
1.460000000000000000e+02,4.821324799999999868e+02
1.470000000000000000e+02,4.830193800000000124e+02
1.480000000000000000e+02,4.839025899999999751e+02
1.490000000000000000e+02,4.847718199999999911e+02
1.500000000000000000e+02,4.856357699999999795e+02
1.510000000000000000e+02,4.864952400000000239e+02
1.520000000000000000e+02,4.873438699999999812e+02
1.530000000000000000e+02,4.881883199999999761e+02
1.540000000000000000e+02,4.890217900000000100e+02
1.550000000000000000e+02,4.898499499999999784e+02
1.560000000000000000e+02,4.906716000000000122e+02
1.570000000000000000e+02,4.914902999999999906e+02
1.580000000000000000e+02,4.921058699999999817e+02
1.590000000000000000e+02,4.926856399999999780e+02
1.600000000000000000e+02,4.933623400000000174e+02
1.610000000000000000e+02,4.940430000000000064e+02
1.620000000000000000e+02,4.947363000000000284e+02
1.630000000000000000e+02,4.954505300000000148e+02
1.640000000000000000e+02,4.961804500000000075e+02
1.650000000000000000e+02,4.969191599999999767e+02
1.660000000000000000e+02,4.976682400000000257e+02
1.670000000000000000e+02,4.984197100000000091e+02
1.680000000000000000e+02,4.991702599999999848e+02
1.690000000000000000e+02,4.999254199999999742e+02
1.700000000000000000e+02,5.006807600000000207e+02
1.710000000000000000e+02,5.014354599999999778e+02
1.720000000000000000e+02,5.021844199999999887e+02
1.730000000000000000e+02,5.029350000000000023e+02
1.740000000000000000e+02,5.036828600000000051e+02
1.750000000000000000e+02,5.044290500000000179e+02
1.760000000000000000e+02,5.051698900000000094e+02
1.770000000000000000e+02,5.059028599999999756e+02
1.780000000000000000e+02,5.066334200000000010e+02
1.790000000000000000e+02,5.073602900000000204e+02
1.800000000000000000e+02,5.080812999999999988e+02
1.810000000000000000e+02,5.087999300000000176e+02
1.820000000000000000e+02,5.095104400000000169e+02
1.830000000000000000e+02,5.102170100000000161e+02
1.840000000000000000e+02,5.109164700000000039e+02
1.850000000000000000e+02,5.116067199999999957e+02
1.860000000000000000e+02,5.122977899999999636e+02
1.870000000000000000e+02,5.129796800000000303e+02
