# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000800000000112e+01
6.000000000000000000e+00,2.500004799999999960e+01
7.000000000000000000e+00,2.500021200000000121e+01
8.000000000000000000e+00,2.500075299999999956e+01
9.000000000000000000e+00,2.500224100000000149e+01
1.000000000000000000e+01,2.500576999999999828e+01
1.100000000000000000e+01,2.501316100000000020e+01
1.200000000000000000e+01,2.502712800000000115e+01
1.300000000000000000e+01,2.505132700000000057e+01
1.400000000000000000e+01,2.509031699999999887e+01
1.500000000000000000e+01,2.514942200000000128e+01
1.600000000000000000e+01,2.523452800000000096e+01
1.700000000000000000e+01,2.535186200000000056e+01
1.800000000000000000e+01,2.550777799999999829e+01
1.900000000000000000e+01,2.570854399999999984e+01
2.000000000000000000e+01,2.596018799999999871e+01
2.100000000000000000e+01,2.626835799999999921e+01
2.200000000000000000e+01,2.663818699999999851e+01
2.300000000000000000e+01,2.707424899999999823e+01
2.400000000000000000e+01,2.758047099999999929e+01
2.500000000000000000e+01,2.816011999999999915e+01
2.600000000000000000e+01,2.881580699999999950e+01
2.700000000000000000e+01,2.954944400000000115e+01
2.800000000000000000e+01,3.036232000000000042e+01
2.900000000000000000e+01,3.125513300000000072e+01
3.000000000000000000e+01,3.222806200000000132e+01
3.100000000000000000e+01,3.328089099999999689e+01
3.200000000000000000e+01,3.441294099999999645e+01
3.300000000000000000e+01,3.562330200000000247e+01
3.400000000000000000e+01,3.691077800000000053e+01
3.500000000000000000e+01,3.827405499999999705e+01
3.600000000000000000e+01,3.971163599999999860e+01
3.700000000000000000e+01,4.122198099999999954e+01
3.800000000000000000e+01,4.280353199999999703e+01
3.900000000000000000e+01,4.445460099999999670e+01
4.000000000000000000e+01,4.617352699999999999e+01
4.100000000000000000e+01,4.795867499999999950e+01
4.200000000000000000e+01,4.980829599999999857e+01
4.300000000000000000e+01,5.172080199999999905e+01
4.400000000000000000e+01,5.369453000000000031e+01
4.500000000000000000e+01,5.572780999999999807e+01
4.600000000000000000e+01,5.781895800000000207e+01
4.700000000000000000e+01,5.996643399999999957e+01
4.800000000000000000e+01,6.216849100000000305e+01
4.900000000000000000e+01,6.442367600000000039e+01
5.000000000000000000e+01,6.673036999999999352e+01
5.100000000000000000e+01,6.908693700000000604e+01
5.200000000000000000e+01,7.149181400000000508e+01
5.300000000000000000e+01,7.394352700000000311e+01
5.400000000000000000e+01,7.644051399999999319e+01
5.500000000000000000e+01,7.898125500000000443e+01
5.600000000000000000e+01,8.157435599999999454e+01
5.700000000000000000e+01,8.420278199999999913e+01
5.800000000000000000e+01,8.686933899999999653e+01
5.900000000000000000e+01,8.957348600000000260e+01
6.000000000000000000e+01,9.231403400000000659e+01
6.100000000000000000e+01,9.508977500000000305e+01
6.200000000000000000e+01,9.789959000000000344e+01
6.300000000000000000e+01,1.007423699999999940e+02
6.400000000000000000e+01,1.036170599999999951e+02
6.500000000000000000e+01,1.065224999999999937e+02
6.600000000000000000e+01,1.094575700000000040e+02
6.700000000000000000e+01,1.124212200000000053e+02
6.800000000000000000e+01,1.154120999999999952e+02
6.900000000000000000e+01,1.184291900000000055e+02
7.000000000000000000e+01,1.214711599999999976e+02
7.100000000000000000e+01,1.245370599999999968e+02
7.200000000000000000e+01,1.276256300000000010e+02
7.300000000000000000e+01,1.307356900000000053e+02
7.400000000000000000e+01,1.338659499999999980e+02
7.500000000000000000e+01,1.370153999999999996e+02
7.600000000000000000e+01,1.401829400000000021e+02
7.700000000000000000e+01,1.433674000000000035e+02
7.800000000000000000e+01,1.465677499999999895e+02
7.900000000000000000e+01,1.497828499999999963e+02
8.000000000000000000e+01,1.530116999999999905e+02
8.100000000000000000e+01,1.562532699999999863e+02
8.200000000000000000e+01,1.595063900000000103e+02
8.300000000000000000e+01,1.627701700000000073e+02
8.400000000000000000e+01,1.660434999999999945e+02
8.500000000000000000e+01,1.693254900000000021e+02
8.600000000000000000e+01,1.726150700000000029e+02
8.700000000000000000e+01,1.759112399999999923e+02
8.800000000000000000e+01,1.792130600000000129e+02
8.900000000000000000e+01,1.825195300000000032e+02
9.000000000000000000e+01,1.858296499999999867e+02
9.100000000000000000e+01,1.891424399999999935e+02
9.200000000000000000e+01,1.924569999999999936e+02
9.300000000000000000e+01,1.957723100000000045e+02
9.400000000000000000e+01,1.990873599999999897e+02
9.500000000000000000e+01,2.024011700000000076e+02
9.600000000000000000e+01,2.057126199999999869e+02
9.700000000000000000e+01,2.090208000000000084e+02
9.800000000000000000e+01,2.123246599999999944e+02
9.900000000000000000e+01,2.156230799999999874e+02
1.000000000000000000e+02,2.189148999999999887e+02
1.010000000000000000e+02,2.221990199999999902e+02
1.020000000000000000e+02,2.254742999999999995e+02
1.030000000000000000e+02,2.287396200000000022e+02
1.040000000000000000e+02,2.319936700000000087e+02
1.050000000000000000e+02,2.352367600000000039e+02
1.060000000000000000e+02,2.384654199999999946e+02
1.070000000000000000e+02,2.416796899999999937e+02
1.080000000000000000e+02,2.448794399999999882e+02
1.090000000000000000e+02,2.480641300000000058e+02
1.100000000000000000e+02,2.512319300000000055e+02
1.110000000000000000e+02,2.543799400000000048e+02
1.120000000000000000e+02,2.575052800000000275e+02
1.130000000000000000e+02,2.606051600000000121e+02
1.140000000000000000e+02,2.636769100000000208e+02
1.150000000000000000e+02,2.667178299999999922e+02
1.160000000000000000e+02,2.697253099999999790e+02
1.170000000000000000e+02,2.726963799999999765e+02
1.180000000000000000e+02,2.756279599999999732e+02
1.190000000000000000e+02,2.785164800000000014e+02
1.200000000000000000e+02,2.813584299999999985e+02
1.210000000000000000e+02,2.841500199999999836e+02
1.220000000000000000e+02,2.868872099999999818e+02
1.230000000000000000e+02,2.895657699999999863e+02
1.240000000000000000e+02,2.921812400000000025e+02
1.250000000000000000e+02,2.947293700000000172e+02
1.260000000000000000e+02,2.972057500000000232e+02
1.270000000000000000e+02,2.996061700000000201e+02
1.280000000000000000e+02,3.019268200000000206e+02
1.290000000000000000e+02,3.041641799999999876e+02
1.300000000000000000e+02,3.063152200000000107e+02
1.310000000000000000e+02,3.083777499999999918e+02
1.320000000000000000e+02,3.103503400000000170e+02
1.330000000000000000e+02,3.122323600000000283e+02
1.340000000000000000e+02,3.140243800000000078e+02
1.350000000000000000e+02,3.157278099999999768e+02
1.360000000000000000e+02,3.173453999999999837e+02
1.370000000000000000e+02,3.188806500000000028e+02
1.380000000000000000e+02,3.203380099999999970e+02
1.390000000000000000e+02,3.217226900000000001e+02
1.400000000000000000e+02,3.230407999999999902e+02
1.410000000000000000e+02,3.242985499999999774e+02
1.420000000000000000e+02,3.255025899999999979e+02
1.430000000000000000e+02,3.266598200000000247e+02
1.440000000000000000e+02,3.278475300000000061e+02
1.450000000000000000e+02,3.289855000000000018e+02
1.460000000000000000e+02,3.300867299999999886e+02
1.470000000000000000e+02,3.311510900000000106e+02
1.480000000000000000e+02,3.321843000000000075e+02
1.490000000000000000e+02,3.331979400000000169e+02
1.500000000000000000e+02,3.342019300000000044e+02
1.510000000000000000e+02,3.352034600000000069e+02
1.520000000000000000e+02,3.362075500000000261e+02
1.530000000000000000e+02,3.372182900000000245e+02
1.540000000000000000e+02,3.382391099999999824e+02
1.550000000000000000e+02,3.392730700000000184e+02
1.560000000000000000e+02,3.403223899999999844e+02
1.570000000000000000e+02,3.413895299999999793e+02
1.580000000000000000e+02,3.424762299999999868e+02
1.590000000000000000e+02,3.435849900000000048e+02
1.600000000000000000e+02,3.447177100000000110e+02
1.610000000000000000e+02,3.458761299999999892e+02
1.620000000000000000e+02,3.470624099999999999e+02
1.630000000000000000e+02,3.482780200000000264e+02
1.640000000000000000e+02,3.495250199999999836e+02
1.650000000000000000e+02,3.508057600000000207e+02
1.660000000000000000e+02,3.521225600000000213e+02
1.670000000000000000e+02,3.534772899999999822e+02
1.680000000000000000e+02,3.548732899999999972e+02
1.690000000000000000e+02,3.563122900000000186e+02
1.700000000000000000e+02,3.577969699999999875e+02
1.710000000000000000e+02,3.593308099999999854e+02
1.720000000000000000e+02,3.609173599999999738e+02
1.730000000000000000e+02,3.625605199999999968e+02
1.740000000000000000e+02,3.642629999999999768e+02
1.750000000000000000e+02,3.660292999999999779e+02
1.760000000000000000e+02,3.678642300000000205e+02
1.770000000000000000e+02,3.697726099999999860e+02
1.780000000000000000e+02,3.717586400000000140e+02
1.790000000000000000e+02,3.738283099999999877e+02
1.800000000000000000e+02,3.759870300000000043e+02
1.810000000000000000e+02,3.782398699999999963e+02
1.820000000000000000e+02,3.805944499999999948e+02
1.830000000000000000e+02,3.830549300000000130e+02
1.840000000000000000e+02,3.862631200000000149e+02
1.850000000000000000e+02,3.889999399999999810e+02
1.860000000000000000e+02,3.917679099999999721e+02
1.870000000000000000e+02,3.946766999999999825e+02
1.880000000000000000e+02,3.977176499999999919e+02
1.890000000000000000e+02,4.008866600000000062e+02
1.900000000000000000e+02,4.041734000000000151e+02
1.910000000000000000e+02,4.075665300000000002e+02
1.920000000000000000e+02,4.110505400000000122e+02
1.930000000000000000e+02,4.146046799999999735e+02
1.940000000000000000e+02,4.182060500000000047e+02
1.950000000000000000e+02,4.218294700000000148e+02
1.960000000000000000e+02,4.254501000000000204e+02
1.970000000000000000e+02,4.290438199999999824e+02
1.980000000000000000e+02,4.325918599999999969e+02
1.990000000000000000e+02,4.360788000000000011e+02
2.000000000000000000e+02,4.394957299999999805e+02
2.010000000000000000e+02,4.428375199999999836e+02
2.020000000000000000e+02,4.461029700000000275e+02
2.030000000000000000e+02,4.492938500000000204e+02
2.040000000000000000e+02,4.524130900000000111e+02
2.050000000000000000e+02,4.554652399999999943e+02
2.060000000000000000e+02,4.584547699999999963e+02
2.070000000000000000e+02,4.613868699999999876e+02
2.080000000000000000e+02,4.642668800000000147e+02
2.090000000000000000e+02,4.670995199999999841e+02
2.100000000000000000e+02,4.698873600000000010e+02
2.110000000000000000e+02,4.726345499999999902e+02
2.120000000000000000e+02,4.753432599999999866e+02
2.130000000000000000e+02,4.780155300000000125e+02
2.140000000000000000e+02,4.806533200000000079e+02
2.150000000000000000e+02,4.832584499999999821e+02
2.160000000000000000e+02,4.858322099999999750e+02
2.170000000000000000e+02,4.883766200000000026e+02
2.180000000000000000e+02,4.908921199999999772e+02
2.190000000000000000e+02,4.933801300000000083e+02
2.200000000000000000e+02,4.958417999999999779e+02
2.210000000000000000e+02,4.982782300000000077e+02
2.220000000000000000e+02,5.006900299999999788e+02
2.230000000000000000e+02,5.030781600000000253e+02
2.240000000000000000e+02,5.054431799999999839e+02
2.250000000000000000e+02,5.077859199999999760e+02
2.260000000000000000e+02,5.101071800000000280e+02
2.270000000000000000e+02,5.124075299999999515e+02
2.280000000000000000e+02,5.146872600000000375e+02
2.290000000000000000e+02,5.169475700000000415e+02
2.300000000000000000e+02,5.191884800000000268e+02
2.310000000000000000e+02,5.214102199999999812e+02
2.320000000000000000e+02,5.236137099999999691e+02
2.330000000000000000e+02,5.257990700000000288e+02
2.340000000000000000e+02,5.279668599999999969e+02
2.350000000000000000e+02,5.301178599999999506e+02
2.360000000000000000e+02,5.322516500000000406e+02
2.370000000000000000e+02,5.343689600000000155e+02
2.380000000000000000e+02,5.364702800000000025e+02
2.390000000000000000e+02,5.385557300000000396e+02
2.400000000000000000e+02,5.406256100000000515e+02
2.410000000000000000e+02,5.426801799999999503e+02
2.420000000000000000e+02,5.447196699999999510e+02
2.430000000000000000e+02,5.467445099999999911e+02
2.440000000000000000e+02,5.487547600000000330e+02
2.450000000000000000e+02,5.507506100000000515e+02
2.460000000000000000e+02,5.527323000000000093e+02
2.470000000000000000e+02,5.547003799999999956e+02
2.480000000000000000e+02,5.566547900000000482e+02
2.490000000000000000e+02,5.585956999999999653e+02
2.500000000000000000e+02,5.605231899999999996e+02
2.510000000000000000e+02,5.624375599999999622e+02
2.520000000000000000e+02,5.643388700000000426e+02
2.530000000000000000e+02,5.662274800000000141e+02
2.540000000000000000e+02,5.681034499999999525e+02
2.550000000000000000e+02,5.699666099999999460e+02
2.560000000000000000e+02,5.718176300000000083e+02
2.570000000000000000e+02,5.736564300000000003e+02
2.580000000000000000e+02,5.754829099999999471e+02
2.590000000000000000e+02,5.772976099999999633e+02
2.600000000000000000e+02,5.791002200000000357e+02
2.610000000000000000e+02,5.808913000000000011e+02
2.620000000000000000e+02,5.826706500000000233e+02
2.630000000000000000e+02,5.844385999999999513e+02
2.640000000000000000e+02,5.861949499999999489e+02
2.650000000000000000e+02,5.879399399999999787e+02
2.660000000000000000e+02,5.896738900000000285e+02
2.670000000000000000e+02,5.913965500000000475e+02
2.680000000000000000e+02,5.931080899999999474e+02
2.690000000000000000e+02,5.948087199999999939e+02
2.700000000000000000e+02,5.964984699999999975e+02
2.710000000000000000e+02,5.981773699999999963e+02
2.720000000000000000e+02,5.998455199999999650e+02
2.730000000000000000e+02,6.015030500000000302e+02
2.740000000000000000e+02,6.031500200000000405e+02
2.750000000000000000e+02,6.047866199999999708e+02
2.760000000000000000e+02,6.064129599999999982e+02
2.770000000000000000e+02,6.080288699999999835e+02
2.780000000000000000e+02,6.096344599999999900e+02
2.790000000000000000e+02,6.112297399999999925e+02
2.800000000000000000e+02,6.128150600000000168e+02
2.810000000000000000e+02,6.143903199999999742e+02
2.820000000000000000e+02,6.159556300000000419e+02
2.830000000000000000e+02,6.175109300000000303e+02
2.840000000000000000e+02,6.190564000000000533e+02
2.850000000000000000e+02,6.205920399999999972e+02
2.860000000000000000e+02,6.221178599999999506e+02
2.870000000000000000e+02,6.236339699999999766e+02
2.880000000000000000e+02,6.251405600000000504e+02
2.890000000000000000e+02,6.266376299999999446e+02
2.900000000000000000e+02,6.281251800000000003e+02
2.910000000000000000e+02,6.296031500000000278e+02
2.920000000000000000e+02,6.310717799999999897e+02
2.930000000000000000e+02,6.325311299999999619e+02
