# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997700000000123e+01
2.000000000000000000e+00,9.305501599999999485e+01
3.000000000000000000e+00,1.352915199999999913e+02
4.000000000000000000e+00,1.673858299999999986e+02
5.000000000000000000e+00,1.941146699999999896e+02
6.000000000000000000e+00,2.172806999999999960e+02
7.000000000000000000e+00,2.378749200000000030e+02
8.000000000000000000e+00,2.566283300000000054e+02
9.000000000000000000e+00,2.742130999999999972e+02
1.000000000000000000e+01,2.907477700000000027e+02
1.100000000000000000e+01,3.057563200000000165e+02
1.200000000000000000e+01,3.191937899999999786e+02
1.300000000000000000e+01,3.311293000000000006e+02
1.400000000000000000e+01,3.414514500000000226e+02
1.500000000000000000e+01,3.499807999999999879e+02
1.600000000000000000e+01,3.567469800000000077e+02
1.700000000000000000e+01,3.621601600000000190e+02
1.800000000000000000e+01,3.666900299999999788e+02
1.900000000000000000e+01,3.708002299999999991e+02
2.000000000000000000e+01,3.748497899999999845e+02
2.100000000000000000e+01,3.788154599999999732e+02
2.200000000000000000e+01,3.829123200000000224e+02
2.300000000000000000e+01,3.872747800000000211e+02
2.400000000000000000e+01,3.917190899999999942e+02
2.500000000000000000e+01,3.963462799999999788e+02
2.600000000000000000e+01,4.011766099999999824e+02
2.700000000000000000e+01,4.059196800000000280e+02
2.800000000000000000e+01,4.105054600000000278e+02
2.900000000000000000e+01,4.148435099999999807e+02
3.000000000000000000e+01,4.187334299999999985e+02
3.100000000000000000e+01,4.221841400000000135e+02
3.200000000000000000e+01,4.253121600000000058e+02
3.300000000000000000e+01,4.282146599999999808e+02
3.400000000000000000e+01,4.310459000000000174e+02
3.500000000000000000e+01,4.339260899999999879e+02
3.600000000000000000e+01,4.369033499999999890e+02
3.700000000000000000e+01,4.399863000000000284e+02
3.800000000000000000e+01,4.431521299999999997e+02
3.900000000000000000e+01,4.463181799999999839e+02
4.000000000000000000e+01,4.494271499999999833e+02
4.100000000000000000e+01,4.524124800000000164e+02
4.200000000000000000e+01,4.552506999999999948e+02
4.300000000000000000e+01,4.579282799999999725e+02
4.400000000000000000e+01,4.604977400000000216e+02
4.500000000000000000e+01,4.629789400000000228e+02
4.600000000000000000e+01,4.654309400000000210e+02
4.700000000000000000e+01,4.678812899999999786e+02
4.800000000000000000e+01,4.703466500000000110e+02
4.900000000000000000e+01,4.728342900000000100e+02
5.000000000000000000e+01,4.753170499999999947e+02
5.100000000000000000e+01,4.777831699999999842e+02
5.200000000000000000e+01,4.802006499999999960e+02
5.300000000000000000e+01,4.825612499999999727e+02
5.400000000000000000e+01,4.848420100000000161e+02
5.500000000000000000e+01,4.870565199999999777e+02
5.600000000000000000e+01,4.892142900000000054e+02
5.700000000000000000e+01,4.913186000000000035e+02
5.800000000000000000e+01,4.934039900000000216e+02
5.900000000000000000e+01,4.954645399999999995e+02
6.000000000000000000e+01,4.975140700000000038e+02
6.100000000000000000e+01,4.981805100000000266e+02
6.200000000000000000e+01,4.980991200000000276e+02
6.300000000000000000e+01,4.996950100000000248e+02
6.400000000000000000e+01,5.013200699999999870e+02
6.500000000000000000e+01,5.030732100000000173e+02
6.600000000000000000e+01,5.048506199999999922e+02
6.700000000000000000e+01,5.066424000000000092e+02
6.800000000000000000e+01,5.084297199999999748e+02
6.900000000000000000e+01,5.102157599999999888e+02
7.000000000000000000e+01,5.119952099999999859e+02
7.100000000000000000e+01,5.137771000000000186e+02
7.200000000000000000e+01,5.155520599999999831e+02
7.300000000000000000e+01,5.173252599999999575e+02
7.400000000000000000e+01,5.190879499999999780e+02
7.500000000000000000e+01,5.208322100000000319e+02
7.600000000000000000e+01,5.225606699999999591e+02
7.700000000000000000e+01,5.242620799999999690e+02
