# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,1.073864200000000011e+02
3.000000000000000000e+00,1.577796299999999974e+02
4.000000000000000000e+00,1.958672899999999970e+02
5.000000000000000000e+00,2.274130700000000047e+02
6.000000000000000000e+00,2.546670799999999986e+02
7.000000000000000000e+00,2.792366900000000101e+02
8.000000000000000000e+00,3.022030300000000125e+02
9.000000000000000000e+00,3.226816400000000158e+02
1.000000000000000000e+01,3.405857500000000186e+02
1.100000000000000000e+01,3.563189100000000167e+02
1.200000000000000000e+01,3.699011199999999917e+02
1.300000000000000000e+01,3.812968799999999874e+02
1.400000000000000000e+01,3.907763400000000047e+02
1.500000000000000000e+01,3.997955600000000231e+02
1.600000000000000000e+01,4.087059600000000046e+02
1.700000000000000000e+01,4.169057599999999866e+02
1.800000000000000000e+01,4.256473399999999856e+02
1.900000000000000000e+01,4.336412000000000262e+02
2.000000000000000000e+01,4.439191299999999956e+02
2.100000000000000000e+01,4.376062900000000013e+02
2.200000000000000000e+01,4.498833900000000199e+02
2.300000000000000000e+01,4.536299999999999955e+02
2.400000000000000000e+01,4.603221399999999903e+02
2.500000000000000000e+01,4.651717800000000125e+02
2.600000000000000000e+01,4.705825800000000072e+02
2.700000000000000000e+01,4.756136799999999880e+02
2.800000000000000000e+01,4.808212899999999763e+02
2.900000000000000000e+01,4.854531900000000064e+02
3.000000000000000000e+01,4.901088599999999929e+02
3.100000000000000000e+01,4.944163199999999847e+02
3.200000000000000000e+01,4.985299999999999727e+02
3.300000000000000000e+01,5.025738799999999742e+02
3.400000000000000000e+01,5.065876499999999965e+02
3.500000000000000000e+01,5.104634100000000103e+02
3.600000000000000000e+01,5.143269699999999602e+02
3.700000000000000000e+01,5.180643300000000409e+02
3.800000000000000000e+01,5.216385500000000093e+02
3.900000000000000000e+01,5.251082800000000361e+02
4.000000000000000000e+01,5.284641699999999673e+02
4.100000000000000000e+01,5.317004399999999578e+02
4.200000000000000000e+01,5.349020400000000564e+02
4.300000000000000000e+01,5.380433299999999690e+02
4.400000000000000000e+01,5.411005900000000111e+02
4.500000000000000000e+01,5.441205400000000054e+02
4.600000000000000000e+01,5.470485200000000532e+02
4.700000000000000000e+01,5.498857400000000553e+02
4.800000000000000000e+01,5.526517900000000054e+02
4.900000000000000000e+01,5.553452099999999518e+02
5.000000000000000000e+01,5.579633800000000292e+02
5.100000000000000000e+01,5.605524299999999585e+02
5.200000000000000000e+01,5.630794100000000526e+02
5.300000000000000000e+01,5.655625000000000000e+02
5.400000000000000000e+01,5.679936500000000024e+02
5.500000000000000000e+01,5.703766500000000406e+02
5.600000000000000000e+01,5.726917099999999436e+02
5.700000000000000000e+01,5.749645400000000564e+02
5.800000000000000000e+01,5.771782799999999725e+02
5.900000000000000000e+01,5.793517500000000382e+02
6.000000000000000000e+01,5.814793700000000172e+02
6.100000000000000000e+01,5.835770899999999983e+02
6.200000000000000000e+01,5.869763799999999492e+02
6.300000000000000000e+01,5.856761500000000069e+02
6.400000000000000000e+01,5.881503300000000536e+02
6.500000000000000000e+01,5.893643799999999828e+02
6.600000000000000000e+01,5.914106399999999439e+02
6.700000000000000000e+01,5.930045800000000327e+02
6.800000000000000000e+01,5.949002100000000155e+02
6.900000000000000000e+01,5.965913100000000213e+02
7.000000000000000000e+01,5.984031400000000076e+02
7.100000000000000000e+01,6.001039399999999659e+02
7.200000000000000000e+01,6.018511999999999489e+02
7.300000000000000000e+01,6.035334500000000162e+02
7.400000000000000000e+01,6.052224700000000439e+02
7.500000000000000000e+01,6.068601700000000392e+02
7.600000000000000000e+01,6.084944500000000289e+02
7.700000000000000000e+01,6.100903299999999945e+02
7.800000000000000000e+01,6.116695600000000468e+02
7.900000000000000000e+01,6.132244899999999461e+02
8.000000000000000000e+01,6.147582999999999629e+02
8.100000000000000000e+01,6.162761199999999917e+02
8.200000000000000000e+01,6.177692899999999554e+02
8.300000000000000000e+01,6.192388899999999694e+02
8.400000000000000000e+01,6.206928100000000086e+02
8.500000000000000000e+01,6.221293299999999817e+02
8.600000000000000000e+01,6.235416300000000547e+02
8.700000000000000000e+01,6.249382299999999759e+02
8.800000000000000000e+01,6.263111599999999726e+02
8.900000000000000000e+01,6.276738900000000285e+02
9.000000000000000000e+01,6.290120200000000068e+02
9.100000000000000000e+01,6.303441800000000512e+02
9.200000000000000000e+01,6.316496600000000399e+02
9.300000000000000000e+01,6.329487299999999550e+02
9.400000000000000000e+01,6.342287599999999657e+02
9.500000000000000000e+01,6.355010399999999890e+02
9.600000000000000000e+01,6.367509800000000268e+02
9.700000000000000000e+01,6.379923099999999749e+02
9.800000000000000000e+01,6.392191800000000512e+02
9.900000000000000000e+01,6.404313399999999774e+02
1.000000000000000000e+02,6.416353800000000547e+02
1.010000000000000000e+02,6.428237299999999550e+02
1.020000000000000000e+02,6.440050700000000461e+02
1.030000000000000000e+02,6.451729699999999639e+02
1.040000000000000000e+02,6.463294100000000526e+02
1.050000000000000000e+02,6.474774200000000519e+02
