# Time [s], Temperature [C]
0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.608893599999999680e+01
3.000000000000000000e+00,5.825599299999999658e+01
4.000000000000000000e+00,6.813961799999999869e+01
5.000000000000000000e+00,7.640464000000000055e+01
6.000000000000000000e+00,8.366235399999999345e+01
7.000000000000000000e+00,9.016314699999999505e+01
8.000000000000000000e+00,9.608544200000000046e+01
9.000000000000000000e+00,1.015439099999999968e+02
1.000000000000000000e+01,1.066188400000000058e+02
1.100000000000000000e+01,1.113726300000000009e+02
1.200000000000000000e+01,1.158488200000000035e+02
1.300000000000000000e+01,1.200836599999999947e+02
1.400000000000000000e+01,1.241071699999999964e+02
1.500000000000000000e+01,1.279411599999999964e+02
1.600000000000000000e+01,1.316068099999999959e+02
1.700000000000000000e+01,1.351200300000000141e+02
1.800000000000000000e+01,1.384939099999999996e+02
1.900000000000000000e+01,1.417409100000000137e+02
2.000000000000000000e+01,1.448710199999999872e+02
2.100000000000000000e+01,1.478932000000000073e+02
2.200000000000000000e+01,1.508160200000000088e+02
2.300000000000000000e+01,1.536461600000000089e+02
2.400000000000000000e+01,1.563895300000000077e+02
2.500000000000000000e+01,1.590516100000000108e+02
2.600000000000000000e+01,1.616376799999999889e+02
2.700000000000000000e+01,1.641520500000000027e+02
2.800000000000000000e+01,1.665986300000000142e+02
2.900000000000000000e+01,1.689819200000000023e+02
3.000000000000000000e+01,1.713045199999999966e+02
3.100000000000000000e+01,1.735694000000000017e+02
3.200000000000000000e+01,1.757810399999999902e+02
3.300000000000000000e+01,1.779406700000000114e+02
3.400000000000000000e+01,1.800504899999999964e+02
3.500000000000000000e+01,1.821134900000000130e+02
3.600000000000000000e+01,1.841310000000000002e+02
3.700000000000000000e+01,1.861055800000000033e+02
3.800000000000000000e+01,1.880394599999999912e+02
3.900000000000000000e+01,1.899333200000000090e+02
4.000000000000000000e+01,1.917889900000000125e+02
4.100000000000000000e+01,1.936090199999999868e+02
4.200000000000000000e+01,1.953929100000000005e+02
4.300000000000000000e+01,1.971442099999999868e+02
4.400000000000000000e+01,1.988621200000000044e+02
4.500000000000000000e+01,2.005497300000000109e+02
4.600000000000000000e+01,2.022063100000000020e+02
4.700000000000000000e+01,2.038341100000000097e+02
4.800000000000000000e+01,2.054344600000000014e+02
4.900000000000000000e+01,2.070074199999999962e+02
5.000000000000000000e+01,2.085538300000000049e+02
5.100000000000000000e+01,2.100752099999999984e+02
5.200000000000000000e+01,2.115727799999999945e+02
5.300000000000000000e+01,2.130473599999999976e+02
5.400000000000000000e+01,2.144983799999999974e+02
5.500000000000000000e+01,2.159269999999999925e+02
5.600000000000000000e+01,2.173350800000000049e+02
5.700000000000000000e+01,2.187222600000000057e+02
5.800000000000000000e+01,2.200896099999999933e+02
5.900000000000000000e+01,2.214372600000000091e+02
6.000000000000000000e+01,2.227670699999999897e+02
6.100000000000000000e+01,2.240782000000000096e+02
6.200000000000000000e+01,2.253721899999999891e+02
6.300000000000000000e+01,2.266498100000000022e+02
6.400000000000000000e+01,2.279102499999999907e+02
6.500000000000000000e+01,2.291557899999999961e+02
