# Time [s], Convective Heat Transfer Coefficient [W/m2K]
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.915079995362458862e-02
7.000000000000000000e+00,3.040000000141642594e-02
8.000000000000000000e+00,4.559999999962457279e-02
9.000000000000000000e+00,6.760899475372779410e-02
1.000000000000000000e+01,9.498175649661450004e-02
1.100000000000000000e+01,1.289100765451444419e-01
1.200000000000000000e+01,1.687762775225354894e-01
1.300000000000000000e+01,2.146705835908610804e-01
1.400000000000000000e+01,2.660103397341247455e-01
1.500000000000000000e+01,3.224188303688754198e-01
1.600000000000000000e+01,3.833269471588000021e-01
1.700000000000000000e+01,4.481706382288277446e-01
1.800000000000000000e+01,5.164184034258603173e-01
1.900000000000000000e+01,5.875605781071741029e-01
2.000000000000000000e+01,6.611199973666685992e-01
2.100000000000000000e+01,7.366608450214132686e-01
2.200000000000000000e+01,8.138095874748627612e-01
2.300000000000000000e+01,8.922194090093146235e-01
2.400000000000000000e+01,9.715862466579534562e-01
2.500000000000000000e+01,1.051647516428248830e+00
2.600000000000000000e+01,1.132172078507426516e+00
2.700000000000000000e+01,1.212969076591983608e+00
2.800000000000000000e+01,1.293843808056929889e+00
2.900000000000000000e+01,1.374660522711484090e+00
3.000000000000000000e+01,1.455296657033705809e+00
3.100000000000000000e+01,1.535632489331607120e+00
3.200000000000000000e+01,1.615564905771350812e+00
3.300000000000000000e+01,1.695031095864348636e+00
3.400000000000000000e+01,1.773943246712648136e+00
3.500000000000000000e+01,1.852259754213785525e+00
3.600000000000000000e+01,1.929934026864218222e+00
3.700000000000000000e+01,2.006903225474200081e+00
3.800000000000000000e+01,2.083145601193296503e+00
3.900000000000000000e+01,2.158643707190453398e+00
4.000000000000000000e+01,2.233360579066814733e+00
4.100000000000000000e+01,2.307285056622943920e+00
4.200000000000000000e+01,2.380408940544011642e+00
4.300000000000000000e+01,2.452716887565388859e+00
4.400000000000000000e+01,2.524202785233915058e+00
4.500000000000000000e+01,2.594862160259935102e+00
4.600000000000000000e+01,2.664694733974757312e+00
4.700000000000000000e+01,2.733700553589203608e+00
4.800000000000000000e+01,2.801878689515354015e+00
4.900000000000000000e+01,2.869231129019277571e+00
5.000000000000000000e+01,2.935769299396902898e+00
5.100000000000000000e+01,3.001509002644557000e+00
5.200000000000000000e+01,3.066434576312046190e+00
5.300000000000000000e+01,3.130563731590119136e+00
5.400000000000000000e+01,3.193909484862215820e+00
5.500000000000000000e+01,3.256471279190195744e+00
5.600000000000000000e+01,3.318256802894381075e+00
5.700000000000000000e+01,3.379290358012237316e+00
5.800000000000000000e+01,3.439566129726023824e+00
5.900000000000000000e+01,3.499109737124291630e+00
6.000000000000000000e+01,3.557920761083535499e+00
6.100000000000000000e+01,3.616013488828999201e+00
6.200000000000000000e+01,3.673399297216819903e+00
6.300000000000000000e+01,3.730083646041558065e+00
6.400000000000000000e+01,3.786079778820853114e+00
6.500000000000000000e+01,3.841403820724103468e+00
