# Time [s], Temperature [C]
0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+00,2.499996900000000011e+01
2.000000000000000000e+00,4.544435899999999862e+01
3.000000000000000000e+00,5.689954399999999879e+01
4.000000000000000000e+00,6.621523299999999779e+01
5.000000000000000000e+00,7.396086900000000242e+01
6.000000000000000000e+00,8.075093099999999424e+01
7.000000000000000000e+00,8.681956499999999721e+01
8.000000000000000000e+00,9.234134699999999896e+01
9.000000000000000000e+00,9.742399600000000248e+01
1.000000000000000000e+01,1.021441999999999979e+02
1.100000000000000000e+01,1.065626100000000065e+02
1.200000000000000000e+01,1.107199099999999987e+02
1.300000000000000000e+01,1.146493499999999983e+02
1.400000000000000000e+01,1.183813600000000008e+02
1.500000000000000000e+01,1.219380599999999930e+02
1.600000000000000000e+01,1.253355999999999995e+02
1.700000000000000000e+01,1.285895800000000122e+02
1.800000000000000000e+01,1.317157699999999920e+02
1.900000000000000000e+01,1.347225999999999999e+02
2.000000000000000000e+01,1.376213999999999942e+02
2.100000000000000000e+01,1.404194899999999961e+02
2.200000000000000000e+01,1.431243100000000084e+02
2.300000000000000000e+01,1.457435000000000116e+02
2.400000000000000000e+01,1.482842599999999891e+02
2.500000000000000000e+01,1.507463400000000036e+02
2.600000000000000000e+01,1.531408500000000004e+02
2.700000000000000000e+01,1.554688400000000001e+02
2.800000000000000000e+01,1.577339499999999930e+02
2.900000000000000000e+01,1.599398199999999974e+02
3.000000000000000000e+01,1.620901000000000067e+02
3.100000000000000000e+01,1.641866599999999892e+02
3.200000000000000000e+01,1.662336999999999989e+02
3.300000000000000000e+01,1.682339900000000057e+02
3.400000000000000000e+01,1.701866100000000017e+02
3.500000000000000000e+01,1.720974899999999934e+02
3.600000000000000000e+01,1.739662899999999865e+02
3.700000000000000000e+01,1.757978400000000079e+02
3.800000000000000000e+01,1.775891699999999958e+02
3.900000000000000000e+01,1.793436399999999935e+02
4.000000000000000000e+01,1.810640600000000120e+02
4.100000000000000000e+01,1.827522899999999879e+02
4.200000000000000000e+01,1.844071700000000078e+02
4.300000000000000000e+01,1.860305199999999957e+02
4.400000000000000000e+01,1.876249200000000030e+02
4.500000000000000000e+01,1.891907699999999863e+02
4.600000000000000000e+01,1.907282700000000091e+02
4.700000000000000000e+01,1.922390900000000045e+02
4.800000000000000000e+01,1.937239199999999926e+02
4.900000000000000000e+01,1.951844900000000109e+02
5.000000000000000000e+01,1.966198699999999917e+02
5.100000000000000000e+01,1.980317699999999945e+02
5.200000000000000000e+01,1.994238699999999938e+02
5.300000000000000000e+01,2.007922100000000114e+02
5.400000000000000000e+01,2.021396200000000078e+02
5.500000000000000000e+01,2.034676800000000014e+02
5.600000000000000000e+01,2.047740499999999884e+02
5.700000000000000000e+01,2.060634300000000110e+02
5.800000000000000000e+01,2.073340599999999938e+02
5.900000000000000000e+01,2.085844400000000007e+02
6.000000000000000000e+01,2.098193499999999858e+02
6.100000000000000000e+01,2.110370599999999968e+02
6.200000000000000000e+01,2.122390399999999886e+02
6.300000000000000000e+01,2.134231399999999894e+02
6.400000000000000000e+01,2.145926699999999983e+02
6.500000000000000000e+01,2.157478199999999902e+02
6.600000000000000000e+01,2.168883399999999995e+02
6.700000000000000000e+01,2.180148800000000051e+02
6.800000000000000000e+01,2.191290300000000002e+02
6.900000000000000000e+01,2.202282700000000091e+02
7.000000000000000000e+01,2.213159599999999898e+02
7.100000000000000000e+01,2.223902400000000057e+02
7.200000000000000000e+01,2.234520699999999920e+02
7.300000000000000000e+01,2.245029299999999921e+02
7.400000000000000000e+01,2.255414399999999944e+02
7.500000000000000000e+01,2.265714299999999923e+02
7.600000000000000000e+01,2.275885499999999979e+02
7.700000000000000000e+01,2.285954399999999964e+02
7.800000000000000000e+01,2.295936599999999999e+02
7.900000000000000000e+01,2.305799399999999935e+02
8.000000000000000000e+01,2.315594199999999887e+02
8.100000000000000000e+01,2.325266399999999862e+02
8.200000000000000000e+01,2.334872400000000141e+02
8.300000000000000000e+01,2.344377599999999973e+02
8.400000000000000000e+01,2.353797800000000109e+02
8.500000000000000000e+01,2.363131099999999947e+02
8.600000000000000000e+01,2.372381100000000060e+02
8.700000000000000000e+01,2.381563400000000001e+02
8.800000000000000000e+01,2.390648700000000133e+02
8.900000000000000000e+01,2.399659100000000080e+02
9.000000000000000000e+01,2.408602799999999888e+02
9.100000000000000000e+01,2.417454099999999926e+02
9.200000000000000000e+01,2.426243100000000084e+02
9.300000000000000000e+01,2.434951900000000080e+02
9.400000000000000000e+01,2.443595899999999972e+02
9.500000000000000000e+01,2.452154700000000105e+02
9.600000000000000000e+01,2.460654600000000016e+02
9.700000000000000000e+01,2.469083899999999971e+02
9.800000000000000000e+01,2.477444299999999942e+02
9.900000000000000000e+01,2.485732600000000048e+02
1.000000000000000000e+02,2.493943899999999871e+02
1.010000000000000000e+02,2.502102700000000084e+02
1.020000000000000000e+02,2.510190399999999897e+02
1.030000000000000000e+02,2.518193499999999858e+02
1.040000000000000000e+02,2.526141399999999919e+02
1.050000000000000000e+02,2.534026900000000069e+02
1.060000000000000000e+02,2.541848899999999958e+02
