# Time [s], Temperature [C]
0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001299999999915e+01
7.000000000000000000e+00,2.500005700000000175e+01
8.000000000000000000e+00,2.500019599999999897e+01
9.000000000000000000e+00,2.500057599999999880e+01
1.000000000000000000e+01,2.500147799999999876e+01
1.100000000000000000e+01,2.500337800000000144e+01
1.200000000000000000e+01,2.500698500000000024e+01
1.300000000000000000e+01,2.501327300000000164e+01
1.400000000000000000e+01,2.502346000000000004e+01
1.500000000000000000e+01,2.503898200000000074e+01
1.600000000000000000e+01,2.506143600000000049e+01
1.700000000000000000e+01,2.509252199999999888e+01
1.800000000000000000e+01,2.513398400000000166e+01
1.900000000000000000e+01,2.518755499999999969e+01
2.000000000000000000e+01,2.525491699999999895e+01
2.100000000000000000e+01,2.533765800000000112e+01
2.200000000000000000e+01,2.543725799999999992e+01
2.300000000000000000e+01,2.555505000000000138e+01
2.400000000000000000e+01,2.569223200000000062e+01
2.500000000000000000e+01,2.584985500000000158e+01
2.600000000000000000e+01,2.602881400000000056e+01
2.700000000000000000e+01,2.622986200000000068e+01
2.800000000000000000e+01,2.645362099999999828e+01
2.900000000000000000e+01,2.670057299999999856e+01
3.000000000000000000e+01,2.697107499999999902e+01
3.100000000000000000e+01,2.726537899999999937e+01
3.200000000000000000e+01,2.758363299999999896e+01
3.300000000000000000e+01,2.792589600000000161e+01
3.400000000000000000e+01,2.829213100000000125e+01
3.500000000000000000e+01,2.868223800000000168e+01
3.600000000000000000e+01,2.909604099999999960e+01
3.700000000000000000e+01,2.953332100000000082e+01
3.800000000000000000e+01,2.999379700000000071e+01
3.900000000000000000e+01,3.047714399999999912e+01
4.000000000000000000e+01,3.098300599999999960e+01
4.100000000000000000e+01,3.151098999999999961e+01
4.200000000000000000e+01,3.206066500000000019e+01
4.300000000000000000e+01,3.263159199999999771e+01
