# Time [s], Convective Heat Transfer Coefficient [W/m2K]
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.574028725257893252e-02
7.000000000000000000e+00,5.849721719600613906e-02
8.000000000000000000e+00,8.829354315001436415e-02
9.000000000000000000e+00,1.264690964414679486e-01
1.000000000000000000e+01,1.731417220417540148e-01
1.100000000000000000e+01,2.280675355490058009e-01
1.200000000000000000e+01,2.905577015835092980e-01
1.300000000000000000e+01,3.598873813987881753e-01
1.400000000000000000e+01,4.351305649027814026e-01
1.500000000000000000e+01,5.153848249594099595e-01
1.600000000000000000e+01,5.997697600754127167e-01
1.700000000000000000e+01,6.874776630281470569e-01
1.800000000000000000e+01,7.777879927301589724e-01
1.900000000000000000e+01,8.700678810116904138e-01
2.000000000000000000e+01,9.637769178765019928e-01
2.100000000000000000e+01,1.058447372592236313e+00
2.200000000000000000e+01,1.153691012188874154e+00
2.300000000000000000e+01,1.249168306570228149e+00
2.400000000000000000e+01,1.344603214485360354e+00
2.500000000000000000e+01,1.439765842172667121e+00
2.600000000000000000e+01,1.534461076283459180e+00
2.700000000000000000e+01,1.628529821006839740e+00
2.800000000000000000e+01,1.721844723610011174e+00
2.900000000000000000e+01,1.814298247681415566e+00
3.000000000000000000e+01,1.905802845981364957e+00
3.100000000000000000e+01,1.996291134345276275e+00
3.200000000000000000e+01,2.085709706580379574e+00
3.300000000000000000e+01,2.174018404466070198e+00
3.400000000000000000e+01,2.261184279121408736e+00
3.500000000000000000e+01,2.347186181964718177e+00
3.600000000000000000e+01,2.432008114556258427e+00
3.700000000000000000e+01,2.515643400339819369e+00
3.800000000000000000e+01,2.598088153438726344e+00
3.900000000000000000e+01,2.679342960837785448e+00
4.000000000000000000e+01,2.759413178418086421e+00
4.100000000000000000e+01,2.838306318797575223e+00
4.200000000000000000e+01,2.916030911551527272e+00
4.300000000000000000e+01,2.992599754477637486e+00
4.400000000000000000e+01,3.068029363137291021e+00
4.500000000000000000e+01,3.142331617742952776e+00
4.600000000000000000e+01,3.215525549044340181e+00
4.700000000000000000e+01,3.287627252097188979e+00
4.800000000000000000e+01,3.358653419392776396e+00
4.900000000000000000e+01,3.428623347877690186e+00
5.000000000000000000e+01,3.497556851647712239e+00
5.100000000000000000e+01,3.565470627630777489e+00
5.200000000000000000e+01,3.632383857842697239e+00
5.300000000000000000e+01,3.698316565431511105e+00
5.400000000000000000e+01,3.763287323000792828e+00
5.500000000000000000e+01,3.827314862729140899e+00
5.600000000000000000e+01,3.890417840023667306e+00
5.700000000000000000e+01,3.952614949670885114e+00
5.800000000000000000e+01,4.013924084382790802e+00
5.900000000000000000e+01,4.074363623830577374e+00
6.000000000000000000e+01,4.133951522864365735e+00
6.100000000000000000e+01,4.192704291704632880e+00
6.200000000000000000e+01,4.250639127813228058e+00
6.300000000000000000e+01,4.307772813967616798e+00
6.400000000000000000e+01,4.364122204430775476e+00
6.500000000000000000e+01,4.419703923321318229e+00
