# Time [s], Temperature [C]
0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500001699999999971e+01
7.000000000000000000e+00,2.500006700000000137e+01
8.000000000000000000e+00,2.500022900000000092e+01
9.000000000000000000e+00,2.500065999999999988e+01
1.000000000000000000e+01,2.500166499999999914e+01
1.100000000000000000e+01,2.500374800000000164e+01
1.200000000000000000e+01,2.500765000000000171e+01
1.300000000000000000e+01,2.501437800000000067e+01
1.400000000000000000e+01,2.502517500000000084e+01
1.500000000000000000e+01,2.504149599999999865e+01
1.600000000000000000e+01,2.506495100000000065e+01
1.700000000000000000e+01,2.509724200000000138e+01
1.800000000000000000e+01,2.514011199999999846e+01
1.900000000000000000e+01,2.519528800000000146e+01
2.000000000000000000e+01,2.526443700000000092e+01
2.100000000000000000e+01,2.534913299999999836e+01
2.200000000000000000e+01,2.545083599999999890e+01
2.300000000000000000e+01,2.557086200000000176e+01
2.400000000000000000e+01,2.571039400000000086e+01
2.500000000000000000e+01,2.587045900000000032e+01
2.600000000000000000e+01,2.605193900000000085e+01
2.700000000000000000e+01,2.625557099999999977e+01
2.800000000000000000e+01,2.648195099999999869e+01
2.900000000000000000e+01,2.673155200000000065e+01
3.000000000000000000e+01,2.700472299999999848e+01
3.100000000000000000e+01,2.730170199999999880e+01
3.200000000000000000e+01,2.762262700000000137e+01
3.300000000000000000e+01,2.796754100000000065e+01
3.400000000000000000e+01,2.833640700000000123e+01
3.500000000000000000e+01,2.872911300000000168e+01
3.600000000000000000e+01,2.914548100000000019e+01
3.700000000000000000e+01,2.958528300000000044e+01
3.800000000000000000e+01,3.004823499999999825e+01
3.900000000000000000e+01,3.053401200000000060e+01
4.000000000000000000e+01,3.104225699999999932e+01
4.100000000000000000e+01,3.157256900000000144e+01
4.200000000000000000e+01,3.212452300000000349e+01
4.300000000000000000e+01,3.269768899999999689e+01
