# Time [s], Temperature [C]
0.000000000000000000e+00,2.500000000000000000e+01
1.000000000000000000e+00,2.499997300000000067e+01
2.000000000000000000e+00,4.556947300000000212e+01
3.000000000000000000e+00,5.754130200000000173e+01
4.000000000000000000e+00,6.722291599999999789e+01
5.000000000000000000e+00,7.534143100000000004e+01
6.000000000000000000e+00,8.247171000000000163e+01
7.000000000000000000e+00,8.886559300000000405e+01
8.000000000000000000e+00,9.469606000000000279e+01
9.000000000000000000e+00,1.000744300000000067e+02
1.000000000000000000e+01,1.050797299999999979e+02
1.100000000000000000e+01,1.097707999999999942e+02
1.200000000000000000e+01,1.141922100000000029e+02
1.300000000000000000e+01,1.183785299999999978e+02
1.400000000000000000e+01,1.223587600000000037e+02
1.500000000000000000e+01,1.261548200000000008e+02
1.600000000000000000e+01,1.297856299999999976e+02
1.700000000000000000e+01,1.332677600000000098e+02
1.800000000000000000e+01,1.366139699999999948e+02
1.900000000000000000e+01,1.398363999999999976e+02
2.000000000000000000e+01,1.429447800000000086e+02
2.100000000000000000e+01,1.459479800000000012e+02
2.200000000000000000e+01,1.488531600000000026e+02
2.300000000000000000e+01,1.516679800000000000e+02
2.400000000000000000e+01,1.543978299999999990e+02
2.500000000000000000e+01,1.570480799999999988e+02
2.600000000000000000e+01,1.596244000000000085e+02
2.700000000000000000e+01,1.621302300000000116e+02
2.800000000000000000e+01,1.645693200000000047e+02
2.900000000000000000e+01,1.669466400000000021e+02
3.000000000000000000e+01,1.692643400000000042e+02
3.100000000000000000e+01,1.715256200000000035e+02
3.200000000000000000e+01,1.737339499999999930e+02
3.300000000000000000e+01,1.758910199999999975e+02
3.400000000000000000e+01,1.779994199999999864e+02
3.500000000000000000e+01,1.800619199999999864e+02
3.600000000000000000e+01,1.820797100000000057e+02
3.700000000000000000e+01,1.840551499999999976e+02
3.800000000000000000e+01,1.859903700000000129e+02
3.900000000000000000e+01,1.878862300000000118e+02
4.000000000000000000e+01,1.897445700000000102e+02
4.100000000000000000e+01,1.915675400000000081e+02
4.200000000000000000e+01,1.933554200000000094e+02
4.300000000000000000e+01,1.951103799999999922e+02
4.400000000000000000e+01,1.968331799999999987e+02
4.500000000000000000e+01,1.985252700000000061e+02
4.600000000000000000e+01,2.001872299999999996e+02
4.700000000000000000e+01,2.018207400000000007e+02
4.800000000000000000e+01,2.034265699999999981e+02
4.900000000000000000e+01,2.050051899999999989e+02
5.000000000000000000e+01,2.065585299999999904e+02
5.100000000000000000e+01,2.080866200000000106e+02
5.200000000000000000e+01,2.095904199999999946e+02
5.300000000000000000e+01,2.110714099999999860e+02
5.400000000000000000e+01,2.125295299999999941e+02
5.500000000000000000e+01,2.139654400000000010e+02
5.600000000000000000e+01,2.153805999999999869e+02
5.700000000000000000e+01,2.167747200000000021e+02
5.800000000000000000e+01,2.181493499999999983e+02
5.900000000000000000e+01,2.195046800000000076e+02
6.000000000000000000e+01,2.208411600000000021e+02
6.100000000000000000e+01,2.221594499999999925e+02
6.200000000000000000e+01,2.234605400000000088e+02
6.300000000000000000e+01,2.247445500000000038e+02
6.400000000000000000e+01,2.260118699999999876e+02
6.500000000000000000e+01,2.272635799999999904e+02
6.600000000000000000e+01,2.284996899999999869e+02
6.700000000000000000e+01,2.297207799999999907e+02
6.800000000000000000e+01,2.309277500000000032e+02
6.900000000000000000e+01,2.321203199999999924e+02
7.000000000000000000e+01,2.332988400000000127e+02
7.100000000000000000e+01,2.344646799999999871e+02
7.200000000000000000e+01,2.356174599999999941e+02
7.300000000000000000e+01,2.367577499999999873e+02
7.400000000000000000e+01,2.378862900000000025e+02
7.500000000000000000e+01,2.390029100000000142e+02
7.600000000000000000e+01,2.401081100000000106e+02
7.700000000000000000e+01,2.412029599999999903e+02
7.800000000000000000e+01,2.422865899999999897e+02
7.900000000000000000e+01,2.433597900000000038e+02
8.000000000000000000e+01,2.444232800000000054e+02
8.100000000000000000e+01,2.454769599999999912e+02
8.200000000000000000e+01,2.465211600000000089e+02
8.300000000000000000e+01,2.475563999999999965e+02
8.400000000000000000e+01,2.485826399999999978e+02
8.500000000000000000e+01,2.495999799999999880e+02
8.600000000000000000e+01,2.506096300000000099e+02
8.700000000000000000e+01,2.516104400000000112e+02
8.800000000000000000e+01,2.526035300000000063e+02
8.900000000000000000e+01,2.535887800000000141e+02
9.000000000000000000e+01,2.545665899999999908e+02
9.100000000000000000e+01,2.555364700000000084e+02
9.200000000000000000e+01,2.564996300000000247e+02
9.300000000000000000e+01,2.574549900000000093e+02
9.400000000000000000e+01,2.584036300000000210e+02
9.500000000000000000e+01,2.593453099999999836e+02
9.600000000000000000e+01,2.602802699999999732e+02
9.700000000000000000e+01,2.612082199999999830e+02
9.800000000000000000e+01,2.621298199999999952e+02
9.900000000000000000e+01,2.630448299999999904e+02
1.000000000000000000e+02,2.639529699999999934e+02
1.010000000000000000e+02,2.648549499999999739e+02
1.020000000000000000e+02,2.657504599999999755e+02
1.030000000000000000e+02,2.666393400000000042e+02
1.040000000000000000e+02,2.675223100000000045e+02
1.050000000000000000e+02,2.683986199999999940e+02
1.060000000000000000e+02,2.692688899999999990e+02
1.070000000000000000e+02,2.701328399999999874e+02
1.080000000000000000e+02,2.709905699999999911e+02
1.090000000000000000e+02,2.718421900000000164e+02
1.100000000000000000e+02,2.726880499999999756e+02
1.110000000000000000e+02,2.735274699999999939e+02
1.120000000000000000e+02,2.743608100000000150e+02
1.130000000000000000e+02,2.751886900000000082e+02
1.140000000000000000e+02,2.760104999999999791e+02
1.150000000000000000e+02,2.768263900000000035e+02
1.160000000000000000e+02,2.776368699999999876e+02
1.170000000000000000e+02,2.784415300000000002e+02
1.180000000000000000e+02,2.792405099999999720e+02
1.190000000000000000e+02,2.800342099999999732e+02
1.200000000000000000e+02,2.808222400000000221e+02
1.210000000000000000e+02,2.816048900000000117e+02
1.220000000000000000e+02,2.823825400000000059e+02
1.230000000000000000e+02,2.831548199999999724e+02
1.240000000000000000e+02,2.839219400000000064e+02
1.250000000000000000e+02,2.846844199999999887e+02
1.260000000000000000e+02,2.854417100000000005e+02
1.270000000000000000e+02,2.861940299999999979e+02
1.280000000000000000e+02,2.869420200000000136e+02
1.290000000000000000e+02,2.876850900000000024e+02
1.300000000000000000e+02,2.884237400000000093e+02
1.310000000000000000e+02,2.891580200000000218e+02
1.320000000000000000e+02,2.898877299999999764e+02
1.330000000000000000e+02,2.906130400000000122e+02
1.340000000000000000e+02,2.913343800000000101e+02
1.350000000000000000e+02,2.920513900000000262e+02
1.360000000000000000e+02,2.927644000000000233e+02
1.370000000000000000e+02,2.934734799999999950e+02
1.380000000000000000e+02,2.941787100000000237e+02
1.390000000000000000e+02,2.948798499999999763e+02
1.400000000000000000e+02,2.955775499999999738e+02
1.410000000000000000e+02,2.962713899999999967e+02
1.420000000000000000e+02,2.969613299999999754e+02
1.430000000000000000e+02,2.976480399999999804e+02
1.440000000000000000e+02,2.983311800000000176e+02
1.450000000000000000e+02,2.990108000000000175e+02
1.460000000000000000e+02,2.996871300000000247e+02
1.470000000000000000e+02,3.003598600000000260e+02
1.480000000000000000e+02,3.010292999999999779e+02
1.490000000000000000e+02,3.016957699999999818e+02
1.500000000000000000e+02,3.023586999999999989e+02
1.510000000000000000e+02,3.030184899999999857e+02
1.520000000000000000e+02,3.036751699999999801e+02
1.530000000000000000e+02,3.043285500000000070e+02
1.540000000000000000e+02,3.049792499999999791e+02
1.550000000000000000e+02,3.056269199999999842e+02
1.560000000000000000e+02,3.062713600000000156e+02
1.570000000000000000e+02,3.069128999999999792e+02
1.580000000000000000e+02,3.075518500000000017e+02
1.590000000000000000e+02,3.081875900000000001e+02
1.600000000000000000e+02,3.088205300000000193e+02
1.610000000000000000e+02,3.094510200000000282e+02
1.620000000000000000e+02,3.100784600000000069e+02
1.630000000000000000e+02,3.107028199999999742e+02
1.640000000000000000e+02,3.113250100000000202e+02
1.650000000000000000e+02,3.119442700000000173e+02
1.660000000000000000e+02,3.125605800000000158e+02
1.670000000000000000e+02,3.131748000000000047e+02
1.680000000000000000e+02,3.137857999999999947e+02
1.690000000000000000e+02,3.143943199999999933e+02
1.700000000000000000e+02,3.150006099999999947e+02
1.710000000000000000e+02,3.156041000000000167e+02
1.720000000000000000e+02,3.162046799999999962e+02
1.730000000000000000e+02,3.168034700000000043e+02
1.740000000000000000e+02,3.173991399999999885e+02
1.750000000000000000e+02,3.179925200000000132e+02
1.760000000000000000e+02,3.185833999999999833e+02
1.770000000000000000e+02,3.191717499999999745e+02
1.780000000000000000e+02,3.197575100000000248e+02
1.790000000000000000e+02,3.203410900000000083e+02
1.800000000000000000e+02,3.209220300000000066e+02
1.810000000000000000e+02,3.215004900000000134e+02
1.820000000000000000e+02,3.220765700000000038e+02
1.830000000000000000e+02,3.226504199999999969e+02
1.840000000000000000e+02,3.232214399999999728e+02
1.850000000000000000e+02,3.237907700000000091e+02
1.860000000000000000e+02,3.243571499999999901e+02
1.870000000000000000e+02,3.249214499999999930e+02
1.880000000000000000e+02,3.254835199999999986e+02
1.890000000000000000e+02,3.260430299999999875e+02
1.900000000000000000e+02,3.266000700000000165e+02
1.910000000000000000e+02,3.271551200000000108e+02
1.920000000000000000e+02,3.277075800000000072e+02
1.930000000000000000e+02,3.282577499999999873e+02
1.940000000000000000e+02,3.288056599999999889e+02
1.950000000000000000e+02,3.293513500000000249e+02
1.960000000000000000e+02,3.298942900000000122e+02
1.970000000000000000e+02,3.304356399999999780e+02
1.980000000000000000e+02,3.309741799999999898e+02
1.990000000000000000e+02,3.315104400000000169e+02
2.000000000000000000e+02,3.320447399999999902e+02
2.010000000000000000e+02,3.325765999999999849e+02
2.020000000000000000e+02,3.331058300000000258e+02
2.030000000000000000e+02,3.336335100000000011e+02
2.040000000000000000e+02,3.341586300000000165e+02
2.050000000000000000e+02,3.346810600000000022e+02
2.060000000000000000e+02,3.352019300000000044e+02
2.070000000000000000e+02,3.357200300000000084e+02
2.080000000000000000e+02,3.362358100000000150e+02
2.090000000000000000e+02,3.367499700000000189e+02
2.100000000000000000e+02,3.372612899999999740e+02
2.110000000000000000e+02,3.377702899999999886e+02
2.120000000000000000e+02,3.382774000000000001e+02
2.130000000000000000e+02,3.387820699999999761e+02
2.140000000000000000e+02,3.392844799999999736e+02
2.150000000000000000e+02,3.397847300000000246e+02
2.160000000000000000e+02,3.402827800000000025e+02
2.170000000000000000e+02,3.407782000000000266e+02
2.180000000000000000e+02,3.412720600000000104e+02
2.190000000000000000e+02,3.417631499999999960e+02
2.200000000000000000e+02,3.422519800000000032e+02
2.210000000000000000e+02,3.427390399999999886e+02
2.220000000000000000e+02,3.432235699999999952e+02
2.230000000000000000e+02,3.437053500000000099e+02
2.240000000000000000e+02,3.441857600000000161e+02
2.250000000000000000e+02,3.446635400000000118e+02
2.260000000000000000e+02,3.451389800000000037e+02
2.270000000000000000e+02,3.456123999999999796e+02
2.280000000000000000e+02,3.460831600000000208e+02
2.290000000000000000e+02,3.465518200000000206e+02
2.300000000000000000e+02,3.470185900000000174e+02
2.310000000000000000e+02,3.474827900000000227e+02
2.320000000000000000e+02,3.479446399999999926e+02
2.330000000000000000e+02,3.484046599999999785e+02
2.340000000000000000e+02,3.488620000000000232e+02
2.350000000000000000e+02,3.493171100000000138e+02
2.360000000000000000e+02,3.497705100000000016e+02
2.370000000000000000e+02,3.502211899999999787e+02
2.380000000000000000e+02,3.506693700000000149e+02
2.390000000000000000e+02,3.511159700000000043e+02
2.400000000000000000e+02,3.515596899999999891e+02
2.410000000000000000e+02,3.520013400000000274e+02
2.420000000000000000e+02,3.524411900000000060e+02
2.430000000000000000e+02,3.528781099999999924e+02
2.440000000000000000e+02,3.533128100000000131e+02
2.450000000000000000e+02,3.537459400000000187e+02
2.460000000000000000e+02,3.541763000000000261e+02
2.470000000000000000e+02,3.546042499999999791e+02
2.480000000000000000e+02,3.550303999999999860e+02
2.490000000000000000e+02,3.554539500000000203e+02
2.500000000000000000e+02,3.558749399999999810e+02
2.510000000000000000e+02,3.562945599999999899e+02
2.520000000000000000e+02,3.567113600000000133e+02
2.530000000000000000e+02,3.571257899999999950e+02
2.540000000000000000e+02,3.575385999999999740e+02
2.550000000000000000e+02,3.579483599999999797e+02
2.560000000000000000e+02,3.583559300000000007e+02
2.570000000000000000e+02,3.587619599999999878e+02
2.580000000000000000e+02,3.591651899999999955e+02
2.590000000000000000e+02,3.595660100000000057e+02
2.600000000000000000e+02,3.599653599999999756e+02
2.610000000000000000e+02,3.603618799999999851e+02
2.620000000000000000e+02,3.607559800000000223e+02
2.630000000000000000e+02,3.611486800000000130e+02
2.640000000000000000e+02,3.615382700000000114e+02
2.650000000000000000e+02,3.619255699999999933e+02
2.660000000000000000e+02,3.623114299999999730e+02
2.670000000000000000e+02,3.626945200000000114e+02
2.680000000000000000e+02,3.630752299999999764e+02
2.690000000000000000e+02,3.634545600000000150e+02
2.700000000000000000e+02,3.638309899999999857e+02
2.710000000000000000e+02,3.642050800000000095e+02
2.720000000000000000e+02,3.645777299999999741e+02
2.730000000000000000e+02,3.649474799999999846e+02
2.740000000000000000e+02,3.653148800000000165e+02
2.750000000000000000e+02,3.656810600000000022e+02
2.760000000000000000e+02,3.660446200000000090e+02
2.770000000000000000e+02,3.664054300000000239e+02
2.780000000000000000e+02,3.667651700000000119e+02
2.790000000000000000e+02,3.671219500000000266e+02
2.800000000000000000e+02,3.674764099999999871e+02
2.810000000000000000e+02,3.678297099999999773e+02
2.820000000000000000e+02,3.681800799999999754e+02
2.830000000000000000e+02,3.685281699999999887e+02
2.840000000000000000e+02,3.688751199999999812e+02
2.850000000000000000e+02,3.692191500000000133e+02
2.860000000000000000e+02,3.695611599999999726e+02
2.870000000000000000e+02,3.699016100000000051e+02
2.880000000000000000e+02,3.702393799999999828e+02
2.890000000000000000e+02,3.705751999999999953e+02
2.900000000000000000e+02,3.709098500000000058e+02
2.910000000000000000e+02,3.712415199999999800e+02
2.920000000000000000e+02,3.715709499999999821e+02
2.930000000000000000e+02,3.718997499999999832e+02
2.940000000000000000e+02,3.722251899999999978e+02
2.950000000000000000e+02,3.725486099999999965e+02
2.960000000000000000e+02,3.728711500000000001e+02
2.970000000000000000e+02,3.731908599999999865e+02
2.980000000000000000e+02,3.735083300000000008e+02
2.990000000000000000e+02,3.738257399999999961e+02
3.000000000000000000e+02,3.741394999999999982e+02
3.010000000000000000e+02,3.744512599999999907e+02
3.020000000000000000e+02,3.747622700000000009e+02
